t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
745358240276414464,39535593,positive,leave,2016-06-21T20:50:27.000Z,#BBCDebate great conclusion from @RuthDavidsonMSP talking about #brexit #britain #betteroffin,"['bbcdebate', 'betteroffin', 'britain', 'brexit']"
713091919283372032,370547067,negative,other,2016-03-24T19:55:36.000Z,"@toadmeister @simplysimontfa @CivitasEUFacts #BetterOffIn and we all know it, the liars and charlatans will not succeed Brexit is doomed",['betteroffin']
720731554192953344,4827803052,negative,remain,2016-04-14T21:52:47.000Z,"@Akabilky @GuyADJ @UKIPNFKN  they will act after the shock... the shock being the effect of brexit on our economy, No Thanks #betteroffin",['betteroffin']
721796164572573696,4827803052,positive,other,2016-04-17T20:23:10.000Z,"Investment is the 1st thing to be hit in a Post Brexit world, although Brexiters won't admit it!! #betteroffin https://t.co/6n7w0Ar3rI",['betteroffin']
721085813434531840,4827803052,negative,other,2016-04-15T21:20:29.000Z,"@UKIPNFKN  Car production in the UK contributes 5.1% to the UK economy, Brexit will threaten this... #betteroffin https://t.co/cj9gaRBK9P",['betteroffin']
729402041857130496,370547067,negative,other,2016-05-08T20:06:13.000Z,"@UK__News #BetterOffIn Don't listen to the lying Brexit campaigners, disingenuous nasty people",['betteroffin']
720741476863488000,4827803052,negative,other,2016-04-14T22:32:13.000Z,@Akabilky @GuyADJ @UKIPNFKN so drag us into brexit and then complain for no plan? LOL #betteroffin,['betteroffin']
693027970689142784,14301230,neutral,other,2016-01-29T11:08:38.000Z,Brexit – what would happen if Britain left the EU? https://t.co/qblFfY8Ssh &gt; It's cold outside... #BetteroffIn,['betteroffin']
707814579028545536,28640933,neutral,other,2016-03-10T06:25:20.000Z,Must read: Brexit rules would give the rest of EU the upper hand over UK in exit negotiations #BetterOffIn  https://t.co/dOIcKwhpe8,['betteroffin']
732155411063836672,17000235,negative,remain,2016-05-16T10:27:07.000Z,"#Brexit could risk livelihoods of 10,000 sheep farmers #betteroffin
https://t.co/N3Zztd0v2v","['betteroffin', 'brexit']"
708576201439371264,369558203,positive,other,2016-03-12T08:51:45.000Z,Funny but really blooming on point. #brexit #betteroffin https://t.co/Ptdja4CY8i,"['betteroffin', 'brexit']"
688643613924929536,114423538,positive,other,2016-01-17T08:46:46.000Z,Think the @DailyMailUK might be being optimistic declaring 6% Storming ahead... #EUreferendum #Brexit #betteroffin https://t.co/hCYFGRhCKv,"['betteroffin', 'brexit', 'eureferendum']"
742817296243101696,18721439,positive,remain,2016-06-14T20:33:38.000Z,"The #remain and #betteroffin challenge for this week: tell us something positive and original about staying in EU... Anything

#Brexit","['betteroffin', 'brexit', 'remain']"
740961045561417728,843880873,positive,remain,2016-06-09T17:37:34.000Z,"@GuidoFawkes  Boris Johnson supporting EU membership on February 7, 2016 #Brexit  #votein  #strongerin  #betteroffin https://t.co/kIzSumajQW","['betteroffin', 'brexit', 'votein', 'strongerin']"
737253635533484032,727593506005499904,positive,remain,2016-05-30T12:05:38.000Z,Lovely welcome home present #EUref #brexit #betteroffin by _laurenanders https://t.co/lM75gu4zby https://t.co/NkL7KrhnaL,"['betteroffin', 'euref', 'brexit']"
745209094311657472,104487397,negative,other,2016-06-21T10:57:48.000Z,Brexit: Leaving The EU Will Hurt The UK And The Rest Of The World via @forbes https://t.co/DmOcrfGual #remain #betteroffin,"['betteroffin', 'remain']"
745864920147894272,74741297,positive,leave,2016-06-23T06:23:49.000Z,Early EU Referendum result just in: It's a clear win for the Remain camp! #brexit #remain #betteroffin #voteleave https://t.co/eVlObADvVK,"['betteroffin', 'remain', 'voteleave', 'brexit']"
733204299770134528,731465935308128128,neutral,other,2016-05-19T07:55:01.000Z,"Over 3 Million EU citizens are currently living in the UK, all can remain after a Brexit. #BetterOffOut #YesToEU #BetterOffIn #EUReferendum","['betteroffout', 'yestoeu', 'betteroffin', 'eureferendum']"
