t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
752027991820144640,176734707,negative,remain,2016-07-10T06:33:39.000Z,"Sadly media politicians, brexit was a green light for authorised victimisation and racism, #BinBrexit https://t.co/F7VEnXxJ0o",['binbrexit']
781838980669120512,752139209528504320,negative,leave,2016-09-30T12:51:53.000Z,"@dontbrexitfixit  @RadioTimes Brexit wouldn't have made it through the first round,hence those wishing to inflict it lied&amp;lied So #binbrexit",['binbrexit']
764054236825063424,121192398,positive,leave,2016-08-12T11:01:40.000Z,.@DavidAllenGreen @ThrstleFantstic Did #Brexit voters understand they were attacking the N Ireland peace process? Did they care? #BinBrexit,"['brexit', 'binbrexit']"
747575774123794432,1540529606,positive,other,2016-06-27T23:42:08.000Z,"Thank you @FT 👏
The best #Brexit thing I've read!
#HOPE!
Tell your MP to #BinBrexit
NOW!
https://t.co/gLH9855WVp https://t.co/yPUuI6vr0l","['brexit', 'binbrexit', 'hope']"
789255856143659008,752139209528504320,negative,other,2016-10-21T00:03:54.000Z,We don't want this #Brexit reject Murdock #fightbrexit #Binbrexit &amp; #dontbuythesun https://t.co/DM4bUn9fSO,"['binbrexit', 'brexit', 'dontbuythesun', 'fightbrexit']"
875784460943466496,181245414,negative,leave,2017-06-16T18:37:41.000Z,For heaven's sake bin Brexit NOW! Billions on a project that has no purpose. STOP IT! #BinBrexit,['binbrexit']
877464790595235840,330902892,neutral,leave,2017-06-21T09:54:43.000Z,What a total waste - and expense. We are NOT BEING TOLD the true cost of this Brexit FARCE! #BinBrexit https://t.co/nXfDFUtVS4,['binbrexit']
877556606317330432,181245414,negative,remain,2017-06-21T15:59:33.000Z,"How many Brexiteers have not sussed that they're poorer already because of Brexit? Ok, we'll have to wait for the slow ones! #BinBrexit",['binbrexit']
876048541294219264,766212378,positive,other,2017-06-17T12:07:03.000Z,So we're going into Brexit led by a PM no-one has confidence in with no coherent strategy. Let's get our own house in order and #binbrexit,['binbrexit']
876729049493667840,181245414,positive,other,2017-06-19T09:11:08.000Z,"Now here's brilliant scenario...May stands up and says Brexit is lunacy and then resigns. Woo hoo, wouldn't that be fun! #BinBrexit",['binbrexit']
876725286196445184,181245414,neutral,remain,2017-06-19T08:56:11.000Z,All aboard for Brexit poverty! Dumbo Davis is shafting you today. #BinBrexit @acgrayling @campbellclaret @JolyonMaugham @jonsnowC4 https://t.co/9fKiKDs3Yc,['binbrexit']
