t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
745543737703424000,51037293,negative,remain,2016-06-22T09:07:33.000Z,"#BollocksToBrexit
Why would you vote for this?: The IMF lays out the grave consequences of Brexit https://t.co/wYeH9nfuvM via @TheEconomist",['bollockstobrexit']
747323373533855744,25060466,positive,remain,2016-06-27T06:59:11.000Z,HAHAHAHAHAHA…sounds like it's dawning on them that they've won a #pyrrhicvictory. #Brexit #bollockstoBrexit https://t.co/aPWkzQ5iDC,"['bollockstobrexit', 'brexit', 'pyrrhicvictory']"
794124592260534272,239402040,positive,other,2016-11-03T10:30:31.000Z,I would like the government to declare November 3rd National #BollocksToBrexit day and have BBC play the EU anthem every night. #brexit,"['bollockstobrexit', 'brexit']"
786507805389905920,47945594,negative,other,2016-10-13T10:04:08.000Z,Sturgeon kicking ass and taking names #Brexit #bollockstobrexit,"['brexit', 'bollockstobrexit']"
823831054972817408,21674297,positive,remain,2017-01-24T09:53:24.000Z,"Parliament, don't drop the ball on this. Brexit is a damp squib; a final stand from the NIMBYs and they've had their turn. #BollocksToBrexit",['bollockstobrexit']
892401881737302016,26370963,neutral,other,2017-08-01T15:09:23.000Z,"Bollocks to the jobsworths @RoyalAlbertHall and #BollocksToBrexit
'Ban' on EU flags sparks Brexit row at the Proms https://t.co/tuQowHpEkk",['bollockstobrexit']
878909887127932928,297953341,negative,leave,2017-06-25T09:37:01.000Z,@jeremycorbyn There was a message on a flag there for you #BollocksToBrexit - please listen to us &amp; drop your hard Brexit stance.,['bollockstobrexit']
919321130766356480,20237435,positive,leave,2017-10-14T21:56:52.000Z,Very pleased to speak at the London anti-Brexit rally in Whitehall. Many thanks to the organisers #bollockstobrexit https://t.co/7yjoYU8muU,['bollockstobrexit']
939548113764839424,14451705,negative,other,2017-12-09T17:31:40.000Z,"Spotted in town (between the ""I have a bad feeling about this"" and ""nope nope nope"" sections): a Bollocks To Brexit protest. Good stuff. #bollockstobrexit",['bollockstobrexit']
937591542201626624,1717521084,positive,other,2017-12-04T07:56:57.000Z,"Just reading the paper.. latest Brexit news. More ""winning"" of course..

Oops who put that sticker there! Must be a remoaning mutinous traitor😡

#bollockstobrexit https://t.co/xb0orRWB66",['bollockstobrexit']
939548347769245696,395263528,negative,other,2017-12-09T17:32:36.000Z,"Spotted in town (between the ""I have a bad feeling about this"" and ""nope nope nope"" sections): a Bollocks To Brexit protest. Good stuff. #bollockstobrexit",['bollockstobrexit']
931268865979322368,823350384794238848,neutral,other,2017-11-16T21:12:54.000Z,The Brexit Music Bank: #BollockstoBrexit https://t.co/rJLuIk933u,['bollockstobrexit']
916991703395045376,888154543543943040,negative,other,2017-10-08T11:40:33.000Z,"#BasilTheEurocat attacks a Brexit snake in Brexitland. #BollocksToBrexit 😂🇪🇺🇬🇧
https://t.co/vJTbaB4VQ0","['bollockstobrexit', 'basiltheeurocat']"
917692637351694336,2703772194,positive,other,2017-10-10T10:05:49.000Z,Strong opinions on the back of a toilet door in @sainsburys Unsure if secretly endorsed by Sainsbury's or not. #bollockstobrexit #brexit https://t.co/isZi8sW1O3,"['bollockstobrexit', 'brexit']"
934754427759681536,90417033,negative,other,2017-11-26T12:03:17.000Z,"As Churchill might have said ""We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the adverts on @SouthernRailUK."" Keep it up you #bollockstobrexit campaigners! #brexit https://t.co/8yyCRDIJpZ","['bollockstobrexit', 'brexit']"
905455913255014400,780840449963532160,neutral,remain,2017-09-06T15:41:26.000Z,"LukhmanM: RT NaughtyAuntieB: 11am Hyde Park 
#StopBrexit #Brexit #LondonMarch #brexitshambles #BollocksToBrexit … https://t.co/O2EOZwt87j","['bollockstobrexit', 'brexitshambles', 'londonmarch', 'brexit', 'stopbrexit']"
922433076948602880,780840449963532160,neutral,remain,2017-10-23T12:02:38.000Z,"RT TakingJobs: RT TakingJobs: RT EUlvis: #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain
You know it make… https://t.co/Okue7OMIYn","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
922427707669049344,780840449963532160,neutral,remain,2017-10-23T11:41:18.000Z,"RT EUlvis: #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain
You know it makes sense 🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺 https://t.co/Okue7OMIYn","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
922791503134674944,780840449963532160,neutral,remain,2017-10-24T11:46:53.000Z,"RT EUlvis: #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain
You know it makes sense 🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺 https://t.co/Okue7OMIYn","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
919835241090568192,772510488018219008,positive,remain,2017-10-16T07:59:45.000Z,Wise words from my good buddy Al @campbellclaret #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain https://t.co/xYOo8aNZBJ,"['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
922011295376924672,780840449963532160,neutral,remain,2017-10-22T08:06:37.000Z,"RT EUlvis: #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain
You know it makes sense 🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺 https://t.co/Okue7OMIYn","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
921989689090936832,772510488018219008,neutral,remain,2017-10-22T06:40:46.000Z,"#Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain
You know it makes sense 🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺 https://t.co/kJe33f9CYu","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
923262567472091136,780840449963532160,neutral,remain,2017-10-25T18:58:44.000Z,"RT EUlvis: #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Remain
You know it makes sense 🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺 https://t.co/Okue7OMIYn","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit']"
930366616545759232,772510488018219008,positive,remain,2017-11-14T09:27:41.000Z,"#TuesdayThoughts hmm how about
#Brexit
#Brexshit
#Brexitshambles 
#BollocksToBrexit
#StopBrexit
#ItsNotADoneDeal
#Remain
✊✌🇪🇺🇬🇧 Keep the faith https://t.co/9t08lFi5Ko","['bollockstobrexit', 'brexshit', 'brexit', 'remain', 'stopbrexit', 'tuesdaythoughts', 'itsnotadonedeal', 'brexitshambles']"
920955163023724544,780840449963532160,positive,remain,2017-10-19T10:09:56.000Z,So have we not cancelled this abomination called Brexit yet? Come on get on with it #StopBrexit #NoBrexit #EU #StrongerIn #bollockstobrexit,"['bollockstobrexit', 'eu', 'stopbrexit', 'nobrexit', 'strongerin']"
919841279038631936,780840449963532160,positive,remain,2017-10-16T08:23:45.000Z,RT EUlvis: Wise words from my good buddy Al campbellclaret #Brexit #Brexshit #BollocksToBrexit #StopBrexit #Rema… https://t.co/D5mkDgI9NA,"['bollockstobrexit', 'rema…', 'brexshit', 'brexit', 'stopbrexit']"
906479739031998464,858746839532752896,negative,other,2017-09-09T11:29:46.000Z,Marching with No 10 Vigil. #bollockstobrexit #Brexit https://t.co/UuCNoaIryb,"['brexit', 'bollockstobrexit']"
906573401720049664,233973865,neutral,other,2017-09-09T17:41:56.000Z,At The Albert Hall #Brexit #Bollockstobrexit https://t.co/XuCLjUYF0C,"['brexit', 'bollockstobrexit']"
914837713416806400,43652967,neutral,other,2017-10-02T13:01:22.000Z,Anti-Brexit marchers tell Mrs May and her cabinet ‘bollocks to Brexit’ https://t.co/NyC1wrjssP #Brexit #BollocksToBrexit https://t.co/58NU7DywZP,"['brexit', 'bollockstobrexit']"
937023532114022400,303905728,positive,other,2017-12-02T18:19:53.000Z,Just signed for a fair vote in Parlament #bollockstobrexit #Brexit https://t.co/2JRxKLkSat,"['brexit', 'bollockstobrexit']"
889225051928760320,337898180,neutral,remain,2017-07-23T20:45:48.000Z,"Another architect of #Brexit 

#BollocksToBrexit https://t.co/jPNG8y6QVS","['brexit', 'bollockstobrexit']"
936163364744679424,2968050521,neutral,other,2017-11-30T09:21:53.000Z,Spotted at Highbury &amp; Islington this am. #Bollockstobrexit #Brexit https://t.co/VJ07UGCk8w,"['brexit', 'bollockstobrexit']"
914441593360388096,1691083506,negative,remain,2017-10-01T10:47:20.000Z,"Gutted I can't make the protest, but what a sight - so many people in #mcr to reject austerity and Tory and #Brexit hubris #bollockstobrexit https://t.co/mVwXFnsDkE","['brexit', 'mcr', 'bollockstobrexit']"
931027467665575936,720218930,neutral,other,2017-11-16T05:13:40.000Z,Seeing these all over the place #Derby #brexit #bollockstobrexit https://t.co/EhnARZXVCd,"['derby', 'bollockstobrexit', 'brexit']"
926861727001661440,708951010136424448,positive,leave,2017-11-04T17:20:30.000Z,Great day handing out leaflets and helping with the stall for @LeedsEurope. @HarryJSmall #remain #brexit #EU #bollockstobrexit https://t.co/Ibd3vL3oWi,"['eu', 'remain', 'bollockstobrexit', 'brexit']"
938685574231347200,48970928,negative,other,2017-12-07T08:24:15.000Z,@ChrisGraylingMP the fact that haulage is more affected by #brexit than rail is not detailed analysis. #bollockstobrexit #AskUsAgain #fucktard,"['fucktard', 'askusagain', 'bollockstobrexit', 'brexit']"
936368007336644608,101861575,negative,other,2017-11-30T22:55:04.000Z,Dear @EUflagmafia could a talented artist not create anti Brexit posters based on the sex pistols Never Mind the ballots stop the brexit ? #BollocksToBrexit #liar #holidayInTheSun #godsavethequeen,"['holidayinthesun', 'bollockstobrexit', 'godsavethequeen', 'liar']"
905143030939873280,837437714794442752,neutral,remain,2017-09-05T18:58:09.000Z,#bollockstobrexit collage #SODEM #StopBrexit #Brexit #London #Parliament @ChelsClive @MrDominicBuxton @EUlvis @EUflagmafia https://t.co/TExEjwPeg0,"['london', 'parliament', 'bollockstobrexit', 'sodem', 'brexit', 'stopbrexit']"
905334791746281472,780840449963532160,neutral,other,2017-09-06T07:40:09.000Z,SusannaML: RT No10Vigil: #bollockstobrexit collage #SODEM #StopBrexit #Brexit #London #Parliament ChelsClive M… https://t.co/2zzsavRtDf,"['london', 'parliament', 'bollockstobrexit', 'sodem', 'brexit', 'stopbrexit']"
905340562869538816,780840449963532160,neutral,other,2017-09-06T08:03:05.000Z,Iloveautumn2: RT No10Vigil: #bollockstobrexit collage #SODEM #StopBrexit #Brexit #London #Parliament ChelsClive… https://t.co/2zzsavRtDf,"['london', 'parliament', 'bollockstobrexit', 'sodem', 'brexit', 'stopbrexit']"
878731853112512512,717830426727989248,positive,other,2017-06-24T21:49:34.000Z,"@vivahate72 Was it because of the prominent ""Bollocks to Brexit"" banner being waved in front of Corbyn?
#BollocksToBrexit #BBCBias #NoBrexit","['nobrexit', 'bbcbias', 'bollockstobrexit']"
907578404647694336,893529337437224960,negative,other,2017-09-12T12:15:28.000Z,@MarieAnnUK ....and of course the crash in the value of sterling since Brexit vote #bollockstobrexit #remain #resist,"['resist', 'remain', 'bollockstobrexit']"
886555301125730304,100561555,positive,leave,2017-07-16T11:57:09.000Z,Strong sticker game @loveboxfestival yesterday 💪🏻🖕🏻🇪🇺 #bollockstobrexit #brexit #stilleuropean… https://t.co/QD4xGoghhF,"['stilleuropean…', 'bollockstobrexit', 'brexit']"
918023177292406784,780840449963532160,neutral,remain,2017-10-11T07:59:16.000Z,"Brexit is SO bollocks.
#StopBrexit #BollocksToBrexit
(Image from https://t.co/8vb8SdL1t4 ) https://t.co/ulbLG9ryXt","['stopbrexit', 'bollockstobrexit']"
925524521590968320,823350384794238848,positive,remain,2017-11-01T00:46:56.000Z,100 Bollocks to Brexit stickers only £6 - bargain!  #bollockstobrexit #stopbrexit @EUflagmafia https://t.co/pHhUyoI7vp,"['stopbrexit', 'bollockstobrexit']"
918022204872421376,51957156,neutral,remain,2017-10-11T07:55:24.000Z,"Brexit is SO bollocks.
#StopBrexit #BollocksToBrexit
(Image from https://t.co/nHRZvZTEL9 ) https://t.co/AHZLsQaIdg","['stopbrexit', 'bollockstobrexit']"
939207715561332736,54636015,neutral,other,2017-12-08T18:59:03.000Z,Those born in Northern Ireland are to retain their EU Citizenship after Brexit - Congratulations! - I want the same please. Why should the rest of us have our citizenship STOLEN from us. Brexiteers are getting everything their way It is unacceptable #stopbrexit #bollockstobrexit,"['stopbrexit', 'bollockstobrexit']"
919165219569569792,780840449963532160,positive,remain,2017-10-14T11:37:20.000Z,Today's safe word is #brexit. #StopBrexit #bollockstobrexit https://t.co/qOEWWeeoaL,"['stopbrexit', 'bollockstobrexit', 'brexit']"
932195936247468032,1380308922,positive,remain,2017-11-19T10:36:45.000Z,We'll all be shopping in charity shops after #Brexit - won't we.  @LiamFox gets in there early. Thanks also to  @BorisJohnson @DavidDavisMP @theresa_may #StopBrexit #advisoryreferendum #bollockstobrexit https://t.co/MrcBfkZaxC,"['stopbrexit', 'brexit', 'advisoryreferendum', 'bollockstobrexit']"
909828227132215296,780840449963532160,negative,remain,2017-09-18T17:15:27.000Z,theresa_may 'Driving from [the] front towards #Brexit and a UK car crash #StopBrexit #bollockstobrexit https://t.co/OitvedRweE,"['stopbrexit', 'brexit', 'bollockstobrexit']"
909860146897195008,780840449963532160,negative,remain,2017-09-18T19:22:18.000Z,RT No10Vigil: Here's Theresa driving from [the] front. #Brexit UK car crash. #StopBrexit #bollockstobrexit https://t.co/1ayNX5ILcf,"['stopbrexit', 'brexit', 'bollockstobrexit']"
918493403960233984,780840449963532160,positive,remain,2017-10-12T15:07:46.000Z,"MsAlliance smsdoc Will we get a thank you for saving their jobs.
Nope 🙃
#StopBrexit
#Brexit
#BollockstoBrexit… https://t.co/WbSkwzn2gN","['stopbrexit', 'brexit', 'bollockstobrexit']"
920267742514745344,780840449963532160,neutral,remain,2017-10-17T12:38:22.000Z,Ollie's opinion on #Brexit. Talks more sense than our government. #StopBrexit #bollockstobrexit https://t.co/WUnOckxX9B,"['stopbrexit', 'brexit', 'bollockstobrexit']"
920281704111239168,780840449963532160,neutral,other,2017-10-17T13:33:50.000Z,RT No10Vigil: Ollie's opinion on #Brexit. Talks more sense than our government. #StopBrexit #bollockstobrexit https://t.co/WUnOckxX9B,"['stopbrexit', 'brexit', 'bollockstobrexit']"
909827060578836480,837437714794442752,negative,remain,2017-09-18T17:10:49.000Z,@theresa_may 'Driving from [the] front towards #Brexit and a UK car crash #StopBrexit #bollockstobrexit https://t.co/Bc3GsijJ6Z,"['stopbrexit', 'brexit', 'bollockstobrexit']"
920280408998252544,780840449963532160,neutral,other,2017-10-17T13:28:42.000Z,RT No10Vigil: Ollie's opinion on #Brexit. Talks more sense than our government. #StopBrexit #bollockstobrexit https://t.co/WUnOckxX9B,"['stopbrexit', 'brexit', 'bollockstobrexit']"
920269219220152320,772510488018219008,positive,remain,2017-10-17T12:44:14.000Z,"Another great tune here from Rage Against The #Brexit Machine - turn it up, this one's a rocker! 🎸🎤🥁🎶 #StopBrexit #BollocksToBrexit #Remain https://t.co/getrWbdEur","['stopbrexit', 'brexit', 'remain', 'bollockstobrexit']"
