t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
745829188800815104,105107218,positive,other,2016-06-23T04:01:50.000Z,40 days of #cable suggests #Bremain but Brexit our #1 choice. Moderates want out $tvix $tlt https://t.co/eCF4zJu7KK https://t.co/rIvVfVVOhv,"['1', 'bremain', 'cable']"
745603554921037824,79414316,positive,remain,2016-06-22T13:05:14.000Z,"John Oliver's epic 'Brexit' takedown is a thing of beauty #Bremain #1daytogo 
https://t.co/3jeXQMwsEC","['1daytogo', 'bremain']"
746124010048655360,395593188,neutral,remain,2016-06-23T23:33:20.000Z,Status etter 5 av 382: 50.5% for Brexit. Lenge igjen! #Bremain #2nyhetene,"['2nyhetene', 'bremain']"
728480899050799104,2748517662,negative,remain,2016-05-06T07:05:55.000Z,"#Abe Wants UK to Remain, #Fed Awaits on #Brexit Outcome
https://t.co/YM3CKvpqqc

#Bremain #SentifiInsights https://t.co/EggJdhuPTE","['abe', 'sentifiinsights', 'brexit', 'fed', 'bremain']"
712364726546767872,609433499,positive,leave,2016-03-22T19:46:00.000Z,Absolutely excellent day! Thankyou #RogerMartin-Fagg #BehavioralEconomist from @AcademyCEO #ACE23NE #CommonSense #Brexit #Bremain,"['ace23ne', 'commonsense', 'brexit', 'behavioraleconomist', 'rogermartin-fagg', 'bremain']"
745643111855038464,191949720,neutral,remain,2016-06-22T15:42:25.000Z,Referendum banner flying over Euston-no one in office can work out what it's says #advertisingfail #brexit #bremain https://t.co/CgMUxNnWWZ,"['advertisingfail', 'bremain', 'brexit']"
713272920915779584,19109969,negative,other,2016-03-25T07:54:50.000Z,2/n and @MaajidNawaz having linked the Islamic terror threat to the #Brexit / #Bremain debate in his piece for #afneil on BBC This Week ...,"['afneil', 'brexit', 'bremain']"
719896115965898752,475987826,negative,remain,2016-04-12T14:33:03.000Z,"#Brexit would leave UK farmers up to €34,000 worse off https://t.co/wxzu3B2poP #Bremain #Europe #EU #agriculture #farming  #food #crops","['agriculture', 'food', 'eu', 'crops', 'brexit', 'farming', 'europe', 'bremain']"
699160235030740992,1888629146,neutral,leave,2016-02-15T09:16:04.000Z,"#Brexit would end the era of cheap flights, claims #airline bosses https://t.co/UPOTAZgOBe #bremain #strongerin #voteleave","['airline', 'brexit', 'voteleave', 'strongerin', 'bremain']"
745160737421557760,138555198,neutral,remain,2016-06-21T07:45:38.000Z,Hull v Hull @MichelleDewbs and #AlanJohnson @skynews  IN OR OUT #brexit #bremain Are you in or out Michelle?  Most of #holderness out 😆,"['alanjohnson', 'holderness', 'bremain', 'brexit']"
745965871881924608,39955659,neutral,remain,2016-06-23T13:04:57.000Z,#EUref: @vincentmoss weighs up the arguments for #writers on #brexit or #bremain https://t.co/DWlMvGRLUA #alcsnews https://t.co/GBzWIaWthB,"['alcsnews', 'writers', 'euref', 'bremain', 'brexit']"
744972870829248512,2396054492,positive,leave,2016-06-20T19:19:07.000Z,Whatever you vote there's a great weekend of French events planned 8-10 July #brexit #bremain #festival #Altrincham https://t.co/SPaB1cTbd7,"['altrincham', 'festival', 'bremain', 'brexit']"
745703038468395008,1612686216,neutral,remain,2016-06-22T19:40:33.000Z,# Brexit  #Bremain #brexit #AMBrexitFAQ timetable https://t.co/IVJsX35tqZ,"['ambrexitfaq', 'bremain', 'brexit']"
