,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,566515,724952255473004544,445529384,positive,other,2016-04-26T13:24:21.000Z,"""These are good times to be an #Albanian"", Albanian PM Rama about #Brexit and #brexiters 
https://t.co/5FlQbP0ZAq","['albanian', 'brexiters', 'brexit']"
1,1,1,1720600,746207551155404800,111867114,positive,leave,2016-06-24T05:05:18.000Z,#Brexit Vivent les #anglais 🇬🇧 les #Brexiters ! #Leave #go #out you've got it! THANK YOU for this #IndependanceDay others will follow 🇫🇷🇫🇷🇫🇷,"['anglais', 'brexiters', 'go', 'leave', 'out', 'independanceday', 'brexit']"
2,2,2,233374,704285842823634944,51147107,negative,other,2016-02-29T12:43:24.000Z,Not only is 'Patriotism the last refuge of the scoundrel' but #Brexit-ers are wrapped in the wrong Union flag #BBCdp https://t.co/pZK7Q60cIY,"['bbcdp', 'brexiters']"
3,3,3,204074,702995920019972096,995764722,neutral,other,2016-02-25T23:17:43.000Z,"I wonder how many of the #Brexit-ers who bang on about the EU democratic deficit support an elected Lords, or a PR electoral system? #bbcqt","['bbcqt', 'brexiters']"
4,4,4,204000,702994435156668416,1173104323,negative,other,2016-02-25T23:11:49.000Z,"Don't be stupid, @trussliz - how can #Brexit-ers say what the alternative is, when ultimately it will be government who'll negotiate #bbcqt","['bbcqt', 'brexiters']"
5,5,5,1865185,746256971884601344,913045045,neutral,remain,2016-06-24T08:21:41.000Z,"Is #BlackFriday upon us? £120 Billion wiped off #ftse100 📉  

#EURefResults #EUref #Brexit #Brexiters  https://t.co/OJfLvzXVtC","['blackfriday', 'brexiters', 'ftse100', 'euref', 'brexit', 'eurefresults']"
6,6,6,695563,732316213259448320,31750838,negative,other,2016-05-16T21:06:05.000Z,Nothing Cohesive Just Hot Air &amp; Rhetoric No Case #Brexiters #Brexit #VoteLeave #Boris #BorisJohnson #BritainO https://t.co/OEcEthQRm8,"['boris', 'brexiters', 'borisjohnson', 'britaino', 'brexit', 'voteleave']"
7,7,7,632601,729950969782517760,18671601,neutral,remain,2016-05-10T08:27:27.000Z,"Hey #Brexit-ers. #Boris has another little message for you. I suggest you heed his advice.
#StrongerIn https://t.co/gFkZe09ldN","['boris', 'brexiters', 'strongerin']"
8,8,8,1163006,743178485670150144,955647524,negative,remain,2016-06-15T20:28:53.000Z,#Brexit #Brexiters #Gove #Boris riding high &amp; fast on the back of their #Xenophobia beast. #VoteLeave irresponsible https://t.co/v84gLoDGbQ,"['boris', 'gove', 'brexiters', 'xenophobia', 'brexit', 'voteleave']"
9,9,9,820707,736903375233687552,18671601,negative,remain,2016-05-29T12:53:50.000Z,"If #Brexit-ers had a collective brain they'd see a terrifying prospect. Govt, led by #Boris, managing a war. Whither the economy eh?
#Remain","['boris', 'remain', 'brexiters']"
10,10,10,1480206,745715534675709952,401574044,positive,remain,2016-06-22T20:30:12.000Z,#Bremain song: I'm A Believer by Robert Wyatt https://t.co/w6JX4hpQ5U I'll leave Wyatt's Yesterday Man for the #Brexit'ers :) #RemainRocks!,"['bremain', 'remainrocks', 'brexiters']"
11,11,11,2175582,746394152087199744,22913708,positive,remain,2016-06-24T17:26:47.000Z,"Look at who your friends are, #Brexiters: Far-right xenophobe Marine Le Pen rejoices at #Brexit https://t.co/BjK3y5PA6I via @POLITICOEurope","['brexit', 'brexiters']"
12,12,12,379988,712668983154110464,704325850217447424,neutral,other,2016-03-23T15:55:00.000Z,"But @Hugodixon with all the facts against #Brexit, how else can #brexiters make the case for out but to obfuscate? https://t.co/VM3dFE3cxH","['brexit', 'brexiters']"
13,13,13,1568648,746054723644624896,472273612,positive,other,2016-06-23T18:58:01.000Z,If #brexit wins then why not negotiate first then call article 50? Surely even rabid #Brexiters can see that?,"['brexit', 'brexiters']"
14,14,14,1399329,745312803301494784,354808097,positive,other,2016-06-21T17:49:54.000Z,"@SkyNews so funny that far right #Brexiters are claiming no one cares what @officialbarnesy thinks, yet they were claiming he was a #Brexit!","['brexit', 'brexiters']"
15,15,15,965314,740573552185905152,55182051,negative,remain,2016-06-08T15:57:48.000Z,#Brexiters please read this: far more chilling than anything Cameron has said. 'France’s plan for a bloody #Brexit' https://t.co/W7RmPDgxEy,"['brexit', 'brexiters']"
16,16,16,546379,723798978828054528,226701676,positive,other,2016-04-23T09:01:38.000Z,"Love this. Obama wins again! Now all that #Brexiters have is ""but.... we're racist!"" 

#brexit

https://t.co/svVfIM1vR1","['brexit', 'brexiters']"
17,17,17,1210593,743568440867303424,89585742,neutral,other,2016-06-16T22:18:25.000Z,"Waiting for Owen Jones to tell the public not to scapegoat all #Brexiters, and for Cameron to tell us that #Brexit is an ""opinion of peace"".","['brexit', 'brexiters']"
18,18,18,27691,691675688315817984,3114270604,positive,remain,2016-01-25T17:35:09.000Z,"#Brexiters tell you Business supports #Brexit, which isn't true, and in fact not even small businesses are in favour https://t.co/c2DfBTsqqx","['brexit', 'brexiters']"
19,19,19,1362717,745149904956252160,313775431,neutral,leave,2016-06-21T07:02:36.000Z,"@EavesCharity it is exactly what it is about for most #Brexiters , as deluded ad that my be. #brexit","['brexit', 'brexiters']"
20,20,20,479361,720284488593498112,4174131,positive,remain,2016-04-13T16:16:18.000Z,"For intransigent #Brexiters like me, I don't think it matters who 'leads'. If we do #Brexit, I am fairly sure a... https://t.co/P6QBKemQSl","['brexit', 'brexiters']"
21,21,21,1657604,746182291731382272,456133694,negative,remain,2016-06-24T03:24:56.000Z,"For all my fellow #Brexiters just waking up. 
We only bloody went and did it! 😂😂
#brexit #EUreferendum   
Let the proper negotiations begin","['brexit', 'brexiters', 'eureferendum']"
22,22,22,689554,732133159551303680,3989451862,positive,leave,2016-05-16T08:58:42.000Z,"How would #brexiters save money by #Brexit: cut workers rights, cut energy saving. Should be working together for better world #StrongerIn","['brexit', 'brexiters', 'strongerin']"
23,23,23,1342273,744965166262063104,16561745,negative,leave,2016-06-20T18:48:31.000Z,@BLM_panther I can't believe how many stupid people call #Brexiters racist for wanting to keep their country democratic. #Voteleave #brexit,"['brexit', 'brexiters', 'voteleave']"
24,24,24,480845,720375119508611072,20550442,positive,other,2016-04-13T22:16:27.000Z,"Why is it that #Remain'ers always regard #BrExit'ers as 'nasty' 'racist' or acting out of vested interest?
#BrExit is altruistic not selfish","['brexit', 'remainers', 'brexiters']"
25,25,25,1025919,741583054653816832,1160050196,neutral,remain,2016-06-11T10:49:12.000Z,"A British goodbye to the #EU is moving closer.

#Brexit #Brexiters #BrexitAndAdiEU https://t.co/lbJ2Vs07RO","['brexitandadieu', 'eu', 'brexiters', 'brexit']"
26,26,26,1237712,743898577194319872,2656691029,positive,other,2016-06-17T20:10:16.000Z,"Another interesting view on the #Brexit issue:
#tlot #BrexitDebate #Brexiters https://t.co/uftE6KQv9L","['brexitdebate', 'brexiters', 'brexit', 'tlot']"
27,27,27,1039377,741891712390434816,295603589,neutral,other,2016-06-12T07:15:42.000Z,"Brexit: EU not elected: We need to bring power back to 802 Lords selected on inheritance, religion or political donations. #Brexiters",['brexiters']
28,28,28,345415,710171587698417664,88097712,negative,remain,2016-03-16T18:31:15.000Z,I wish we lived in the EU that the #Brexit-ers seem to think we live in. :(,['brexiters']
29,29,29,1835078,746246822939631616,17569860,neutral,other,2016-06-24T07:41:21.000Z,"this is what #brexit-ers voted for

https://t.co/yaiBzx9pVI",['brexiters']
30,30,30,1115177,742788538983419904,191022981,positive,other,2016-06-14T18:39:22.000Z,This is to all @ukip'ers &amp; #brexit'ers out there. My polish colleague flies back to Poland for health care despite paying national insurabce,['brexiters']
31,31,31,1318300,744849925435863040,107562073,negative,other,2016-06-20T11:10:35.000Z,"UK Chancellor Demands #Brexit-ers ""Tone Down Rhetoric,"" Then Compares Them To Nazis | Zero Hedge https://t.co/Oc1hrqFT2S",['brexiters']
32,32,32,2127258,746366112615407616,274109852,negative,remain,2016-06-24T15:35:22.000Z,This is probably how most #Brexit-ers will realize they've made a terrible mistake https://t.co/KKU9DYmjE9,['brexiters']
33,33,33,1749859,746217728579538944,15598087,positive,leave,2016-06-24T05:45:45.000Z,I assume #Brexit-ers will be happy on Scarborough pier now that they can no longer afford to go to the USA or Europe.,['brexiters']
34,34,34,814261,736617253085585408,18671601,negative,remain,2016-05-28T17:56:53.000Z,Hey #Brexit-ers. Do you holiday in the EU? Course you do.What happens to your health arrangements after losing this? https://t.co/e7zAHiuuCl,['brexiters']
35,35,35,858002,738068881944633344,700721937215979520,negative,other,2016-06-01T18:05:08.000Z,"Unfortunately #Brexit-ers won't be affected by this, and they're too selfish to care about their fellow citizens.... https://t.co/ADBjDOnxBp",['brexiters']
36,36,36,2252728,746451290360786944,6130352,negative,other,2016-06-24T21:13:50.000Z,In case you #Brexit'ers haven't yet realised the repercussions for education either heres my University's Statement: https://t.co/DZurolpgla,['brexiters']
37,37,37,924128,739815396589588480,246359917,negative,remain,2016-06-06T13:45:10.000Z,"''t Is gebeurd. 
Polls (3) in de UK geven Leave camp beduidende voorsprong. 
En voorspelling: #brexit-ers zullen eerder opdagen.",['brexiters']
38,38,38,874838,738472792337854464,457065044,negative,remain,2016-06-02T20:50:08.000Z,".@EliotAndersen When #Brexit-ers say ""we will not be bullied"" they mean ""we refuse to face up to reality and will remain in la-la land""",['brexiters']
39,39,39,2148480,746377668229206016,47751627,neutral,remain,2016-06-24T16:21:17.000Z,For all those #Brexit-ers who are wondering what the EU did for you....just watch as they are removed from you over the next few years....,['brexiters']
40,40,40,440429,717721133118787584,15084702,neutral,remain,2016-04-06T14:30:27.000Z,"Plenty in this @Stephen_Curry piece on issues outwith science &amp; why leave vote won't fix the things #brexit-ers want
https://t.co/DHNB3QbIeV",['brexiters']
41,41,41,454543,718718173969850368,23430190,neutral,other,2016-04-09T08:32:20.000Z,"This just became personal, #Brexit-ers! https://t.co/CaIUCp9wZR",['brexiters']
42,42,42,484683,720631111479660544,17172028,negative,other,2016-04-14T15:13:40.000Z,Lloyds warn uncertainty linked to Brexit (or scaremonger according to #brexiters) https://t.co/loj6mNpYER,['brexiters']
