,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,0,2369569,746631210932252672,29004503,positive,remain,2016-06-25T09:08:47.000Z,"Thanks Paris, we're certainly gonna be needing it...  #Brexit #BrexitFail https://t.co/VOmypY8NW2","['brexit', 'brexitfail']"
1,1,1,1,1,1,1,2089806,746347813638909952,333933233,neutral,remain,2016-06-24T14:22:39.000Z,Seriously England???? Are you serious???? #brexitfail #Brexit,"['brexit', 'brexitfail']"
2,2,2,2,2,2,2,2094727,746350209903517696,339312014,negative,other,2016-06-24T14:32:11.000Z,"Such a sad atmosphere today in work and on the streets, I have never felt so worried about the future of our country. #Brexit #BrexitFail","['brexit', 'brexitfail']"
3,3,3,3,3,3,3,2328630,746577437996253184,796364317,negative,other,2016-06-25T05:35:06.000Z,"Any other time, an agreement entered into through fraud would be invalid.
*sigh*
#Brexit #BrexitFail","['brexit', 'brexitfail']"
4,4,4,4,4,4,4,2397807,746663619522244608,96659646,neutral,leave,2016-06-25T11:17:33.000Z,"Britain..... Burn! 😈
#brexitfail #Brexit https://t.co/BSDmJoI7ty","['brexit', 'brexitfail']"
5,5,5,5,5,5,5,410223,715234349185122304,3226343445,positive,other,2016-03-30T17:48:51.000Z,#Brexit #BrexitFail I love this https://t.co/aZhIOaAC6r,"['brexit', 'brexitfail']"
6,6,6,6,6,6,6,2255779,746454248049631232,4415737152,negative,leave,2016-06-24T21:25:35.000Z,way to overcomplicate and worsen an already shoddy economy britain #brexitfail #Brexit,"['brexit', 'brexitfail']"
7,7,7,7,7,7,7,2051684,746331156728188928,237718868,positive,leave,2016-06-24T13:16:28.000Z,Congratulations Britain you just played yourself 🔑 #Brexit #BrexitFail,"['brexit', 'brexitfail']"
8,8,8,8,8,8,8,2345421,746600499315679232,238899860,negative,other,2016-06-25T07:06:44.000Z,@BBCNews. More important than ever that bbc does not allow all #brexitfail to be blamed on the EU! #Brexit,"['brexit', 'brexitfail']"
9,9,9,9,9,9,9,2374327,746636778816290816,173843046,positive,leave,2016-06-25T09:30:54.000Z,"Some quality reading time! I dont even understand how this happened?!
#brexitfail #Brexit https://t.co/VQwTAz2LtC","['brexit', 'brexitfail']"
10,10,10,10,10,10,10,2294472,746508630963400704,2225595169,negative,remain,2016-06-25T01:01:41.000Z,So many people are demanding a 2nd referendum that the website crashed. Buyers remorse? #brexitfail #Brexit,"['brexit', 'brexitfail']"
11,11,11,11,11,11,11,2325834,746573066390671360,17984049,positive,remain,2016-06-25T05:17:44.000Z,"Ain't self-education a wonderful thing? Too bad the horse has bolted. 
#brexitfail #Brexit https://t.co/NCqyESmJND","['brexit', 'brexitfail']"
12,12,12,12,12,12,12,2367118,746628386047549440,7734362,neutral,remain,2016-06-25T08:57:33.000Z,Br-exit = Nazis-in #brexitfail #Brexit,"['brexit', 'brexitfail']"
13,13,13,13,13,13,13,2016827,746316357306769408,285097282,positive,remain,2016-06-24T12:17:40.000Z,"Look on the bright side, the US may have this as their president. #Brexit #BrexitFail https://t.co/OEupaBuOme","['brexit', 'brexitfail']"
14,14,14,14,14,14,14,2127368,746366172820537344,57578741,neutral,remain,2016-06-24T15:35:37.000Z,"#brexitfail Do pensioners hate ""immigrants"" more than they love their own grandchildren ??? #Brexit","['brexit', 'brexitfail']"
15,15,15,15,15,15,15,1827999,746244672989896704,608499694,positive,other,2016-06-24T07:32:49.000Z,This morning I feel the same way as an American might feel on the morning of 9th of Nov if Donald Trump wins election #Brexit #BrexitFail,"['brexit', 'brexitfail']"
16,16,16,16,16,16,16,2316174,746555982218616832,24777183,positive,leave,2016-06-25T04:09:51.000Z,"#brexitfail #Brexit

Thank you UK voters my country's currency has been hammered by your vote, 7% down at least","['brexit', 'brexitfail']"
17,17,17,17,17,17,17,2153582,746380657803177984,93310219,negative,remain,2016-06-24T16:33:10.000Z,"Where do Canadians want to go when they're pissed off? #Brexit #BrexitVote #BrexitFail #Canada #UK
https://t.co/x5ts6IREni","['brexit', 'brexitfail', 'canada', 'brexitvote', 'uk']"
18,18,18,18,18,18,18,2061083,746335222061535232,163476037,negative,remain,2016-06-24T13:32:37.000Z,Older Brits destroyed younger Brits future by voting out of fear pessimism and islamophobia. #youngsayno2brexit #brexitfail #brexit,"['brexit', 'brexitfail', 'youngsayno2brexit']"
19,19,19,19,19,19,19,2310598,746544295096778752,138496444,neutral,remain,2016-06-25T03:23:24.000Z,What if @FoxNews actually got into the #news game? #brexitfail #Brexit #FoxNews https://t.co/EyfD8dxQRx,"['brexit', 'news', 'brexitfail', 'foxnews']"
20,20,20,20,20,20,20,2204320,746412842866204672,744331177998360448,positive,other,2016-06-24T18:41:04.000Z,Oh boy... how to vote against your own interests! #Brexit  #BrexitVote #brexitfail #BrexitersYouDidThis https://t.co/8e7xwSNCkW,"['brexitersyoudidthis', 'brexitfail', 'brexit', 'brexitvote']"
21,21,21,21,21,21,21,2303963,746559584744128512,1928113369,positive,remain,2016-06-25T04:24:10.000Z,Brexit: Petition for 2nd referendum crashes House of Commons website https://t.co/3qMh1H2rUY Tens of thousands want a do-over #brexitfail,['brexitfail']
22,22,22,22,22,22,22,2386029,746679825004380160,305155499,positive,other,2016-06-25T12:21:57.000Z,This is the most reassuring thing that I've hear post-BREXIT. #brexitfail  https://t.co/qU9JTbxYlb,['brexitfail']
23,23,23,23,23,23,23,2122513,746363562751332352,73197511,neutral,remain,2016-06-24T15:25:14.000Z,"RT @mattrooney: It's beginning already! We're in Greece, no cash exchange &amp; no cash machine withdrawals for Brits. Great #brexitfail https:…",['brexitfail']
24,24,24,24,24,24,24,1944387,746317507590492160,1729032450,neutral,remain,2016-06-24T12:22:14.000Z,"RT @mattrooney: It's beginning already! We're in Greece, no cash exchange &amp; no cash machine withdrawals for Brits. Great #brexitfail https:…",['brexitfail']
25,25,25,25,25,25,25,2072630,746370358522032128,192933163,positive,remain,2016-06-24T15:52:15.000Z,"3 Brexit promises campaigners had wriggled out of by 8am on EU results day
De kiezers zijn misleid! #BrexitFail
https://t.co/VbE5BnnfDz",['brexitfail']
26,26,26,26,26,26,26,1833733,746276613394923520,91105441,neutral,remain,2016-06-24T09:39:44.000Z,Damit ist zum Brexit alles gesagt: https://t.co/ZqeRoludZW #BrexitFail,['brexitfail']
27,27,27,27,27,27,27,2301029,746552829955948544,179801406,positive,other,2016-06-25T03:57:19.000Z,"Gold retreats from 2-year high, as markets react to Brexit victory https://t.co/4bb3oYms02 #brexitfail",['brexitfail']
28,28,28,28,28,28,28,2177277,746425371579420672,2241476042,positive,other,2016-06-24T19:30:51.000Z,Brexit was motivated more by far right nationalism (i.e. one step from fascism) than it was by actual logic smh #brexitfail,['brexitfail']
29,29,29,29,29,29,29,1932663,746282660570497024,492646931,positive,other,2016-06-24T10:03:46.000Z,"RT @mattrooney: It's beginning already! We're in Greece, no cash exchange &amp; no cash machine withdrawals for Brits. Great #brexitfail https:…",['brexitfail']
30,30,30,30,30,30,30,1814765,746271369348943872,53912756,neutral,remain,2016-06-24T09:18:54.000Z,"RT @mattrooney: It's beginning already! We're in Greece, no cash exchange &amp; no cash machine withdrawals for Brits. Great #brexitfail https:…",['brexitfail']
31,31,31,31,31,31,31,1982258,746332740761559040,82861206,neutral,remain,2016-06-24T13:22:46.000Z,"Was anything about Brexit NOT flawed?

#brexitfail  https://t.co/JpAuLQxSIw",['brexitfail']
32,32,32,32,32,32,32,2043320,746327347465457664,447457538,positive,other,2016-06-24T13:01:20.000Z,"RT @mattrooney: It's beginning already! We're in Greece, no cash exchange &amp; no cash machine withdrawals for Brits. Great #brexitfail https:…",['brexitfail']
33,33,33,33,33,33,33,701800,732552435609292800,49408574,positive,leave,2016-05-17T12:44:45.000Z,"Exhibit A why EU free movement nothing to do with immigration. How many of these are Poles,Bulgarians? #Brexit-#fail https://t.co/n9CVeMe79i",['brexitfail']
34,34,34,34,34,34,34,2231366,746462841369149440,82057202,neutral,remain,2016-06-24T21:59:44.000Z,"British Voters Rush to Google ""What Is the EU?"" After Brexit Polls Close https://t.co/fBGM7AzacI #brexitfail",['brexitfail']
35,35,35,35,35,35,35,1962243,746324579400949760,37194117,negative,other,2016-06-24T12:50:20.000Z,"RT @mattrooney: It's beginning already! We're in Greece, no cash exchange &amp; no cash machine withdrawals for Brits. Great #brexitfail https:…",['brexitfail']
36,36,36,36,36,36,36,2036579,746354560956915712,21631041,neutral,other,2016-06-24T14:49:28.000Z,"Brexit protestor tries to burn the EU flag, but can't because of EU regulation on flammable materials https://t.co/LQ1UxVjbNy #BrexitFail",['brexitfail']
37,37,37,37,37,37,37,2415898,746716222549524480,1928113369,positive,remain,2016-06-25T14:46:35.000Z,3 Brexit promises campaigners had wriggled out of by 8am on EU results day https://t.co/qRhVKUwipt #brexitfail,['brexitfail']
38,38,38,38,38,38,38,132951,701383041197940736,111013369,positive,other,2016-02-21T12:28:42.000Z,"(3) Some Brexit MPs saying leaving = stop EU migration. Others saying we shd have ""generous"" levels of migration. A shambles #BrexitFail",['brexitfail']
39,39,39,39,39,39,39,1806466,746268549648363520,168254666,positive,other,2016-06-24T09:07:41.000Z,RT @mattrooney: @markdennison @BBCNottingham we're in Greece - no cash exchange or cash machine withdrawals for Brits. #brexitfail https://…,['brexitfail']
40,40,40,40,40,40,40,2388065,746651733401673728,746613084719026048,neutral,remain,2016-06-25T10:30:20.000Z,"Anyone got an after photo 
#brexit #Bregret #brexitfail https://t.co/MroY4OYbQD","['brexitfail', 'bregret', 'brexit']"
41,41,41,41,41,41,41,2437648,746714943442001920,304411259,positive,other,2016-06-25T14:41:30.000Z,"If EU doesn't work, why not bring it down in än controlled manor, never liked quitters #Brexit #brexitfail","['brexitfail', 'brexit']"
42,42,42,42,42,42,42,2251066,746449765672488960,746238803862392832,neutral,remain,2016-06-24T21:07:47.000Z,Thanks to the overwhelming xenophobic population in the UK. Everyone suffers #Brexit #brexitfail,"['brexitfail', 'brexit']"
43,43,43,43,43,43,43,2153828,746380802443907072,39642779,positive,other,2016-06-24T16:33:45.000Z,"Here's to hoping that British sex advice columnists will now refer to the pull-out method as ""the Brexit."" #Brexit #brexitfail","['brexitfail', 'brexit']"
44,44,44,44,44,44,44,1929906,746281637495848960,44182107,positive,other,2016-06-24T09:59:42.000Z,"If any of my North American friends fancy a vacation, this is a great opportunity to visit Scotland! #Brexit #brexitfail","['brexitfail', 'brexit']"
45,45,45,45,45,45,45,2070988,746339484946489344,52809735,negative,remain,2016-06-24T13:49:34.000Z,"I blame British millennials, you dumb fuckers should have go out and vote you sons of a motherless goat!!! #Brexit #brexitfail","['brexitfail', 'brexit']"
46,46,46,46,46,46,46,2115149,746359919931068416,68796392,negative,remain,2016-06-24T15:10:46.000Z,I get the sense David Cameron resigned before he could be lynched. #Brexit #brexitfail,"['brexitfail', 'brexit']"
47,47,47,47,47,47,47,2078995,746342970358628352,475925622,positive,leave,2016-06-24T14:03:25.000Z,"PRIDE, EXCESSIVE PRIDE, EGO, BLOATED-EGOS, AND NARCISSISTIC TENDENCIES...Have never won a ""fight"" anywhere in this World
#Brexit #brexitfail","['brexitfail', 'brexit']"
48,48,48,48,48,48,48,2410092,746678674720755712,571141141,negative,other,2016-06-25T12:17:23.000Z,#Brexit promised working class and poor that immigration would be controlled and now they are admitting that it was just a lie. #brexitfail,"['brexitfail', 'brexit']"
49,49,49,49,49,49,49,2379317,746642488987910144,16515730,positive,leave,2016-06-25T09:53:35.000Z,Last night I dreamt I was living in any other country except Britain. I was happy #Brexit #Brexitfail,"['brexitfail', 'brexit']"
50,50,50,50,50,50,50,2358225,746616930749059072,1832232194,negative,remain,2016-06-25T08:12:02.000Z,"Sorry, but I think I'm still gonna be posting and re-tweeting #Brexit stuff today. It all still feels very raw and unreal #brexitfail","['brexitfail', 'brexit']"
51,51,51,51,51,51,51,2383052,746646409118613504,46355758,negative,remain,2016-06-25T10:09:10.000Z,"Little too late now, eh? decision made purely based on ignorance. Way to go! #Brexitfail #Brexit https://t.co/nbwFYJvZ7e","['brexitfail', 'brexit']"
52,52,52,52,52,52,52,2298902,746518097985740800,632268490,negative,other,2016-06-25T01:39:18.000Z,World markets lost $2 trillion today. #Brexit #brexitfail https://t.co/N9jv2n8oAd,"['brexitfail', 'brexit']"
53,53,53,53,53,53,53,2279607,746482665272926208,2934009661,neutral,remain,2016-06-24T23:18:31.000Z,"Remember, Sarah Palin thought Queen Elizabeth ran the British govt. #Brexit #Brexitfail https://t.co/vAZTciT5jL","['brexitfail', 'brexit']"
54,54,54,54,54,54,54,2151798,746379640659288064,2269915735,neutral,other,2016-06-24T16:29:08.000Z,"""Shot in the FTSE"" - Spot on @Hedgeye! #Brexit #brexitfail https://t.co/j6Ndii8jfJ","['brexitfail', 'brexit']"
55,55,55,55,55,55,55,2434197,746710015210291200,3882837921,neutral,remain,2016-06-25T14:21:55.000Z,"There's a huge storm outside, I can hear it through my headphones. I guess this is what happens when we leave the EU. #Brexit #brexitfail","['brexitfail', 'brexit']"
56,56,56,56,56,56,56,2170142,746390717019340800,3700638255,negative,remain,2016-06-24T17:13:08.000Z,Imma just leave this here #Brexit #Brexitfail https://t.co/Ge2sXt3nld,"['brexitfail', 'brexit']"
57,57,57,57,57,57,57,2095407,746350542042050560,2932279179,positive,remain,2016-06-24T14:33:30.000Z,"So ignorance and xenophobia have won. Common sense has been binned. Way to go, UK, way to go! #Brexit #brexitfail","['brexitfail', 'brexit']"
58,58,58,58,58,58,58,2172621,746392151408390144,21103642,negative,remain,2016-06-24T17:18:50.000Z,What a shock to the world &amp; how interconnected we are despite those in denial of that fact #Brexit #Brexitfail,"['brexitfail', 'brexit']"
59,59,59,59,59,59,59,2358902,746617760977948672,714498952121425920,positive,other,2016-06-25T08:15:20.000Z,I hope british ppl made the right decision because this isn't really promising... #Brexit #brexitfail https://t.co/nBBtPWZFhe,"['brexitfail', 'brexit']"
60,60,60,60,60,60,60,2325111,746571893864443904,356791197,negative,remain,2016-06-25T05:13:04.000Z,"Brits - Is it too late now to say sorry?
World - OH HELL YES! SHOULD'VE GOOGLED EU SOONER!! #Brexit #brexitfail https://t.co/OcXt2xVaTU","['brexitfail', 'brexit']"
61,61,61,61,61,61,61,2112827,746358845849559040,139101994,neutral,leave,2016-06-24T15:06:30.000Z,❤Britain💔💔 #brexitfail #brexit 🙏,"['brexitfail', 'brexit']"
62,62,62,62,62,62,62,2165329,746387737301880832,3750684701,negative,remain,2016-06-24T17:01:18.000Z,Idiots everywhere :/  #brexitfail #brexit https://t.co/2fpbBd3Nnv,"['brexitfail', 'brexit']"
63,63,63,63,63,63,63,2441231,746720340664061952,19624963,negative,other,2016-06-25T15:02:57.000Z,Just don't say you weren't warned #brexit #brexitfail https://t.co/2HyigO2U92,"['brexitfail', 'brexit']"
64,64,64,64,64,64,64,2331595,746581854527045632,732253499598180352,positive,other,2016-06-25T05:52:39.000Z,Agreee perfectly 😏 #brexit #brexitfail  https://t.co/0uqmeUK47l,"['brexitfail', 'brexit']"
65,65,65,65,65,65,65,1985727,746303851083489280,5445912,neutral,remain,2016-06-24T11:27:58.000Z,The UK has turned into GOB from 'Arrested Development' #Brexit #brexitfail https://t.co/gISnwbeDrY,"['brexitfail', 'brexit']"
66,66,66,66,66,66,66,2417566,746688206326870016,264197072,neutral,other,2016-06-25T12:55:15.000Z,Hey everyone lets get this over 9000 (million) https://t.co/a2eDYdTfnY #brexit #brexitfail,"['brexitfail', 'brexit']"
67,67,67,67,67,67,67,2079796,746343320943792128,442023201,neutral,remain,2016-06-24T14:04:48.000Z,I feel for all my family and friends in the UK #Brexit #brexitfail https://t.co/K0JZN1EHTB,"['brexitfail', 'brexit']"
68,68,68,68,68,68,68,1955194,746291519649353728,4483534995,negative,remain,2016-06-24T10:38:58.000Z,The panic and phobia against immigrants had terrible consequences for the economy!!!! #Brexit #brexitfail https://t.co/3Af9IQIZAu,"['brexitfail', 'brexit']"
