t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
737998706348150784,27697345,negative,other,2016-06-01T13:26:17.000Z,"Councils accused of sending EU voting slips to Germans and Poles https://t.co/MfROh4jOsh
#BrexitFraud #Brexit","['brexit', 'brexitfraud']"
747416133490335744,121192240,neutral,remain,2016-06-27T13:07:47.000Z,So basically these #BREXIT politicians pulled a #MilliVanilli on the OLDER #UK voters...minus the refunds for the CDs &amp; Albums. #BrexitFraud,"['brexitfraud', 'millivanilli', 'uk', 'brexit']"
747918777640157184,241692748,negative,other,2016-06-28T22:25:06.000Z,Dominic Cummings (#brexit campaign manager) questioned by Andrew Tyrie in April. #brexitfraud #ProjectBetrayal https://t.co/vNhh2CiTlV,"['projectbetrayal', 'brexitfraud']"
801896807848669184,3158309251,negative,remain,2016-11-24T21:14:32.000Z,@DavidLammy No #brexit without the promised £350m/week. gross betrayal otherwise. #AutumnStatement #brexitfraud,"['autumnstatement', 'brexitfraud', 'brexit']"
801571561690058752,2590510030,negative,remain,2016-11-23T23:42:07.000Z,"#Newsnight The point is. JR Mogg, Farage, Tories still be rich after brexit. Misguided poor leavers wont. #Brexit=Fraud. Shameful #indyref2","['indyref2', 'brexitfraud', 'newsnight']"
868925818726121472,130932555,negative,remain,2017-05-28T20:23:53.000Z,filthy disgraceful lies by the brexit mob #brexitfraud https://t.co/MTsZoigp6d,['brexitfraud']
856507318195937280,296145792,negative,remain,2017-04-24T13:57:12.000Z,@BrexitBin you might want to consider the consequences of promoting a flawed vote @UKLabour #brexit #brexitfraud,"['brexitfraud', 'brexit']"
859818462008496128,1596536868,positive,other,2017-05-03T17:14:30.000Z,The #brexit campaign. Funded by billionaires to help billionaires. Who do you think leaving the EU would *really* benefit? #brexitfraud,"['brexitfraud', 'brexit']"
864138154030370816,724367071375687680,positive,other,2017-05-15T15:19:25.000Z,I've been following this story for weeks. It stinks. Great journalism from @carolecadwalla. #brexit #BrexitFraud #brexitshambles https://t.co/f8EAdJmvZQ,"['brexitfraud', 'brexitshambles', 'brexit']"
864525860946227200,424307445,positive,remain,2017-05-16T17:00:02.000Z,"UK #brexit  boost as ECJ rules trade deals do not require extra ratification #brexitshambles #BrexitFraud 

https://t.co/Yjnqpd8JQ6","['brexitfraud', 'brexitshambles', 'brexit']"
841946163691548672,2262132349,negative,other,2017-03-15T09:36:22.000Z,So this is reason to speed up #brexit. @bbclaurak have you watched this? #toryelectionfraud #brexitfraud #undemocratic @theresa_may #guilty https://t.co/jKVAn5P6Xe,"['brexitfraud', 'undemocratic', 'guilty', 'brexit', 'toryelectionfraud']"
865293224537206784,499974974,positive,other,2017-05-18T19:49:15.000Z,#BrexitFraud The great #British Brexit robbery: how our democracy was hijacked https://t.co/EwYs0zaFUZ,"['british', 'brexitfraud']"
934026366416314368,14843373,neutral,remain,2017-11-24T11:50:13.000Z,#jeremycorbyn @jeremycorbyn #beTHEoppositionleader oppose #brexit #brexitFraud https://t.co/MY1rnybsb0,"['betheoppositionleader', 'jeremycorbyn', 'brexitfraud', 'brexit']"
940385540268068864,14843373,neutral,remain,2017-12-12T00:59:18.000Z,#brexit #brexitCatasthrophe for the #nextUKgeneration #brexitFraud #putin https://t.co/qnK3SXVfE8,"['brexitcatasthrophe', 'nextukgeneration', 'putin', 'brexit', 'brexitfraud']"
929727134670753792,841397218120748928,positive,leave,2017-11-12T15:06:37.000Z,"@darrengrimes_ Can you please provide yours and @beleaveuk 's privacy policy, as it stood 10 days before the Brexit vote, or confirm that you did not process any personal information. #Brexitfraud",['brexitfraud']
936812578646384640,841397218120748928,negative,other,2017-12-02T04:21:38.000Z,@Robin_HC1 @godfreydavey @ChukaUmunna Didn't you hear? We're not leaving as Brexit has no mandate. The referendum was rigged by tax-dodging billionaires #brexitfraud,['brexitfraud']
894258519033212928,2759892436,neutral,remain,2017-08-06T18:07:00.000Z,"This is what ""£350m/week brexit saving"" gets NHS patient for dinner. Jacket Potato - with butter! #brexitfraud https://t.co/wqAIGXxV6T",['brexitfraud']
879963503460835328,36895457,positive,other,2017-06-28T07:23:42.000Z,The great British Brexit robbery: how our democracy was hijacked. This article needs reading - again #brexitfraud  https://t.co/PpIdHhoH96,['brexitfraud']
932947229685485568,841397218120748928,neutral,remain,2017-11-21T12:22:07.000Z,@isaby @BrexitCentral @DavidJonesMP Didn't you hear? Brexit's not happening.  The referendum was fixed by tax-dodging billionaires https://t.co/uXpG6mSyaH #brexitfraud,['brexitfraud']
936755045512687616,1095136646,negative,other,2017-12-02T00:33:01.000Z,"Who follows from the Brexit campaign?Charges both sides of Atlantic? Perhaps N Faragaski will claim Diplomatic immunity in EU Parliament! #BREXIT #BREXITFRAUD

Bob Spink found guilty of election fraud - https://t.co/bMqdE7Pbug","['brexitfraud', 'brexit']"
930766044234428416,930764174573080320,positive,other,2017-11-15T11:54:52.000Z,@mmarsh2004 @Becca_March @BruceTADickson @ScottTweeets Becca certainly looks like a Putin bot. #brexit #BrexitRussia #BrexitFraud,"['brexitfraud', 'brexitrussia', 'brexit']"
934488329025982464,753505894277718016,positive,other,2017-11-25T18:25:54.000Z,"NHS left with £70bn 'Boris-shaped black hole' after Brexit promise, campaigners say https://t.co/3p8I5UbzoJ

#brexitshambles #brexitfraud","['brexitfraud', 'brexitshambles']"
932703415779635200,907526503570837632,positive,leave,2017-11-20T20:13:17.000Z,Thank you Electoral Commission! #brexit #russia #brexitfraud https://t.co/PTBmdYLCNW,"['brexitfraud', 'russia', 'brexit']"
933847418399059968,14843373,positive,remain,2017-11-23T23:59:09.000Z,#brexitFraud #brexitLies #putin #russian interference @jeremycorbyn voting with the #tories for #brexit supporting the Conservative party on #Brexit #JeremyCorbyn #TheWrongLabourLeader https://t.co/XTg49WbXvS,"['brexitlies', 'thewronglabourleader', 'tories', 'jeremycorbyn', 'brexit', 'putin', 'russian', 'brexit', 'brexitfraud']"
942019463238610944,14843373,neutral,other,2017-12-16T13:11:56.000Z,"#brexit #brexitFraud  #brexitFascism #putin  "" Jacob Rees-Mogg's meeting with Steve Bannon is proof that the ideals of fascism are being normalised in Britain "" #JacobReesMogg #SteveBannon https://t.co/IJItFvyGJi","['jacobreesmogg', 'stevebannon', 'brexitfascism', 'putin', 'brexit', 'brexitfraud']"
938400567986180096,14843373,negative,other,2017-12-06T13:31:44.000Z,#brexit #brexitFraud #resign #NewBrexitReferendum #toriesOut where is #theOpisition ?@jeremycorbyn #theWrongLeader https://t.co/90jsZGnDZT,"['theopisition', 'newbrexitreferendum', 'thewrongleader', 'resign', 'brexit', 'toriesout', 'brexitfraud']"
976219870223327232,2601559130,positive,remain,2018-03-20T22:12:09.000Z,"@SLATUKIP Interestingly, that says #Trump DIDN'T win the election for @POTUS. So he's been manipulated like every other #American.
So what else did #CambridgeAnalytica f*ck up for the world? #brexit for example? Was #EURef in truth just #BrexitFraud on a massive scale?","['american', 'trump', 'euref', 'brexitfraud', 'brexit', 'cambridgeanalytica']"
980752324141420544,14843373,negative,remain,2018-04-02T10:22:30.000Z,"#stopBrexit @jeremycorbyn please stop this Tory fraudulent #Brexit electoral crime. BE A REAL opposition leader, check/study the evidence #thecambridgeanalyticafiles from the @guardian ‘s extraordinary investigative work. #brexitFraud #toriesForSale   #bbcBREXITfraudSilence https://t.co/BXVmvC5C4B","['bbcbrexitfraudsilence', 'stopbrexit', 'thecambridgeanalyticafiles', 'brexit', 'brexitfraud', 'toriesforsale']"
985125338664464384,353709352,negative,remain,2018-04-14T11:59:18.000Z,@brexit_politics No Chance. It is my Patriotic duty to oppose the shameless #brexitfraud with a #finalsay vote. I will fight for what is #bestforbritain every day.,"['bestforbritain', 'finalsay', 'brexitfraud']"
978710239972331520,634471958,neutral,other,2018-03-27T19:07:59.000Z,Brexit in a nutshell #bolloxtobrexit #BrexitFraud https://t.co/LNz249qdae,"['bolloxtobrexit', 'brexitfraud']"
985090372555739136,953706667870424960,negative,other,2018-04-14T09:40:21.000Z,"Anyone concerned by the inevitable negative impact #Brexit will have check out this petition https://t.co/3dVpTTBatM

#BrexitFraud #BrexitBritain","['brexit', 'brexitbritain', 'brexitfraud']"
988052876458102784,863377035661647872,negative,other,2018-04-22T13:52:17.000Z,"ICYMI - Arron Banks, the insurers and my strange data trail /#EU #Brexit #BrexitFraud https://t.co/6PwjsGhgvN","['brexit', 'brexitfraud']"
972643982407819264,14843373,neutral,other,2018-03-11T01:22:50.000Z,#Brexit #BrexitFraud  ... two OUT of Three telegraph readers believe ... https://t.co/rGYjYktFNF,"['brexit', 'brexitfraud']"
979025315098963968,1613614777,neutral,other,2018-03-28T15:59:59.000Z,This probably deserves just a little bit of investigation. And probably a 'stay of execution' until it is resolved: https://t.co/TAMoQ0NBeS #BrexitFraud #Brexit,"['brexit', 'brexitfraud']"
978933250319056896,969593202360684544,positive,leave,2018-03-28T09:54:09.000Z,Please take the time to feedback to the BBC. I have as believe they play a crucial part in our democracy and I want to see it improve. #Brexit #BrexitFraud https://t.co/EScQpItGE6,"['brexit', 'brexitfraud']"
976522535545311232,709443078432681984,neutral,other,2018-03-21T18:14:50.000Z,So #Brexit wasn’t even the will of the people. It was bought. #brexitFraud,"['brexit', 'brexitfraud']"
979116985664593920,21660420,positive,leave,2018-03-28T22:04:15.000Z,"@IrishTimesWorld @IrishTimes And on other planets, they all realised the space time continuum done got buggered up on the Island of Great Britain. I exclude N.Ireland for everyone's sanity. #Brexit #BrexitFraud","['brexit', 'brexitfraud']"
986301975150186496,436890714,neutral,other,2018-04-17T17:54:50.000Z,So the owners now also own Peugeot but #brexit must have a part to play in decisions over the future of the manufacturing plant ... #Brexit #BrexitFraud #Brexitshambles https://t.co/MtpKrLp8MU,"['brexit', 'brexitfraud', 'brexitshambles', 'brexit']"
961364454347853824,230124919,negative,remain,2018-02-07T22:22:01.000Z,The Tory government plan is to return the UK to a more rundown version of Liverpool in the 80’s before it was transformed by massive EU investment. When #Brexit starts kicking hard - the govt can blame the voters  #brexitausterity #brexitfraud #brexitshambles,"['brexit', 'brexitfraud', 'brexitshambles', 'brexitausterity']"
976365161010335744,2601559130,negative,remain,2018-03-21T07:49:29.000Z,"More #Brexit Broadcasting Corporation.
@BBCNews increasingly a #Propaganda machine for #BrexitFraud https://t.co/84m5E0Md0n","['brexit', 'brexitfraud', 'propaganda']"
988062899691192320,141144412,positive,remain,2018-04-22T14:32:07.000Z,"@bobpitt4 @Howard_Goodall @NadineDorries Thousands of us care, millions of us WILL vote against #Brexit, if #Brexiteers would have the courage to give us a #FinalSay. Then you'll see who cares!

#PeoplesVote #BrexitFraud #StopBrexit #ABTV #WATON #FBPE #follow5001","['brexit', 'fbpe', 'brexiteers', 'follow5001', 'finalsay', 'waton', 'brexitfraud', 'peoplesvote', 'stopbrexit', 'abtv']"
987343294744158208,141144412,neutral,remain,2018-04-20T14:52:40.000Z,"@DerbyChrisW @Albatrosschris @PeoplesMomentum Not UNLESS @jeremycorbyn and @UKLabour #StopBrexit. I will NEVER vote for ANY party that does not actively oppose #Brexit, EVER AGAIN

#PeoplesVote #BrexitFraud #StopBrexit #ABTV #WATON #FBPE #follow5001","['brexit', 'fbpe', 'stopbrexit', 'follow5001', 'waton', 'brexitfraud', 'peoplesvote', 'stopbrexit', 'abtv']"
977656470123659264,14842996,neutral,leave,2018-03-24T21:20:41.000Z,"@carolecadwalla Just a reminder that this is in addition to the fact that #Russia  meddled in the #Brexit vote much as they did on the American elections. 

#BrexitIsPersonal
#brexitFraud
#Russia

 https://t.co/ovzYyZdw04","['brexit', 'russia', 'brexitispersonal', 'brexitfraud']"
985297396035973120,139045340,neutral,other,2018-04-14T23:22:59.000Z,'Was the Brexit poll compromised? We may need a public debate about that' https://t.co/FJSnAic7SA #BrexitFraud #CambridgeAnalyica #BrexitShambles #BrexitBetraysBritain #BrexitBroadcastingCorporation #marr #Peston,"['brexitbetraysbritain', 'brexitbroadcastingcorporation', 'peston', 'cambridgeanalyica', 'marr', 'brexitfraud', 'brexitshambles']"
989484318459297792,14843373,negative,other,2018-04-26T12:40:19.000Z,#brexit #brexitFraud #brexitCatartrope the extreme right of the  #theNastyToryParty is reducing #UK from Great Britain to a small racist noninclusive inward looking parochial littleEngland and destroying the Union. Where is the opposition party stopping this fraudulent Brexit ? https://t.co/UtkshWuz5Y,"['brexitcatartrope', 'brexitfraud', 'thenastytoryparty', 'brexit', 'uk']"
960670213875404800,14843373,negative,remain,2018-02-06T00:23:22.000Z,#madmadmad #Brexit #BrexitFraud #putin is #winning #BrexitCatastrophe #OldEtonians #tories #ExtremeRight corrupted by #putin #Russia destroying #UK &amp; US from #insideOUT #RESIST #wakeupAmerica  #WakeupUK #WakeupEurope https://t.co/SCqnhm6K8g,"['brexitcatastrophe', 'oldetonians', 'extremeright', 'insideout', 'wakeupamerica', 'tories', 'winning', 'brexit', 'brexitfraud', 'putin', 'wakeupuk', 'resist', 'russia', 'uk', 'madmadmad', 'wakeupeurope']"
981102774611046400,554999642,neutral,remain,2018-04-03T09:35:04.000Z,"I am assuming that should the UK end up leaving the EU that all members of the Brexit Club and their quiltings will immediately turn their attention and effort to the abolition of the House of Lords.
#BrexitFraud",['brexitfraud']
977834630517854208,250834483,negative,leave,2018-03-25T09:08:37.000Z,"The Brexit whistleblower: ‘Did Vote Leave use me? Was I naive'

Yes and yes…?? #BrexitFraud  https://t.co/He514mNc1N",['brexitfraud']
978762743460384768,812619192,negative,other,2018-03-27T22:36:37.000Z,"@sobraon1846 @torythinker The irony is that it should be the authorities seeking to get to the facts. But because any facts found could undermine the referendum result - they don’t want to look. 

A shocking state of affairs - sums up this right wing inspired brexit clusterf*ck in a nutshell #BrexitFraud",['brexitfraud']
977869201133142016,302237917,neutral,remain,2018-03-25T11:26:00.000Z,"@infamyreborn92 @Rachael_Swindon Brexit it by the elite, for the elite. #BrexitFraud",['brexitfraud']
