,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,0,2462275.0,779379174792433664,67397583,negative,other,2016-09-23T17:57:30.000Z,"100,000 clearing jobs at risk from #Brexit vote – stock exchange chief

#brexitisstupid https://t.co/1Entqc9ECU","['brexit', 'brexitisstupid']"
1,1,1,1,1,1,1,2500274.0,780761389354876928,67397583,neutral,other,2016-09-27T13:29:55.000Z,"#Brexitisstupid:

Government policy offers UK universities’ competitors a rosy future

#Brexit https://t.co/UOmJkOJrz3","['brexit', 'brexitisstupid']"
2,2,2,2,2,2,2,2530803.0,781596039614717952,67397583,positive,other,2016-09-29T20:46:31.000Z,#Brexitisstupid  - hopefully at some point many of those who voted for #Brexit will realise this…. https://t.co/g7ZI35tkgJ,"['brexit', 'brexitisstupid']"
3,3,3,3,3,3,3,2475108.0,780064306922659840,67397583,negative,remain,2016-09-25T15:19:58.000Z,"#Brexit fears may force 15% of staff at UK universities to leave, warns group

#brexitisstupid https://t.co/cxNQ0Vwj87","['brexit', 'brexitisstupid']"
4,4,4,4,4,4,4,2484291.0,780322165577150464,67397583,neutral,other,2016-09-26T08:24:36.000Z,"Majority of UK CEOs considering moving operations abroad post-#Brexit - survey

#Brexitisstupid
https://t.co/NBz7xUlD3L",['brexitisstupid']
5,5,5,5,5,5,5,508171.0,792399206958891008,67397583,positive,leave,2016-10-29T16:14:27.000Z,"Another #Brexit victory 
#Brexitisstupid https://t.co/KCx1ax0iPc","['brexit', 'brexitisstupid']"
6,6,6,6,6,6,6,968339.0,800058730385641472,67397583,positive,leave,2016-11-19T19:30:40.000Z,"Another great #Brexit victory!

#Brexitisstupid https://t.co/iUYrCr1pdM","['brexit', 'brexitisstupid']"
7,7,7,7,7,7,7,535474.0,793383700964765696,67397583,positive,leave,2016-11-01T09:26:29.000Z,"Another win for #Brexit 

How long before a majority realise that #Brexitisstupid ? https://t.co/0nXxrWOiUb","['brexit', 'brexitisstupid']"
8,8,8,8,8,8,8,104191.0,784016308086173696,67397583,positive,remain,2016-10-06T13:03:48.000Z,"#Brexit 'not good news for British science' warn new Nobel laureates | Science | The Guardian
#Brexitisstupid https://t.co/7TjNzxmLPe","['brexit', 'brexitisstupid']"
9,9,9,9,9,9,9,826227.0,796489127734681600,67397583,negative,other,2016-11-09T23:06:20.000Z,"#Trump means that #Brexit is even more stupid for the UK

#Brexitisstupid https://t.co/IuJZITGwGl","['brexit', 'trump', 'brexitisstupid']"
10,10,10,10,10,10,10,1185455.0,806165728789463040,86057616,negative,remain,2016-12-06T15:57:42.000Z,"Cuck me red white &amp; blue! Brexit is Stupid, just cucking stupid. #BrexitIsStupid",['brexitisstupid']
11,11,11,11,11,11,11,365504.0,789079436712898560,67397583,neutral,other,2016-10-20T12:22:52.000Z,"The public are already turning against #Brexit. When will Theresa May listen?

#brexitisstupid https://t.co/CTF3i4AoZx","['brexitisstupid', 'brexit']"
12,12,12,12,12,12,12,2028398.0,877487889021620224,847146786166915072,neutral,other,2017-06-21T11:26:30.000Z,"Maybe, just maybe the tide is turning against #Brexit 

#brexitisstupid #bbcnews @OpenBritain https://t.co/HNfaGcG6Ys","['bbcnews', 'brexit', 'brexitisstupid']"
13,13,13,13,13,13,13,1289054.0,855543725191299072,67397583,neutral,other,2017-04-21T22:08:13.000Z,"""Trump puts EU ahead of Britain in trade queue""
- that is the logical thing to do, EU is a much bigger market
#BrexitisStupid #Brexit https://t.co/kcByDJxYdT","['brexit', 'brexitisstupid']"
