t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
808614309236510720,601089226,neutral,remain,2016-12-13T10:07:29.000Z,"So #Brexit means lower wages, higher prices, the economy going backwards. #AntiBrexit #BrexitmeansStupid https://t.co/n2yOo0SfvF","['brexitmeansstupid', 'brexit', 'antibrexit']"
811142699415928832,601089226,negative,other,2016-12-20T09:34:24.000Z,#BrexitmeansStupid #BrexitmeansLessControloverCrime. How Brexit could be a boon for criminals https://t.co/sieg1URyNk via @markpack,"['brexitmeansstupid', 'brexitmeanslesscontrolovercrime']"
811218992971005952,601089226,negative,remain,2016-12-20T14:37:34.000Z,"#BrexitmeansStupid #BrexitmeansLosingDemocraticRights
May refuses to commit to MPs' vote on final Brexit deal
https://t.co/XfHQkU6zmR","['brexitmeansstupid', 'brexitmeanslosingdemocraticrights']"
816266920353787904,601089226,neutral,other,2017-01-03T12:56:13.000Z,"#BrexitmeansStupid #BrexitmeansNonsenseEconomics 
Claim Brexit could create 400,000 jobs 'entirely fictional', 
https://t.co/i8XCpmybw8","['brexitmeansstupid', 'brexitmeansnonsenseeconomics']"
814860583401099264,601089226,neutral,other,2016-12-30T15:47:57.000Z,#BrexitmeansStupid #BrexitmeansPoverty Brexit could slash jobs growth and incomes in Northern Ireland https://t.co/oJ8OdJdzmM,"['brexitmeansstupid', 'brexitmeanspoverty']"
820586053572685824,601089226,negative,other,2017-01-15T10:58:55.000Z,"#BrexitmeansStupid #BrexitmeansMoreQueuing
Passport queues could be longer after #Brexit airports warn 
https://t.co/32CV635miR","['brexitmeansstupid', 'brexit', 'brexitmeansmorequeuing']"
884480939514101760,601089226,negative,other,2017-07-10T18:34:23.000Z,Here's what #Brexit's all about. Not just #BrexitMeansStupid but #BrexitMeansBetrayingUK. Every one of us will suffer. https://t.co/lmtp4qGLD2,"[""brexit's"", 'brexitmeansbetrayinguk', 'brexitmeansstupid']"
928377187568414720,601089226,negative,other,2017-11-08T21:42:24.000Z,#Prexit @patel4witham learnt that lying worked when she rode on the #Brexit #LieBus. Not surprising she had trouble telling the truth about her #Israel ventures. #BrexitMeansStupid #BrexitMeansLies,"['liebus', 'brexitmeanslies', 'brexit', 'prexit', 'israel', 'brexitmeansstupid']"
1070228231490596864,269997972,negative,leave,2018-12-05T08:07:48.000Z,Theresa May talking about bringing the country together. This the idiot who choose to ignore and insult nearly half the Country who had voted not to leave the with ‘Brexit means Brexit’! #Brexitmeansstupid,['brexitmeansstupid']
1070228231490596864,269997972,negative,leave,2018-12-05T08:07:48.000Z,Theresa May talking about bringing the country together. This the idiot who choose to ignore and insult nearly half the Country who had voted not to leave the with ‘Brexit means Brexit’! #Brexitmeansstupid,['brexitmeansstupid']
1113395020764200960,27206066,positive,remain,2019-04-03T10:57:13.000Z,"""Britain is about to put up a big sign: GO AWAY.""
""The problem with holding out for a perfect Brexit plan is that you can’t fix stupid.""

#brexit_means_stupid
#brexit_means_GOAWAY

https://t.co/s0F3WZRguk","['brexitmeansstupid', 'brexit_means_goaway']"
