,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,800867,736090887520817152,18154797,neutral,other,2016-05-27T07:05:18.000Z,DON'T BE FOOLED BY THE SMOKE &amp; MIRRORS #BrexitNow #BritainGetOutWhileYouStillCan #brexit #Brexit  https://t.co/KsoOOLClaP,"['brexit', 'brexitnow', 'brexit', 'britaingetoutwhileyoustillcan']"
1,1,1,103869,700658652756062208,2294321154,negative,other,2016-02-19T12:30:15.000Z,"The EU fears #Brexit, but no club needs France as a member. Seriously. C'est un trou. Let them #Frexit https://t.co/oV0ee0fGot #BrexitNow","['brexit', 'brexitnow', 'frexit']"
2,2,2,1143532,743040106018263040,2294321154,negative,leave,2016-06-15T11:19:00.000Z,"@janimine After #Brexit, AfD will step up the pressure for a referendum in Germany. She's thinking about that. #BrexitNow #EUImplosionNow","['brexit', 'euimplosionnow', 'brexitnow']"
3,3,3,1707740,746202064057831424,1648923450,neutral,other,2016-06-24T04:43:30.000Z,The OZ gov't were betting on wrong horse ...congrats on #Brexit...now for other Euro countries... stuff the commisar https://t.co/5ht5RtZplH,['brexitnow']
4,4,4,1679962,746190771435540480,2959505489,positive,other,2016-06-24T03:58:38.000Z,#BREXIT...Now -If Nigel could just run UK &amp; get it on sound economic footing like it was his business-THAT WOULD BE GREAT,['brexitnow']
5,5,5,2373267,746635545892229120,2491580294,positive,other,2016-06-25T09:26:00.000Z,Enough with the #brexit..Now enter these amazing weekend locations downtown: https://t.co/g2T3K2vTPC!,['brexitnow']
6,6,6,921074,739748526859653120,1085762119,neutral,other,2016-06-06T09:19:27.000Z,@SkyNews @David_Cameron We are moving on from #Brexit...now it is NEXIT! @vote_leave @LeaveEUOfficial @LondonLeave https://t.co/Lt8WtzIdlp,['brexitnow']
7,7,7,2236602,746436821052231680,19091762,negative,remain,2016-06-24T20:16:20.000Z,"Interviewees say they regret or don't know why voted #brexit.Now Cornwall wants 2 be spared the consequence.Really?!
https://t.co/DWnuzZG5Nb",['brexitnow']
8,8,8,904424,739395294278889472,587203543,positive,other,2016-06-05T09:55:50.000Z,"Major, Blair, Mandy, Brown, Cooper, Balls, Dimon, Obama, Kinnock-Failures+ the best cheerleaders of Brexit we have! #BrexitNow @SJ_Powell",['brexitnow']
9,9,9,1478383,745708084509573120,16463397,neutral,other,2016-06-22T20:00:36.000Z,"Coming up today: the countdown to a possible #Brexit,Now Showing with @DrZakHepburn and we meet @mistermaker ! WATCH https://t.co/Zigc45pKhh",['brexitnow']
