t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
690450726955401216,34023219,negative,other,2016-01-22T08:27:35.000Z,The collapse of the EU is argued as one the reasons for #Brexit..stupidity on stilts #euref,"['euref', 'brexitstupidity']"
746832201170358272,217425970,negative,other,2016-06-25T22:27:26.000Z,#Brexit A lot of foreign players in the BPL will have 2 leave cause their work permits will be pieces of scrap paper now- #BREXITstupidity,"['brexit', 'brexitstupidity']"
784010928803221504,122957555,neutral,leave,2016-10-06T12:42:26.000Z,Britain is the new Reich #Brexit #BrexitStupidity,"['brexitstupidity', 'brexit']"
865504891027849216,390223945,neutral,other,2017-05-19T09:50:20.000Z,"@KatieLAdotcom I keep hoping too. But as I understand it, the option to stop #Brexit isn't even on offer so far. It's all hard or soft #BrexitStupidity.","['brexit', 'brexitstupidity']"
848868387015069696,203652187,negative,remain,2017-04-03T12:02:49.000Z,"@robertcp @Fat_Jacques @AOLdotUK Just an indicator of #Brexitstupidity, the papers can't help themselves, spreading pro Brexit rubbish.",['brexitstupidity']
937734759219908608,19529948,neutral,other,2017-12-04T17:26:03.000Z,World class tweet! Bravo! #BREXIT  #Brexitstupidity https://t.co/7reZcvGISW,"['brexitstupidity', 'brexit']"
984570997666926592,51147107,positive,other,2018-04-12T23:16:32.000Z,"@DanielJHannan @EmmaMcClarkin Free Movement to Australia. Sounds good... 

Hang on. Didn't the Australians invent the, you know, AUSTRALIAN Points System...?

#Brexit #Tories #Brextremists #BrexitStupidity
#Immigration #FreedomOfMovement","['brexitstupidity', 'tories', 'immigration', 'brextremists', 'freedomofmovement', 'brexit']"
1010430377859698688,310193262,negative,remain,2018-06-23T07:52:29.000Z,... 'Brexit is going to be great.....'  Finish the sentence please! #brexitignorance #brexitstupidity #brexitshambles https://t.co/uICTPR6rH0,"['brexitshambles', 'brexitignorance', 'brexitstupidity']"
1010430377859698688,310193262,negative,remain,2018-06-23T07:52:29.000Z,... 'Brexit is going to be great.....'  Finish the sentence please! #brexitignorance #brexitstupidity #brexitshambles https://t.co/uICTPR6rH0,"['brexitshambles', 'brexitignorance', 'brexitstupidity']"
1042304073616289792,48673404,negative,remain,2018-09-19T06:47:10.000Z,Worst Brexit analogy ever? This guy thinks that we shouldn’t plan for Brexit as apparently it’s only a possibility... #BrexitStupidity https://t.co/fzncWGGQio,['brexitstupidity']
1040264939632517120,310193262,negative,other,2018-09-13T15:44:23.000Z,"Sorry Gove, you can't fool everyone with your ineptitude! #brexitstupidity Defra's readiness for no-deal Brexit pilloried by Whitehall auditors https://t.co/3x6VHnQdGg",['brexitstupidity']
1042304073616289792,48673404,negative,remain,2018-09-19T06:47:10.000Z,Worst Brexit analogy ever? This guy thinks that we shouldn’t plan for Brexit as apparently it’s only a possibility... #BrexitStupidity https://t.co/fzncWGGQio,['brexitstupidity']
1040264939632517120,310193262,negative,other,2018-09-13T15:44:23.000Z,"Sorry Gove, you can't fool everyone with your ineptitude! #brexitstupidity Defra's readiness for no-deal Brexit pilloried by Whitehall auditors https://t.co/3x6VHnQdGg",['brexitstupidity']
1014490204063793152,310193262,neutral,other,2018-07-04T12:44:47.000Z,God help us all with Smugg in charge #brexit just got worse @noUKIPhere #brexitstupidity https://t.co/SqN2z15bmo,"['brexitstupidity', 'brexit']"
1014490204063793152,310193262,neutral,other,2018-07-04T12:44:47.000Z,God help us all with Smugg in charge #brexit just got worse @noUKIPhere #brexitstupidity https://t.co/SqN2z15bmo,"['brexitstupidity', 'brexit']"
1030207164772544512,2556637946,positive,remain,2018-08-16T21:38:23.000Z,@MartWhitfieldMP @DavidGauke @jeremycorbyn @theresa_may @UKLabour @DamianHinds @Debbie_abrahams @frankfieldteam @UKParliament @TommySheppard @DaniRowley @robertabwMP @MhairiBlack @RossThomson_MP @MayorofLondon @cnni @MollyMEP @BorisJohnson @CNNPolitics @wef @Labour4EU @maryhoneyball @UKChange @JohnMcNallyMP @TheBluetrot @TheScotsman @ScotGovEurope @HJJoyceEcon @TheNewEuropean @SKinnock @keith_wilson @AdamShrimpton @BrexitStewart @ToriesVsBrexit @lsebrexitvote @Brexit @thatginamiller @EstherMcVey1 @BBC_HaveYourSay Does @Jacob_Rees_Mogg understand what he thinks? Can he give one grounded argument why #brexit is good for #UK - I doubt very much he has that ability. If #Brexit is good then tell #UK why! Othewise stop this #Brexitchaos #brexitshambles #Brexitstupidity https://t.co/0vP7a4ge85 https://t.co/mijfLgU9kM,"['brexitstupidity', 'brexitshambles', 'brexitchaos', 'brexit', 'brexit', 'uk']"
1030207164772544512,2556637946,positive,remain,2018-08-16T21:38:23.000Z,@MartWhitfieldMP @DavidGauke @jeremycorbyn @theresa_may @UKLabour @DamianHinds @Debbie_abrahams @frankfieldteam @UKParliament @TommySheppard @DaniRowley @robertabwMP @MhairiBlack @RossThomson_MP @MayorofLondon @cnni @MollyMEP @BorisJohnson @CNNPolitics @wef @Labour4EU @maryhoneyball @UKChange @JohnMcNallyMP @TheBluetrot @TheScotsman @ScotGovEurope @HJJoyceEcon @TheNewEuropean @SKinnock @keith_wilson @AdamShrimpton @BrexitStewart @ToriesVsBrexit @lsebrexitvote @Brexit @thatginamiller @EstherMcVey1 @BBC_HaveYourSay Does @Jacob_Rees_Mogg understand what he thinks? Can he give one grounded argument why #brexit is good for #UK - I doubt very much he has that ability. If #Brexit is good then tell #UK why! Othewise stop this #Brexitchaos #brexitshambles #Brexitstupidity https://t.co/0vP7a4ge85 https://t.co/mijfLgU9kM,"['brexitstupidity', 'brexitshambles', 'brexitchaos', 'brexit', 'brexit', 'uk']"
