t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746382843610161152,728097745601363840,neutral,other,2016-06-24T16:41:51.000Z,@Nigel_Farage Off the chain. Really? #Brexit #brexitsucks https://t.co/af5Ff6HA5R,"['brexit', 'brexitsucks']"
746378369416192000,273564638,negative,remain,2016-06-24T16:24:04.000Z,"Brexit sucks.... this situation has got some strange ""interests"" in the mechanism. #BrexitSucks",['brexitsucks']
746224878022332416,526935460,neutral,remain,2016-06-24T06:14:09.000Z,"OK, own up. Who voted leave? #Brexit(SUCKS) 🙇",['brexitsucks']
741196817073836032,15851304,neutral,other,2016-06-10T09:14:26.000Z,"""The Brexit Paradoxes – Energy"" by Michael Grubb - Social Europe #brexitsucks #brexit #VoteRemain  https://t.co/73weGfuBTe","['brexitsucks', 'voteremain', 'brexit']"
745296194990120960,15851304,neutral,remain,2016-06-21T16:43:54.000Z,Brexit in seven charts — the economic impact: https://t.co/NvtNrxNSRi via @FT #brexitSucks #VoteRemain #StayIn https://t.co/JMTzu3WS4A,"['brexitsucks', 'voteremain', 'stayin']"
746274056555601920,37646091,positive,remain,2016-06-24T09:29:34.000Z,"Today we celebrate the other 48,1% with an english breakfast! #brexit #brexitsucks #eurefresults #hallmackenreuther https://t.co/SUSluGIChe","['hallmackenreuther', 'brexitsucks', 'eurefresults', 'brexit']"
771469177840340992,29027593,neutral,other,2016-09-01T22:05:59.000Z,I have never thought 'my future' and and 'future of my country' were different things! My sister thinks differently!! #Brexit  #brexitsucks,"['brexit', 'brexitsucks']"
748484425474785280,262632782,positive,other,2016-06-30T11:52:47.000Z,#Borexit Not sure Gove as leader is good news but let me rejoice over BoJo's crushed dream. First good news since #Brexit . #brexitsucks,"['brexit', 'brexitsucks', 'borexit']"
750593776570265600,202615757,negative,other,2016-07-06T07:34:36.000Z,BBC News - Pound hits new low on Brexit nerves https://t.co/n4WjYlPpwA - Brace yourself for fuel price increases. #BrexitSucks,['brexitsucks']
755773109983150080,43851898,positive,other,2016-07-20T14:35:25.000Z,Another reason why #Brexitsucks Testing on live animals 'could increase after Brexit' https://t.co/N5pOEFQnwE,['brexitsucks']
747884490098348032,2744764486,negative,remain,2016-06-28T20:08:52.000Z,it rlly annoys me that brexit isn't going to affect the white old men who voted out but US THE 15 YEAR OLDS #brexitsucks,['brexitsucks']
750407898744950784,750274841958383616,neutral,other,2016-07-05T19:15:59.000Z,#BrexitOrNot #brexit #brexitsucks This is how #england and #Scotland voted. 37% are not enough to move out. https://t.co/2GGFvuEMHD,"['england', 'brexitornot', 'brexit', 'brexitsucks', 'scotland']"
746961048603922432,209839507,negative,other,2016-06-26T06:59:26.000Z,"Read ""The Brexit debate has made Britain more racist"" by @nushyrose https://t.co/of8PUzW7om
#saynotoracism #its2016 #Brexit #brexitsucks","['its2016', 'brexit', 'brexitsucks', 'saynotoracism']"
788655383258816512,16600476,negative,other,2016-10-19T08:17:50.000Z,Business Insider: Paris and Frankfurt are fighting to steal London's banking crown post-#Brexit | #BrexitSucks  https://t.co/R0cdwWFIg5,['brexitsucks']
790855530080337920,63168146,positive,leave,2016-10-25T10:00:26.000Z,"Fresh. Comes with bonus freedom.
Get them while you still can.
#brexit #brexitsucks https://t.co/4BzMuNe8TK","['brexitsucks', 'brexit']"
874856115581968384,29471574,positive,leave,2017-06-14T05:08:46.000Z,Hard #Brexit = freedom from EU but out of single market. Soft = UK out of EU but legally tied to EU and out of law-making EC. #BrexitSucks,"['brexit', 'brexitsucks']"
821443468295831552,16600476,positive,other,2017-01-17T19:45:59.000Z,Evening Standard: Apple announces increase in cost of apps in UK in wake of #Brexit vote | #BrexitSucks  https://t.co/1mQZpYa3TF,"['brexit', 'brexitsucks']"
846692586257551360,16600476,neutral,other,2017-03-28T11:56:58.000Z,FT: #Brexit reinforces Britain’s imperial amnesia #BrexitSucks https://t.co/opoc08kV2C,"['brexit', 'brexitsucks']"
857223245463945216,16600476,negative,remain,2017-04-26T13:22:02.000Z,"Bloomberg: @DeutscheBank's Matherat Says 4,000 U.K. Jobs at Risk in #Brexit | Because #BrexitSucks https://t.co/s5A1RMhjFw","['brexit', 'brexitsucks']"
818774862210756608,16600476,negative,other,2017-01-10T11:01:53.000Z,"WSJ: Rolet warns of #Brexit 'systemic risks' | #BrexitSucks 
https://t.co/6avJ72t84L https://t.co/CceJ9dlQ4w","['brexit', 'brexitsucks']"
870244444624134144,16600476,negative,other,2017-06-01T11:43:38.000Z,Bloomberg: Soros Says #Brexit May Last 5 Years and Cause ‘Immense Damage’ | #BrexitSucks https://t.co/hKAS4KdrKo,"['brexit', 'brexitsucks']"
818808340893564928,16600476,neutral,other,2017-01-10T13:14:55.000Z,"Business Insider: HSBC CHAIRMAN: We'll move jobs to 'France, Ireland or Holland' because of #Brexit | #BrexitSucks  https://t.co/gSOQAXldix","['brexit', 'brexitsucks']"
829989354726686720,16600476,negative,other,2017-02-10T09:44:17.000Z,BI: London is set to lose its role as the financial 'gateway to Europe' — and #Brexit is to blame | #BrexitSucks  https://t.co/679VPkwdBe,"['brexit', 'brexitsucks']"
823247965653504000,16600476,positive,remain,2017-01-22T19:16:24.000Z,Business Insider: No one inside the Davos liberal billionaire bubble thinks #Brexit is a good idea | #BrexitSucks  https://t.co/USk9kK1zx6,"['brexit', 'brexitsucks']"
869784096502947840,2826747794,neutral,other,2017-05-31T05:14:23.000Z,Goodbye London: tra gli italiani d'Inghilterra che si preparano alla Brexit https://t.co/j7ooDvdu8A via @repubblica #BrexitSucks,['brexitsucks']
821489654092492800,135654302,negative,other,2017-01-17T22:49:30.000Z,When listening to Theresa May's Brexit speech today I had to think of all my friends from England and felt like vomiting. #brexitsucks,['brexitsucks']
869790058064355328,2826747794,neutral,leave,2017-05-31T05:38:04.000Z,"After Brexit: the UK will need to renegotiate at least 759 treaties https://t.co/cTLXoVoUVx via @FT #BrexitSucks, really!",['brexitsucks']
869471111007928320,773416317739233280,negative,other,2017-05-30T08:30:41.000Z,"Deal or no deal, 'Brexit'is SO Stupid !  #BrexitSucks ! https://t.co/5obk2FMgr1",['brexitsucks']
