,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
371577,789150557839695872,203652187,positive,other,2016-10-20T17:05:29.000Z,Please fight #Brexit for good of UK and us  all. #Brexitwontwork https://t.co/p3D5hIgLEb,"['brexit', 'brexitwontwork']"
284652,787329071487254528,203652187,neutral,remain,2016-10-15T16:27:33.000Z,@theresa_may #putthebrakeson now. You don't need to do this. #Brexit is rubbish. Most people now realise #Brexitwontwork https://t.co/Uq6kH6sND3,"['brexit', 'putthebrakeson', 'brexitwontwork']"
754647,904943775453241344,424307445,negative,other,2017-09-05T05:46:23.000Z,"UK 'does not have capacity to strike new trade deals after #Brexit ' #brexitshambles #Brexitwontwork 

https://t.co/3S31lQ7JKc","['brexit', 'brexitshambles', 'brexitwontwork']"
761988,905166765247823872,424307445,negative,remain,2017-09-05T20:32:28.000Z,"Leaked document reveals UK #Brexit  plan to deter EU immigrants #brexitshambles #Brexitwontwork 

https://t.co/jOXUc7EuKg","['brexit', 'brexitshambles', 'brexitwontwork']"
907735,910497608250118144,424307445,positive,other,2017-09-20T13:35:20.000Z,"The real saboteurs are the Tory fantasists backing hard #Brexit #brexitshambles #Brexitwontwork #WednesdayWisdom 

https://t.co/NQW6L2Ucnk","['brexit', 'brexitshambles', 'wednesdaywisdom', 'brexitwontwork']"
920519,910973678296453120,19441006,positive,remain,2017-09-21T21:07:04.000Z,"acgrayling: RT BritainStays: New £10 note worth £8.60 compared to pre #Brexit
money 
https://t.co/qHafHAzxCz
#brexitwontwork","['brexit', 'brexitwontwork']"
751876,904773773446062080,747436971417559040,negative,remain,2017-09-04T18:30:52.000Z,"Who will get the blame when #Brexit fails?
#Brexitwontwork https://t.co/HIHkP6AANe","['brexit', 'brexitwontwork']"
440567,891749379299827712,440260593,negative,other,2017-07-30T19:56:34.000Z,"@max1e6 #Brexit must really be falling apart before you acknowledge ""smug remainers"". Your words, not mine. #brexitwontwork","['brexit', 'brexitwontwork']"
1154855,918379874049581056,1258835366,positive,other,2017-10-12T07:36:39.000Z,"Wow, trucks leave #UK empty, exports to #Germany down from 1,65m tons to 1,48yoy https://t.co/Z3oFFvVEgE #Brexit #Brexitwontwork @zeitonline","['brexit', 'brexitwontwork', 'uk', 'germany']"
466375,892668611252424704,746985479992709120,neutral,remain,2017-08-02T08:49:16.000Z,Brexit was a vote people were thinking they having a Joseph they ended having the pharaoh #StopBrexit #BrexitCoup #brexitwontwork #EU,"['brexitcoup', 'stopbrexit', 'eu', 'brexitwontwork']"
759342,905105849227599872,747436971417559040,positive,remain,2017-09-05T16:30:25.000Z,"The Brexit bill is cataclysmic. Only a swerve will save us | Polly Toynbee 
#brexitwontwork
#brexitshambles
https://t.co/tNSQNBylMo","['brexitshambles', 'brexitwontwork']"
582707,897357249349382144,239961306,neutral,remain,2017-08-15T07:20:14.000Z,#Brexitwontwork #brexitshambles No such thing as a good Brexit which is why the Govt is in chaos about what it wants,"['brexitshambles', 'brexitwontwork']"
1674430,935902658732236800,88251779,positive,remain,2017-11-29T16:05:56.000Z,40-55 billion Euros for #Brexit is not what #Leave promised or what 37% voted for is clearly impossible to deliver #StopBrexit as it is now obvious that #brexitwontwork and so #BrexitWontHappen,"['brexitwonthappen', 'brexit', 'leave', 'stopbrexit', 'brexitwontwork']"
1621709,934530733301026816,88251779,neutral,other,2017-11-25T21:14:24.000Z,Australia slams UK post-Brexit trade plans https://t.co/mQIZ7X7IWZ via @CityAM #StopBrexit #brexitwontwork #BrexitWontHappen,"['brexitwonthappen', 'stopbrexit', 'brexitwontwork']"
1626287,934743731646992384,88251779,neutral,remain,2017-11-26T11:20:46.000Z,"Ireland promises to ""play tough""on Brexit as border issue looms https://t.co/KeBgcDuloK via @CityAM #StopBrexit #brexitwontwork #BrexitWontHappen","['brexitwonthappen', 'stopbrexit', 'brexitwontwork']"
1626168,934741224292012032,88251779,negative,remain,2017-11-26T11:10:49.000Z,Senior Holyrood figures in bid to avert Brexit ‘power-grab’ crisis https://t.co/uFepYWhEBH #StopBrexit #brexitwontwork #BrexitWontHappen,"['brexitwonthappen', 'stopbrexit', 'brexitwontwork']"
580643,897224503683670016,19441006,neutral,remain,2017-08-14T22:32:45.000Z,"acgrayling: RT BritainStays: Nonsense, what government studies would show is that #brexitwontwork and help to END BREXIT

…",['brexitwontwork']
1153495,918360611238678528,747436971417559040,negative,other,2017-10-12T06:20:06.000Z,"""steep drop in EU nationals registering as nurses since the Brexit vote"" 
We are killing our NHS
#brexitwontwork
https://t.co/oW2Ueg7CuD",['brexitwontwork']
752577,904835870217424896,747436971417559040,neutral,other,2017-09-04T22:37:37.000Z,"We're still no closer to a Brexit deal, but when one is agreed we should have another referendum 
#brexitwontwork https://t.co/f7aTTFbqPw",['brexitwontwork']
533033,895042219744407552,747436971417559040,negative,other,2017-08-08T22:01:08.000Z,The tragic truth is that Brexit.. will mean less money for our NHS rather than more #brexitwontwork https://t.co/VWZfyTD9TE,['brexitwontwork']
632298,899520320570314752,747436971417559040,negative,remain,2017-08-21T06:35:31.000Z,"#brexitwontwork ""Right now, I feel that everything from Brexit will be negative,”  https://t.co/zH0mOp2ocP",['brexitwontwork']
806901,906861850335301632,747436971417559040,negative,other,2017-09-10T12:48:08.000Z,"Prime Minister failing to prepare public for inevitable 'compromises' of Brexit, #brexitwontwork https://t.co/BvDkwCmSNa",['brexitwontwork']
451758,892157322398769152,747436971417559040,negative,other,2017-07-31T22:57:35.000Z,"#Brexitwontwork There is growing household debt amid signs of Brexit downturn, warns credit rating agency Moody's https://t.co/o0Iv4dTn4X",['brexitwontwork']
687245,902095274335772672,747436971417559040,positive,other,2017-08-28T09:07:28.000Z,"U.K. Can't Make Irish Peace a Brexit Bargain Chip, EU Says 
#brexitwontwork
https://t.co/wjvXdTouQY via @bpolitics",['brexitwontwork']
500885,893821896025886720,747436971417559040,neutral,other,2017-08-05T13:12:01.000Z,"#BrexitwontWork
UK car industry facing an 'utterly demoralising' Brexit https://t.co/LrimhAkJuh",['brexitwontwork']
974260,912452615056871424,747436971417559040,positive,leave,2017-09-25T23:03:50.000Z,"A Nobel laureate economist just said there is 'zero chance' Brexit will make Britain better off 
#brexitwontwork
https://t.co/GNS5VYUITt",['brexitwontwork']
500867,893821341572501504,747436971417559040,negative,remain,2017-08-05T13:09:48.000Z,"Brexit UK = ""foreign workers not welcome"" 
So guess what? They aren't coming, 20% shortfall already
#BrexitwontWork
https://t.co/VkmMBikMqr",['brexitwontwork']
460855,892440527207100416,55788328,negative,other,2017-08-01T17:42:57.000Z,"Retweeted BritainStays (@BritainStays):

#brexitwontwork the Tories are screwing up brexit. There is no such... https://t.co/vZeAmehEGZ",['brexitwontwork']
638191,899734341479223296,747436971417559040,negative,remain,2017-08-21T20:45:57.000Z,"#Brexitwontwork ""there is only one choice: hard Brexit and staying in (if Britain's lucky)"" https://t.co/uzWbkSPvXN",['brexitwontwork']
488146,893386737132744704,747436971417559040,neutral,remain,2017-08-04T08:22:51.000Z,End Brexit #brexitwontwork https://t.co/JzwapugibI,['brexitwontwork']
582300,897348322486300672,747436971417559040,negative,leave,2017-08-15T06:44:46.000Z,"#brexitwontwork ""doesn’t matter how it’s dressed up..government’s extreme Brexit will end up leaving Britain poorer"" https://t.co/bcvfiTam3W",['brexitwontwork']
633375,899556794267258880,103029808,positive,remain,2017-08-21T09:00:27.000Z,"@aintcricket @EUtopean And yet he has colluded in Brexit and supports the trashing of the UK economy and, therefore, of NHS, jobs,prospects. #brexitwontwork",['brexitwontwork']
1108562,917421676727545856,747436971417559040,neutral,leave,2017-10-09T16:09:07.000Z,"What about the extra time clearing customs?  Brexit = Hours vs Current = 20 secs 
#brexitwontwork https://t.co/9p0E5tRDuL",['brexitwontwork']
476077,893011919463997440,747436971417559040,negative,other,2017-08-03T07:33:27.000Z,"#Brexitwontwork ""It will cost Britain £520m to stop hosting an agency that employs 890 people after Brexit"" https://t.co/xa2NtJ7hFU",['brexitwontwork']
862087,908811902628884480,747436971417559040,negative,other,2017-09-15T21:56:57.000Z,"Theresa Mays ‘reckless’ Brexit..a threat to millions of pounds of investment in schools and hospital
#brexitwontwork
https://t.co/reunudgF8I",['brexitwontwork']
869346,909193044909576192,747436971417559040,positive,other,2017-09-16T23:11:28.000Z,"time for May to provide a clear position and strategy over Brexit to..British citizens and business
#brexitwontwork
https://t.co/xXzxG4QW5R",['brexitwontwork']
1118854,917676962176479232,854701267771428864,negative,other,2017-10-10T09:03:32.000Z,Theresa May refusing to answer questions about secret advice that says Brexit can be stopped https://t.co/XWGwhQj3pm #brexitwontwork,['brexitwontwork']
476047,893011132696363008,747436971417559040,positive,other,2017-08-03T07:30:20.000Z,"#Brexitwontwork Referendum on a united Ireland inevitable following Brexit vote, report author says https://t.co/QT9tjQIb1F",['brexitwontwork']
506298,894106516126654464,747436971417559040,neutral,other,2017-08-06T08:02:59.000Z,#brexitwontwork NHS 'could go under' if EU staff are not assured job security post Brexit https://t.co/6KVD4McsTd,['brexitwontwork']
476019,893010341990457344,747436971417559040,positive,other,2017-08-03T07:27:11.000Z,#Brexitwontwork Britain's top universities give Theresa May 10 demands.. to protect higher education after Brexit https://t.co/X8mEQezE43,['brexitwontwork']
1517987,931410268432760832,88251779,negative,remain,2017-11-17T06:34:47.000Z,"Brian Wilson: Fundamentalists forced ‘bonkers’ Brexit deadline on May https://t.co/0YTNTPchhm ""#StopBrexit #brexitwontwork",['brexitwontwork']
667709,901079559600263168,2374482812,neutral,other,2017-08-25T13:51:22.000Z,EU 💙 Brexit 🦀🕷🐜🦂🐍 @BritainStays #brexitwontwork https://t.co/tiw6ZOyxvf,['brexitwontwork']
762646,905184747743318016,747436971417559040,neutral,other,2017-09-05T21:43:56.000Z,"Morgan Stanley: Brexit might not happen
#brexitwontwork
https://t.co/yvS9BS8119",['brexitwontwork']
974305,912454029342646272,747436971417559040,negative,other,2017-09-25T23:09:27.000Z,"Brexit an “awful complicated mess”
#brexitwontwork
 https://t.co/P5OT2Q4xNa",['brexitwontwork']
1108634,917422500799287296,747436971417559040,negative,other,2017-10-09T16:12:23.000Z,"What about the NHS inability to recruit?  6% shortage of staff before Brexit vote, 12% now
#brexitwontwork https://t.co/9p0E5tRDuL",['brexitwontwork']
517861,894498802673045504,19815513,neutral,other,2017-08-07T10:01:48.000Z,NHS 'could go under' if EU staff are not assured job security post Brexit https://t.co/5D0S6ayO0b #brexitwontwork,['brexitwontwork']
949011,911728134269100032,747436971417559040,negative,leave,2017-09-23T23:05:00.000Z,"""Brexit means Brexit: Britain cannot leave the EU and expect to escape the consequences"" 
#brexitwontwork
https://t.co/OZ700WyRHY",['brexitwontwork']
551269,895904074142494720,747436971417559040,negative,other,2017-08-11T07:05:51.000Z,"#brexitwontwork
The experts strike back! 
How economists are being proved right on Brexit | Barry Eichengreen https://t.co/oNPmHBM4Pr",['brexitwontwork']
856473,908603016726614016,747436971417559040,neutral,leave,2017-09-15T08:06:54.000Z,"#brexitwontwork 
Just do the maths
BBC News - UK could need '5,000 more customs officials after Brexit' https://t.co/A9Nk7yozZ1",['brexitwontwork']
453683,892283139225268224,747436971417559040,neutral,other,2017-08-01T07:17:32.000Z,#brexitwontwork UK farmers will be undercut by trade deals @Brexit https://t.co/0A1wNGCqHT,['brexitwontwork']
762778,905188824271249408,747436971417559040,neutral,leave,2017-09-05T22:00:07.000Z,"#Brexitwontwork
Frankfurt and Dublin set to sweep bank jobs away from Britain after Brexit https://t.co/uH9G212pi7",['brexitwontwork']
676247,901572111130615808,747436971417559040,neutral,other,2017-08-26T22:28:36.000Z,Don't forget @labouruk 6 tests. No form of #brexit can pass these tests @Keir_Starmer we are trusting you to deliver #6tests #brexitwontwork https://t.co/3AAN1AiNhP,"['brexitwontwork', '6tests', 'brexit']"
584033,897352185725538304,747436971417559040,positive,other,2017-08-15T07:00:07.000Z,"Brilliant, what a relief: 
#brexit plan is to delay border chaos for two years,
no plan after this..
#brexitwontwork
https://t.co/tJIJzRiSey","['brexitwontwork', 'brexit']"
502087,893838406844899328,36045950,positive,other,2017-08-05T14:17:37.000Z,The latest The Peter English Daily! https://t.co/DXPAhmoDfT Thanks to @ppenttin @Wok_Chi_Steve @scopedbylarry #brexit #brexitwontwork,"['brexitwontwork', 'brexit']"
543870,895538438526558208,747436971417559040,positive,remain,2017-08-10T06:52:56.000Z,"A very good analysis of Labour #brexit options
#brexitwontwork
 https://t.co/BzqgQXBLOK via @tony_nog","['brexitwontwork', 'brexit']"
552487,895905736684969984,19441006,positive,remain,2017-08-11T07:12:27.000Z,"acgrayling: RT BritainStays: A very good analysis of Labour #brexit options
#brexitwontwork
 https://t.co/fVfryj6hYp via tony_nog","['brexitwontwork', 'brexit']"
494818,893525987824201728,57100823,neutral,other,2017-08-04T17:36:11.000Z,I told you so .... Just doesn't cover it. #Brexit #brexitshambles #brexitwontwork  https://t.co/AWMCLtLY0M,"['brexitwontwork', 'brexit', 'brexitshambles']"
476269,892986614661730304,3001744492,positive,other,2017-08-03T05:52:54.000Z,"hope the silly #Brexiteers dont need a holiday #Brexit  #brexitshambles  #brexitwontwork 

https://t.co/YZ5845Lxta","['brexitwontwork', 'brexit', 'brexitshambles', 'brexiteers']"
629551,899276942523977728,856556892688142208,negative,remain,2017-08-20T14:28:25.000Z,"We lost because the other side lied @OwenJones84. We risk our services, NHS and the most vulnerable with #brexit. #EUref2 #brexitwontwork","['brexitwontwork', 'brexit', 'euref2']"
1593116,933645761996296192,88251779,neutral,remain,2017-11-23T10:37:50.000Z,Growth forecasts cut as productivity stalls and Brexit looms https://t.co/4kbRopGbLl #stopBrexit #brexitwontwork #brexitwonthappen,"['brexitwontwork', 'brexitwonthappen', 'stopbrexit']"
