t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746310686024806400,139514276,neutral,other,2016-06-24T11:55:07.000Z,Black Friday! https://t.co/jDQpUsxAwa #brexshit #brexit #europe #uk #britain #blackfriday https://t.co/IPx8DMqi8g,"['blackfriday', 'britain', 'brexshit', 'europe', 'uk', 'brexit']"
746307279696322560,44929085,neutral,other,2016-06-24T11:41:35.000Z,"Black Friday! #brexshit #brexit #europe #uk #britain #blackfriday

https://t.co/ozo2nnxdmZ","['blackfriday', 'britain', 'brexshit', 'europe', 'uk', 'brexit']"
743373704671928320,737025336504922112,negative,remain,2016-06-16T09:24:37.000Z,"#BobGeldof wants to remain in the EU, therefore, I'm off, as he is a prize cunt. #BoredOfBrexshit #brexshit #brexit","['bobgeldof', 'boredofbrexshit', 'brexshit', 'brexit']"
746357494226657280,387399752,negative,leave,2016-06-24T15:01:07.000Z,Can we stop moping and look to the future? No one knows exactly what #Brexit/#Brexshit will look… https://t.co/O5QYXHvaab,"['brexit', 'brexshit']"
746320649728196608,94822306,positive,remain,2016-06-24T12:34:43.000Z,#Brexit Thanks to this #Brexshit I never have been so often searching my good old Cassell's Dictionary nor thinking to my British friends !,"['brexit', 'brexshit']"
745964951924252672,735230842247712640,negative,other,2016-06-23T13:01:18.000Z,"We are ""forced"" to take in refugees because of the EU #Brexit #Brexshit @thunderf00t @Sargon_of_Akkad","['brexit', 'brexshit']"
746199722956754944,382469068,positive,remain,2016-06-24T04:34:12.000Z,I'm sorry to my British friends. You're future is uncertain but I hope you wish all the best. #Brexit #BREXSHIT,"['brexit', 'brexshit']"
746361699565977600,327944268,negative,remain,2016-06-24T15:17:50.000Z,Keep thinking of more ways in which this is a terrible situation. Like a bad dream I can't wake up from. Ugh. #Brexit more like #Brexshit,"['brexit', 'brexshit']"
743015384769515520,3292998393,positive,other,2016-06-15T09:40:46.000Z,Wonder if using #Brexshit instead of #Brexit would improve the calibre of debate?,"['brexit', 'brexshit']"
746289019655421952,26749615,neutral,remain,2016-06-24T10:29:02.000Z,"After the #Brexit the world economy is in #Brexshit!

https://t.co/Op809A86nr","['brexit', 'brexshit']"
746310754912067584,139489928,positive,remain,2016-06-24T11:55:24.000Z,"Too perfect an analogy: ""will of the people"" is the box office, and #Brexit is an Adam Sandler movie. #Brexit #Brexshit","['brexit', 'brexshit']"
746456321487212544,357166516,negative,other,2016-06-24T21:33:50.000Z,"I try not to get into politics, it's mainly a lost battle listening to Mr or Mrs Bullshit                        #Brexit = #Brexshit","['brexit', 'brexshit']"
746355308117827584,94822306,negative,other,2016-06-24T14:52:26.000Z,Alas Campaigning online &amp; lobbying from London will not be that easy after #Brexit #Brexshit https://t.co/dFtIRCX6xi,"['brexit', 'brexshit']"
742792426872524800,302568481,negative,other,2016-06-14T18:54:49.000Z,@DPJHodges In markets narrative always lies. I'm afraid I must give you a #Brexshit hashtag. Just time to wobble. Mkt prob rise on #Brexit,"['brexit', 'brexshit']"
746272490704474112,3046388250,neutral,remain,2016-06-24T09:23:21.000Z,The sun just set over the British empire. #Brexit #BrexShit,"['brexit', 'brexshit']"
746463711641149440,19595169,negative,remain,2016-06-24T22:03:12.000Z,Now Cameron is gone he can finally be replaced by that good Tory we've all be campaigning for. Wait. Oh. Shit! #Brexit #Brexshit,"['brexit', 'brexshit']"
744893722060529664,270786714,neutral,other,2016-06-20T14:04:37.000Z,For those of us who need to filter the #Brexshit from #Brexit https://t.co/1hJHnopZxZ,"['brexit', 'brexshit']"
746246997351497728,529566930,positive,other,2016-06-24T07:42:03.000Z,"UK, Congratulations for this #Brexshit! 
#Brexit","['brexit', 'brexshit']"
746330968487759872,94822306,negative,remain,2016-06-24T13:15:43.000Z,@FabienneCASSAGN @robintransition I guess Rob preferred cabbages but he got garbage... #Brexit is #Brexshit,"['brexit', 'brexshit']"
746281569128714240,1650652338,negative,remain,2016-06-24T09:59:25.000Z,"What a great day for small-minded, short-sighted, selfish ignorance 😡😡😡 #Brexit #BrexShit","['brexit', 'brexshit']"
741987053374672896,302568481,neutral,remain,2016-06-12T13:34:33.000Z,@toby_n @BBCNews just more #Brexshit on #Brexit,"['brexit', 'brexshit']"
746326927712129024,94822306,negative,remain,2016-06-24T12:59:40.000Z,"#Brexit is #Brexshit https://t.co/OQknOM8oou &gt; English translation: ""What a mess, David!"" @davidcameron","['brexit', 'brexshit']"
742695674156847104,302568481,positive,remain,2016-06-14T12:30:21.000Z,"Voters backing #Brexit in Stoke https://t.co/dlbwJiq2o1. I'm a leftie &amp; for out. Instinctively, they know 'Social Europe' is #Brexshit.","['brexit', 'brexshit']"
746439129076895744,2191575769,neutral,other,2016-06-24T20:25:31.000Z,"I've renamed #Brexit to #Brexshit. I know, so very original.","['brexit', 'brexshit']"
746463958354305024,19595169,neutral,remain,2016-06-24T22:04:10.000Z,Seriously after the economic reaction today #Brexit should now be referred to as #Brexshit,"['brexit', 'brexshit']"
746385498730565632,21748455,negative,other,2016-06-24T16:52:24.000Z,How's Britain really going to leave the EU? I can't even get out of London on a Friday afternoon... #Brexit #Brexshit,"['brexit', 'brexshit']"
746247876980916224,319816279,negative,remain,2016-06-24T07:45:33.000Z,"Now Cameron has resigned leaving Boris in the box seat!! 😯😯😯
#Brexit #Brexshit","['brexit', 'brexshit']"
746256621731520512,89429416,positive,remain,2016-06-24T08:20:18.000Z,"I just want Scotland back IN.
#Brexit is #Brexshit","['brexit', 'brexshit']"
746331870963638272,20044291,neutral,other,2016-06-24T13:19:18.000Z,Let's make Paris the new London #ByeByeUKEP #Brexit #Brexshit,"['brexit', 'brexshit', 'byebyeukep']"
746385359353712640,744965204379766784,positive,other,2016-06-24T16:51:51.000Z,.@realDonaldTrump as proud to stand shoulder-to-shoulder as these turds are #Brexit #Brexshit #MakeUkShittyAgain https://t.co/MHna7fNtl2,"['brexit', 'brexshit', 'makeukshittyagain']"
746464580654800896,465504182,neutral,remain,2016-06-24T22:06:39.000Z,Not anymore @VodafoneUK #Brexshit #Brexit #notmyvote #EURefResults https://t.co/wmXAMsVxxb,"['brexit', 'brexshit', 'notmyvote', 'eurefresults']"
734804526469906432,770449130,negative,other,2016-05-23T17:53:45.000Z,If you want a laugh - Posh duffer talking #Brexit #bullshit - lets call it #Brexshit https://t.co/c8F3vMpd48,"['brexit', 'bullshit', 'brexshit']"
746248781335793664,263796894,positive,remain,2016-06-24T07:49:08.000Z,"#Brexit more like #BrexSHIT am I right??! I'm sorry Twitter, I'm too sad to even make better puns.... #EUref https://t.co/YoOdeehBu7","['brexit', 'euref', 'brexshit']"
746646418392289280,262456166,neutral,remain,2016-06-25T10:09:12.000Z,'What's done is done' apart from it hasn't yet begun. #EUref #Brexit #Brexshit,"['brexit', 'euref', 'brexshit']"
746650766174199808,712043005453148160,neutral,remain,2016-06-25T10:26:29.000Z,why do half the uk population feel so disconnected from the rest of the world they vote leave?  #Brexit #Brexshit #EUref #society,"['brexit', 'euref', 'brexshit', 'society']"
746323674379198464,150031178,neutral,remain,2016-06-24T12:46:44.000Z,"What if Game of Thrones is not a medieval fantasy, but instead a futuristic thriller? #Brexit #BrexShit #GoT #Trump","['brexit', 'got', 'brexshit', 'trump']"
746736543910498304,540001701,positive,other,2016-06-25T16:07:20.000Z,"100% &gt; George Soros, billionaire who 'broke' the Bank of England, wins big from #BrexShit      #Brexit:RichOldMenAndThePoorYoung &lt;100%","['brexit:richoldmenandthepooryoung', 'brexshit']"
746691548688060416,39734566,positive,remain,2016-06-25T13:08:32.000Z,"Brexit from around the world #brexshit @ London, United Kingdom https://t.co/gyUXdWwEag",['brexshit']
746632141660905472,282245338,neutral,other,2016-06-25T09:12:28.000Z,😞 ‘I don't understand the anger’: how the Europeans in London see Brexit https://t.co/ifxfYWX46k #Brexshit,['brexshit']
746641270420930560,362552560,neutral,remain,2016-06-25T09:48:45.000Z,Brexit or Brexshit? #brexshit,['brexshit']
746253125560872960,371616725,negative,other,2016-06-24T08:06:24.000Z,BBC News - Brexit: David Cameron to quit after UK votes to leave EU https://t.co/seiQO9JCPW #Brexshit,['brexshit']
746299096546353152,22905611,neutral,other,2016-06-24T11:09:04.000Z,What does Brexit mean for travel? https://t.co/IetWdCD3I5 #brexshit,['brexshit']
745372665024643072,201778797,positive,other,2016-06-21T21:47:46.000Z,Don't forget @TheSun has fabricated stories about The Queen and Brexit before. I smell #Brexshit https://t.co/UBkt7un6Vy,['brexshit']
746700911070842880,53676196,positive,other,2016-06-25T13:45:44.000Z,#Brexshit 😰 Great insight in @thetimes by @liseinthecity on bewilderment post the senselessness of Brexit 📰 - https://t.co/AdhxH2TZda,['brexshit']
746253735127552000,15694010,neutral,remain,2016-06-24T08:08:49.000Z,@ElizabethLovatt Brexit - The Gif. #Brexshit https://t.co/UN341h5TsR,['brexshit']
731101724426010624,2817618828,positive,other,2016-05-13T12:40:08.000Z,@stegrego LOL! That a great one! #BREXIT = #BREXSHIT. Describes what people will do in their pants if we do leave.,"['brexshit', 'brexit']"
746226682982338560,972059845,neutral,remain,2016-06-24T06:21:20.000Z,Doesn't make sense... #brexit #brexshit https://t.co/owSGAzifos,"['brexshit', 'brexit']"
746276778671480832,351500577,negative,remain,2016-06-24T09:40:23.000Z,I guess we're all in it together. In the shit. #brexit #brexshit,"['brexshit', 'brexit']"
746340265347158016,240062869,neutral,remain,2016-06-24T13:52:40.000Z,I'm stockpiling tinned goods from @Fortnums while I still can. #brexit #brexshit,"['brexshit', 'brexit']"
742972539874496512,587212706,negative,remain,2016-06-15T06:50:31.000Z,"British debate on #brexit is a disgrace. A toxic mix of a distortion of facts, half-truths, and madness #brexshit
https://t.co/EXlQDdTdbM","['brexshit', 'brexit']"
746641665344049152,729670130385457152,positive,remain,2016-06-25T09:50:19.000Z,i wish #brexit #brexshit  https://t.co/6p5Qm5mAao,"['brexshit', 'brexit']"
746484482807562240,8935462,positive,remain,2016-06-24T23:25:44.000Z,Seems maybe the cleaner has the hump about Brits eating so much imported food at this holiday park #brexit #brexshit https://t.co/EOKDPlYbRh,"['brexshit', 'brexit']"
746315006745124864,112475103,neutral,remain,2016-06-24T12:12:18.000Z,@SimonKirby @KTTunstall this is #brexshit not #brexit,"['brexshit', 'brexit']"
746253440154742784,411756545,positive,other,2016-06-24T08:07:39.000Z,The most important question is: Should the team of England be kick out of the Euro competition today or ? #Brexit #brexshit,"['brexshit', 'brexit']"
745663894283137024,2255269771,positive,remain,2016-06-22T17:05:00.000Z,"beloved scottland, can't you just split from england and remain in the eu? Jst seen the bbc 'preference map'...  #brexshit #brexit","['brexshit', 'brexit']"
734795155589505024,23224431,neutral,remain,2016-05-23T17:16:31.000Z,#Brexit really is becoming #brexshit,"['brexshit', 'brexit']"
