t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
693757669442768896,22085760,neutral,remain,2016-01-31T11:28:12.000Z,@politicshome &amp; the rest will find themselves discarded by thier #GrassRoots who on a scale of 4 to 1 want #BritishIndependence #Brexit,"['brexit', 'grassroots', 'britishindependence']"
771805875883343872,1581061698,negative,remain,2016-09-02T20:23:54.000Z,"The one good thing about old racist unionists is their hate of all forms of nationalism.
#Brexit #TakingBackControl #BritishIndependence","['brexit', 'takingbackcontrol', 'britishindependence']"
978064684040499200,50659468,neutral,leave,2018-03-26T00:22:46.000Z,"#BREXIT 🇬🇧🇬🇧🇬🇧
#BritishIndependence 🇬🇧🇬🇧🇬🇧
#BREXIT 🇬🇧🇬🇧🇬🇧
#BritishIndependence 🇬🇧🇬🇧🇬🇧

British INDEPENDENCE NOW‼️","['britishindependence', 'brexit']"
977195153218785280,62372798,negative,other,2018-03-23T14:47:34.000Z,"@MichelBarnier you are a manipulative greedy self absorbed cunt did u know that??? 

#Brexit #BritishIndependence #FuckTheEU #WeWantOurCountryBack ! #LeaveTheEU #NoDeals !!!","['leavetheeu', 'nodeals', 'fucktheeu', 'wewantourcountryback', 'brexit', 'britishindependence']"
1178246736013336576,377769326,positive,remain,2019-09-29T09:54:47.000Z,"Trust is a fundamental element of social capital –a key contributor to sustaining well-being outcomes, incl. economic development

Data from European countries shows trust in the political system is particularly low
#Brexit
#BritishIndependence
#66Million

https://t.co/5okVscjY91","['66million', 'brexit', 'britishindependence']"
1176479268752244736,1257817368,positive,other,2019-09-24T12:51:30.000Z,@SkyNews #BorisJohnson is a great #ambassador for the #UK 🇬🇧 he's like a prize fighter who gets punched by #remainers but is straight back on his feet again! 🙂 We could not have a better person in charge of getting #brexit delivered and #BritishIndependence restored 👏👍 @dealatrip 😎🇬🇧,"['ambassador', 'britishindependence', 'remainers', 'borisjohnson', 'brexit', 'uk']"
1173712636053245952,1152492631911538560,positive,leave,2019-09-16T21:37:53.000Z,"@brexithenrik @BrexitPress @brexitparty_uk Great speech @brexithenrik . Not your fault, but very short.

#StandUp4Brexit #StandUP4UKDemocracy #Brexit #DrainTheSwamp #BritishIndependence #NukeLondon😉

Carry on the good work, keep up the good fight, ignore the trolls &amp; #Traitorous #AntiDemocrats","['antidemocrats', 'standup4ukdemocracy', 'traitorous', 'draintheswamp', 'brexit', 'standup4brexit', 'nukelondon😉', 'britishindependence']"
1172434348445855744,254552007,positive,other,2019-09-13T08:58:26.000Z,@tweeting_keith You don’t say...good god you remoaners do not have any sense of humour and you cannot stop being condescending #BritishIndependence #BackBoris #Boris #Brexit,"['backboris', 'boris', 'brexit', 'britishindependence']"
1176934590247833600,1149945913365995520,neutral,other,2019-09-25T19:00:47.000Z,@Nigel_Farage @BorisJohnson After defending you and voting for TBP in eu elections! Nigel Farage👀 you are so wrong! This #Brexiteer PM should be supported! I'm #BackBoris #Brexit and 🇬🇧 #BritishIndependence 🇬🇧,"['backboris', 'brexit', 'brexiteer', 'britishindependence']"
1177178747163828224,1018085394041265920,positive,other,2019-09-26T11:10:58.000Z,People just want to get on with Brexit ... #BritishIndependence #BackBoris #brexit https://t.co/gzz5fppJHL,"['backboris', 'brexit', 'britishindependence']"
1174314476964855808,1018085394041265920,negative,other,2019-09-18T13:29:23.000Z,This sums up the EU close down any debate......unless they want to talk about it! Disgusting retweet please #BritishIndependence #Brexit #BackBoris https://t.co/ISwyi1G3oE,"['backboris', 'brexit', 'britishindependence']"
1178643068322492416,1018085394041265920,neutral,leave,2019-09-30T12:09:40.000Z,What us her position in government exactly? #BritishIndependence #Brexit #BackBoris https://t.co/xeta8pPIvW,"['backboris', 'brexit', 'britishindependence']"
