,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1922056,761552074601562112,753752600,neutral,other,2016-08-05T13:18:58.000Z,Agree #Cancel_Brexit https://t.co/ZqGNlE8o5K,['cancelbrexit']
135135,747049799350878208,616871053,neutral,leave,2016-06-26T12:52:06.000Z,"#brexit #cancelbrexit Four ways the UK can reverse Brexit if it really, really wants to https://t.co/aPOIFCiVu6 via @qz","['cancelbrexit', 'brexit']"
1111665,804285647850795008,750452841869893632,negative,other,2016-12-01T11:26:56.000Z,Brexit: throwing out the baby with the bath water - and still having to pay for everything. #cancelbrexit,['cancelbrexit']
1439425,816791385336643584,47598058,negative,remain,2017-01-04T23:40:16.000Z,"The new year has so far seen brexit get worse, headless chicken Queen Mayhem isn't coping. She should #cancelbrexit

https://t.co/hRsPbVud1c",['cancelbrexit']
893719,798212612542627840,750452841869893632,negative,other,2016-11-14T17:14:51.000Z,And the taxpayer is expected to fund this #brexit madness. Further austerity for the poor. #CancelBrexit https://t.co/wF5TbNAy7o,"['cancelbrexit', 'brexit']"
973599,800300480039555072,774995564912054272,neutral,other,2016-11-20T11:31:17.000Z,If @tonyblairoffice can get us out of #brexit bring it on #cancelbrexit #brexitchaos https://t.co/ERTjZg2oEC,"['cancelbrexit', 'brexitchaos', 'brexit']"
1222224,806946822317031424,3090493401,positive,leave,2016-12-08T19:41:29.000Z,REMOANERS CAN REJOICE:It seems the Brexit referendum result has nullified itself already ;) #CancelBrexit #Celebrate https://t.co/1VK4ZHv0a6,"['celebrate', 'cancelbrexit']"
285131,787371198434902016,137090726,negative,remain,2016-10-15T19:14:57.000Z,"Every day the UK pretends Brexit is an option, economy falls &amp; we lose standing on the world stage.
#StopTheInsanity #CancelBrexit #NoBrexit https://t.co/DMnGlZrHFY","['nobrexit', 'stoptheinsanity', 'cancelbrexit']"
1954335,875501742233968640,30700854,positive,other,2017-06-15T23:54:16.000Z,"Nothing good ever coming to UK from brexit #CancelBrexit 
Duke of York: UK firms should make best of Brexit - https://t.co/4dbJS6jW2B",['cancelbrexit']
1907418,874327387751817216,18214861,neutral,remain,2017-06-12T18:07:48.000Z,Brexit is the root of all this political and economic upheaval. It's totally unnecessary. #CancelBrexit and save all this pain. 🇪🇺,['cancelbrexit']
