t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746694853220831232,39209722,neutral,other,2016-06-25T13:21:40.000Z,The divorce is turning out to be a pandemonium! #AfterBrexit #EUExit #DivorcingTheEU #Aftermath #Brexit #BrexitVote https://t.co/nBYSWDSSFc,"['aftermath', 'euexit', 'afterbrexit', 'divorcingtheeu', 'brexit', 'brexitvote']"
714854941135937536,3297922053,negative,leave,2016-03-29T16:41:13.000Z,#BREAKING: #BankOfEngland says #EUreferendum is risk to #economic #stability. #Brexit #LeaveEU #StayInEU #EUexit #UKexit #EUexplosion,"['bankofengland', 'eureferendum', 'leaveeu', 'stayineu', 'euexplosion', 'brexit', 'economic', 'breaking', 'euexit', 'ukexit', 'stability']"
737016941764710400,2632281735,neutral,other,2016-05-29T20:25:06.000Z,"And between Erdoğan &amp; Merkel - they control the fate of most of Europe.
#Brexit
#EUExit
#BIOYAMerkel
#BIOYAErdoğan https://t.co/vXKfJLjFpM","['bioyaerdoğan', 'brexit', 'bioyamerkel', 'euexit']"
744886721033216000,2632281735,negative,other,2016-06-20T13:36:48.000Z,"@GotKidsNoPeace That a favorite charity helped cause refugee crisis and is funded by Soros is all you need to know.
#Brexit
#EUExit
#BIOYAEU","['bioyaeu', 'brexit', 'euexit']"
740987084366741504,2632281735,neutral,leave,2016-06-09T19:21:02.000Z,"@GotKidsNoPeace 
I really think that it has a nice ring to it.
Like Big Ben telling EU Establishment to fuck off.
#Brexit 
#EUExit
#BIOYAEU","['bioyaeu', 'brexit', 'euexit']"
740203397702287360,2632281735,negative,other,2016-06-07T15:26:56.000Z,"@LondonLeave @axelmojave Liars R masters. Read Screwtape Letters to see how or listen to @JohnCleese narrate them!
#Brexit
#EUExit
#BIOYAEU","['bioyaeu', 'brexit', 'euexit']"
738090738509025280,2632281735,positive,other,2016-06-01T19:31:59.000Z,"#Brexit
#EUExit
#IslamExit
#CloseBorders
#BIOYAEU
#BIOYAIslam
#BIOYAMerkel
#BIOYAHillary
Support Poland &amp; Hungary https://t.co/5ouHsdoNBG","['bioyaeu', 'islamexit', 'euexit', 'bioyahillary', 'bioyamerkel', 'bioyaislam', 'brexit', 'closeborders']"
734851054492221440,2632281735,neutral,other,2016-05-23T20:58:38.000Z,"Even more reason:
#Brexit
#EUExit
#IslamExit
#BIOYAEU
#BIOYAIslam https://t.co/kPSAjYuF4C","['bioyaeu', 'islamexit', 'euexit', 'bioyaislam', 'brexit']"
738050453439676416,2632281735,positive,other,2016-06-01T16:51:55.000Z,"@NickPringle6 @axelmojave 
Support Poland &amp; Hungary
#Brexit 
#EUExit
#IslamExit
#BIOYAEU
#BIOYAIslam","['bioyaeu', 'islamexit', 'euexit', 'bioyaislam', 'brexit']"
746357344439762944,2231585786,neutral,other,2016-06-24T15:00:32.000Z,#ActOnClimate not #BrExit or #EUexit  https://t.co/tQkgxrMyLJ,"['brexit', 'actonclimate', 'euexit']"
746638677716111360,3277418082,neutral,other,2016-06-25T09:38:27.000Z,The aftershocks are bigger than expected #Brexit #AfterBrexit #EUExit https://t.co/UTzzFJkpjc,"['brexit', 'afterbrexit', 'euexit']"
745624213051019264,2632281735,positive,other,2016-06-22T14:27:20.000Z,"@JohnCleese Sounds fair. Vote #Brexit &amp; Junckster shut his trap. What a relief.
#Brexit
#EUExit
Help Poland, Hungary &amp; Czechs.
#BIOYAJuncker","['brexit', 'bioyajuncker', 'euexit']"
742055312450936832,2632281735,neutral,leave,2016-06-12T18:05:47.000Z,"@Jonteinspain @axelmojave @JohnCleese The time has come to stand &amp; fight.
#Brexit
#EUExit
#BIOYAMerkel
#BIOYAJunkers https://t.co/jvMSdVqyBV","['brexit', 'bioyajunkers', 'bioyamerkel', 'euexit']"
743921905422442496,2632281735,positive,other,2016-06-17T21:42:58.000Z,"#Brexit
Support Hungary, Poland &amp; Czechs.
#EUExit
#BIOYAMerkel
#BIOYAKahn
 B [low]  I [t]  O [ut]  Y [our]  A [ss] https://t.co/I48detGPw6","['brexit', 'bioyakahn', 'bioyamerkel', 'euexit']"
741634095411789824,2632281735,neutral,other,2016-06-11T14:12:01.000Z,"Time is here to dismantle EU - Netherlands, Poland, Hungary &amp; Czechs next.
#Brexit
#EUExit
#BIOYAMerkel
#BIOYAIslam https://t.co/AVS2zyYRXk","['brexit', 'bioyamerkel', 'euexit', 'bioyaislam']"
746186298403205120,109068217,neutral,leave,2016-06-24T03:40:51.000Z,"@dexter_springs And Holland, Belgium, Sweden and many others should follow! #BRexit #EUexit #BreakEU","['brexit', 'breakeu', 'euexit']"
746312178064625664,31167189,negative,remain,2016-06-24T12:01:03.000Z,Hosting @EUMichaelRyan &amp; @ArnoutPauwels on #Brexit  - #EU-exit 50 on #ContactTV &amp; FM at 3pm. Tune in or miss out 😎 https://t.co/nJmtLxWMs3,"['brexit', 'contacttv', 'euexit']"
746448622489845760,23791285,positive,remain,2016-06-24T21:03:14.000Z,Rings true on a day like today :/ #Brexit #euexit https://t.co/B5zLX4fHKr,"['brexit', 'euexit']"
739349610200739840,243985729,neutral,other,2016-06-05T06:54:18.000Z,"#Brexit Other EU countries are gearing up towards #EUexit referendums , we must not get caught out #Brexit a must https://t.co/CHF5NBUZY0","['brexit', 'euexit']"
741008481646301184,2632281735,negative,other,2016-06-09T20:46:03.000Z,"@UKIPonline @axelmojave Add Brussels &amp; you have a trio of Islamic-cowed douche bags that don't dare patrol their own cities.
#Brexit
#EUExit","['brexit', 'euexit']"
746637540715823104,9054112,negative,other,2016-06-25T09:33:56.000Z,"Once the execution of #Brexit really starts, there will be more disruptions and holidays and Land Rovers will become cheaper #euexit","['brexit', 'euexit']"
746622775201239040,39209722,neutral,other,2016-06-25T08:35:15.000Z,EU Ministers meeting in Berlin to discuss #Brexit #EUExit,"['brexit', 'euexit']"
746246280595267584,77160859,neutral,other,2016-06-24T07:39:12.000Z,PM resignation leaves more uncertainty in the economy. #Brexit #Euexit Is Boris ready for a job?,"['brexit', 'euexit']"
746345588824903680,81182151,positive,leave,2016-06-24T14:13:49.000Z,Its really funny to see the country who ruled the world so happy and shouting independence. #Brexit #euexit,"['brexit', 'euexit']"
746354506095562752,121370906,neutral,other,2016-06-24T14:49:15.000Z,What's up with $HPE? Find out more at https://t.co/0tgWWfB2hI #EUEXIT #BREXIT,"['brexit', 'euexit']"
746409341272592384,3952669516,neutral,leave,2016-06-24T18:27:09.000Z,"#Brexit has jolted many folks! It may be time now for Frexit, Hoexit, Geexit &amp; finally #EUexit! https://t.co/Mwk0f7OrIa","['brexit', 'euexit']"
746458333641641984,4776097102,negative,remain,2016-06-24T21:41:49.000Z,"Obama should not have strayed into #Brexit debate. Big mistake, annoyed many undecided Brits. Like Cameron, backed the wrong horse #euexit","['brexit', 'euexit']"
746233458209357824,74415794,neutral,leave,2016-06-24T06:48:15.000Z,"Are we going to change our drivers licenses, etc ? says EU on them 😁 and who pays for this ? #euexit #Brexit","['brexit', 'euexit']"
