t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
747160118530351104,2300220256,neutral,remain,2016-06-26T20:10:28.000Z,An astute online comment has some wondering whether Brexit may ever happen #Brexit #EURefResults #exitfrombrexit #EU https://t.co/RjKHkbljyq,"['eu', 'brexit', 'eurefresults', 'exitfrombrexit']"
746780536023162880,395862972,positive,remain,2016-06-25T19:02:08.000Z,EU without UK is like a young woman without unicorn #brexit #EU #UK #exitfrombrexit,"['eu', 'exitfrombrexit', 'uk', 'brexit']"
746866755159592960,996741,neutral,other,2016-06-26T00:44:45.000Z,#exit_from_brexit labour go !,['exitfrombrexit']
748257728104038400,25723526,neutral,other,2016-06-29T20:51:58.000Z,This clip summarises #Gove character well https://t.co/wE92oAUHio #brexit #exitfrombrexit,"['exitfrombrexit', 'gove', 'brexit']"
747319785847824384,742746241575096320,positive,remain,2016-06-27T06:44:56.000Z,"#Osborne promised to ""do everything he can"" to make Brexit work. Which is not the same as promising to make it work. #ExitfromBrexit ?","['osborne', 'exitfrombrexit']"
794238933626454016,551331978,neutral,remain,2016-11-03T18:04:52.000Z,Britisches Parlament darf über Brexit mitentscheiden - Politik - Süddeutsche.de. Richtig so. #ExitfromBrexit  https://t.co/1zurpqrOc4,['exitfrombrexit']
784303554521538560,72249574,negative,other,2016-10-07T08:05:13.000Z,"Is there really no way to exit from #Brexit? 
#ExitFromBrexit","['exitfrombrexit', 'brexit?']"
872721226015416320,90586666,positive,remain,2017-06-08T07:45:29.000Z,"Maybe today it is the last chance for the #exitfrombrexit

#brexit","['brexit', 'exitfrombrexit']"
872933686785830912,175629086,neutral,other,2017-06-08T21:49:43.000Z,Mayday mayday #GE2017 #Brexit #exitfrombrexit #klassischeseigentor https://t.co/gRoJe3H72T,"['brexit', 'klassischeseigentor', 'ge2017', 'exitfrombrexit']"
823849006853918720,45130813,positive,remain,2017-01-24T11:04:44.000Z,"Please stay! 

#Brexit #britishparliament #BritischesParlament #TheresaMay #May #ExitfromBrexit https://t.co/iGEF1WZLlF","['britischesparlament', 'britishparliament', 'may', 'theresamay', 'exitfrombrexit', 'brexit']"
854278280907816960,2828601258,positive,remain,2017-04-18T10:19:48.000Z,Sounds like they are trying to have an exit from Brexit... Elections override referendum? #exitfrombrexit https://t.co/XvqHXUjwpe,['exitfrombrexit']
849715665481203712,102659635,positive,other,2017-04-05T20:09:36.000Z,#ExitfromBrexit Brexit is causing food prices to rise at their fastest rate in years https://t.co/Q5QictOBv2,['exitfrombrexit']
823866636503547904,45130813,neutral,remain,2017-01-24T12:14:47.000Z,"He's a prophet! 😊

#Article50 #Brexit #ExitfromBrexit https://t.co/eVHGwqcBm2","['exitfrombrexit', 'brexit', 'article50']"
850101742943567872,153905262,neutral,other,2017-04-06T21:43:44.000Z,https://t.co/wshJYCYAvu #ExitFromBrexit is it possible? #Brexit #EU,"['exitfrombrexit', 'brexit', 'eu']"
922586837150982144,278214638,positive,other,2017-10-23T22:13:37.000Z,"When you read things like this, you know #brexit must be stopped. #exitfrombrexit  @A50Challenge addressing legality of notification #A50 https://t.co/rhirSWweNK","['a50', 'exitfrombrexit', 'brexit']"
936295421281959936,136238340,neutral,remain,2017-11-30T18:06:38.000Z,@PennyMordaunt I bet the Virgin #Brexit special breaks down. #StopBrexit #StopBrexitNow #exitfrombrexit #A50Challenge,"['a50challenge', 'brexit', 'stopbrexitnow', 'exitfrombrexit', 'stopbrexit']"
911196304486871040,780840449963532160,neutral,other,2017-09-22T11:51:42.000Z,"RT ExposingFascism: When it comes to Fascism, #Trump and #Brexit tick all the boxes... #Antifa #exitfrombrexit #S… https://t.co/Otktf49IXT","['antifa', 's…', 'brexit', 'exitfrombrexit', 'trump']"
908661482040283136,908314585228292096,neutral,remain,2017-09-15T11:59:14.000Z,"When it comes to Fascism, #Trump and #Brexit tick all the boxes... #Antifa #exitfrombrexit #StopBrexit #Resistance #TrumpMustGo https://t.co/SKvjy1g0RK","['antifa', 'trumpmustgo', 'brexit', 'resistance', 'exitfrombrexit', 'stopbrexit', 'trump']"
931582634928558080,319619581,negative,remain,2017-11-17T17:59:42.000Z,@keithdeath @Ref0ff @2351onthelist @JohnStanners @MrTCHarris @Planet_Pedro @Sullivan55Jim @MaureenMary11 @GeeJayJon @Haitch7 @HairyAngus @SpawnofJustice @Maxie_UK @Scotsmark72 @redskykite @ScotNational @theSNP The Government should be pushed into withdrawal of #Article50 or the downfall of said Government of Northern Ireland intransigence. #StopBrexit #exitfrombrexit #Brexit #Remain,"['article50', 'brexit', 'remain', 'exitfrombrexit', 'stopbrexit']"
923962171360464896,780840449963532160,neutral,remain,2017-10-27T17:18:42.000Z,RT TheStephenRalph: #Brexit #StopBrexit #exitfrombrexit #brexitshambles #BrexitReality #Remain #Article50 #FinalS… https://t.co/Uu8YK58HPN,"['article50', 'brexitshambles', 'brexitreality', 'brexit', 'remain', 'finals…', 'exitfrombrexit', 'stopbrexit']"
923525411979563008,17571514,negative,remain,2017-10-26T12:23:11.000Z,"Brexit fundamentalists are the enemy within
#remain #StopBrexit #exitbrexit #exitfrombrexit #Article50 https://t.co/uJcTpx7ZEN","['article50', 'exitbrexit', 'remain', 'exitfrombrexit', 'stopbrexit']"
906498446571528192,319619581,neutral,remain,2017-09-09T12:44:06.000Z,"@Gazza41 @TheSkankworks @BiancaJagger It's the cheapest and easiest option. Withdraw #Article50

#PeoplesMarch #PeoplesMarch4EU #Brexit #StopBrexit #ExitFromBrexit","['article50', 'exitfrombrexit', 'brexit', 'stopbrexit', 'peoplesmarch', 'peoplesmarch4eu']"
937415118299844608,440195248,negative,other,2017-12-03T20:15:55.000Z,"Britain will be totally lost to the evils of Brexit If this man, who is now in a detention centre, is not offered asylum. 
https://t.co/DiChCLEM5m #Interpreter #Asylumseeker #Military #SupportStaff #Britain #ExitFromBrexit","['asylumseeker', 'exitfrombrexit', 'britain', 'interpreter', 'supportstaff', 'military']"
903492708806778880,140743052,neutral,remain,2017-09-01T05:40:22.000Z,Thread explaining how EU parliament works #brexit #stopbrexit #brexitshambles #remain #exitfrombrexit #AutumnIsComing #brexitchaos https://t.co/cpfxCAM5He,"['autumniscoming', 'brexitchaos', 'brexitshambles', 'remain', 'exitfrombrexit', 'stopbrexit', 'brexit']"
892210236437803008,2912847930,neutral,remain,2017-08-01T02:27:51.000Z,"Britain could lose 40,000 investment #bankers after #Brexit – Time #Parliament #Takebackcontrol and #exitfrombrexit  https://t.co/pyJx57zU4t","['bankers', 'parliament', 'brexit', 'exitfrombrexit', 'takebackcontrol']"
914565568509902848,242248086,negative,remain,2017-10-01T18:59:57.000Z,Has Liam Fox so totally intimidated the #BBC that they dare not report the massive Manchester demo against #Brexit ? #exitfrombrexit #Remain,"['bbc', 'brexit', 'remain', 'exitfrombrexit']"
920312369062076416,84703879,positive,other,2017-10-17T15:35:42.000Z,"Reversing Brexit would boost economy, says OECD #exitbrexit #exitfrombrexit #bbc  https://t.co/1htZ7MpscW","['bbc', 'exitbrexit', 'exitfrombrexit']"
891656308046409728,3358213042,negative,remain,2017-07-30T13:46:44.000Z,Even flag-waving Falklanders don't want Brexit https://t.co/gxBea2uivu via @MailOnline next time #BBC say we know - WE DO #exitfrombrexit,"['bbc', 'exitfrombrexit']"
929650583350534144,862770419081805824,negative,other,2017-11-12T10:02:25.000Z,"The unfettered, unbalanced Brexit propaganda on #BBC #Marrshow this morning has been sickening by its extent. Dyson’s slash and burn worldview followed by Gove.  The Brexit Paymasters are obviously getting worried. #ExitfromBrexit","['bbc', 'exitfrombrexit', 'marrshow']"
938381713071276032,536924792,neutral,remain,2017-12-06T12:16:49.000Z,"The Tories and Labour both have no clue on Brexit. Only one UK-wide party does, the @LibDems. We want an #ExitFromBrexit! #LibDems #PMQs #BBCParliament","['bbcparliament', 'libdems', 'exitfrombrexit', 'pmqs']"
910990411723833344,921346700,negative,remain,2017-09-21T22:13:34.000Z,Why are brexiters so scared of a ratification of #brexit deal #bbcqt ?Because the truth will be exposed and stopped #exitfrombrexit #libdem,"['bbcqt', 'exitfrombrexit', 'libdem', 'brexit']"
937649719794335744,3004212106,negative,remain,2017-12-04T11:48:08.000Z,".@BBCNews, please note. #BBCDP #BBCSP #Marr and #Newsnight are all guilty of failing to present a realistic assessment of the state of the #Brexit talks, and the balance of opinion in the country - where increasing numbers of people want an #ExitfromBrexit https://t.co/9WjYZXtJYn","['bbcsp', 'bbcdp', 'newsnight', 'exitfrombrexit', 'brexit', 'marr']"
925695920183836672,159100695,neutral,other,2017-11-01T12:08:00.000Z,#brexit will cost extra £500m - half a billion - in extra staff including 300 lawyers #bedford #ExitfromBrexit,"['bedford', 'exitfrombrexit', 'brexit']"
942870372403306496,332155821,positive,other,2017-12-18T21:33:09.000Z,@faisalislam Thanks for sharing @faisalislam Let's hope Bercow has an effect with this - we need more MPs to vote for the national interest and stop Brexit. Or at least extend Article 50 to give time for proper review and 2nd referendum #bestforbritain #ExitFromBrexit,"['bestforbritain', 'exitfrombrexit']"
906939376382472192,8915982,negative,remain,2017-09-10T17:56:12.000Z,"Toxic Brexit ☣⚠
#BetterTogether ❤ #Remain #PeoplesMarch4EU
#BritishAndEuropean 🇬🇧🕊🇪🇺 
#ExitFromBrexit #EU
https://t.co/uLOZb0fvL3","['bettertogether', 'exitfrombrexit', 'eu', 'remain', 'britishandeuropean', 'peoplesmarch4eu']"
