,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,1140121,743022450766712832,850972862,neutral,other,2016-06-15T10:08:51.000Z,https://t.co/QVCbHPnvg4 #Brexit #fishingforleave#eatmorefish,"['brexit', 'eatmorefish', 'fishingforleave']"
1,1,1,1,1,1146507,743056790359793664,23799381,positive,leave,2016-06-15T12:25:18.000Z,Respect to you. #FishingForLeave #BRexit #EUref https://t.co/gJFhhhS245,"['brexit', 'euref', 'fishingforleave']"
2,2,2,2,2,1140393,743053952397287424,31178944,negative,other,2016-06-15T12:14:02.000Z,Battle of The Thames: Remain activists risk safety with protest at Farage Brexit flotilla https://t.co/wS6QYolgLs #fishingforleave #Brexit,"['brexit', 'fishingforleave']"
3,3,3,3,3,1436348,745557384588754944,2292678794,negative,leave,2016-06-22T10:01:46.000Z,@SkyNews #FishingForLeave #Brexit take back control from the failing EU,"['brexit', 'fishingforleave']"
4,4,4,4,4,1137392,743009134933647360,140222976,neutral,other,2016-06-15T09:15:56.000Z,A flotilla of trawlers piloted pro-#Brexit fishermen with Farage on board is moving down the Thames #FishingForLeave https://t.co/fLTN44RKSU,"['brexit', 'fishingforleave']"
5,5,5,5,5,1152061,743096358752653312,367999975,negative,other,2016-06-15T15:02:32.000Z,Battle of the Thames: Is this what Bob Geldof thinks of British fishermen's EU protest? https://t.co/nY18BbWFip #fishingforleave #Brexit,"['brexit', 'fishingforleave']"
6,6,6,6,6,1180778,743354705594613760,123553298,negative,other,2016-06-16T08:09:07.000Z,"Watch our recap video of the Battle of the Thames (with subtitles) here: https://t.co/cY7ctf4hLA

#fishingforleave | #Brexit","['brexit', 'fishingforleave']"
7,7,7,7,7,1134611,742994142133944320,2349395607,neutral,other,2016-06-15T08:16:22.000Z,https://t.co/JiUkf7gJlX Carhelmar BM23 sailing up the Thames #fishingforleave #Brexit @BBCRadio2 @BBCBreaking ⚓️,"['brexit', 'fishingforleave']"
8,8,8,8,8,1145814,743052973132120064,2341268312,negative,leave,2016-06-15T12:10:08.000Z,@PhilTomkinson Geldof is against #Brexit and #fishingforleave it's the remainers who are desperate,"['brexit', 'fishingforleave']"
9,9,9,9,9,1180876,743355187364933632,123553298,negative,other,2016-06-16T08:11:02.000Z,"@RaheemKassam Watch our recap video of the Battle of the Thames (with subtitles) here: https://t.co/cY7ctf4hLA

#fishingforleave | #Brexit","['brexit', 'fishingforleave']"
10,10,10,10,10,1145717,743052406104166400,2583066531,positive,other,2016-06-15T12:07:53.000Z,"#fishingforleave :He's not a Sir, just a scruffy loud mouthed Irish man with inflated sense of importance. #Brexit  https://t.co/5SVAcXDoTC","['brexit', 'fishingforleave']"
11,11,11,11,11,1138333,743013688278454272,3807368123,neutral,other,2016-06-15T09:34:02.000Z,"#fishingforleave, the #Brexit flotilla ✌ https://t.co/tDY5x9RN2q","['brexit', 'fishingforleave']"
12,12,12,12,12,1141326,743028766553853952,95987075,neutral,other,2016-06-15T10:33:57.000Z,@jimwaterson Real fishermen/women fighting peacefully for their right to fish in our waters- and you scoff? #fishingforleave  #Brexit,"['brexit', 'fishingforleave']"
13,13,13,13,13,1151420,743091659718692864,2392520408,neutral,leave,2016-06-15T14:43:52.000Z,"#fishingforleave  I'm with uou
#Brexit https://t.co/7XlBLWaFJ7","['brexit', 'fishingforleave']"
14,14,14,14,14,1144966,743047584047071232,95987075,negative,remain,2016-06-15T11:48:43.000Z,@sirmikeuk EU won't let us now Mike- but as soon as we #Brexit #fishingforleave we bloody well will!!,"['brexit', 'fishingforleave']"
15,15,15,15,15,1116901,742833447023087616,2341268312,neutral,other,2016-06-14T21:37:49.000Z,"@KevinJPringle @HumzaYousaf @MSmithsonPB Scotland is going to vote out, including most of SNP membership. #Brexit #fishingforleave","['brexit', 'fishingforleave']"
16,16,16,16,16,1172646,743339037948207104,36447473,negative,other,2016-06-16T07:06:51.000Z,GeenPeilTV: Battle of the Thames! #fishingforleave #Brexit  https://t.co/GeMBgZLhKb,"['brexit', 'fishingforleave']"
17,17,17,17,17,1184378,743373413964713984,270327100,negative,other,2016-06-16T09:23:27.000Z,I'ts not funny when you loose your livelihood #fishingforleave #Brexit  https://t.co/yYgvC9tu0h,"['brexit', 'fishingforleave']"
