,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,2451486,746735266044518400,22351550,positive,other,2016-06-25T16:02:15.000Z,"Best post Brexit trama treatment 
N. Ireland vs Wales 
#euro #bale #brexit #fuckbrexit #paris… https://t.co/0U2E8WyqmU","['bale', 'paris…', 'fuckbrexit', 'euro', 'brexit']"
1,1,1,1,1,1,1014681,741356199669583872,14780022,negative,remain,2016-06-10T19:47:46.000Z,"The overriding fact is that leaving the Single Market is an eye-wateringly retarded idea. 

#FuckBrexit #Dumbrexit
#Dunbrexitin' 😂 #Brexit","['dunbrexitin', 'dumbrexit', 'brexit', 'fuckbrexit']"
2,2,2,2,2,2,832590,737414190323896320,727593506005499904,neutral,other,2016-05-30T22:43:38.000Z,#EU #repost #Brexit #fuckbrexit by _almcxo https://t.co/h77p9MsDSc https://t.co/NkL7KrhnaL,"['eu', 'fuckbrexit', 'brexit', 'repost']"
3,3,3,3,3,3,2261504,746460419863216128,337787282,neutral,remain,2016-06-24T21:50:07.000Z,Serious toilet graffiti today @theaudartexp #fuckbrexit #brexit #EUref https://t.co/uEim7lV2FM,"['euref', 'fuckbrexit', 'brexit']"
4,4,4,4,4,4,1692378,746225892909670400,14651666,negative,other,2016-06-24T06:18:11.000Z,"Farage has just called those who voted for Brexit ""the little people"" live on Radio 4. What a shit #fuckbrexit",['fuckbrexit']
5,5,5,5,5,5,2216771,746451498209546240,337787282,negative,other,2016-06-24T21:14:40.000Z,"HARD TIMES CALL FOR FURIOUS DANCING... Nachthexen: ""Fuck Brexit"" #fuckbrexit @theaudartexp https://t.co/jd4SzQsP5Z",['fuckbrexit']
6,6,6,6,6,6,2305787,746533538334289920,2995042526,negative,other,2016-06-25T02:40:40.000Z,"Just in case you were wondering, FUCK BREXIT.
#fuckbrexit #brexit https://t.co/MiJ0F2V7h7","['fuckbrexit', 'brexit']"
7,7,7,7,7,7,1792458,746233203476684800,151921029,negative,remain,2016-06-24T06:47:14.000Z,WTF UK?? The worst Friday ever! #fuckbrexit #brexit,"['fuckbrexit', 'brexit']"
8,8,8,8,8,8,1227427,743782694274928640,101891231,positive,remain,2016-06-17T12:29:47.000Z,Just heard a #Brexit supporter murdered an MP bc she was voting to remain in the EU #fuckBrexit,"['fuckbrexit', 'brexit']"
9,9,9,9,9,9,2271651,746472110030225408,3288763731,neutral,other,2016-06-24T22:36:34.000Z,This is the most eloquent way to sum up #Brexit #fuckbrexit  https://t.co/R5I5dIXHqD,"['fuckbrexit', 'brexit']"
10,10,10,10,10,10,1862538,746256022952644608,394213513,neutral,remain,2016-06-24T08:17:55.000Z,"Kinda feel like crying out ""I thought we were friends""! #brexit #fuckbrexit","['fuckbrexit', 'brexit']"
11,11,11,11,11,11,2202718,746411794718064640,2374197565,negative,remain,2016-06-24T18:36:54.000Z,most of the people who voted Leave. #Brexit #fuckBrexit https://t.co/SPHLXRnHd8,"['fuckbrexit', 'brexit']"
12,12,12,12,12,12,1872195,746259658957066240,630115880,negative,remain,2016-06-24T08:32:22.000Z,Fuck Brexit. Sad sad day. #fuckbrexit #EURefResults #Brexit,"['fuckbrexit', 'brexit', 'eurefresults']"
13,13,13,13,13,13,2258036,746486675375857664,1157195108,negative,other,2016-06-24T23:34:27.000Z,Cockwomble &amp; shitgibbon. Fave insults of the day or the best crime fighting team the UK has to offer? #Brexit  #fuckbrexit #fuckitsideways,"['fuckbrexit', 'brexit', 'fuckitsideways']"
14,14,14,14,14,14,1076277,742432189762129920,11692692,positive,remain,2016-06-13T19:03:22.000Z,Fury as Leave campaign warns of 'Orlando-style atrocity' in UK unless Brexit wins #fuckFarage #fuckBrexit https://t.co/3m9IFioDZn,"['fuckbrexit', 'fuckfarage']"
15,15,15,15,15,15,2277208,746479303127404544,574619857,positive,leave,2016-06-24T23:05:09.000Z,Come on. Please viral-ise this. Here's hashtags: #lostforwords #theft  #brexit #fuckbrexit https://t.co/xYxAAb3I94,"['lostforwords', 'fuckbrexit', 'theft', 'brexit']"
16,16,16,16,16,16,1396751,745329650482708480,157026365,negative,other,2016-06-21T18:56:50.000Z,Harvey thinks brexit is a big pile of steaming shit.  #VOTEREMAIN #fuckbrexit #CatsAgainstBrexit https://t.co/NevJEXpqnW,"['voteremain', 'fuckbrexit', 'catsagainstbrexit']"
17,17,17,17,17,17,178283,747127307962200064,186710539,negative,remain,2016-06-26T18:00:05.000Z,"https://t.co/MIl8vPnnQu
#Brexit #Racism Assholes reveal themselves in full force
#Bigotry #WhiteHate #FuckBrexit
#FuckIntolerance","['bigotry', 'whitehate', 'brexit', 'fuckbrexit', 'racism', 'fuckintolerance']"
18,18,18,18,18,18,129152,747040295951360000,297875762,negative,other,2016-06-26T12:14:20.000Z,Millennials blame older generations for #Brexit https://t.co/Gst5yaFo1N via @YouTube - #FuckBrexit,"['brexit', 'fuckbrexit']"
19,19,19,19,19,19,1102347,749984975743844352,96193102,negative,leave,2016-07-04T15:15:26.000Z,Fuck the Brexit vote we are going to Europe anyway! #fuckbrexit #cancerouswombontour @ Port of… https://t.co/gNLjTFo6WQ,"['cancerouswombontour', 'fuckbrexit']"
20,20,20,20,20,20,163512,747100116109123584,19643354,positive,remain,2016-06-26T16:12:02.000Z,"Just heard my Spanish sister-in-law and her Chinese pal were asked ""Why are you still here? Leave won."" #brexit #fuckbrexit #disgraceful","['disgraceful', 'fuckbrexit', 'brexit']"
21,21,21,21,21,21,19541,746779530954575872,17883011,negative,other,2016-06-25T18:58:09.000Z,At the Fuck Brexit rally this afternoon...🍋🍋🍋 #fuckbrexit #brexit #eu #weloveeu #boris… https://t.co/1OXVEkcZuC,"['eu', 'boris…', 'fuckbrexit', 'weloveeu', 'brexit']"
22,22,22,22,22,22,20722,746781576642498560,17883011,negative,other,2016-06-25T19:06:17.000Z,✊🏼✊🏼✊🏼 At the Fuck Brexit rally this afternoon...🇪🇺🇪🇺🇪🇺 #fuckbrexit #brexit #eu #weloveeu #boris… https://t.co/JXUCU343HO,"['eu', 'boris…', 'fuckbrexit', 'weloveeu', 'brexit']"
23,23,23,23,23,23,787024,748415690810527744,1000612638,negative,other,2016-06-30T07:19:40.000Z,Me hierve la sangre.. #fuck#Brexit https://t.co/1lhtaMOjaT,['fuckbrexit']
24,24,24,24,24,24,1067021,749879483725905920,368845081,neutral,other,2016-07-04T08:16:15.000Z,"https://t.co/W4PKaNxFzY “BoJo urges Set out brexit positives” … Uh, wasn’t this *your* job during the campaign? #FuckBrexit",['fuckbrexit']
25,25,25,25,25,25,1735940,757110981612933120,2826747794,neutral,other,2016-07-24T07:11:39.000Z,#FuckBrexit This is a total tragedy. Popular student exchange could face post-Brexit axe https://t.co/tX1bt6GB3f,['fuckbrexit']
26,26,26,26,26,26,1702433,756419925468651520,93605978,negative,remain,2016-07-22T09:25:38.000Z,"Well done Leavers!!! #FUCKBREXIT Brexit plunges UK economy to worst level since 2009, data suggests https://t.co/Z0yAp91sSN",['fuckbrexit']
27,27,27,27,27,27,141548,747090803214917632,42275429,neutral,other,2016-06-26T15:35:02.000Z,These wankers appeared on my lawn because of Brexit. #fuckbrexit. https://t.co/tLD2TA8Bbc,['fuckbrexit']
28,28,28,28,28,28,1854312,759690718747254784,741736436613951488,neutral,remain,2016-07-31T10:02:36.000Z,Nijmegen today is dark! But it's still brighter than Brexit. #fuckbrexit https://t.co/QryuYIBTAh,['fuckbrexit']
29,29,29,29,29,29,1513583,753509501886685184,369417281,neutral,other,2016-07-14T08:40:39.000Z,Pre-Brexit; 0 Pokémon. Post-Brexit; 150 Pokémon. #FuckBrexit,['fuckbrexit']
30,30,30,30,30,30,2405612,777576827367911424,93605978,negative,leave,2016-09-18T18:35:36.000Z,It is not ‘time to move on’ over Brexit: it’s time to fight https://t.co/xPTihjBBXF #fuckbrexit,['fuckbrexit']
31,31,31,31,31,31,95467,747015955847471104,95259869,neutral,leave,2016-06-26T10:37:37.000Z,"why are people referring to brexit as 'independence day,' 😳 can u not #fuckbrexit",['fuckbrexit']
32,32,32,32,32,32,954659,749108517894631424,93605978,neutral,other,2016-07-02T05:12:43.000Z,What future for post-Brexit UK science? #FUCKBREXIT https://t.co/tK2U8palCz,['fuckbrexit']
