t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746268569768329216,34572206,negative,remain,2016-06-24T09:07:46.000Z,I've got nothing. So fucking angry. #Brexit #fuckukip,"['brexit', 'fuckukip']"
746364285324931072,1154709402,neutral,remain,2016-06-24T15:28:07.000Z,#Brexit Coyote catches roadrunner - now what? #fuckUKIP #remain #freeScotland #UnitedIreland https://t.co/qz86muchJx,"['freescotland', 'brexit', 'remain', 'fuckukip', 'unitedireland']"
748481674367873024,15748814,positive,other,2016-06-30T11:41:51.000Z,#conservatives have now the historical opportunity to hold off #brexit by chosing a PM that wants to #remain in #europe and say #fuckukip,"['europe', 'conservatives', 'remain', 'fuckukip', 'brexit']"
755178258174390272,63878566,neutral,other,2016-07-18T23:11:41.000Z,"Instead of watching the world burn via #republicannationalconvention #RNC or #Brexit #FuckUKIP,… https://t.co/5EzOpeyE3A","['fuckukip', 'brexit', 'rnc', 'republicannationalconvention']"
784268026971496448,3376004656,neutral,leave,2016-10-07T05:44:03.000Z,"#UKIP EU lawmaker crass buffoon in hospital after 'altercation' #lyingpigs #brexit #fuckukip
https://t.co/CY9jGf8Wss via @YahooNews","['ukip', 'fuckukip', 'lyingpigs', 'brexit']"
1012474274257489920,45970216,negative,remain,2018-06-28T23:14:12.000Z,"#FuckUKIP 
#FuckBrexit

We've been CONned by a profiteer shell game.
Just not cricket.

Demand a #PeoplesVote 

Please sign &amp; share: https://t.co/Iucfmv9Ge8 

Brexit is a mistake

#StopBrexit #StopBrexitSaveWales 
#StopBrexitSaveBrum
#StopBrexitSaveBritain
#BSTS #WiseUp #RiseUp https://t.co/59KjNWx9sO","['wiseup', 'bsts', 'fuckukip', 'fuckbrexit', 'stopbrexitsavebrum', 'stopbrexitsavewales', 'riseup', 'peoplesvote', 'stopbrexit', 'stopbrexitsavebritain']"
1012474274257489920,45970216,negative,remain,2018-06-28T23:14:12.000Z,"#FuckUKIP 
#FuckBrexit

We've been CONned by a profiteer shell game.
Just not cricket.

Demand a #PeoplesVote 

Please sign &amp; share: https://t.co/Iucfmv9Ge8 

Brexit is a mistake

#StopBrexit #StopBrexitSaveWales 
#StopBrexitSaveBrum
#StopBrexitSaveBritain
#BSTS #WiseUp #RiseUp https://t.co/59KjNWx9sO","['wiseup', 'bsts', 'fuckukip', 'fuckbrexit', 'stopbrexitsavebrum', 'stopbrexitsavewales', 'riseup', 'peoplesvote', 'stopbrexit', 'stopbrexitsavebritain']"
1068707512516575232,275662572,negative,remain,2018-12-01T03:25:01.000Z,"""And we will make our citizens pay for it..."" 😡 #Brexit #fuckUKIP British people you're so fucked! Maybe GLONASS after Putin payed
all this fuckin right wing fascist liars? 😂 https://t.co/poj4muM6CG","['brexit', 'fuckukip']"
1068707512516575232,275662572,negative,remain,2018-12-01T03:25:01.000Z,"""And we will make our citizens pay for it..."" 😡 #Brexit #fuckUKIP British people you're so fucked! Maybe GLONASS after Putin payed
all this fuckin right wing fascist liars? 😂 https://t.co/poj4muM6CG","['brexit', 'fuckukip']"
1063880906811805696,859440075838554112,negative,leave,2018-11-17T19:45:48.000Z,"@UKIP Some of us don't actually want brexit, also you're just saying that we should vote for a bunch of racists and hypocrites, no thanks. #votestay #Labour #fuckUKIP","['votestay', 'labour', 'fuckukip']"
