t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1178291190472548352,757144396643049472,neutral,other,2019-09-29T12:51:26.000Z,"Where do you stand on the whole 'there should be rioting on the streets to get Brexit done' idea Mr Mercer @JohnnyMercerUK? Our Police are truly marvellous but there aren't enough of them to deal with all the rioters are there? Or is this just 'Humbug'?
#66Million 
#GetBrexitGone https://t.co/507BQHx9cJ","['66million', 'getbrexitgone']"
1178623376136589312,873428478170890240,neutral,other,2019-09-30T10:51:25.000Z,"@JohnMcGlynn @hilarybennmp Why do Leavers always consider themselves the ""British People""?

There are #66Million British people and the majority did NOT vote for #brexit and the British people who did all voted for different, equally undeliverable, versions of it.

#GetBrexitGone","['66million', 'getbrexitgone', 'brexit']"
1178325852960038912,872066794437185408,positive,remain,2019-09-29T15:09:10.000Z,"@SkyNews #ConservativePartyConference #Brexit #Marr #66Million what he seems 2 not mention is the fact the vulnerable, the elderly &amp; others will suffer more without a #NoDeal scenario but no worries higher-ups in our society will be fine so #GetBrexitDone or #GetBrexitGone it is that easy","['66million', 'getbrexitgone', 'getbrexitdone', 'brexit', 'nodeal', 'conservativepartyconference', 'marr']"
1178305749736407040,1111645725283225600,neutral,remain,2019-09-29T13:49:17.000Z,"#66Million understand it affects all of us! #ZeroChance any Brexit will help anyone but the 1% who are prepared to break any U.K. Law to achieve it. 

#GetBrexitGone #LiarJohnson #RevokeA50 #RevokeArticle50 #SundayThoughts #Corruption #EnoughIsEnough #stopBrexit https://t.co/5aHKYYeiof","['66million', 'liarjohnson', 'revokea50', 'getbrexitgone', 'revokearticle50', 'enoughisenough', 'stopbrexit', 'corruption', 'zerochance', 'sundaythoughts']"
1178235551947923456,942545585210646400,negative,remain,2019-09-29T09:10:20.000Z,"#66Million #GetBrexitGone #RevokeA50 #Remain

Why Brexit Is Bullshit, And Always Was. 

https://t.co/pNrdfvaRE4","['66million', 'revokea50', 'remain', 'getbrexitgone']"
1178544830370271232,32456965,negative,other,2019-09-30T05:39:18.000Z,"Brexit has been moving our country backwards for the past three years. 

To #GetBrexitDone is to damn us to decades of trade negotiations, uncertainty and international isolation. 

So, don’t be so undemocratic and selfish and #AskTheNation 

We want to #GetBrexitGone https://t.co/8wplrk0qpX","['askthenation', 'getbrexitdone', 'getbrexitgone']"
1177564704220336128,3390960802,neutral,other,2019-09-27T12:44:38.000Z,Is there research in the cost of Brexit? #AtWhatCost. Of course there is. And it gives you every reason to #GetBrexitGone https://t.co/iGEfAE6Sot,"['atwhatcost', 'getbrexitgone']"
1177563157017088000,16058455,positive,other,2019-09-27T12:38:29.000Z,"#GetBrexitGone #AtWhatCost On top of the fact that she is unable to travel because of her condition... Yes, a lot of people think EU nationals can just “go back to their countries” after Brexit because they don’t realise they’ve made their lives in the UK. https://t.co/6lRU7UThzp","['atwhatcost', 'getbrexitgone']"
1177571950266372096,1090216530590269440,positive,other,2019-09-27T13:13:25.000Z,If you want #brexit over then #GetBrexitGone Getting it done is not a quick option and #AtWhatCost,"['atwhatcost', 'getbrexitgone', 'brexit']"
1177569647861882880,351856704,positive,other,2019-09-27T13:04:16.000Z,"The Impact of Brexit on UK Firms - a study by Stanford University, August 2019. #AtWhatCost, one might ask? Better to #RevokeA50 and #GetBrexitGone 

https://t.co/BAUdMNIk5X","['atwhatcost', 'revokea50', 'getbrexitgone']"
