,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,50966,695302094530674688,3135565264,positive,leave,2016-02-04T17:45:12.000Z,"should be good ...

#NigelFarage is on #bbcqt tonight 

#LeaveEU #EURef #StrongerIn #EUdeal #LeadNotLeave #Brexit https://t.co/PE5yc0u0UF","['bbcqt', 'eudeal', 'brexit', 'euref', 'leadnotleave', 'leaveeu', 'nigelfarage', 'strongerin']"
1,1,1,1331201,744907326990262272,2479436480,neutral,remain,2016-06-20T14:58:41.000Z,EU mass immigration? Without the polish plumber the UK would be in deep water. #brexit #bremain #betterin #uk #referendum #leadnotleave,"['betterin', 'referendum', 'uk', 'brexit', 'leadnotleave', 'bremain']"
2,2,2,11074,687030735883087872,3135565264,neutral,leave,2016-01-12T21:57:46.000Z,"Im voting to #LeaveEU

#BetterOffOut #LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit https://t.co/ETeHZDBQ2I","['betteroffout', 'brexit', 'strongerout', 'euref', 'leadnotleave', 'leaveeu', 'strongerin']"
3,3,3,23863,690798835703136256,3135565264,neutral,other,2016-01-23T07:30:51.000Z,"Britain is #BetterOffOut

 #LeaveEU #EURef #StrongerIn #StrongerOut
#Brexit #EUreferendum #VoteIN  #LeadNotLeave 

https://t.co/w7KQHHcD7o","['betteroffout', 'brexit', 'strongerout', 'euref', 'votein', 'eureferendum', 'leadnotleave', 'leaveeu', 'strongerin']"
4,4,4,59959,696612401500782592,3135565264,neutral,other,2016-02-08T08:31:53.000Z,"Who runs OUR Country ?

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN #BetterOffOut https://t.co/oRLbOvwxF9","['betteroffout', 'brexit', 'strongerout', 'euref', 'votein', 'leadnotleave', 'leaveeu', 'strongerin']"
5,5,5,712195,732955663773650944,731465935308128128,neutral,other,2016-05-18T15:27:02.000Z,"Over 3 Million EU citizens are currently living in the UK, all can remain after a Brexit. #BetterOffOut #VoteIn #LeadNotLeave #EUReferendum","['betteroffout', 'votein', 'leadnotleave', 'eureferendum']"
6,6,6,813198,736568969784610816,731465935308128128,neutral,remain,2016-05-28T14:45:01.000Z,It is estimated that 50%-80% of new UK laws and regulations are coming from the EU. #Brexit #BRemain #LeadNotLeave #EUReferendum,"['bremain', 'brexit', 'leadnotleave', 'eureferendum']"
7,7,7,717793,733206314650849280,731465935308128128,positive,other,2016-05-19T08:03:02.000Z,48% of small businesses say access to free movement across the EU has been positive (Source: CBI). #Brexit #LeadNotLeave #BRemain #EURef,"['bremain', 'euref', 'brexit', 'leadnotleave']"
8,8,8,12166,687389633131507712,3135565264,neutral,other,2016-01-13T21:43:54.000Z,"@Cllrporter @Arron_banks 

#Brussels (#EU) is the thorn in our side

#LeaveEU #EURef #StrongerIn #StrongerOut #LeadNotLeave #Brexit #VoteIN","['brexit', 'brussels', 'strongerout', 'euref', 'votein', 'leadnotleave', 'leaveeu', 'strongerin']"
9,9,9,18255,689517237573656576,3135565264,neutral,leave,2016-01-19T18:38:14.000Z,"Britain is giving your money to #EU then to be told what to do ?

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit https://t.co/kMtao9COcF","['brexit', 'euref', 'leadnotleave', 'leaveeu', 'eu', 'strongerin']"
10,10,10,14587,688270888702205952,3135565264,neutral,leave,2016-01-16T08:05:41.000Z,"Just think what UK could do with all that money we send to #EU ?

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit https://t.co/n1ir6w6FDl","['brexit', 'euref', 'leadnotleave', 'leaveeu', 'eu', 'strongerin']"
11,11,11,48877,695016762715291648,3135565264,positive,leave,2016-02-03T22:51:23.000Z,"`#Turkey are being given visa free access to #EU in Oct 2016 ?

#LeaveEU #EURef #StrongerIn  #LeadNotLeave #Brexit  https://t.co/tJ5cQtqo04","['brexit', 'euref', 'leadnotleave', 'leaveeu', 'eu', 'strongerin']"
12,12,12,73122,698542053932822528,3135565264,neutral,remain,2016-02-13T16:19:38.000Z,"the end of #Schengen is the end of the #EU ..!

#EU RIP

#LeaveEU #EURef #StrongerIn #LeadNotLeave #Brexit #No2EU https://t.co/TbHjjGnDXx","['brexit', 'euref', 'leadnotleave', 'leaveeu', 'schengen', 'eu', 'no2eu', 'strongerin']"
13,13,13,48865,695015671219019776,3135565264,neutral,other,2016-02-03T22:47:03.000Z,"The UK is being taken for a ride ,thats why Im voting to #LeaveEU

#EURef #StrongerIn #LeadNotLeave #Brexit #VoteIN https://t.co/6dIWZOhMKO","['brexit', 'euref', 'votein', 'leadnotleave', 'leaveeu', 'strongerin']"
14,14,14,1045649,741941462821146624,3346451062,negative,remain,2016-06-12T10:33:23.000Z,"@SarahHenney @Welfare_Weekly If we get #Brexit I shall pull up my deckchair pour myself a Pimms &amp; watch the disaster unfold...
#LeadNotLeave","['brexit', 'leadnotleave']"
15,15,15,910302,739484239863906304,185752335,positive,other,2016-06-05T15:49:16.000Z,"Gove, IDS, Bojo and Farage it's hard to think of 4 people who could less plausibly advocate for greater NHS funding #Brexit #leadnotleave","['brexit', 'leadnotleave']"
16,16,16,1069552,742332248238764032,313775431,neutral,other,2016-06-13T12:26:14.000Z,@2commakid is 350m a week sent to the EU a lie? #Brexit #leadnotleave,"['brexit', 'leadnotleave']"
17,17,17,992488,741022631776944128,63669863,positive,remain,2016-06-09T21:42:17.000Z,"Powerful film. Europe would lose from #Brexit, but Britain would lose so much more. #leadnotleave https://t.co/RscxVQhDto","['brexit', 'leadnotleave']"
18,18,18,722858,733396999970684928,454146836,neutral,leave,2016-05-19T20:40:45.000Z,#Brexit #leadnotleave official polling card for postal vote just arrived. The time has come. https://t.co/kAAfDyVdAv,"['brexit', 'leadnotleave']"
19,19,19,969825,740655067393609728,20903947,positive,other,2016-06-08T21:21:43.000Z,@ctr246 @HBaldwinMP I'm sure there are some arguments for #Brexit but it's not the best option for Britain. We should #leadnotleave Europe.,"['brexit', 'leadnotleave']"
20,20,20,1028411,741616407922642944,139388024,neutral,other,2016-06-11T13:01:44.000Z,This why #Brexit should be #leadnotleave https://t.co/D7MVTbIkPy,"['brexit', 'leadnotleave']"
21,21,21,1171383,743331303915851776,143013503,positive,remain,2016-06-16T06:36:07.000Z,"#Brexit ?
Gordon Brown's #LeadNotLeave .

2' worth listening.

https://t.co/yjBWuc8SB7","['brexit', 'leadnotleave']"
22,22,22,904514,739366665088028672,427789815,positive,other,2016-06-05T08:02:04.000Z,#leadnotleave very nice ad by Gordon Brown on #Brexit referendum https://t.co/hHKC3tRAE0,"['brexit', 'leadnotleave']"
23,23,23,1155182,743117805395050496,419622371,positive,other,2016-06-15T16:27:45.000Z,"Strongly supporting with Gordon Brown,@carlbildt and some Eu leaders the #LeadnotLeave Manifesto against #Brexit  https://t.co/ku3yQ8d08F”","['brexit', 'leadnotleave']"
24,24,24,910736,739493700338896896,3817211188,positive,other,2016-06-05T16:26:51.000Z,A powerful message to #leadnotleave in the #Brexit debate https://t.co/AESB5NpnXR,"['brexit', 'leadnotleave']"
25,25,25,1003859,741223647134781440,701397373000556544,neutral,other,2016-06-10T11:01:03.000Z,"#leadnotleave and #Brexit: Jeremy Corbyn, saboteur https://t.co/saQvcSgX10","['brexit', 'leadnotleave']"
26,26,26,981773,740888708233203712,152622044,positive,other,2016-06-09T12:50:07.000Z,For all you #Brexit fans: Great video from @OfficeGSBRown #LeadNotLeave @SarahBrownUK https://t.co/OW8Bbvqg8X,"['brexit', 'leadnotleave']"
27,27,27,1092077,742617098548056064,360490001,positive,remain,2016-06-14T07:18:08.000Z,This video from Gordon Brown is brilliant - shows how #Brexit would be a disaster + we must stay in EU #leadnotleave https://t.co/q6R80ycNZd,"['brexit', 'leadnotleave']"
28,28,28,1079824,742473879784919040,1030900315,neutral,other,2016-06-13T21:49:02.000Z,#leadnotleave Gordon Brown meets @JunckerEU tomorrow at 10h30 at the @EU_Commission #Brexit  https://t.co/fmunx4hqu2,"['brexit', 'leadnotleave']"
29,29,29,1223019,743743164972838912,18577886,positive,other,2016-06-17T09:52:43.000Z,"Retweeted Jaime Noain (@jaimenoain):

#Brexit would be a greater deterrent for talented workers than for the unskilled ones. #leadnotleave","['brexit', 'leadnotleave']"
30,30,30,1052614,742064539626274816,300926828,neutral,other,2016-06-12T18:42:27.000Z,This has made up my mind on #EUref and #Brexit #LeadNotLeave https://t.co/M5s3BQaI0M,"['brexit', 'leadnotleave', 'euref']"
31,31,31,896730,739069890599002112,26242418,positive,leave,2016-06-04T12:22:47.000Z,Great message by Gordon Brown! https://t.co/Kusz8Rktzs #leadnotleave #Brexit #EUreferendum,"['brexit', 'leadnotleave', 'eureferendum']"
32,32,32,1181213,743357050835460096,29994217,negative,remain,2016-06-16T08:18:26.000Z,There you go: three times the annual cost of EU membership lost in just one day because of #Brexit fears. #leadnotleave #stockmarket,"['brexit', 'leadnotleave', 'stockmarket']"
