t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
726863813128163328,562236448,negative,other,2016-05-01T20:00:12.000Z,"@Michael_Heaver #immigration may be today's poster boy, but #Leave needs now to focus on the fiscal arguments for #Brexit or we get € #2025","['2025', 'brexit', 'leave', 'immigration']"
702123088935309312,264190517,positive,other,2016-02-23T13:29:23.000Z,Interesting to learn that the UK would stay full members of the EU for two years after a #Leave vote in the #Brexit #referendum. #23June,"['23june', 'brexit', 'leave', 'referendum']"
744435323619409920,16729844,negative,other,2016-06-19T07:43:06.000Z,"#Brexit Poll #4: Guardian/Observer, #Remain and #Leave on 44% each with 10% undecided https://t.co/DGXyXaiCf5","['4', 'brexit', 'remain', 'leave']"
746295645489733632,87741755,negative,remain,2016-06-24T10:55:22.000Z,#brexit creates a political #ShitStorm across #Europe #EU #Article50 #PopGoesTheEuro #Remain #Leave No more #4thReich  Bye bye Merkel,"['4threich', 'article50', 'eu', 'popgoestheeuro', 'remain', 'leave', 'europe', 'shitstorm', 'brexit']"
738252020637962240,288694594,negative,remain,2016-06-02T06:12:52.000Z,#Brexit: if #absurd #MichaelGove thinks #UKTrade won't dip on #Leave will he pledge 2016 ministerial salary? #allmouthnotrousers #Remain,"['absurd', 'brexit', 'michaelgove', 'uktrade', 'leave', 'remain', 'allmouthnotrousers']"
746207390916190208,119322785,positive,remain,2016-06-24T05:04:40.000Z,I hope #Brexit voters remember all the promises that were made to them by the #Leave leaders &amp; make sure they deliver same. #Accountability,"['accountability', 'brexit', 'leave']"
740993448233308160,1337470333,positive,remain,2016-06-09T19:46:19.000Z,Good - don't want any misconceptions of #facts or #accuracy from him or #leave / #brexit https://t.co/UHTeFBzeXG,"['accuracy', 'brexit', 'facts', 'leave']"
745574567058472960,132230647,positive,other,2016-06-22T11:10:03.000Z,"Maybe #Leave #Lexit #Brexit MEPs can't. 
But @TheGreenParty MEPs can &amp; do https://t.co/36urpvYBuT #effective #action https://t.co/t6GmFjrjJI","['action', 'lexit', 'brexit', 'leave', 'effective']"
702176128463675392,198158187,negative,remain,2016-02-23T17:00:09.000Z,"Will Arsenal vote to #Remain in or #leave Europe?
#Arsexit #AFCvFCB #Brexit","['afcvfcb', 'arsexit', 'leave', 'brexit', 'remain']"
745663422797385728,3216771141,negative,other,2016-06-22T17:03:08.000Z,UK #AGRICULTURE AND #BREXIT: WHAT ARE THE IMPLICATIONS? https://t.co/CACS6Rbzjf #euref #eureferendum #leave #remain https://t.co/3zgb3H67cY,"['agriculture', 'euref', 'leave', 'remain', 'brexit', 'eureferendum']"
745738757467439104,3216771141,negative,other,2016-06-22T22:02:29.000Z,UK #AGRICULTURE AND #BREXIT: WHAT ARE THE IMPLICATIONS? https://t.co/CACS6Rbzjf #euref #eureferendum #leave #remain https://t.co/nnJ2TRFe1u,"['agriculture', 'euref', 'leave', 'remain', 'brexit', 'eureferendum']"
737195341859201024,14234919,negative,other,2016-05-30T08:14:00.000Z,"#TuringTest: parsing Daily Mail headlines e.g. ""#Brexit #Leave Tory civil war"". Only #AI can make sense of this. https://t.co/VNt97XlggT","['ai', 'leave', 'turingtest']"
722761790166278144,481489755,negative,remain,2016-04-20T12:20:13.000Z,". @georgemagnus1  George, you were right! Seems extremist, utopian #Brexit brexit eers are running #Leave campaign = #albanianmodel","['albanianmodel', 'brexit', 'leave']"
746193849542795264,20251654,positive,leave,2016-06-24T04:10:51.000Z,Congrats to UK #Leave campaign on #Brexit🇬🇧! Americans in that position would vote the same way. https://t.co/uN95ZbAMUQ #ALECIdeas,"['alecideas', 'leave', 'brexit🇬🇧']"
