t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
696611817414619136,3055998605,positive,other,2016-02-08T08:29:34.000Z,"#LeaveEUOfficial  #Brexit #euref  EU nice idea but does not work: migrants,CAP, CFP, expenses gravy train. #BetterOffOut.","['betteroffout', 'brexit', 'leaveeuofficial', 'euref']"
735824937525596160,2313099380,positive,other,2016-05-26T13:28:30.000Z,#Brexit #LeaveEUOfficial https://t.co/6zIUKrU0rH If we vote to remain (probably fixed) I am leaving UK for good! https://t.co/TSPMDoGUln,"['brexit', 'leaveeuofficial']"
735824614371303424,2313099380,positive,other,2016-05-26T13:27:13.000Z,#Brexit #LeaveEUOfficial https://t.co/6zIUKrU0rH If we vote to remain (probably fixed) I am leaving UK for good! https://t.co/5g3YmUXidW,"['brexit', 'leaveeuofficial']"
745550142162427904,234549856,positive,leave,2016-06-22T09:33:00.000Z,Why Britain could have a great future outside a broken EU https://t.co/c6GFLLDLt3 via https://t.co/xHZLnOjTMa #LeaveEUofficial #Brexit,"['brexit', 'leaveeuofficial']"
737388600439017472,1427484877,negative,leave,2016-05-30T21:01:57.000Z,Yes!  #Brexit #LeaveEUOfficial 🙏👍👌💯 so tired of this EU stranglehold we're currently stuck In. 😞 https://t.co/2JkVfiL3ig,"['brexit', 'leaveeuofficial']"
745043671763066880,2573494728,neutral,leave,2016-06-21T00:00:28.000Z,"Working on a cryptic allegory about #Brexit/ #leaveEUofficial. The crocodile is fascism, the rest is figurative https://t.co/YHLZW6sr3Y","['brexit', 'leaveeuofficial']"
726111382110871552,89001587,negative,leave,2016-04-29T18:10:18.000Z,"#LeaveEUOfficial #Brexit The only economic losers of leaving are the unelected ""club"" who we will no longer fund. https://t.co/ucdLm3XNWp","['brexit', 'leaveeuofficial']"
736069134065143808,2313099380,positive,leave,2016-05-27T05:38:51.000Z,#Brexit #LeaveEUOfficial #Voteleave 23rd June 2016 Let's make Britain Great again! https://t.co/49dRwtzWu0,"['brexit', 'leaveeuofficial', 'voteleave']"
720352055165116416,2255146519,positive,other,2016-04-13T20:44:48.000Z,"Instead of jockeying for position, lets all stand in a straight line and show unity - #Vote_Leave #LeaveEUofficial #Brexit","['brexit', 'leaveeuofficial', 'voteleave']"
736069242211078144,2313099380,positive,leave,2016-05-27T05:39:17.000Z,#Brexit #LeaveEUOfficial #Voteleave 23rd June 2016 Let's make Britain Great again! https://t.co/zFnjE6LPDu,"['brexit', 'leaveeuofficial', 'voteleave']"
