t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
741956321373786112,504397035,neutral,leave,2016-06-12T11:32:26.000Z,"Vote #Brexit and #BreakTheGame 
#LeaveEurope #BELIEVE https://t.co/1D5apd6R11","['believe', 'brexit', 'breakthegame', 'leaveeurope']"
746184714646589440,1252144297,neutral,other,2016-06-24T03:34:34.000Z,"Trending of #LeaveEurope over the past 24 hours.
#Brexit https://t.co/OD6ZjxXR2E","['brexit', 'leaveeurope']"
727968892858019840,2961178498,neutral,leave,2016-05-04T21:11:23.000Z,My take was on #Brexit #LeaveEurope .. City certainly have 😱😢😷 https://t.co/JWpjCFTzTi,"['brexit', 'leaveeurope']"
746231206266560512,705165834524696576,neutral,other,2016-06-24T06:39:18.000Z,"Marine LePen: ""Frexit soon!"" Netherlands, Austria too.People had enough #LeaveEurope #Brexit
https://t.co/3BNWnFtZ57 https://t.co/WOJ3ha7pNt","['brexit', 'leaveeurope']"
735646800963457024,1689920359,neutral,leave,2016-05-26T01:40:39.000Z,"#LeaveEurope 
#VoteLeave 
#VoteLeaveTakeControl 
#Brexit
Don't follow in Europe's shoes America #DumpTPP https://t.co/ry6S458DD6","['dumptpp', 'leaveeurope', 'brexit', 'voteleavetakecontrol', 'voteleave']"
735131595296899072,31750838,positive,leave,2016-05-24T15:33:25.000Z,@_themushroom @cheekylatte #Debate Is Won #VoteLeave #Brexit #LeaveEurope #LeaveEU #Boris #BorisJohnson #EUref #EUreferendum @Nigel_Farage,"['euref', 'leaveeurope', 'debate', 'leaveeu', 'boris', 'eureferendum', 'brexit', 'borisjohnson', 'voteleave']"
735180126388785152,31750838,negative,leave,2016-05-24T18:46:15.000Z,It's Looking Increasingly Likely That Britain Will Leave The EU #VoteLeave #Brexit #EUref #EUreferendum #LeaveEU #LeaveEurope #britainout RT,"['euref', 'leaveeurope', 'eureferendum', 'leaveeu', 'brexit', 'britainout', 'voteleave']"
699185512830148608,3883664488,neutral,leave,2016-02-15T10:56:31.000Z,"Informing the #EUreferendum debate:

https://t.co/DF03eEvQtk

#Brexit
#VoteLeave
#EUref
#LeaveEU
#SayNoToEU
#LeaveEurope
#EUSceptics","['euref', 'leaveeurope', 'eureferendum', 'leaveeu', 'saynotoeu', 'brexit', 'voteleave', 'eusceptics']"
735125237721882624,31750838,neutral,leave,2016-05-24T15:08:09.000Z,CORRECT #VoteLeave #Brexit #BorisJohnson #Boris #MichaelGove #NigelLawson #LeaveEU #LeaveEurope #EUreferendum #EUref https://t.co/NAd3LDn6be,"['euref', 'leaveeurope', 'eureferendum', 'nigellawson', 'boris', 'michaelgove', 'leaveeu', 'brexit', 'borisjohnson', 'voteleave']"
705698387862134784,3883664488,neutral,leave,2016-03-04T10:16:21.000Z,"Informing the #EUreferendum debate:

https://t.co/DF03eEvQtk

#Brexit
#VoteLeave
#LeaveEU
#EUref
#GoodbyeEU
#SayNoToEU
#LeaveEurope","['goodbyeeu', 'euref', 'leaveeurope', 'eureferendum', 'leaveeu', 'saynotoeu', 'brexit', 'voteleave']"
705408973969694720,3883664488,neutral,leave,2016-03-03T15:06:19.000Z,"Informing the #EUreferendum debate:

https://t.co/DF03eEvQtk

#Brexit
#VoteLeave
#LeaveEU
#EUref
#GoodbyeEU
#SayNoToEU
#LeaveEurope","['goodbyeeu', 'euref', 'leaveeurope', 'eureferendum', 'leaveeu', 'saynotoeu', 'brexit', 'voteleave']"
712234120487825408,1011759048,negative,leave,2016-03-22T11:07:01.000Z,Close the borders #Brexit is a must #LeaveEU Europe is at war and we should stand by them but not part of them #loveeurope #leaveeurope,"['leaveeu', 'leaveeurope', 'brexit', 'loveeurope']"
737991040074928128,95987075,negative,remain,2016-06-01T12:55:49.000Z,"@GI_London1 

Are you another one saying we're voting to #Leave-Europe 

I'm leaving the EU personally #Brexit https://t.co/8AKqv737AD","['leaveeurope', 'brexit']"
739357965136732160,700926985845891072,neutral,other,2016-06-05T07:27:30.000Z,Could #immigration be the deciding factor in #Brexit vote? #leaveEurope now has a 3% lead over #RemainINEU https://t.co/h3hstknQVl,"['leaveeurope', 'brexit', 'remainineu', 'immigration']"
737270127805239296,727593506005499904,neutral,leave,2016-05-30T13:11:10.000Z,Get us #out this horrific -#eu and #save #britain #voteleave #brexit #brexitdebate #leave #leaveeurope #freedom #s… https://t.co/NkL7KrhnaL,"['leaveeurope', 'britain', 'save', 'leave', 'voteleave', 'out', 'brexit', 'freedom', 's…', 'brexitdebate']"
739379305600405504,1581621252,neutral,leave,2016-06-05T08:52:18.000Z,@JayCartere because all of the #EU commissions are #elected behind closed doors | Hardly #Democratic  !! #VoteLeave #Brexit #LeaveEurope,"['leaveeurope', 'eu', 'brexit', 'voteleave', 'democratic', 'elected']"
711284994006773760,3663314955,negative,other,2016-03-19T20:15:32.000Z,Ask @Brexit @vote_leave @BrexitWatch @GovUK for their views on your views #hate #anger @Brexit #voteleave #leaveeurope #EU,"['leaveeurope', 'eu', 'hate', 'anger', 'voteleave']"
733260399815106560,727593506005499904,neutral,leave,2016-05-19T11:37:57.000Z,😁 brexit is the way #leaveeurope #brexit #straightoutofeurope #nigelfarage #Ukip #borrisjohnson #leaveeu #Eupigs #… https://t.co/NkL7KrhnaL,"['leaveeurope', 'eupigs', 'ukip', 'nigelfarage', 'leaveeu', 'straightoutofeurope', 'brexit', 'borrisjohnson']"
746108031570698240,742619372934533120,positive,leave,2016-06-23T22:29:51.000Z,#lexit #LeaveEU #leaveeurope #brexit #bremain #LabourLeave #EUref #EUreferendum @afneil the EU is so great Gibraltar insists on UK rule,"['leaveeurope', 'euref', 'lexit', 'eureferendum', 'leaveeu', 'labourleave', 'bremain', 'brexit']"
746059467922489344,742619372934533120,negative,leave,2016-06-23T19:16:52.000Z,"#lexit #ukip #LeaveEU #leaveeurope #brexit #bremain #LabourLeave #EUref 
ALL VOTING SUSPENDED FOLLOWING STABING! https://t.co/T2nPmc2REl","['leaveeurope', 'euref', 'lexit', 'leaveeu', 'labourleave', 'bremain', 'brexit', 'ukip']"
738419395597373440,31750838,negative,leave,2016-06-02T17:17:57.000Z,The Case For #Brexit Is Now Overwhelming Even The UK Media Is Waking Up To This #LeaveEU #VoteLeave #EUreferendum #Leave #LeaveEurope #news,"['leaveeurope', 'eureferendum', 'leaveeu', 'news', 'brexit', 'leave', 'voteleave']"
