t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
940266922985295872,18507106,negative,other,2017-12-11T17:07:58.000Z,@solange_lebourg Let’s not forget #BBCNEWS director #JamesHarding also the mouth of Murdoch. Allows endless time for Farage. No time for a full expose on the stupidity of #Brexit. Do the detail Davis 58 exceptional deals is going to cost way more than to #Remain in EU. #MPStopBrexit,"['brexit', 'bbcnews', 'jamesharding', 'remain', 'mpstopbrexit']"
937659845699948544,2512801391,negative,other,2017-12-04T12:28:22.000Z,@michaelgove As a Surrey Heath resident I am dismayed at the #Brexit negotiations being made on my behalf. Brexit will damage the UK economy and its dealings with EU and the rest of world for decades if not longer. Is it not time to accept Brexit is a mistake? #MPStopBrexit,"['brexit', 'mpstopbrexit']"
937779992557182976,313488283,neutral,remain,2017-12-04T20:25:47.000Z,"Madness is the perfect #Brexit word
#MPStopBrexit ffs
Country before party 
(And this ⬇️ will cost *how much* @theresa_may @DavidDavisMP @jeremycorbyn @Keir_Starmer?) https://t.co/klwJuTRHhh","['brexit', 'mpstopbrexit']"
937025336604348416,943788254,positive,leave,2017-12-02T18:27:03.000Z,".@Afzal4Gorton please read attached. These are the voices allowed a platform because of #brexit. Time to stand up &amp; do the right thing #MPStopBrexit 

https://t.co/721wrYus8j","['brexit', 'mpstopbrexit']"
937126791461863424,144827236,negative,other,2017-12-03T01:10:12.000Z,"@MariaRossall Tell you MP you don't want #Brexit. Find them here https://t.co/wM7QWSnZA1.
Use #MPStopBrexit and Retweet it whenever you see it!","['brexit', 'mpstopbrexit']"
937344358390665216,1425210032,negative,other,2017-12-03T15:34:44.000Z,#MPStopBrexit &amp; stop Westminster embarrassing us all via #brexit @Labour4EU @LabourList @UKLabour @FrancesOGrady @nusmillion https://t.co/6TPjtb6dJL,"['brexit', 'mpstopbrexit']"
937334950575173632,144827236,positive,other,2017-12-03T14:57:21.000Z,"If you oppose #Brexit but you haven't Tweeted your MP about it, now's the time. Use #MPStopBrexit and retweet any you see. Thanks!","['brexit', 'mpstopbrexit']"
937808400469123072,69558002,positive,other,2017-12-04T22:18:40.000Z,"@GuitarMoog @Sime0nStylites ultimate vision is #MPStopBrexit but the path to aim is convoluted. May is caught in a net of her own making. Unfortunately, I don't think she will take the strong &amp; sensible step as you suggest. #BrexitGate puppeteers might not allow it. Brexit is like an overlong horror series","['brexitgate', 'mpstopbrexit']"
937996852594724864,18507106,neutral,other,2017-12-05T10:47:31.000Z,@raerhi @SheronWilkie @yaboyfacepaulm @jdp420 @Ed_Miliband Considering Brexit is the only game in town this Matters. Jeremy is narrow minded egotistical and has NO track record in implementation. Without him uk could change. #Corbyn must go. #MPStopBrexit,"['corbyn', 'mpstopbrexit']"
938435262505541632,141141836,negative,remain,2017-12-06T15:49:36.000Z,"Henceforth, just as Fox's full honorific is ""the disgraced former defence secretary now international airmiles secretary Liam Fox MP"", so Davis will be known as ""the dishonourable secretary for #Brexit"".

#brexitshambles #BrexitBetraysBritain #MPStopBrexit #StopBrexit #FBPE","['fbpe', 'brexitbetraysbritain', 'brexitshambles', 'stopbrexit', 'brexit', 'mpstopbrexit']"
