t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
682716257402109952,6312362,positive,other,2016-01-01T00:13:34.000Z,"@Mativenko80 odd to ask for one before brexit. Workers had rights before the EU, and will have them after. Happy new year.",[]
746224755804561408,531235220,neutral,remain,2016-06-24T06:13:40.000Z,@RenaudMuselier @pierrecharon @NicolasSarkozy @publicsenat Le brexit risque de hâter son retour au sommet................,[]
746224755796152320,170282950,neutral,leave,2016-06-24T06:13:40.000Z,คนเข้าคิวกินข้าวร้านข้าวแกงคุณยาย อ.แกลง ระยอง สั่งแล้วจ่ายไปนั่งกินบนบ้านไม้โบราณเคล้าเสียงเพลงเก่าอร่อยอารมณ์ดี https://t.co/scAwf7hwNB,[]
746224754596548608,2987267121,positive,leave,2016-06-24T06:13:40.000Z,EU referendum result: Vote Leave win as London left reeling in shock at Brexit https://t.co/Qv2oRVd0ps,[]
746490217612247040,744385222108557312,positive,other,2016-06-24T23:48:31.000Z,"So tonnes of people are moving to Canaderp because of Brexit and Trump, like we have the room, just be nice, okay?",[]
746490214911197184,719512068517466112,negative,remain,2016-06-24T23:48:31.000Z,"Brexit 'major blow' to film and TV industry, but no 'GoT' - https://t.co/7JJ389tcgG https://t.co/szbY2dCyvW",[]
740881109525929984,4096759683,negative,remain,2016-06-09T12:19:56.000Z,حسبي الله لا إله إلا هو عليه توكلت وهو رب العرش العظيم https://t.co/ChurZOukNJ,[]
740881106979819520,2210248683,negative,other,2016-06-09T12:19:55.000Z,"The Bilderberg 2016 Agenda: Trump, Riots, Migrants, Brexit | Zero Hedge https://t.co/m4JypyOlst",[]
740881107877515264,10178,neutral,other,2016-06-09T12:19:55.000Z,A recent poll puts 'leave' 5% ahead of 'stay' on Brexit from the EU https://t.co/GNBJjuc5nN About immigration? Sovereignty? Neoliberalism?,[]
746194559772721152,1135363320,neutral,remain,2016-06-24T04:13:41.000Z,Wait what the fuck just happened?,[]
740881074486665216,1248904844,negative,remain,2016-06-09T12:19:47.000Z,"Brexit could mean benefit cuts for poor families, say economists: Low income families could receive hundreds of pounds less in benefi...",[]
740881060318183424,307778566,negative,other,2016-06-09T12:19:44.000Z,EU referendum: John Major and Tony Blair warn Brexit would 'jeopardise the unity' of the UK:  https://t.co/z2Belw5aKN,[]
740881054790127616,2312220377,negative,remain,2016-06-09T12:19:43.000Z,RT @Amber02150: 👒Happy day @ManfredSShah @MarionSpekker @huskorkut @shorty_uli62 @lea_ey_ @9944Farah @universenme @AlinaDal_F ☘ https://t.c…,[]
740881042630967296,21564520,neutral,other,2016-06-09T12:19:40.000Z,Brexit Would 'Tear Apart UK' - Former PMs - Former Prime Ministers Tony Blair And Sir John Major Unite To Back ... https://t.co/GCUcBmoeQk,[]
746224761550733312,168600759,positive,other,2016-06-24T06:13:41.000Z,Welcome to the world after Brexit: Here's what happens next https://t.co/q7UXdWfWE1,[]
746490222838448128,722080344564871040,neutral,other,2016-06-24T23:48:32.000Z,Brexit rocks the markets and CPP to grow: BUSINESS WEEK WRAP - https://t.co/bWtSTdEokv https://t.co/3cq9IyuQsa,[]
740880998246801408,115479619,neutral,other,2016-06-09T12:19:29.000Z,"MarketingUK : Podcast: Lord Heseltine, willharris and gemma_charles on the trials of marketing Brexit … https://t.co/80drw12ZsH",[]
746224761366188032,292693583,negative,other,2016-06-24T06:13:41.000Z,@DanNerdCubed I'm only able to understand this Brexit chaos through you right now. So basically the gov't can just throw away the results?,[]
746224755879993344,42296055,neutral,remain,2016-06-24T06:13:40.000Z,RT @0ll_0ll: لا يسأل  عنك  كثيرا  إلا  من  يرى  أن وجودك  معه  يسعده,[]
740880935248265216,722485755097034752,negative,remain,2016-06-09T12:19:14.000Z,U.K. Labour Missing in Brexit Action Leaves Cameron Exposed https://t.co/T6dRCrbq0z https://t.co/cmPYXb4DEH,[]
746490210851004416,333868561,neutral,remain,2016-06-24T23:48:30.000Z,"DGB-Chef Hoffmann fürchtet nach Brexit Wirtschaftskrise: Der Vorsitzende des Deutschen Gewerkschaftsbundes, R... https://t.co/vIXeb44uqp",[]
740881185035964416,211814341,negative,other,2016-06-09T12:20:14.000Z,Odd claim that UK-Eire Common Travel Area must end if Brexit. Only needs to end if Eire joins Schengen. Plus Nordic travel area still exists,[]
740881465358090240,20722058,negative,other,2016-06-09T12:21:20.000Z,Europe’s lobbyists bank on Brexit https://t.co/MTST7ZyHH8 via @POLITICOEurope,[]
746194556446613504,314961599,negative,leave,2016-06-24T04:13:40.000Z,Nite ladies I'll let u no how Steves test goes! Probably won't be back til afternoon! 💜❤️,[]
740881421372395520,1086538034,positive,leave,2016-06-09T12:21:10.000Z,@oditorium @London_Silvia @HortenseGoulard Short term a brexit would probably be positive for Luxembourg. Lot's of corporate shuffling.,[]
740881398475546624,19071750,neutral,other,2016-06-09T12:21:04.000Z,"BREXIT, TRUMP, MIGRANTS ON MENU https://t.co/AmiudsgFbj",[]
740881386161209344,214415378,negative,other,2016-06-09T12:21:02.000Z,Con o sin Brexit https://t.co/BQvSZH1Rxq vía @expansioncom,[]
740881376120082432,2810074439,positive,other,2016-06-09T12:20:59.000Z,"Brexit: UK lawmaker withdraws support for ""Out"" campaign over EU argument https://t.co/APuwsXUS5K",[]
740881312970637312,20713503,positive,other,2016-06-09T12:20:44.000Z,Interesting leaflet in post today.  Hard to see through spin either way. are you Brexit or Remain? https://t.co/xTXobR2WWE,[]
740881298923913216,17024991,positive,other,2016-06-09T12:20:41.000Z,Anyone know why longstanding Brexit supporter Lord Bamford supporting Brexit is front page news? From May last yr: https://t.co/oudJyddQDD,[]
740881291583852544,27404671,neutral,other,2016-06-09T12:20:39.000Z,"BREXIT, TRUMP, MIGRANTS ON MENU https://t.co/RJtoNcjKaR",[]
740881288509415424,2884364506,negative,remain,2016-06-09T12:20:38.000Z,CBI projects 1m fewer jobs post-Brexit with young worst hit - the guardian https://t.co/aDyGkqiNZS,[]
746490208259088384,3264649209,positive,remain,2016-06-24T23:48:29.000Z,"Also a girl on fb today was like ""is it bad that all I care about is that the Brexit made plane tickets to the U.K. insanely cheap?! 😂😂😂""",[]
740851083027861504,737355115397566464,positive,other,2016-06-09T10:20:37.000Z,駄目じゃないか！ザビーネ・シャルと書いて感情を処理できないごみとか読んじゃ！そんなこと言っちゃあああああああ！！！！！！,[]
740881278958985216,1669487490,neutral,remain,2016-06-09T12:20:36.000Z,"ROYAUME-UNI. Le Brexit se jouera-t-il sur la participation ?

 https://t.co/QTzqxREOG6",[]
746224756593025024,339150889,neutral,remain,2016-06-24T06:13:40.000Z,"British Film Industry Calls for U.K. to Remain in EU as Brexit Vote Begins
https://t.co/RovYvFDUSq",[]
740881254174851072,215782360,neutral,other,2016-06-09T12:20:30.000Z,Brexit odds move back towards Remain https://t.co/ls5fgJPw3i via @fastFT,[]
746490207428554752,3233151796,positive,other,2016-06-24T23:48:29.000Z,MAMÃES 😍😍😍 https://t.co/MpPQvrnbVc,[]
