t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
710073396512624640,191396151,neutral,other,2016-03-16T12:01:04.000Z,Could #apprentices influence the #Brexit referendum? Asks our own @nataliebluesky https://t.co/JTj3OVuhTi #letsstayineurope #nobrexit,"['apprentices', 'brexit', 'nobrexit', 'letsstayineurope']"
734048705725276160,1889634949,neutral,other,2016-05-21T15:50:24.000Z,"Brexit would hit house prices, says Osborne. Think about that Britain! #Brexit #bbcnews #badbrexit #nobrexit https://t.co/zQeS7trrrn","['badbrexit', 'brexit', 'nobrexit', 'bbcnews']"
739052273440018432,715620671708069888,positive,leave,2016-06-04T11:12:47.000Z,Lovely pub! #theoldcrown Cycling for No #Brexit | #Britan #Bike #Beer &amp; #NoBrexit- From #Berlin… https://t.co/V1WJQNtayM,"['berlin…', 'nobrexit', 'theoldcrown', 'beer', 'britan', 'brexit', 'bike']"
701389137107152896,20663265,neutral,other,2016-02-21T12:52:56.000Z,The world is waiting for #Boris to say #Brexit or #NoBrexit but he has his mouth full  https://t.co/grIn8pY04S,"['boris', 'brexit', 'nobrexit']"
745994623831531520,223565782,negative,remain,2016-06-23T14:59:12.000Z,So much anxiety about #Brexit today. PLEASE #BREMAIN 🇬🇧 #StayInTheEU #nobrexit,"['bremain', 'brexit', 'nobrexit', 'stayintheeu']"
744856633558306816,2821275821,positive,other,2016-06-20T11:37:14.000Z,#transition to a low carbon economy becomes more expensive and less secure if #BREXIT #BREMAIN #NOBREXIT #EU #energy https://t.co/f61OFFaSt1,"['bremain', 'eu', 'energy', 'brexit', 'transition', 'nobrexit']"
746456879123955712,313536147,neutral,other,2016-06-24T21:36:03.000Z,"@BreakingNews that's only a 1.3 million vote difference between (June 24, 2016; 2:24 EDT) #Brexit #NOBrexit #BrexitOrNOT","['brexit', 'brexitornot', 'nobrexit']"
746091930329571328,763010018,neutral,other,2016-06-23T21:25:52.000Z,#EUref The Latest: Farage: Seems 'remain' side will edge UK vote https://t.co/IgpDCI5Xfr #Brexit #NoBrexit,"['brexit', 'euref', 'nobrexit']"
745896821046775808,2223930222,neutral,other,2016-06-23T08:30:34.000Z,Betting on #Brexit or #NoBrexit today? Read our #EUref Betting preview: https://t.co/FWjcN3HHFE https://t.co/XGAt7E7Xfg,"['brexit', 'euref', 'nobrexit']"
744853064968970240,48048972,positive,leave,2016-06-20T11:23:04.000Z,I'll be wearing this on the election day! #Brexit Join me with your own shirts! #NoBrexit #EuropeLovesYou https://t.co/Zl4TENZS1r,"['brexit', 'europelovesyou', 'nobrexit']"
745362583696310272,420475251,neutral,other,2016-06-21T21:07:42.000Z,"Telegraph &amp; Others: #Brexit, #NoBrexit.. 

#26J
#FelizMiercoles
El Mundo Today
#MujeresCambiandoPais
#DiaDeLaMusica https://t.co/ZlaHBSoMA8","['brexit', 'mujerescambiandopais', '26j', 'felizmiercoles', 'diadelamusica', 'nobrexit']"
745871130586681344,489358075,positive,remain,2016-06-23T06:48:29.000Z,"Dear British friends, choose right today #nobrexit #Brexit","['brexit', 'nobrexit']"
746344687557091328,1608199386,neutral,other,2016-06-24T14:10:14.000Z,"#Brexit or #NoBrexit, that is the question https://t.co/MKf1gHW2in","['brexit', 'nobrexit']"
741954403683467264,4863664198,neutral,other,2016-06-12T11:24:49.000Z,"#Brexit OR #NoBrexit 
Is (REALLY) that the question? https://t.co/Bo9tVoe34Y","['brexit', 'nobrexit']"
746162731489759232,27676513,neutral,leave,2016-06-24T02:07:12.000Z,"@IngrahamAngle Heard some rumors #Brexit folks tried to get obama to make more appearances in Britain on behalf of #NoBrexit.
j/k","['brexit', 'nobrexit']"
739041596340117504,304017124,neutral,leave,2016-06-04T10:30:21.000Z,#Brexit or #NoBrexit if not already registered to vote you have until 7 June(online) You’ll need your NI number,"['brexit', 'nobrexit']"
