t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
933255994808811520,921150046644600832,positive,remain,2017-11-22T08:49:02.000Z,"We believe that faced with the reality that Brexit strips their children of an identity they hold dear, that their children will face the economic, social and political consequences of Brexit for a lot longer, the love of British parents will redirect this country.
#OFOC",['ofoc']
990194336309694464,62563458,negative,remain,2018-04-28T11:41:41.000Z,"How can any democrat - or any party or political persuasion disagree with this, unless, of course, their sole aim was a destructive #Brexit at any cost, the death of democracy and the establishment of an island dictatorship? @10DowningStreet @uklabour #waton #ofoc #fbpe #abtv https://t.co/oPPjwwUK8f","['abtv', 'fbpe', 'ofoc', 'brexit', 'waton']"
984940757139288064,62563458,negative,other,2018-04-13T23:45:50.000Z,"@cristo_burton @A51m1999 @CameronHickman @LePlanRex @BBCNews @10DowningStreet @UKLabour @theresa_may @jeremycorbyn Corbyn’s the hard Brexiter, handled &amp; spurred on by McDonnell &amp; @PeoplesMomentum. @Keir_Starmer is playing the ‘voice of reason’ to keep Remainers hanging on. His ‘tests’ really are ‘bollocks’ (sic) &gt; Corbyn will vote #Brexit thru at every step. #ofoc #waton #ffs #abtv #fbpe","['abtv', 'fbpe', 'ofoc', 'ffs', 'brexit', 'waton']"
984933931752542208,62563458,negative,other,2018-04-13T23:18:43.000Z,"@CameronHickman @cristo_burton @LePlanRex @BBCNews @10DowningStreet @UKLabour @theresa_may @jeremycorbyn Completely irrelevant and pointless. @JeremyCorbyn is a two-faced, self-serving liar who has conspired with @theresa_may, the Tories &amp; UKIP to deliver a Brexit which he knows will destroy a nation for decades. His past ‘successes’ are erased. #abtv #ofoc #waton #fbpe #ffs","['abtv', 'fbpe', 'ofoc', 'ffs', 'waton']"
983103699437441024,62563458,negative,remain,2018-04-08T22:06:01.000Z,"1/2 If you vote for the Tories, they’ll claim to have a mandate for Brexit at any cost. If you vote Labour, Corbyn will deliver an the same. In May, just for once - vote for a party that will stop or reverse Brexit, even if u have to hold your nose. It’s for Britain. #abtv #ofoc","['abtv', 'ofoc']"
990615193074970624,62563458,positive,other,2018-04-29T15:34:01.000Z,"Vote Tory? May will quote your vote as support for hard Brexit. Vote Labour? Corbyn will even more confidently collude with May to deliver Farage’s #Brexit. Don’t want Brexit? Vote for anyone who supports Europe. It’s simple. Vote LibDem, Green or a proEU independent! #ABTV #OFOC https://t.co/6vstXzzWe1","['abtv', 'ofoc', 'brexit']"
983448340116406272,62563458,positive,leave,2018-04-09T20:55:30.000Z,"#Londoners - vote in the national interest. On this occasion, vote for ANY party who will reject Brexit. If you vote @Conservatives - @10DowningStreet &amp; @Theresa_May will claim your vote supports her Brexit. We can’t let our intentions be misconstrued! #abtv #ofoc  #ffs #finalsay https://t.co/iWyRXerlK1","['abtv', 'ofoc', 'ffs', 'londoners', 'finalsay']"
990278423946940416,62563458,negative,remain,2018-04-28T17:15:49.000Z,"@Lelski @docrussjackson @lunaperla @Greens @labour You guys are ridiculous. It’s nothing at all about ‘getting Tories out’ &gt; it’s about stopping Brexit, or engineering circumstances where Brexit will fail. @UKLabour will help the Tories deliver UKIP’s Brexit. Sorry, we’re for #PeoplesVote; we’re not for Labour. #abtv #ofoc #waton","['abtv', 'ofoc', 'waton', 'peoplesvote']"
987370532407476224,868830296212467712,negative,remain,2018-04-20T16:40:54.000Z,"9 months old but I missed this when it came out. We shld have cancelled Brexit as soon as May pulled her election stunt.
#StopBrexitNow #WATON #ABTVtoStopBrexit #OFOC
#StopTheHate #NoMoreBrexitLies #WeAreAllEUcitizens #FinalSayForAll 
We need a free, fair+inclusive #PeoplesVote https://t.co/xma6QoIWbn","['abtvtostopbrexit', 'finalsayforall', 'ofoc', 'nomorebrexitlies', 'stopthehate', 'stopbrexitnow', 'waton', 'peoplesvote', 'wearealleucitizens']"
970974211278766080,2580919358,negative,other,2018-03-06T10:47:46.000Z,"No to #Brexit, #joblosses, #uncertainty, #hate, #nationalism, #littleEngland #HarmtoNHS, and #irresponsible #clowns in #UKgovernment. Yes to #economic #stability, #bettertogether, #peace, positive #UKreputation in the #EU /#World. #NAW2018 #OFOC #Tuesdaythoughts @SoVeryBrexit https://t.co/O4lUCgSH8u","['bettertogether', 'peace', 'harmtonhs', 'ukgovernment', 'ukreputation', 'brexit', 'eu', 'ofoc', 'littleengland', 'nationalism', 'naw2018', 'joblosses', 'stability', 'clowns', 'irresponsible', 'uncertainty', 'hate', 'tuesdaythoughts', 'economic']"
985631767943176192,62563458,negative,remain,2018-04-15T21:31:40.000Z,"Vote Tory, get May, #Brexit, allow the rise of her fascist empire &amp; witness the death of democracy. Vote Corbyn - and watch helplessly as he works with May to deliver Brexit. This time, #SOS: vote #ABTV: for ANY anti-Brexit party. Let’s send a message. Let’s #StopBrexit! #ofoc https://t.co/8pIjNYpbkC","['brexit', 'abtv', 'sos', 'stopbrexit', 'ofoc']"
980580123853369344,62563458,negative,remain,2018-04-01T22:58:14.000Z,"@mac123_m @Fran5456 @EtonOldBoys @SocialistVoice @ThomasPride @Parveen_Comms @Bonn1eGreer @Hepworthclare @GoogleExpertUK @LabourLeft @tedtully @imajsaclaimant Sadly, that’s irrelevant. The biggest issue to affect the country in 50yrs is #Brexit, and @JeremyCorbyn has conspired with the @Conservatives to ensure UKIP’s #Brexit is delivered, steadfastly voting with the Tories, and forcing his MPs to do the same. Unforgivable. #fbpe #ofoc","['brexit', 'brexit', 'ofoc', 'fbpe']"
