t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
741381442387607552,717039627916484608,neutral,leave,2016-06-10T21:28:04.000Z,"#Sondaggio i pro-Brexit 10 punti avanti #Sondaggio, #i #pro-Brexit #10 #punti #avanti https://t.co/uATWU5db2R","['10', 'i', 'sondaggio', 'punti', 'probrexit', 'avanti', 'sondaggio']"
741381198929403904,231726084,neutral,leave,2016-06-10T21:27:06.000Z,"#Sondaggio i pro-Brexit 10 punti avanti #Sondaggio, #i #pro-Brexit #10 #punti #avanti https://t.co/WQuEyntclW","['10', 'i', 'sondaggio', 'punti', 'probrexit', 'avanti', 'sondaggio']"
741391256304144384,231726084,neutral,leave,2016-06-10T22:07:04.000Z,"#Sondaggio i pro-Brexit 10 punti avanti #Sondaggio, #i #pro-Brexit #10 #punti #avanti https://t.co/kdLyADdMbN","['10', 'i', 'sondaggio', 'punti', 'probrexit', 'avanti', 'sondaggio']"
715468717535027200,3460140317,negative,other,2016-03-31T09:20:09.000Z,@HardingMike Wonder if @PaulDacreDM dare to vote #Brexit and choke the Goose when his editorship #ProBrexit and his Boss is NonDom @ThePoke,"['brexit', 'probrexit']"
744139985612222464,1721082600,positive,other,2016-06-18T12:09:32.000Z,"#Pro-Brexit vote gathers momentum.I like the #EU, but I’m voting out

https://t.co/xOrQfPPlcV","['eu', 'probrexit']"
737609948356431872,37256504,negative,other,2016-05-31T11:41:30.000Z,"I'm in tears, absolutely hilarious!!!
#brexit #EU #nigel #probrexit https://t.co/UIQyblRPs9","['eu', 'probrexit', 'nigel', 'brexit']"
724577467965530112,1669117754,negative,other,2016-04-25T12:35:05.000Z,#MarineLePen dismissed by the #probrexit ? How #hypocrite! #Brexit #EUref,"['euref', 'marinelepen', 'hypocrite', 'brexit', 'probrexit']"
743719033468420096,1912789398,negative,other,2016-06-17T08:16:49.000Z,#Jo #Cox's tragic death may #halt #pro-Brexit momentum: Analysts https://t.co/NIKEGqdM48,"['halt', ""cox's"", 'jo', 'probrexit']"
743008715234631680,2257106779,negative,remain,2016-06-15T09:14:16.000Z,"#jobs #jobsearch # #Pro-Brexit Tories warn Osborne over emergency 'punishment ...:  
           #Furious pro-... https://t.co/tXeaHKU5Jc","['jobs', 'furious', 'probrexit', 'jobsearch']"
735337952658755584,288253265,negative,other,2016-05-25T05:13:24.000Z,#Pro-Brexit minister attacks EU over anti-corruption measures #jobs #jobsearch #: #Dominic Raab cites stateme... https://t.co/zrdtKlDgrL,"['jobs', 'probrexit', 'dominic', 'jobsearch']"
700659921021370368,1430746742,positive,other,2016-02-19T12:35:17.000Z,#Pro-Brexit camp takes 2% lead in poll: Support for Britain’s exit from the… https://t.co/suOm10cp7Z RT #nieuws https://t.co/X107NDInaA,"['nieuws', 'probrexit']"
746172450472239104,29841482,neutral,remain,2016-06-24T02:45:50.000Z,Why does it look like #brexit polls were wrong? Because #probrexit voters didn't want to be ridiculed as nutjobs or racists. #pollslie,"['pollslie', 'probrexit', 'brexit']"
714557741143040000,51611871,negative,remain,2016-03-28T21:00:15.000Z,"#Pro-#Brexit folks seem to have quite a lot of double standards. They will miss their Polish gardeners, doctors and plumbers! @Independent",['probrexit']
746620122954072064,17400044,neutral,other,2016-06-25T08:24:43.000Z,EU referendum: #Pro-Brexit MEP admits free movement of labour may not end – live | Politics | The Guardian https://t.co/X6Wo13TzCB,['probrexit']
714682922087948288,267678618,positive,remain,2016-03-29T05:17:41.000Z,#Pro-Brexit group claims EU laws have made the country less secure https://t.co/7u4aFx7cLD https://t.co/Gni8QolVEI,['probrexit']
714262305362546688,872655872,negative,remain,2016-03-28T01:26:18.000Z,#Tories in turmoil as David #Cameron accused of IGNORING #pro-Brexit ministers https://t.co/lnWa1rVe8N,"['probrexit', 'cameron', 'tories']"
714844856061919232,2283870529,neutral,other,2016-03-29T16:01:09.000Z,"#Pro-Brexit call centre hires European immigrants

https://t.co/IGvitd1xfG #recruitment https://t.co/LpsTvr0v7f","['probrexit', 'recruitment']"
715076120148893696,2283870529,neutral,other,2016-03-30T07:20:07.000Z,"#Pro-Brexit call centre hires European immigrants

https://t.co/MG4xfRYqW7 #recruitment https://t.co/s0K2xpt7H0","['probrexit', 'recruitment']"
714879841590501376,2283870529,neutral,other,2016-03-29T18:20:10.000Z,"#Pro-Brexit call centre hires European immigrants

https://t.co/GOEpkksWrx #recruitment https://t.co/4haBOcUb9E","['probrexit', 'recruitment']"
714809424683143168,2283870529,neutral,other,2016-03-29T13:40:22.000Z,"#Pro-Brexit call centre hires European immigrants

https://t.co/bKKSsOE81A #recruitment https://t.co/SiKCOYmbJ2","['probrexit', 'recruitment']"
743420885990674432,21511099,negative,other,2016-06-16T12:32:05.000Z,"#Pro-Brexit #Conservatives denounce #UK finance minister, Bank England https://t.co/q15IT2jCW5","['probrexit', 'uk', 'conservatives']"
731775541162999808,47205562,neutral,remain,2016-05-15T09:17:39.000Z,@SkyNews look at how these remain #talkingheads are trying to manipulate election where us #probrexit guest? #skynews #partiality #Brexit,"['skynews', 'talkingheads', 'partiality', 'brexit', 'probrexit']"
746647435775254528,4871705615,neutral,other,2016-06-25T10:13:15.000Z,More scaremongering incoming. #probrexit #brexit #thinkdifferent #changeEU,"['thinkdifferent', 'changeeu', 'brexit', 'probrexit']"
750369274405859328,2984140421,neutral,leave,2016-07-05T16:42:30.000Z,"#jobs #jobsearch # #Pro-Brexit leader Nigel Farage resigns: 'I've done my bit':  
           #Britain's campa... https://t.co/aKpvmagUSZ","[""britain's"", 'jobs', 'probrexit', 'jobsearch']"
750235145743929344,2909281655,neutral,other,2016-07-05T07:49:32.000Z,"#jobs #jobsearch # #Pro-Brexit UKIP leader Nigel Farage resigns:  
           #British politician Nigel Farag... https://t.co/y4QuSnfQyO","['jobs', 'probrexit', 'jobsearch', 'british']"
779860901734313984,122431535,neutral,other,2016-09-25T01:51:42.000Z,"#BritishBusinesses #LazyandFat: #LiamFox #pro-Brexit trade minister
 https://t.co/sTXpVwb2yd via @dailystarnews","['lazyandfat', 'liamfox', 'britishbusinesses', 'probrexit']"
779860920898125824,122431535,neutral,other,2016-09-25T01:51:47.000Z,"#BritishBusinesses #LazyandFat: #LiamFox #pro-Brexit trade minister
 https://t.co/DHG1jzzn5O via @dailystarnews","['lazyandfat', 'liamfox', 'britishbusinesses', 'probrexit']"
750732935129628672,2377768117,neutral,other,2016-07-06T16:47:34.000Z,"Nigel Farage, político #pro-brexit, dimite de partido eurófobo #Internacional #Morelos
https://t.co/6sOCSd5Efn","['morelos', 'internacional', 'probrexit']"
750732935586803712,112496015,neutral,other,2016-07-06T16:47:34.000Z,"Nigel Farage, político #pro-brexit, dimite de partido eurófobo #Internacional #Morelos
https://t.co/79iGUJtVCe","['morelos', 'internacional', 'probrexit']"
749257682796867584,14788128,negative,other,2016-07-02T15:05:26.000Z,Twitter has prompted me to change my password 4 times in 8 days. I'm not #Pro-Brexit. End of conspiracy theory. 🙄 https://t.co/0GG3EIExUZ,['probrexit']
747833431766216704,443168589,neutral,remain,2016-06-28T16:45:58.000Z,"#RoyaumeUni  / Le camp "" #pro_Brexit "" fait disparaître le programme de son site !!
https://t.co/L53s2OZcg4","['royaumeuni', 'probrexit']"
748007073070325760,443168589,neutral,remain,2016-06-29T04:15:58.000Z,"pascal pernait, le Journal est sorti de presse! https://t.co/bFr7UlQVAv #royaumeuni #pro_brexit","['royaumeuni', 'probrexit']"
814048800503373824,2697437910,positive,other,2016-12-28T10:02:12.000Z,#Pro_Brexit group #calls for #EU #free #trade #deal https://t.co/P6RWKHsf6p https://t.co/PRzpYBI0qR,"['calls', 'eu', 'probrexit', 'free', 'trade', 'deal']"
814048139149737984,3111104367,positive,other,2016-12-28T09:59:35.000Z,https://t.co/krhVorA4rC √ https://t.co/gFtfzToe8Z #Pro-Brexit group calls for EU free trade deal - BBC #eur #business #forex #job #friday…,"['eur', 'probrexit', 'friday…', 'forex', 'job', 'business']"
786451869803708416,169253998,negative,other,2016-10-13T06:21:51.000Z,#Brexit battle reaches UK’s high court in challenge to PM https://t.co/R0DKpgHfKA @Gobarireport #europe #probrexit,"['europe', 'brexit', 'probrexit']"
784916430370304000,17490872,neutral,remain,2016-10-09T00:40:34.000Z,"@TheNewEuropean @philosophybites  Hope this isn't built on bogus conflicts between #European, #British, #English, #global. And #pro-Brexit.","['global', 'english', 'british', 'european', 'probrexit']"
784018328306057216,732570594449838080,neutral,remain,2016-10-06T13:11:50.000Z,#Pro-Brexit politician in hospital after party meeting 'altercation' -  https://t.co/A16OqeNJr5 https://t.co/Cy6gd4XoC4,['probrexit']
793838634835206144,574465086,positive,remain,2016-11-02T15:34:14.000Z,"@EsotericCD I think Brexit is bad for Britain, good for Ireland, &amp; I love the Smiths. So I DON'T want them to reunite &amp; be shite. #proBrexit",['probrexit']
814813036485738496,156396195,negative,other,2016-12-30T12:39:01.000Z,"Via @NPR: In #Pro-Brexit English City: ""opposition to immigration and a perceived threat to white identity."" https://t.co/aPybYpRixI",['probrexit']
787856183033856000,199668637,neutral,other,2016-10-17T03:22:06.000Z,"Yep , more #brexit delusion peddled by the #probrexit press https://t.co/pdd7yXxHhg","['probrexit', 'brexit']"
794195592767537152,739132889170911232,neutral,leave,2016-11-03T15:12:39.000Z,#brexit So The #brexit vote was advisory??? does that mean next time a vote is cast for PM we can take it to court and appeal it? #probrexit,"['probrexit', 'brexit']"
796732392685862912,252276052,negative,remain,2016-11-10T15:12:59.000Z,@dailyexpressuk is nothing more than a pamphlet for #brexit. Every front page is #ProBrexit. Dont buy this piece of tabloid shit #VoteRemain,"['probrexit', 'voteremain', 'brexit']"
782194364898381824,21511099,neutral,leave,2016-10-01T12:24:03.000Z,#[World] #Pro-Brexit #Conservatives hand PM plan limit EU immigration https://t.co/UKOHdsXLdH,"['world', 'probrexit', 'conservatives']"
832606703338274816,2405096358,positive,remain,2017-02-17T15:04:41.000Z,"@tm014d1009 just think,if a #ProBrexit Politicial suggest a rethink incase Leavers changed their minds... lol 😃 #Brexit #TonyBlair","['brexit', 'tonyblair', 'probrexit']"
848105844680007680,836721050008313728,neutral,other,2017-04-01T09:32:45.000Z,#Pro-#Brexit #Conservative #MP @johnredwood publishes a draft letter for @eucopresident to send to #AngelaMerkel. https://t.co/HRELXEzRrd,"['conservative', 'probrexit', 'mp', 'angelamerkel']"
858109897447288832,836721050008313728,negative,other,2017-04-29T00:05:17.000Z,#Pro-#Brexit @BorisJohnson has addressed #UN #SecurityCouncil re. the #Militaristic cruel #Trot regime in #NorthKorea. (#Korea @Tony_Dowd) https://t.co/SV9IoNostI,"['militaristic', 'northkorea', 'probrexit', 'trot', 'un', 'securitycouncil']"
857642790506946560,780840449963532160,neutral,remain,2017-04-27T17:09:10.000Z,tracy_fennell: coyleneil wdjstraw BUT your #party is #Pro-Brexit !Without a #pledge for a #2ndEURef + #OptionTo… https://t.co/2IPEvaHdwQ,"['pledge', 'probrexit', 'party', 'optionto…', '2ndeuref']"
832407393006997504,807853519256436608,neutral,remain,2017-02-17T01:52:42.000Z,#Pro-Brexit economists urge UK to unilaterally scrap tariffs -  https://t.co/s8vz6uhZms,['probrexit']
864143275015450624,20694023,neutral,other,2017-05-15T15:39:46.000Z,68% are now #pro-Brexit https://t.co/x6vqOJ3kBa,['probrexit']
871629966928220160,714463958,neutral,remain,2017-06-05T07:29:12.000Z,Sums it all up really in terms of the #pro-Brexit debacle . https://t.co/MBJ4iFYJZ6,['probrexit']
839876044517699584,76291092,positive,leave,2017-03-09T16:30:27.000Z,"One of the most prominent #pro-Brexit #economists thinks leaving the #EU is a 'Great Escape' for the #economy

https://t.co/6rUb5w3rds","['probrexit', 'economy', 'economists', 'eu']"
820456481472397312,21511099,negative,remain,2017-01-15T02:24:03.000Z,"EU costly steel jobs, #pro-Brexit #MP David Davies https://t.co/Eysc57Wyj4","['probrexit', 'mp']"
939303981880406016,494098482,positive,leave,2017-12-09T01:21:35.000Z,"Hey guys, your God, #Farage is taking a £73k annual pension from, wait for it, the EU. How many are you earning that? #probrexit #Brexit you Muppets.","['brexit', 'farage', 'probrexit']"
897350248695287808,2980960463,negative,other,2017-08-15T06:52:25.000Z,"@Frederika_R as since when have you supported #Brexit; Looked through going back months &amp; cannot find anything #ProBrexit, just bitter Loser Comments 😂","['brexit', 'probrexit']"
880113814565474304,2330852696,positive,remain,2017-06-28T17:20:59.000Z,#Brexit in action. Allnof you #ProBrexit idiots....this kind of behaviour is coming to live near you soon. You all must be so proud. https://t.co/Hu6vXXYmez,"['brexit', 'probrexit']"
913703894626263040,22627258,neutral,other,2017-09-29T09:55:58.000Z,"#Brexit views out now 👉https://t.co/3YINDgI8nx👈 #florencespeech, #probrexit Spanish citizens in #London and more!  #EurMove https://t.co/GFIUObkUcl","['london', 'florencespeech', 'brexit', 'eurmove', 'probrexit']"
914877681132560384,450093807,positive,leave,2017-10-02T15:40:11.000Z,Easy to see why #MichaelHeseltine wants #proBrexit #BorisJohnson sacked -#LordHeseltine is #EU #remoaner &amp; #Boris is for #Britain #Brexit.,"['probrexit', 'brexit', 'eu', 'boris', 'remoaner', 'michaelheseltine', 'britain', 'borisjohnson']"
902890751582801920,482181713,neutral,other,2017-08-30T13:48:24.000Z,"#Pro-Brexit Twitter account account with 100,000 followers could be part of Russian 'disinformation campaign' https://t.co/1nbksPTajX #news https://t.co/zUKhauV0Ar","['probrexit', 'news']"
942935546455658496,3002038721,negative,leave,2017-12-19T01:52:07.000Z,#Pro-Brexit thinktank forced to change name after calling itself an 'institute' without permission https://t.co/X3w7zZc9KM #news https://t.co/PuWaOAOvEt,"['probrexit', 'news']"
934448309409910784,6293752,negative,other,2017-11-25T15:46:52.000Z,@OwenCallan Does #RuthDudleyEdwards know anything about Irish politics that she hasn't read on #UK #pro-#Brexit media? This is #Tory bullsh1t spin from No.10 to explain why #Ireland might be unhappy with hard/customs border? @RuthDE,"['probrexit', 'ruthdudleyedwards', 'ireland', 'uk', 'tory']"
879832682246672384,301643210,positive,remain,2017-06-27T22:43:52.000Z,Greatest leader @Conservatives had was #Thatcher - she #negotiated a deal for #U.K. To #remain. How did they end up #pro-Brexit &amp; #sleazy?,"['remain', 'negotiated', 'sleazy?', 'thatcher', 'probrexit', 'u.k']"
927091379213398016,289206404,neutral,other,2017-11-05T08:33:03.000Z,"I was #ProBrexit  🇬🇧
BUT we were Tricked,
Brexit Numbers Faked!
#REMAIN in EU is Actually BETTER for UK JOBS, ECON, £ , etc.🇬🇧 @theresa_may https://t.co/LqeuOz90Bb","['remain', 'probrexit']"
927505022279184384,289206404,neutral,other,2017-11-06T11:56:44.000Z,"I was #ProBrexit  🇬🇧
BUT we were Tricked,
Brexit Numbers Faked!
#REMAIN in EU is Actually BETTER for UK JOBS, ECON, £ , etc.🇬🇧 @theresa_may https://t.co/XU1FMqokH6","['remain', 'probrexit']"
927092165435707392,289206404,neutral,other,2017-11-05T08:36:11.000Z,"@Jacob_Rees_Mogg @LeaveEUOfficial I was #ProBrexit  🇬🇧
BUT we were Tricked,
Brexit Numbers Faked!
#REMAIN in EU is Actually BETTER for UK JOBS, ECON, £ , etc.🇬🇧 @theresa_may","['remain', 'probrexit']"
928551043465609216,289206404,positive,remain,2017-11-09T09:13:15.000Z,"@BorisJohnson @SenBobCorker @SenateMajLdr @UKinUSA I was #ProBrexit  🇬🇧
BUT we were Tricked,
Brexit Numbers Faked!
#REMAIN in EU is Actually BETTER for UK JOBS, ECON, stronger £ , lower inflation, etc.🇬🇧 @theresa_may","['remain', 'probrexit']"
927489753754189824,289206404,neutral,other,2017-11-06T10:56:03.000Z,"I was #ProBrexit  🇬🇧
BUT we were Tricked,
Brexit Numbers Faked!
#REMAIN in EU is Actually BETTER for UK JOBS, ECON, £ , etc.🇬🇧 @theresa_may https://t.co/8RapKQGsTo","['remain', 'probrexit']"
927093590215536640,289206404,neutral,other,2017-11-05T08:41:51.000Z,"I was #ProBrexit  🇬🇧
BUT we were Tricked,
Brexit Numbers Faked!
#REMAIN in EU is Actually BETTER for UK JOBS, ECON, £ , etc.🇬🇧 @theresa_may https://t.co/4tScyirryb","['remain', 'probrexit']"
