,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,0,2091737,746348778429489152,2165983896,negative,leave,2016-06-24T14:26:29.000Z,For all #pro-#EU parents out there: 'There's no such thing as a Brusselo!' https://t.co/TMde1ubKlQ  #academicdad #UKref #Brexit,"['academicdad', 'brexit', 'ukref', 'proeu']"
1,1,1,1,1,1,1,470091,719885690041970688,182739631,negative,remain,2016-04-12T13:51:37.000Z,The more #antibrexit messages I hear the more likely I am to vote for #Brexit. Seems the #proEU camp are trying too hard to cause fear,"['antibrexit', 'proeu', 'brexit']"
2,2,2,2,2,2,2,401169,714664894612774912,712236067206930432,negative,other,2016-03-29T04:06:03.000Z,"@Complaining_Q https://t.co/c69p27lAQd #proeu ad with over 200 dislikes and comments blocked
#brexit","['brexit', 'proeu']"
3,3,3,3,3,3,3,1274568,744476881072824320,2198456290,neutral,other,2016-06-19T10:28:14.000Z,Im planning of writing a blog about the EU and GB as we're approaching the elections 🗳 #Eu #ProEu #Brexit,"['brexit', 'proeu', 'eu']"
4,4,4,4,4,4,4,444874,718026475312701440,527372536,positive,leave,2016-04-07T10:43:46.000Z,"£9m on #proEU leaflet. What happened to #BRITISH #DEMOCRACY+FAIR DEBATE? FORGET IT! We're now ruled by #EU.
#Brexit
https://t.co/yHF2xNfjYW","['british', 'democracy+fair', 'proeu', 'brexit', 'eu']"
5,5,5,5,5,5,5,344072,710087600611205120,221489980,positive,other,2016-03-16T12:57:31.000Z,"George Osborne uses his #Budget2016 speech to say Britain is ""stronger"" and ""safer"" in a reformed EU. #ProEU #Brexit","['budget2016', 'proeu', 'brexit']"
6,6,6,6,6,6,6,71123,698144403974709248,2985242001,negative,other,2016-02-12T13:59:31.000Z,Former #proeu MPs are now supporting #Brexit following #Cameron negotiation failure https://t.co/ZdqQNvyQBv #brixham #Devon #LeaveEU #Totnes,"['cameron', 'brixham', 'proeu', 'devon', 'brexit', 'totnes', 'leaveeu']"
7,7,7,7,7,7,7,58158,696390535276314624,527372536,negative,other,2016-02-07T17:50:16.000Z,"#Cameron #EUdeal is not legally binding....
#Conservative #proEU stich up.
#BRexit @Grassroots_Out @LeaveEUOfficial 
https://t.co/mguZ6gtXig","['cameron', 'proeu', 'brexit', 'eudeal', 'conservative']"
8,8,8,8,8,8,8,516039,722397518731087872,355752178,negative,leave,2016-04-19T12:12:44.000Z,"Traitorous Cameron does not care for democracy
https://t.co/Im2O1M5EpC
#BNP = #VoteLeave
#EUreferendum
#proEu #Cameron TERRIFIED of #Brexit","['cameron', 'voteleave', 'brexit', 'bnp', 'eureferendum', 'proeu']"
9,9,9,9,9,9,9,473737,720011735588057088,671653,neutral,other,2016-04-12T22:12:29.000Z,"#Brexit #ProEU #Debate

HT Peter Williams 

https://t.co/wMXklgjQZr","['debate', 'proeu', 'brexit']"
10,10,10,10,10,10,10,434170,717256443196477440,183560064,positive,other,2016-04-05T07:43:56.000Z,"Please, someone, tell me that #EU membership is not the £350m per week claimed by #Pritipatel. Surely not. #Brexit #proEU","['eu', 'brexit', 'proeu', 'pritipatel']"
11,11,11,11,11,11,11,962147,740519706814251008,4077379402,neutral,remain,2016-06-08T12:23:50.000Z,#pro-EU #Bremain case in #Brexit #referendum campaign: My #British &amp; #European identities are intertwined: https://t.co/VpzKEHNCO5 via @FT,"['european', 'british', 'referendum', 'brexit', 'proeu', 'bremain']"
12,12,12,12,12,12,12,2386206,746649853300776960,210867076,neutral,other,2016-06-25T10:22:51.000Z,There goes all those second homes in the sun! They'll send us packing! #Brexit #expats #ProEU #WhatHaveWeDone,"['expats', 'proeu', 'brexit', 'whathavewedone']"
13,13,13,13,13,13,13,2081009,746343846846554112,524404494,negative,leave,2016-06-24T14:06:54.000Z,"So many #ProEU people filled with hate #Brexit side has not insulted anyone yet they are called racists, xenophobes and stupid. #irony","['irony', 'proeu', 'brexit']"
14,14,14,14,14,14,14,480539,720354280138366976,718934764271575040,positive,other,2016-04-13T20:53:38.000Z,"that #proeu leaflet should have been made by #andrex it felt like #izal on my arse

#brexit","['izal', 'brexit', 'andrex', 'proeu']"
15,15,15,15,15,15,15,1205050,743530635751391232,2984140421,neutral,remain,2016-06-16T19:48:12.000Z,"#jobs #jobsearch # #Pro-EU British lawmaker fatally shot; Brexit campaign suspended:  
           #Campaignin... https://t.co/af7XhAZMLH","['jobsearch', 'campaignin', 'proeu', 'jobs']"
16,16,16,16,16,16,16,554180,724188812402896896,61029033,positive,other,2016-04-24T10:50:42.000Z,"I respected David McWilliams in his Pope's Children day - now expounding #brexit scaremongering on #marian - let them off IMHO, I'm #proEU!","['marian', 'proeu', 'brexit']"
17,17,17,17,17,17,17,517880,722472640145977344,721124872307548160,negative,remain,2016-04-19T17:11:14.000Z,"#putin #sanders #trump and #brexit are the kings

if you are #proeu please kill yourself and join #satan in hell
#mccann are shite","['mccann', 'proeu', 'putin', 'satan', 'brexit', 'sanders', 'trump']"
18,18,18,18,18,18,18,925422,739832932383096832,2984140421,neutral,other,2016-06-06T14:54:51.000Z,"#jobs #jobsearch # #Pro-EU MPs could stage guerrilla campaign to reverse Brexit decision:  
           #MPs c... https://t.co/7kZvfjdRlP","['mps', 'jobsearch', 'proeu', 'jobs']"
19,19,19,19,19,19,19,364433,711838271656038400,706160916446978048,neutral,other,2016-03-21T08:54:03.000Z,"Report for #proEU CBI: 

Brexit means 'a potential cost to UK GDP of £100 billion and 950,000 jobs by 2020' https://t.co/DqLZBT9k84",['proeu']
20,20,20,20,20,20,20,368892,712046070155624448,136638179,negative,leave,2016-03-21T22:39:46.000Z,Wake up — Britain is heading for Brexit https://t.co/IfUBpFW9KF via @FT &gt;Underscores need for simple #proEU messages &amp; no complacency.,['proeu']
21,21,21,21,21,21,21,788180,735769953266061312,28144181,neutral,remain,2016-05-26T09:50:01.000Z,"Brexit is a pack of lies, dreamt up by isolationist little Englanders, who lack the ability to think. #BetterTogether #ProEU","['proeu', 'bettertogether']"
22,22,22,22,22,22,22,1360193,745166719912546304,282277236,negative,remain,2016-06-21T08:09:25.000Z,Five of the worst Brexit campaign lies busted. #BetterTogether #VoteRemain #VoteIn #YesToEU #ProEurope #ProEU https://t.co/j3oLtGp5Nz,"['proeu', 'bettertogether', 'yestoeu', 'votein', 'voteremain', 'proeurope']"
23,23,23,23,23,23,23,1037241,741773159926534144,316091496,neutral,leave,2016-06-11T23:24:37.000Z,Those traitorous #proEU folks would have this kept from us until too late and the door slammed behind us #Brexit https://t.co/bOovYYsmR7,"['proeu', 'brexit']"
24,24,24,24,24,24,24,33848,692984238828883968,316469433,positive,other,2016-01-29T08:14:52.000Z,"The strongest reason I have seen so far for #proEU, two-thirds of players could get the boot @PoliticsHome https://t.co/2maQE91WQ4 #BREXIT","['proeu', 'brexit']"
25,25,25,25,25,25,25,1369687,745182308248887296,47659686,positive,other,2016-06-21T09:11:21.000Z,What Could Brexit Mean for International Travelers? https://t.co/uQQnEPtCWi via @luxury #brexit #proeu,"['proeu', 'brexit']"
26,26,26,26,26,26,26,712492,732935253136932864,2405096358,negative,other,2016-05-18T14:05:56.000Z,@AdamRutherford the programme suggested #Brexit would be a bad move thus putting a #proEU slant no balance @rog_ukip @agapanthus49,"['proeu', 'brexit']"
27,27,27,27,27,27,27,445719,718022053274759168,829694792,neutral,other,2016-04-07T10:26:12.000Z,"When you get your #ProEU leaflet simply return it to:
Con' Party HQ
4 Matthew Parker Street
London
SW1H 9HQ
In an UNSTAMPED envelope
#Brexit","['proeu', 'brexit']"
28,28,28,28,28,28,28,2279154,746482043710758912,15682928,negative,other,2016-06-24T23:16:02.000Z,Democracy is done by democratic education! Sorry not sorry for your fictitious demonstration of democracy #Brexit  #ProEu,"['proeu', 'brexit']"
