t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746571502854750208,713002748,negative,leave,2016-06-25T05:11:31.000Z,"So #Brexit dupes, no extra money for the #NHS. Is it to early to start #RejoinEU ?","['brexit', 'rejoineu', 'nhs']"
747489368315691008,218121087,negative,remain,2016-06-27T17:58:47.000Z,"Dear @BorisJohnson &amp; #Brexit mob,slowly but surely the country is falling apart.You lied &amp; misled voters, now they are suffering. #RejoinEU","['brexit', 'rejoineu']"
747330309323030528,227627250,positive,other,2016-06-27T07:26:45.000Z,"@jeremycorbyn Brexit ""we'll join EEA""EU rules same immigration, used politics of lies to trick people stand up for 2nd ref #RejoinEU",['rejoineu']
804691565243469824,2866494045,neutral,remain,2016-12-02T14:19:54.000Z,"""not even base (tax) in EU"" #Brexit #rejoineu ""Anti-Brexit , Anti-Britain"" ? Rejoin EU   
@RejoinEu   https://t.co/6iYz6TbhcX https://t.co/KXf89jMRiI","['brexit', 'rejoineu']"
815920535834099712,2866494045,neutral,other,2017-01-02T13:59:49.000Z,Taking GNSS to New Heights https://t.co/GXCUDQpZg8  pdf-&gt; https://t.co/PEW1BKrxjY jobs EUgnss-&gt; https://t.co/GvHpzgcSgE #brexit #rejoin_eu https://t.co/o1n2XisbCK,"['rejoineu', 'brexit']"
866037825640300544,726070073081868160,negative,other,2017-05-20T21:08:02.000Z,@GdnPolitics #LibDems might not agree with this! #Brexit #RejoinEU #EUReferendum #Second #Vote #GE2017,"['ge2017', 'second', 'brexit', 'libdems', 'eureferendum', 'vote', 'rejoineu']"
887667367949611008,1595883193,negative,remain,2017-07-19T13:36:07.000Z,@WhoresofYore @theresa_may should have stuck with advertising. She looked so much happier back then! #Brexit #EU #DUP #GE2017 #RejoinEU #StopBrexit,"['ge2017', 'eu', 'brexit', 'stopbrexit', 'rejoineu', 'dup']"
987316939117690880,3003507631,negative,other,2018-04-20T13:07:56.000Z,I do love that the irony of this would be lost on the Leave side. Because of #Brexit it will be much harder for anyone to do as they suggest. They will just have to put up with us until we #ReJoinEU https://t.co/2E7iXzuCYE,"['brexit', 'rejoineu']"
953931769287467008,812619192,negative,remain,2018-01-18T10:07:11.000Z,"This has got be the right route for #Remain to follow. Once those driving ""Leave"" begin to realise that Brexit may only last a few years before it is overturned and we rejoin - the entire exercise is undermined. #FBPE #WATON #RejoinEU

https://t.co/x25d5uBsVH","['fbpe', 'remain', 'rejoineu', 'waton']"
1031142278323159040,969630146759155456,positive,remain,2018-08-19T11:34:11.000Z,"@peoplesvote_uk @csibike1 He's change-his-mind? (As far are #ChangeTheyMinds) Well then either a Deal will go for; Deal-Brexit / Deal-#ExitfromBrexit means #Rejoin-#EU [#RejoinEU]?
What's your pleasure on #PeoplesVote's?
#FBPE #ABTV #WATON @LibJackieDem @Libdems #SaveOurDemocracy #StopBrexitSaveBritain","['changetheyminds', 'fbpe', 'saveourdemocracy', 'waton', 'rejoineu', ""peoplesvote's?"", 'stopbrexitsavebritain', 'abtv']"
1031142278323159040,969630146759155456,positive,remain,2018-08-19T11:34:11.000Z,"@peoplesvote_uk @csibike1 He's change-his-mind? (As far are #ChangeTheyMinds) Well then either a Deal will go for; Deal-Brexit / Deal-#ExitfromBrexit means #Rejoin-#EU [#RejoinEU]?
What's your pleasure on #PeoplesVote's?
#FBPE #ABTV #WATON @LibJackieDem @Libdems #SaveOurDemocracy #StopBrexitSaveBritain","['changetheyminds', 'fbpe', 'saveourdemocracy', 'waton', 'rejoineu', ""peoplesvote's?"", 'stopbrexitsavebritain', 'abtv']"
1027561239063474176,2286753553,negative,leave,2018-08-09T14:24:25.000Z,"“Knowing how to return to the #EU, should public opinion and political will ever begin to come to its senses, is part of the battle.” @Politicalists @jacksonhraw in @PoliticsMeans. #Brexit #BrexitReality #Politics #Opinion #EU27 #RejoinEU #Norway #NoDeal https://t.co/XtabrdwNBF","['eu', 'opinion', 'eu27', 'brexitreality', 'brexit', 'norway', 'rejoineu', 'politics', 'nodeal']"
1027561239063474176,2286753553,negative,leave,2018-08-09T14:24:25.000Z,"“Knowing how to return to the #EU, should public opinion and political will ever begin to come to its senses, is part of the battle.” @Politicalists @jacksonhraw in @PoliticsMeans. #Brexit #BrexitReality #Politics #Opinion #EU27 #RejoinEU #Norway #NoDeal https://t.co/XtabrdwNBF","['eu', 'opinion', 'eu27', 'brexitreality', 'brexit', 'norway', 'rejoineu', 'politics', 'nodeal']"
