t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
743113593558839296,495043092,positive,other,2016-06-15T16:11:01.000Z,What a surprise! I believe 100% we are better off in Europe! #Remain #0%Brexit! https://t.co/lS5RWm0Mj7,"['0%brexit', 'remain']"
745497885152686080,4111729581,neutral,other,2016-06-22T06:05:21.000Z,"""I've been expecting EU, Mr Bond...."" #DanielCraig #Brexit #Remain #007 https://t.co/sCrwHBZTA9","['007', 'brexit', 'remain', 'danielcraig']"
745577412226854912,962255546,neutral,leave,2016-06-22T11:21:21.000Z,left #remain argument #1: The voters will vote for a tory government forever - hence we need #eu to shield us from the voters #brexit,"['1', 'eu', 'remain', 'brexit']"
741785534209593344,3681621377,neutral,other,2016-06-12T00:13:47.000Z,"@angusarmstrong8 @TonysAngle @NIESRorg #1 Reason To Vote Brexit: Goldman Sachs, JPMorgan, &amp; IMF Seek #Remain. #EUref https://t.co/Qx2BM1nH4R","['1', 'euref', 'remain']"
745555603171356672,20311677,negative,other,2016-06-22T09:54:42.000Z,"My reasons for voting #EUref #Remain, #1: history shows a post-Brexit trade deal will be a poor one: https://t.co/yM43AHz6pR","['1', 'euref', 'remain']"
736235313123753984,727593506005499904,negative,remain,2016-05-27T16:39:11.000Z,Reason #1 not to leave the EU... you could live here. #brexit #remain by romeypome https://t.co/RHQhsB9dXg https://t.co/NkL7KrhnaL,"['1', 'remain', 'brexit']"
741784108225986560,3681621377,neutral,other,2016-06-12T00:08:07.000Z,"@TonysAngle @fromTGA #1 Reason To Vote #Brexit: Goldman Sachs, JPMorgan, &amp; The IMF Seek #Remain #StrongerIn https://t.co/Qx2BM1nH4R","['1', 'remain', 'strongerin', 'brexit']"
734072679033114624,2252017892,neutral,leave,2016-05-21T17:25:39.000Z,"Democracy and the EU?
Dictionary/guide #11 the CONSPIRACY
Sources- Oxford dictionary vs Brexit / man in pub
#remain https://t.co/LMdCa5P6vI","['11', 'remain']"
743053260400041984,106878204,neutral,remain,2016-06-15T12:11:17.000Z,"#REMAIN is the #1percent. 
#BRexit is the #99percent.
@BBCRadioWales","['1percent', 'brexit', 'remain', '99percent']"
724384720793001984,86904886,positive,remain,2016-04-24T23:49:10.000Z,"Well, didn't @POTUS tell us UK lot like it is? Not that anyone will take a blind bit of notice. #Brexit #Remain #Brexit #Remain #23June","['23june', 'brexit', 'remain']"
742781100536266752,2583874134,positive,remain,2016-06-14T18:09:49.000Z,It seems like the majority vote is clear amongst this particular panel #Brexit #EUreferendum #23June #Remain https://t.co/QsN2ihiinu,"['23june', 'brexit', 'remain', 'eureferendum']"
732973750765953024,85386747,positive,leave,2016-05-18T16:38:54.000Z,"And, the LIES continue,a pace... #remain #ProjectFear 

Take back control of Great Britain. #23JuneVoteLeave #BREXIT https://t.co/9V1aCGobgT","['23junevoteleave', 'remain', 'projectfear', 'brexit']"
746467351042756608,554387353,neutral,remain,2016-06-24T22:17:39.000Z,#Brexit #Remain #EU #Referendum results from #UK public votes &amp; beliefs #IndependenceDay #23rdJune2016 https://t.co/1aMmc8gyZt,"['23rdjune2016', 'eu', 'brexit', 'remain', 'independenceday', 'referendum', 'uk']"
