,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,993609,741040808174989312,823450616,positive,other,2016-06-09T22:54:31.000Z,Every #Brexit supporters favourite #Remainer Liz Kenwood on #bbctw tonocht *hic*,"['bbctw', 'brexit', 'remainer']"
1,1,1,721728,733346195570102272,730742922686124032,neutral,other,2016-05-19T17:18:52.000Z,There are 2 kinds of #remainer : those who fundamentally misunderstand the motives of the EU and those who benefit grossly from them #brexit,"['brexit', 'remainer']"
2,2,2,807864,736274351243300864,68361741,neutral,other,2016-05-27T19:14:19.000Z,I am a #remainer but it does make one wonder why given sizeable net contribution why #brexit build case on a lie https://t.co/XTCDCgWkyE,"['brexit', 'remainer']"
3,3,3,791529,735824622097162240,22085760,negative,other,2016-05-26T13:27:15.000Z,@bbclaurak @BorisJohnson 70%+ of @Conservatives membership are anti EU &amp; Pro #Brexit the cull of #Remainer MPs will be swift &amp; brutal!,"['brexit', 'remainer']"
4,4,4,898636,739130656291229696,2189056412,neutral,leave,2016-06-04T16:24:15.000Z,@TheSun must be a #remainer they can hood wink the ppl! U can fool some of the pple some of the time but u can't fool all of the ppl #brexit,"['brexit', 'remainer']"
5,5,5,2424009,746696346279772160,54556096,negative,leave,2016-06-25T13:27:36.000Z,"Every time you say #Brexit, a #Remainer cries. 

I do believe in democracy, I do, I do...

https://t.co/BwaPsSEEIo","['brexit', 'remainer']"
6,6,6,607227,728275895488745472,3437721759,neutral,other,2016-05-05T17:31:18.000Z,Nothing weirder than #Remainer #Brexit https://t.co/iXhfM3IVvw,"['brexit', 'remainer']"
7,7,7,1429375,745526709441572864,464841720,negative,remain,2016-06-22T07:59:53.000Z,https://t.co/NxwIVkou0z Choudary is #Remainer there's a shock and another reason #Brexit,"['brexit', 'remainer']"
8,8,8,1100908,742674343747059712,65978348,positive,leave,2016-06-14T11:05:36.000Z,"Every single  #remainer wants a #reformedEU. Best argument ever for #BREXIT. eu IS NOT REFORMED!

#dailypolitics","['brexit', 'remainer', 'dailypolitics', 'reformedeu']"
9,9,9,1046260,741949231527780352,65978348,neutral,leave,2016-06-12T11:04:16.000Z,#murnaghan Every single #REMAINER wants to know how and when the #EU will change? It may never! #BREXIT,"['eu', 'brexit', 'murnaghan', 'remainer']"
10,10,10,876075,738501785111941120,3196345114,neutral,leave,2016-06-02T22:45:20.000Z,"Every #Remainer says the #EU needs reformed, yet have never found a way in 41 years. Still insist we can 'reform' from the 'inside'. #Brexit","['eu', 'brexit', 'remainer']"
11,11,11,1433035,745544799206313984,157665977,positive,other,2016-06-22T09:11:46.000Z,How does a #Remainer change to #Brexit? @BenedictTurvill explains his conversion &amp; calls for reason &amp; respect #EURef https://t.co/vw36fI2itV,"['euref', 'brexit?', 'remainer']"
12,12,12,224588,703884149917143040,315109787,neutral,other,2016-02-28T10:07:13.000Z,If Britain leaves the EU I'm gonna emigrate to....oh wait. #Brexit #EUreferendum #remainer,"['eureferendum', 'remainer', 'brexit']"
13,13,13,1081074,742457154368643072,730736334252474240,positive,remain,2016-06-13T20:42:34.000Z,"Dearest #Remainer, do you still trust Carney's blarney?

#StrongerIn #EuropeNotEU
#EURef #Brexit https://t.co/FC8R6oHZcI","['europenoteu', 'remainer', 'strongerin', 'euref', 'brexit']"
14,14,14,427653,716759887976464384,3196345114,negative,other,2016-04-03T22:50:48.000Z,"If we vote #Brexit, Cam, Osbo, May, Hammond and every other #Eurosceptic turned #Remainer is TOAST. Turncoats are NOT accepted. #GO #UKIP","['eurosceptic', 'ukip', 'remainer', 'brexit', 'go']"
15,15,15,1079550,742441155573501952,246993396,neutral,other,2016-06-13T19:39:00.000Z,"‘In #Hull, everyone is for #Brexit. You can go 50 houses in a row and not find a single #Remain'er""  #VoteLeave https://t.co/s8MgBsT9Y9","['hull', 'voteleave', 'remainer', 'brexit']"
16,16,16,657796,731010365325082624,1095836894,negative,other,2016-05-13T06:37:07.000Z,Disappointed with #johnmajor and other #remainer comments  dismissing legitimate point of view of #brexit,"['johnmajor', 'brexit', 'remainer']"
17,17,17,926724,739819585784975360,701866563268378624,positive,other,2016-06-06T14:01:49.000Z,#Remainer #TRAITOR #JohnnyMercer Ignores #Constituents who support #Brexit https://t.co/NMCVmJ8EVe @guidofawkes #DavidCameron #BBC #SKY #ITV,"['johnnymercer', 'constituents', 'bbc', 'davidcameron', 'remainer', 'sky', 'itv', 'traitor', 'brexit']"
18,18,18,879492,738638883236249600,27733698,negative,remain,2016-06-03T07:50:07.000Z,"@camillalong @RupertMyers on the whole, name me a #remainer who doesn't have something to gain personally! Yours, #mad #brexit","['mad', 'brexit', 'remainer']"
19,19,19,993373,741037214184943616,24571916,positive,leave,2016-06-09T22:40:14.000Z,#Brexit #VoteLeave must be so thankful Eddie Izzard is a #remainer who must be cringing at his support for #RemainCampaign CarCrash,"['remaincampaign', 'remainer', 'brexit', 'voteleave']"
