t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
746692811861393408,51045537,negative,remain,2016-06-25T13:13:33.000Z,"Public who voted for brexit complaining they don't want to be pushed and hurried out of EU
@LabourRemain 
#RemainINEU 
#AnotherReferendum","['anotherreferendum', 'remainineu']"
746483311837589504,103121875,positive,remain,2016-06-24T23:21:05.000Z,"Funny while Remain faff about https://t.co/j8GL31BubU #brexit quietly go on living. #Armageddon has been cancelled, #RemainINEU get over it","['armageddon', 'remainineu', 'brexit']"
741899791899217920,5628622,negative,other,2016-06-12T07:47:48.000Z,#TheThickOfIt = Life imitating #Art as modern #Politics becomes MORE of a #Farce than the programme itself = #Brexit &amp; #RemainInEU  #OOPS!!,"['art', 'thethickofit', 'brexit', 'remainineu', 'oops', 'politics', 'farce']"
731051251371216896,720569952550449152,negative,other,2016-05-13T09:19:35.000Z,Could Leaving The EU Cause A Recession...? #Brexit #BankOfEngland #LeaveEU #RemainInEU #Recession #MarkCarney #FTSE https://t.co/92GWLialme,"['bankofengland', 'leaveeu', 'recession', 'brexit', 'ftse', 'markcarney', 'remainineu']"
744648441297514496,2457530775,negative,other,2016-06-19T21:49:57.000Z,@StrongerIn @RemaininEU: @Nigel_Farage causes further rift in #Brexit campaign as #BaronessWarsi defects #RemainINEU https://t.co/HIhaiMzqzz,"['baronesswarsi', 'brexit', 'remainineu']"
745391660373245952,1292549796,positive,other,2016-06-21T23:03:15.000Z,#bbc #brexit debate. Remain wins economy. Leave slightly ahead on immigration. draw on sovereignty. Vote #RemainINEU,"['bbc', 'remainineu', 'brexit']"
735911276048711680,835234932,positive,other,2016-05-26T19:11:35.000Z,"Im #Brexit , really  y EU good,  #BBCDebate is very  pro #RemainINEU","['bbcdebate', 'brexit', 'remainineu']"
725818016282320896,87813497,positive,other,2016-04-28T22:44:34.000Z,"Alex Salmond probably summed a useful way to consider #EUreferendum; make your mind as a ""matter of principal"". #bbcqt #RemainInEU #Brexit","['bbcqt', 'brexit', 'eureferendum', 'remainineu']"
744601606684086272,220624198,positive,leave,2016-06-19T18:43:51.000Z,Cameron excellent on #bbcqt but after won referendum immigration questions still to answer #Remain #RemainINEU #Brexit,"['bbcqt', 'brexit', 'remain', 'remainineu']"
741036177449443328,361337489,negative,remain,2016-06-09T22:36:07.000Z,"Is it any wonder no one knows what is going on? Bickering, sweeping statements, even bare faced lies. #bbcqt #Brexit #RemainINEU #chaos","['bbcqt', 'brexit', 'remainineu', 'chaos']"
720799955603034112,215736181,neutral,other,2016-04-15T02:24:35.000Z,#Cameron's failed renegotiation shows how immune #EU is fm reform. #RemainInEU w a hope 2 reform is unlikely 2 happen. #bbcqt #Brexit #EUref,"['bbcqt', 'euref', ""cameron's"", 'eu', 'brexit', 'remainineu']"
744595455846268928,332704611,negative,other,2016-06-19T18:19:25.000Z,@bbcquestiontime what happens to #eu citizens already here if theres a #Brexit ?Will they b forced to get a visa? #EUref #bbcqt #RemainINEU,"['bbcqt', 'euref', 'remainineu', 'brexit', 'eu']"
723353811767681024,215736181,neutral,other,2016-04-22T03:32:42.000Z,#EURef: #ProjectFear now seems to move from #economy to #Putin. #bbcqt #Brexit #RemainInEU,"['bbcqt', 'putin', 'projectfear', 'brexit', 'euref', 'economy', 'remainineu']"
741034569697251328,1612671692,neutral,leave,2016-06-09T22:29:43.000Z,I'm voting #Brexit simply because #EddieIzzard wants to #RemainINEU #bbcqt #LeaveEU After all folk will vote remain as #Farage wants #Brexit,"['bbcqt', 'remainineu', 'farage', 'leaveeu', 'brexit', 'eddieizzard']"
735965554293542912,178895671,neutral,other,2016-05-26T22:47:16.000Z,"#TTIP Full Doc https://t.co/R6voe6nizp … #TPP  #corporatocracy 
and Why #US Banks Fund #RemainINEU! #Brexit #bbcqt https://t.co/oSHSRAzhcz","['bbcqt', 'tpp', 'ttip', 'remainineu', 'us', 'brexit', 'corporatocracy']"
745192559564234752,47081488,neutral,other,2016-06-21T09:52:05.000Z,"https://t.co/sGrJxU23qd
How touching Mr #Beckham #Brexit #RemainINEU","['beckham', 'brexit', 'remainineu']"
741741441714642944,174426042,positive,other,2016-06-11T21:18:35.000Z,"If #brexit win, does that mean no more European football at club or international level? #bettertogether #Remain #RemainINEU","['bettertogether', 'remain', 'remainineu', 'brexit']"
745869247226781696,126334986,neutral,leave,2016-06-23T06:41:00.000Z,Voting #EUreferendum Polling Station #Bingley #Brexit #RemainINEU @yorkshirepost https://t.co/extjp3iNOp,"['bingley', 'brexit', 'remainineu', 'eureferendum']"
725222503858245632,36932885,positive,leave,2016-04-27T07:18:13.000Z,#UK #biz leaders say best #business interests are to #RemaininEU not #Brexit https://t.co/mL4X8YHaW2,"['biz', 'remainineu', 'brexit', 'business', 'uk']"
746226216315719680,140016888,negative,other,2016-06-24T06:19:28.000Z,The grannies sold out the future of their grandchildren. 80% above 65+ voted for #brexit. Shame on you! #Remain #RemainINEU #BlackFriday,"['blackfriday', 'remain', 'remainineu', 'brexit']"
717029267054444544,3208482538,neutral,leave,2016-04-04T16:41:13.000Z,"WHO'S TELLING PORKIES?

#boeing chooses UK as its new European headquarters

#airbus says #Brexit will make them uncompetitive

#RemainINEU","['boeing', 'brexit', 'remainineu', 'airbus']"
727031176536440832,3135565264,positive,leave,2016-05-02T07:05:14.000Z,"People of #Bolton support the vote to #LeaveEU

#VoteLeave #EUreferendum #RemainInEU #No2EU #Brexit #INorOUT https://t.co/4b7xG2kUTI","['bolton', 'eureferendum', 'leaveeu', 'inorout', 'brexit', 'voteleave', 'no2eu', 'remainineu']"
721060072533684224,275896693,negative,remain,2016-04-15T19:38:12.000Z,#Boris warns the EU is getting WORSE and there's only one Brexit chance https://t.co/WwFNkMmbb1 via https://t.co/xKsWZhohqI  #RemainInEU,"['boris', 'remainineu']"
735749027413647360,45842327,positive,other,2016-05-26T08:26:52.000Z,"Definitely watchingthis one, #bbcqt. And I hope it doesn't disappoint. #RemainINEU #Brexit https://t.co/Suv9mk6vOg","['brexit', 'bbcqt', 'remainineu']"
723591207201439744,102044458,neutral,other,2016-04-22T19:16:02.000Z,"https://t.co/AoI2YNEhIp  President Barack Obama 'saves PM’s bacon’ 
#BlackVote #Brexit #RemainInEU #Obama https://t.co/vrm5lmxjyx","['brexit', 'blackvote', 'remainineu', 'obama']"
