t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1086567543698059264,866203967713411072,negative,remain,2019-01-19T10:14:24.000Z,"@acgrayling This never gets old when #Leavers bitch about #Remain’s campaign for a #peoplesvote 👇🏽

And now we KNOW #Brexit was won by #lies #deceit #criminality of #Banks #Grimes &amp; #Putin #trolls - the case is overwhelming ...

#STOPBrexit
#RevokeArt50NOW 

https://t.co/YL2dVUE7OC","['peoplesvote', 'deceit', 'trolls', 'banks', 'stopbrexit', 'leavers', 'revokeart50now', 'lies', 'criminality', 'putin', 'remain’s', 'brexit', 'grimes']"
1094308560308191232,1092546516298940416,positive,leave,2019-02-09T18:54:26.000Z,"Correct, no majority for any form of Brexit, but consensus that no-deal unacceptable. So we need a deal. Hurrah! we have one, customised for us, worked well for many years. #RevokeArt50NOW! https://t.co/xnza9ZC6t1",['revokeart50now']
1088940909570519040,866203967713411072,positive,remain,2019-01-25T23:25:19.000Z,"@NeilFarrer2 @AlanGrayalan57 @BrexitCentral Yes, once again, that’s a very good summary of #Brexit 👍🏼

Really couldn’t have put it better myself. ✔️

🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺🇬🇧🇪🇺🇬🇧

#REMAIN
#STOPBrexit
#RevokeArt50NOW
#Brexidiots
#StopTheBrexitMadness https://t.co/WJVN1g6EXt","['stopbrexit', 'revokeart50now', 'stopthebrexitmadness', 'brexidiots', 'brexit', 'remain']"
1088344900385550336,866203967713411072,positive,leave,2019-01-24T07:56:59.000Z,"Absolute tosh ....!! 😂😂😂😂

Neither #Leavers nor #Remainers will trust the #Tories for a very long time irrespective of whether #Brexit is delivered or not. 

The question is - what’s BEST FOR #BRITAIN - and that’s #REMAIN

#RevokeArt50NOW !! 

https://t.co/cUMXCkqptl","['tories', 'leavers', 'remainers', 'revokeart50now', 'brexit', 'britain', 'remain']"
1110225110353539072,853842253,positive,remain,2019-03-25T17:01:07.000Z,Is it just me or is May now just drawing out her existence in #10. I was hoping she would do the right thing today and just resign. JUST STAND DOWN! #PeoplesVote #brexit #RevokeArt50Now,"['10', 'revokeart50now', 'peoplesvote', 'brexit']"
1109065921514127360,21078033,positive,other,2019-03-22T12:14:55.000Z,"As we lollop inexorably towards a default no deal Brexit, surely to goodness this have got to count for something! #3MillionAndCounting #RevokeArt50Now https://t.co/zHjjv7Orja https://t.co/YZHLfGaiDr","['3millionandcounting', 'revokeart50now']"
1109389231263285248,958436587,positive,remain,2019-03-23T09:39:38.000Z,"4,008,386 signatures! Come on people if you haven't already signed it - nows your chance! #RevokeArt50Now #RovokeArticle50 #PeoplesVote #NoDealBrexit #Brexit #RevokeArticle50Petition #4million  https://t.co/VnDb0y3mnR","['4million', 'revokearticle50petition', 'brexit', 'rovokearticle50', 'peoplesvote', 'revokeart50now', 'nodealbrexit']"
1108850836363505664,3190143988,neutral,other,2019-03-21T22:00:15.000Z,@NeilPollyTicks @peterjukes @susanmc15104271 @isaby Was at TPA before Brexit Central  @bbclaurak kindly congratulated him on his new job in 2013 .  #55TuftonSt #RevokeArt50Now,"['55tuftonst', 'revokeart50now']"
1109840397919051776,133404267,positive,other,2019-03-24T15:32:25.000Z,"Be a part of history like 5 million others and sign it now. #brexit #RevokeArticle50Petition #RevokeArt50Now #PeoplesVoteMarch #5Million 
https://t.co/DVlNI7NhMX","['5million', 'brexit', 'revokeart50now', 'peoplesvotemarch', 'revokearticle50petition']"
1111320658917629952,22561176,negative,remain,2019-03-28T17:34:27.000Z,"Also, look, I'm sorry my timeline is largely all 'stop Brexit' and that lately, but howling into the void is all I have left

#RevokeArt50Now 
#RevokeArticle50Petition 
#AlsoWhyNotBuyMyComicsWhileYoureReadingThis","['alsowhynotbuymycomicswhileyourereadingthis', 'revokeart50now', 'revokearticle50petition']"
