t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
747006721747460096,744459598921338880,negative,other,2016-06-26T10:00:55.000Z,https://t.co/M7qtSEeYaL #eu #brexit #revokearticle50now #Leave millions of poor #english folk who need work,"['revokearticle50now', 'english', 'eu', 'leave', 'brexit']"
927584495166984192,113576435,neutral,remain,2017-11-06T17:12:31.000Z,This THREAD right here. #Brexit #BrexitShambles #revokeArticle50now https://t.co/wXxnt7r6I7,"['brexitshambles', 'brexit', 'revokearticle50now']"
918075051953582080,2789794573,neutral,other,2017-10-11T11:25:24.000Z,MPs urge David Davis to publish Brexit impact assessments #revokearticle50now https://t.co/AqqaBBr3Bb,['revokearticle50now']
1028741939343048704,2402093269,positive,other,2018-08-12T20:36:06.000Z,"And yet, this is all supposedly, (according to the #Brexit mantra) about ‘regaining sovereignty’? Whose sovereignty? That of the Government? Sounds like Zimbabwe - wierd that.  

#RevokeArticle50Now https://t.co/mShdhDALqp","['brexit', 'revokearticle50now']"
1028741939343048704,2402093269,positive,other,2018-08-12T20:36:06.000Z,"And yet, this is all supposedly, (according to the #Brexit mantra) about ‘regaining sovereignty’? Whose sovereignty? That of the Government? Sounds like Zimbabwe - wierd that.  

#RevokeArticle50Now https://t.co/mShdhDALqp","['brexit', 'revokearticle50now']"
1013935380624826368,2402093269,negative,other,2018-07-03T00:00:07.000Z,"@timfarron Yes we are infuriated by them, #Brexit is mind glowingly destructive. A right wing Tory Ultra cabal has taken over. Please do whatever you can to help us #ExitfromBrexit and #RevokeArticle50Now","['exitfrombrexit', 'brexit', 'revokearticle50now']"
1013935380624826368,2402093269,negative,other,2018-07-03T00:00:07.000Z,"@timfarron Yes we are infuriated by them, #Brexit is mind glowingly destructive. A right wing Tory Ultra cabal has taken over. Please do whatever you can to help us #ExitfromBrexit and #RevokeArticle50Now","['exitfrombrexit', 'brexit', 'revokearticle50now']"
1014519163354845184,2402093269,negative,remain,2018-07-04T14:39:52.000Z,Exactly. Brexit based on fraud and illegal financing to say nothing of blatant lies. #Brexitshambles #exitfrombrexit #RevokeArticle50Now https://t.co/fd0B12fPtj,"['revokearticle50now', 'brexitshambles', 'exitfrombrexit']"
1014519163354845184,2402093269,negative,remain,2018-07-04T14:39:52.000Z,Exactly. Brexit based on fraud and illegal financing to say nothing of blatant lies. #Brexitshambles #exitfrombrexit #RevokeArticle50Now https://t.co/fd0B12fPtj,"['revokearticle50now', 'brexitshambles', 'exitfrombrexit']"
1071497006043070464,1061400662003630080,positive,leave,2018-12-08T20:09:28.000Z,"There once was a PM called May
Who determined to give leavers their way
I'll deliver on the vote
She continued to quote
In the face of an overwhelming NAY!
#Brexit #RevokeArticle50Now @theresa_may","['brexit', 'revokearticle50now']"
1085952935891267584,19588516,neutral,leave,2019-01-17T17:32:10.000Z,"Just take #Brexit off the table and be done with. 
#RevokeArticle50Now https://t.co/CGI8ZsteqV","['brexit', 'revokearticle50now']"
1073481291629252608,3057097433,negative,leave,2018-12-14T07:34:18.000Z,@GregClarkMP FYI - we need to stop #Brexit and #RevokeArticle50Now https://t.co/fEYZbmaxB8,"['brexit', 'revokearticle50now']"
1073315969358024704,141182321,positive,remain,2018-12-13T20:37:22.000Z,@RobertBuckland I find it ABSOLUTELY INFURIATING to be told again &amp; again what I &amp; the British people want. I DO NOT WANT you to get on with #Brexit I WANT YOU to either #RevokeArticle50Now or a #PeoplesVote YOU need to begin listening to colleagues like @Anna_Soubry URGENTLY. https://t.co/XuWxycj8u5,"['brexit', 'revokearticle50now', 'peoplesvote']"
1073476541139640320,636127267,negative,other,2018-12-14T07:15:26.000Z,"@bbclaurak @MatCerri @theresa_may Time is up! Your deal will be rejected no matter how long you delay. You are doomed as a leader and as PM. #RevokeArticle50Now and #RemainerNow. #Brexit is a Tory Vanity project! The country is a mess, move aside!","['brexit', 'revokearticle50now', 'remainernow']"
1073476415536988160,636127267,negative,other,2018-12-14T07:14:56.000Z,"@theresa_may Time is up! Your deal will be rejected no matter how long you delay. You are doomed as a leader and as PM. #RevokeArticle50Now and #RemainerNow. #Brexit is a Tory Vanity project! The country is a mess, move aside! https://t.co/ee5tvgVJ0w","['brexit', 'revokearticle50now', 'remainernow']"
1073259007228473344,220981118,negative,remain,2018-12-13T16:51:02.000Z,#FBPE #WATON #Article50 #BrexitShambles #Brexit #RevokeA50 #RemainerNow #Leave #Referendum2018 #Brexitcast #BrexitDeal #StopBrexitSaveBritain #FinalSay #PeoplesVoteNow #RevokeArticle50Now #BrexitShambles #Parliament #BrexitIsPersonal #BrexitVote #TheresaMay #NoDealBrexit #EU https://t.co/ilHVS8oSGe,"['brexitispersonal', 'revokearticle50now', 'brexitcast', 'remainernow', 'brexitshambles', 'stopbrexitsavebritain', 'revokea50', 'fbpe', 'referendum2018', 'parliament', 'eu', 'theresamay', 'waton', 'peoplesvotenow', 'finalsay', 'brexit', 'brexitdeal', 'article50', 'leave', 'brexitvote', 'nodealbrexit']"
1070598221192462336,260686759,negative,other,2018-12-06T08:38:01.000Z,"Leave ‘very likely’ won Brexit referendum due to illegal overspending, Oxford professor to tell High Court https://t.co/hHL7k5oNrf Don't talk to me about 'respect the will of the people' #RevokeArticle50now #GeneralElectionNow","['generalelectionnow', 'revokearticle50now']"
1070598221192462336,260686759,negative,other,2018-12-06T08:38:01.000Z,"Leave ‘very likely’ won Brexit referendum due to illegal overspending, Oxford professor to tell High Court https://t.co/hHL7k5oNrf Don't talk to me about 'respect the will of the people' #RevokeArticle50now #GeneralElectionNow","['generalelectionnow', 'revokearticle50now']"
1073064520309006336,72684950,neutral,leave,2018-12-13T03:58:12.000Z,"@ElaineWharton1 But yes, let’s “Leave bRexit” well behind and #RevokeArticle50Now (and stay in the EU) 😉 #LeaveBrexit","['leavebrexit', 'revokearticle50now']"
1074553354490208256,42212531,positive,remain,2018-12-17T06:34:18.000Z,"#pm #pmot https://t.co/R6unbpuxVA RT remain_central: Rolls-Royce to shift work from Derby to Germany over Brexit fears.

Brexit is driving more and more good jobs out of the UK.

We need to stop this shambles.

Write to your MP today to demand they #RevokeArticle50Now and call …","['pmot', 'pm', 'revokearticle50now']"
1071368797473390592,3303548691,negative,remain,2018-12-08T11:40:01.000Z,@10DowningStreet @theresa_may The brexit deal is not as good as the deal that we currently have within the EU. It will harm the UK. The referendum was flawed and the Gov are acting irresponsibly. #SacktheBrexitDeal #RevokeArticle50Now #Remain,"['remain', 'revokearticle50now', 'sackthebrexitdeal']"
1071371396847202304,3303548691,negative,remain,2018-12-08T11:50:20.000Z,@jeremycorbyn @Keir_Starmer A ‘serious alternative’ to May’s brexit deal is to remain in the EU and influence change from within. The referendum was flawed. Gov is wilfully damaging the future of the UK. #SacktheBrexitDeal #RevokeArticle50Now #Remain https://t.co/bRmn6sD9sQ,"['remain', 'revokearticle50now', 'sackthebrexitdeal']"
1072797923782615040,240402040,neutral,remain,2018-12-12T10:18:51.000Z,Truth. #StopBrexit #StopBrexitNow #StopBrexitSaveBritain #RevokeA50 #RevokeArticle50now #revokeArticle50 #remain #remainer #brexit #notobrexit #britisheuropeans #bresistance #bellaciao https://t.co/dgVa8s0ISg,"['revokea50', 'remainer', 'bellaciao', 'revokearticle50', 'revokearticle50now', 'stopbrexitnow', 'remain', 'brexit', 'stopbrexit', 'britisheuropeans', 'stopbrexitsavebritain', 'notobrexit', 'bresistance']"
1072862871128657920,240402040,neutral,remain,2018-12-12T14:36:55.000Z,Watching the season finale of 'The UK'. #brexit #notobrexit #bresistance #britisheuropeans #bellaciao #stopbrexit #StopBrexitSaveDemocracy #StopBrexitSaveBritain #RevokeArticle50Now #RevokeArticle50 #RevokeA50 #remain #remainer #uk https://t.co/5jo9uSZKNC,"['revokea50', 'stopbrexitsavebritain', 'brexit', 'stopbrexitsavedemocracy', 'revokearticle50', 'uk', 'revokearticle50now', 'bellaciao', 'remainer', 'remain', 'bresistance', 'britisheuropeans', 'stopbrexit', 'notobrexit']"
1069994566508523520,858746839532752896,positive,leave,2018-12-04T16:39:18.000Z,"How often have you heard people say, ""We've had enough of Brexit: just get it over with!""  

We couldn't agree more and the ECJ judgment is the way forward. Revoke Article 50 now. #RevokeArticle50Now  #RevokeArticle50 #RevokeandRemain  https://t.co/iTxp1EaDVc","['revokeandremain', 'revokearticle50now', 'revokearticle50']"
1069994566508523520,858746839532752896,positive,leave,2018-12-04T16:39:18.000Z,"How often have you heard people say, ""We've had enough of Brexit: just get it over with!""  

We couldn't agree more and the ECJ judgment is the way forward. Revoke Article 50 now. #RevokeArticle50Now  #RevokeArticle50 #RevokeandRemain  https://t.co/iTxp1EaDVc","['revokeandremain', 'revokearticle50now', 'revokearticle50']"
1073115562694377472,107426979,neutral,remain,2018-12-13T07:21:02.000Z,"@DancingTheMind @JossWaddyProEU It’s madness...all that money, time, effort and focus on #Brexit meanwhile the UK falls to pieces...#StopBrexit #StopBrexitSaveBritain #remainEU #RevokeArticle50 #RevokeArticle50Now","['revokearticle50', 'revokearticle50now', 'brexit', 'remaineu', 'stopbrexitsavebritain']"
1086557964901576704,326670123,negative,leave,2019-01-19T09:36:20.000Z,"@BorisJohnson no need to extend it just #RevokeArticle50Now
people lost their faith in polititians long before the brexit referendum.",['revokearticle50now']
