,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
2950579,1028741233240420352,734452847497117696,negative,other,2018-08-12T20:33:17.000Z,"@SLarches Andrea Jenkyns MP #StandUp4 @andreajenkyns 

""The liberal elite will never understand why so many people voted for #Brexit."" 

Odd because neither do the #Brexiteers yet... and we are all growing impatient.

#StandUp4Brexit #StandUP2Brexit #AndreaJenkyns MP","['andreajenkyns', 'brexit', 'standup4', 'brexiteers', 'standup2brexit', 'standup4brexit']"
2950580,1028741233240420352,734452847497117696,negative,other,2018-08-12T20:33:17.000Z,"@SLarches Andrea Jenkyns MP #StandUp4 @andreajenkyns 

""The liberal elite will never understand why so many people voted for #Brexit."" 

Odd because neither do the #Brexiteers yet... and we are all growing impatient.

#StandUp4Brexit #StandUP2Brexit #AndreaJenkyns MP","['andreajenkyns', 'brexit', 'standup4', 'brexiteers', 'standup2brexit', 'standup4brexit']"
3516561,1036505716960493568,1029273979561947136,negative,remain,2018-09-03T06:46:34.000Z,"""The scandal of #Brexit is that we deceived a whole nation."" - #borisjohnson #MondayMotivation #MondayMorning #StopBrexit #StandUp2Brexit #TheresaMay @LoubinWally @StopBrexitMarch @EUflagmafia @DavidLammy @RemainingKind @nickreeves9876 https://t.co/GkDiMt635v","['borisjohnson', 'mondaymorning', 'brexit', 'mondaymotivation', 'standup2brexit', 'stopbrexit', 'theresamay']"
3516560,1036505716960493568,1029273979561947136,negative,remain,2018-09-03T06:46:34.000Z,"""The scandal of #Brexit is that we deceived a whole nation."" - #borisjohnson #MondayMotivation #MondayMorning #StopBrexit #StandUp2Brexit #TheresaMay @LoubinWally @StopBrexitMarch @EUflagmafia @DavidLammy @RemainingKind @nickreeves9876 https://t.co/GkDiMt635v","['borisjohnson', 'mondaymorning', 'brexit', 'mondaymotivation', 'standup2brexit', 'stopbrexit', 'theresamay']"
4416362,1045764502749421568,1029273979561947136,negative,remain,2018-09-28T19:57:41.000Z,"And now for the #BorisJohnson #Brexit plan... How to promote myself and ruin the country!
-- #StopBrexit #StandUp2Brexit #FBPE https://t.co/tuQmUhW7oS","['brexit', 'borisjohnson', 'standup2brexit', 'stopbrexit', 'fbpe']"
4416363,1045764502749421568,1029273979561947136,negative,remain,2018-09-28T19:57:41.000Z,"And now for the #BorisJohnson #Brexit plan... How to promote myself and ruin the country!
-- #StopBrexit #StandUp2Brexit #FBPE https://t.co/tuQmUhW7oS","['brexit', 'borisjohnson', 'standup2brexit', 'stopbrexit', 'fbpe']"
3669915,1038458218769465344,734452847497117696,negative,remain,2018-09-08T16:05:07.000Z,"@ANMarshall @SpanishDan1 Q: ""Why did you decide to vote for Leave?""
A: ""I like chaos"" Julie Burchill

There you have it Leave voters. Straight from the horse's mouth: #Brexit WILL bring #chaos 

#BrexitShambles
#StandUp2Brexit 

https://t.co/PqiK78mpft","['brexit', 'brexitshambles', 'chaos', 'standup2brexit']"
3669914,1038458218769465344,734452847497117696,negative,remain,2018-09-08T16:05:07.000Z,"@ANMarshall @SpanishDan1 Q: ""Why did you decide to vote for Leave?""
A: ""I like chaos"" Julie Burchill

There you have it Leave voters. Straight from the horse's mouth: #Brexit WILL bring #chaos 

#BrexitShambles
#StandUp2Brexit 

https://t.co/PqiK78mpft","['brexit', 'brexitshambles', 'chaos', 'standup2brexit']"
4849235,1050803989858652160,734452847497117696,neutral,remain,2018-10-12T17:42:48.000Z,"@nickreeves9876 They serve who ever the highest paymaster is...

""Spies, lies and the oligarch: London’s booming secrets industry"" #Brexit #BrexitShambles #StandUp2Brexit 

#IntelligenceMercenaries are not above the law

But I bet you it isn't confined to just the UK.

https://t.co/UvQGXemG3d","['brexit', 'brexitshambles', 'standup2brexit', 'intelligencemercenaries']"
4849236,1050803989858652160,734452847497117696,neutral,remain,2018-10-12T17:42:48.000Z,"@nickreeves9876 They serve who ever the highest paymaster is...

""Spies, lies and the oligarch: London’s booming secrets industry"" #Brexit #BrexitShambles #StandUp2Brexit 

#IntelligenceMercenaries are not above the law

But I bet you it isn't confined to just the UK.

https://t.co/UvQGXemG3d","['brexit', 'brexitshambles', 'standup2brexit', 'intelligencemercenaries']"
