,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
3002016,1029640856540725248,952885954657816320,positive,remain,2018-08-15T08:08:04.000Z,"@StandUp4Brexit This is what Brexit is doing for our country. Is this what you want? Will this make the country wealthier ? No!
It will not. #standupagainstbrexit https://t.co/gs8WHY1muz",['standupagainstbrexit']
2856350,1027257397180592128,3111012656,negative,other,2018-08-08T18:17:03.000Z,"The Tory government can't agree what Brexit should be and every credible expert and study predict it will be a disaster. So, no. Never. #StandUpAgainstBrexit https://t.co/xOcQ2RiXa2",['standupagainstbrexit']
2856351,1027257397180592128,3111012656,negative,other,2018-08-08T18:17:03.000Z,"The Tory government can't agree what Brexit should be and every credible expert and study predict it will be a disaster. So, no. Never. #StandUpAgainstBrexit https://t.co/xOcQ2RiXa2",['standupagainstbrexit']
3002015,1029640856540725248,952885954657816320,positive,remain,2018-08-15T08:08:04.000Z,"@StandUp4Brexit This is what Brexit is doing for our country. Is this what you want? Will this make the country wealthier ? No!
It will not. #standupagainstbrexit https://t.co/gs8WHY1muz",['standupagainstbrexit']
2952410,1028772640264278016,39496081,positive,remain,2018-08-12T22:38:05.000Z,"@andreajenkyns @dannymcgrory67 People voted Leave based on lies...many many lies Andrea.  #VoteLeaveBrokeTheLaw . You're always talking about belief. How about some facts, like how Brexit will benefit us? We need at the very least a #PeoplesVote . #standupagainstbrexit","['standupagainstbrexit', 'voteleavebrokethelaw', 'peoplesvote']"
2952409,1028772640264278016,39496081,positive,remain,2018-08-12T22:38:05.000Z,"@andreajenkyns @dannymcgrory67 People voted Leave based on lies...many many lies Andrea.  #VoteLeaveBrokeTheLaw . You're always talking about belief. How about some facts, like how Brexit will benefit us? We need at the very least a #PeoplesVote . #standupagainstbrexit","['standupagainstbrexit', 'voteleavebrokethelaw', 'peoplesvote']"
523410,1055532377315917824,1054798931677339520,negative,remain,2018-10-25T18:51:44.000Z,"Loss of £108k over 30 years for Millennials = £3,600 per year on a no deal #Brexit 

#StandUpAgainstBrexit #OurFutureOurChoice #FinalSay https://t.co/G4qcZoeYmx","['brexit', 'finalsay', 'ourfutureourchoice', 'standupagainstbrexit']"
523409,1055532377315917824,1054798931677339520,negative,remain,2018-10-25T18:51:44.000Z,"Loss of £108k over 30 years for Millennials = £3,600 per year on a no deal #Brexit 

#StandUpAgainstBrexit #OurFutureOurChoice #FinalSay https://t.co/G4qcZoeYmx","['brexit', 'finalsay', 'ourfutureourchoice', 'standupagainstbrexit']"
487752,1055207905107066880,603104363,neutral,remain,2018-10-24T21:22:24.000Z,"@Nigel_Farage makes the case for a #FinalSay #PeoplesVote on @LBC 

#Brexit #StandUpAgainstBrexit https://t.co/g8JN6W1si3","['brexit', 'finalsay', 'peoplesvote', 'standupagainstbrexit']"
487753,1055207905107066880,603104363,neutral,remain,2018-10-24T21:22:24.000Z,"@Nigel_Farage makes the case for a #FinalSay #PeoplesVote on @LBC 

#Brexit #StandUpAgainstBrexit https://t.co/g8JN6W1si3","['brexit', 'finalsay', 'peoplesvote', 'standupagainstbrexit']"
487061,1055200661510520832,1054798931677339520,neutral,other,2018-10-24T20:53:37.000Z,"M26 might resemble a big lorry park. 
Reminder that this was 30th March 2018.

The Government is preparing for a ‘no deal’ with portal toilets near Dover. 

What next? #Brexit #StandUpAgainstBrexit https://t.co/Yz0350xhln","['brexit', 'standupagainstbrexit']"
487062,1055200661510520832,1054798931677339520,neutral,other,2018-10-24T20:53:37.000Z,"M26 might resemble a big lorry park. 
Reminder that this was 30th March 2018.

The Government is preparing for a ‘no deal’ with portal toilets near Dover. 

What next? #Brexit #StandUpAgainstBrexit https://t.co/Yz0350xhln","['brexit', 'standupagainstbrexit']"
502497,1055384678549635072,1054798931677339520,neutral,remain,2018-10-25T09:04:50.000Z,"Well put @cnapan, the #EURef should be nulled #Brexit  #StandUpAgainstBrexit #FinalSay https://t.co/t2tBvkN4b7 https://t.co/9tFfZcHfWB","['finalsay', 'brexit', 'euref', 'standupagainstbrexit']"
502498,1055384678549635072,1054798931677339520,neutral,remain,2018-10-25T09:04:50.000Z,"Well put @cnapan, the #EURef should be nulled #Brexit  #StandUpAgainstBrexit #FinalSay https://t.co/t2tBvkN4b7 https://t.co/9tFfZcHfWB","['finalsay', 'brexit', 'euref', 'standupagainstbrexit']"
537039,1055725217878814720,1054798931677339520,positive,other,2018-10-26T07:38:01.000Z,"The UK’s growth will shove 1.6 points if no deal Brexit. 

That’s why we need a #FinalSay 

#StandUpAgainstBrexit #BullockstoBrexit https://t.co/P2KVvRf3Sk","['finalsay', 'bullockstobrexit', 'standupagainstbrexit']"
537040,1055725217878814720,1054798931677339520,positive,other,2018-10-26T07:38:01.000Z,"The UK’s growth will shove 1.6 points if no deal Brexit. 

That’s why we need a #FinalSay 

#StandUpAgainstBrexit #BullockstoBrexit https://t.co/P2KVvRf3Sk","['finalsay', 'bullockstobrexit', 'standupagainstbrexit']"
57828,1051832224201539584,142725458,negative,remain,2018-10-15T13:48:39.000Z,"#Brexit is the idiocy of failing to understand the problems before you create them 🙄🙄🙄

#StopBrexit #StandUpAgainstBrexit #FinalSayForAll #PeoplesVote

https://t.co/lIbQENF3Wt","['finalsayforall', 'standupagainstbrexit', 'brexit', 'stopbrexit', 'peoplesvote']"
57827,1051832224201539584,142725458,negative,remain,2018-10-15T13:48:39.000Z,"#Brexit is the idiocy of failing to understand the problems before you create them 🙄🙄🙄

#StopBrexit #StandUpAgainstBrexit #FinalSayForAll #PeoplesVote

https://t.co/lIbQENF3Wt","['finalsayforall', 'standupagainstbrexit', 'brexit', 'stopbrexit', 'peoplesvote']"
439710,1054808543390515200,1054798931677339520,negative,other,2018-10-23T18:55:28.000Z,"READ: Labour will be forced to oppose May's Brexit deal, Sadiq Khan warns EU.

London mayor sends message to bloc ahead of meeting with Michel Barnier this Friday #StandUpAgainstBrexit https://t.co/MGuMEvVH5e",['standupagainstbrexit']
440158,1054811428752908288,1054798931677339520,negative,other,2018-10-23T19:06:56.000Z,"READ: No 10 denies cabinet row over Brexit backstop #StandUpAgainstBrexit
https://t.co/dbDDYI3nul",['standupagainstbrexit']
439711,1054808543390515200,1054798931677339520,negative,other,2018-10-23T18:55:28.000Z,"READ: Labour will be forced to oppose May's Brexit deal, Sadiq Khan warns EU.

London mayor sends message to bloc ahead of meeting with Michel Barnier this Friday #StandUpAgainstBrexit https://t.co/MGuMEvVH5e",['standupagainstbrexit']
440159,1054811428752908288,1054798931677339520,negative,other,2018-10-23T19:06:56.000Z,"READ: No 10 denies cabinet row over Brexit backstop #StandUpAgainstBrexit
https://t.co/dbDDYI3nul",['standupagainstbrexit']
