,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1490430,930552490411651072,796447492938330112,negative,leave,2017-11-14T21:46:17.000Z,"Hope you're not one of the ""I accept democracy"" brigade. #Brexit was not and is not about democracy. It's fraudulent. #StopBrexit #ExposeBrexitFraud #BringLiarsToJustice #SpeakOut and #StandUpToBrexit #InvestigateFarage https://t.co/mmrkedqATK","['investigatefarage', 'exposebrexitfraud', 'brexit', 'stopbrexit', 'standuptobrexit', 'bringliarstojustice', 'speakout']"
3527725,1036567601680449536,911855677294903296,neutral,remain,2018-09-03T10:52:29.000Z,"@alexlmayer Never would have thought about penguins when discussing Brexit. 😅

Anyhow, let’s protect the penguins by demanding a #FinalSay.

#standuptoBrexit #StopBrexit #StopBrexitSaveBritain","['finalsay', 'stopbrexit', 'standuptobrexit', 'stopbrexitsavebritain']"
3527724,1036567601680449536,911855677294903296,neutral,remain,2018-09-03T10:52:29.000Z,"@alexlmayer Never would have thought about penguins when discussing Brexit. 😅

Anyhow, let’s protect the penguins by demanding a #FinalSay.

#standuptoBrexit #StopBrexit #StopBrexitSaveBritain","['finalsay', 'stopbrexit', 'standuptobrexit', 'stopbrexitsavebritain']"
3596621,1037325512190951424,890115629130420224,positive,other,2018-09-05T13:04:09.000Z,Shocking but not surprising!!! 🤔 #StandUpToBrexit SUPPORT @AMDWaters with her plan for brexit and join #ForBritain https://t.co/bwJGPzZycD,"['forbritain', 'standuptobrexit']"
3596622,1037325512190951424,890115629130420224,positive,other,2018-09-05T13:04:09.000Z,Shocking but not surprising!!! 🤔 #StandUpToBrexit SUPPORT @AMDWaters with her plan for brexit and join #ForBritain https://t.co/bwJGPzZycD,"['forbritain', 'standuptobrexit']"
4449708,1046149332586688512,1043180066832896000,negative,other,2018-09-29T21:26:52.000Z,@Will_DryOFOC playing politics !!! they should start doing their job properly and stop trying to destroy our country ! are we now a dictatorship @theresa_may Britain is fast becoming the next North Korea #brexit #dictatorship #peoplesvote #standuptobrexit #freecountry,"['peoplesvote', 'dictatorship', 'standuptobrexit', 'brexit', 'freecountry']"
4449707,1046149332586688512,1043180066832896000,negative,other,2018-09-29T21:26:52.000Z,@Will_DryOFOC playing politics !!! they should start doing their job properly and stop trying to destroy our country ! are we now a dictatorship @theresa_may Britain is fast becoming the next North Korea #brexit #dictatorship #peoplesvote #standuptobrexit #freecountry,"['peoplesvote', 'dictatorship', 'standuptobrexit', 'brexit', 'freecountry']"
3246643,1085272001072238592,95193138,neutral,leave,2019-01-15T20:26:23.000Z,77% of us don’t want #BREXIT Please stand up for our future! #StandUpToBREXIT #BREXITDebate,"['brexit', 'brexitdebate', 'standuptobrexit']"
1757815,1067207579758198784,16729442,negative,remain,2018-11-27T00:04:49.000Z,"@10DowningStreet @theresa_may 41 reasons to find the Brexit deal a DEPLORABLE, BORING piss take on human existence:
[tap to expand] #BackTheBrexitDeal #Option2Remain #FBPE #Remain #extinctionR @BritisihInEurope @The3Million #standuptoBrexit #@eucitizenschamp #FBPE #WATON #revokeA50 #StopBrexitSaveBritain https://t.co/b1rGNH5glj","['remain', 'stopbrexitsavebritain', 'backthebrexitdeal', 'waton', 'standuptobrexit', 'eucitizenschamp', 'extinctionr', 'fbpe', 'revokea50', 'option2remain']"
1757814,1067207579758198784,16729442,negative,remain,2018-11-27T00:04:49.000Z,"@10DowningStreet @theresa_may 41 reasons to find the Brexit deal a DEPLORABLE, BORING piss take on human existence:
[tap to expand] #BackTheBrexitDeal #Option2Remain #FBPE #Remain #extinctionR @BritisihInEurope @The3Million #standuptoBrexit #@eucitizenschamp #FBPE #WATON #revokeA50 #StopBrexitSaveBritain https://t.co/b1rGNH5glj","['remain', 'stopbrexitsavebritain', 'backthebrexitdeal', 'waton', 'standuptobrexit', 'eucitizenschamp', 'extinctionr', 'fbpe', 'revokea50', 'option2remain']"
