t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1067899563422466048,130849063,neutral,remain,2018-11-28T21:54:31.000Z,"@jeremycorbyn @theresa_may It’s utterly disgraceful what the Tory government has done, but following through with Brexit is only going to increase poverty in Britain. #stopBrexitFixBritain",['stopbrexitfixbritain']
1067899563422466048,130849063,neutral,remain,2018-11-28T21:54:31.000Z,"@jeremycorbyn @theresa_may It’s utterly disgraceful what the Tory government has done, but following through with Brexit is only going to increase poverty in Britain. #stopBrexitFixBritain",['stopbrexitfixbritain']
1105422802566418432,754682219784986624,neutral,remain,2019-03-12T10:58:28.000Z,#RevokeArticle50 #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy #StopBrexitFixBritain .@theresa_may is #LiarInChief  .@jeremycorbyn is #handmaiden #brexit #Alliance https://t.co/ASKoPos6Xc,"['alliance', 'handmaiden', 'liarinchief', 'stopbrexitsavedemocracy', 'revokearticle50', 'stopbrexitfixbritain', 'brexit', 'stopbrexit', 'stopbrexitsavebritain']"
1105861647279841280,3704386995,positive,remain,2019-03-13T16:02:17.000Z,"#Trump #Brexit #StopBrexitFixBritain #stockmarkets 

#Brexiteers should be treated like traitors. They are stealing the good future of the UK. The damage brexit/ Trump do to their countries will take a decade to clean up.","['brexiteers', 'stopbrexitfixbritain', 'brexit', 'stockmarkets', 'trump']"
1105844451749085184,3376004656,negative,remain,2019-03-13T14:53:57.000Z,"@AmberRuddHR Or you all come to your senses and admit that #Brexit is the worst of all the bad ideas, that it was promoted by a bunch of frustrated failed politicians and that the UK is much better off in the EU. #BrexitShambles #StopBrexitFixBritain #PeoplesVoteNow","['brexitshambles', 'brexit', 'stopbrexitfixbritain', 'peoplesvotenow']"
1106160841420877824,15169779,neutral,remain,2019-03-14T11:51:10.000Z,As if we needed any more incentive to put Brexit back to the people! #PeoplesVoteNow #StopBrexitFixBritain #CancelBrexit #NoBrexit https://t.co/msd9MwEwmW,"['cancelbrexit', 'stopbrexitfixbritain', 'nobrexit', 'peoplesvotenow']"
1105920465632149504,390228217,negative,remain,2019-03-13T19:56:00.000Z,@theresa_may says no #Brexit would risk “damaging the fragile trust between the British public and this government”. There IS no trust. You have lied &amp; failed on every count. The #maybot appears to be self-destructing! Hurrah! #StopBrexitFixBritain,"['maybot', 'stopbrexitfixbritain', 'brexit']"
1105489774780039168,968829907986976768,neutral,other,2019-03-12T15:24:35.000Z,"According to this Tory MP, 80% of the country wants Brexit. If he’s so sure of that, put it back to the people #skynews #PeoplesVoteNow #peoplesvote #RevokeArt50 #StopBrexitFixBritain","['peoplesvote', 'skynews', 'stopbrexitfixbritain', 'peoplesvotenow', 'revokeart50']"
1105955107756228608,804989810876305408,positive,other,2019-03-13T22:13:39.000Z,@TomasRawlings @cnrobson @DavidHenigUK We can revoke A50. It’s time our always-sovereign-Parliament did its job and acted in the best interests of the country. Stop Brexit then fix the country. #StopBrexitFixBritain #RevokeArt50,"['revokeart50', 'stopbrexitfixbritain']"
1105745549213556736,868830296212467712,negative,remain,2019-03-13T08:20:57.000Z,"@thomasbrake @vincecable @CarolineLucas @ChukaUmunna @Anna_Soubry @ChrisLeslieMP @MikeGapes @PeteWishart @joannaccherry @DavidLammy
We must get NoDeal off the table + #StopBrexitFixBritain now. Brexit is based on crime, benefits TrumPutin, not Britons. #PublicInquiry #RuleOfLaw https://t.co/3XRSVbK6Xr","['ruleoflaw', 'stopbrexitfixbritain', 'publicinquiry']"
