t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
805481499327889408,2966785089,negative,remain,2016-12-04T18:38:49.000Z,Nicola Sturgeon accuses Tory Ruth Davidson of 'selling-out' Scotland over #Brexit https://t.co/MkJhNkQFMG #BrexitIsForLosers #StopBrexitNow,"['brexit', 'stopbrexitnow', 'brexitisforlosers']"
786923931550842880,7707392,negative,remain,2016-10-14T13:37:40.000Z,Theresa May off treating the symptom rather than the cause. A 'Hard' Brexit will destroy our country! #StopBrexitNow https://t.co/SakpdFIzzm,['stopbrexitnow']
800306799933001728,774995564912054272,negative,remain,2016-11-20T11:56:24.000Z,#brexit is ruining this country! #stopbrexitnow @nick_clegg @Anna_Soubry @tonyblairoffice https://t.co/z5ipiTgz8B,"['stopbrexitnow', 'brexit']"
814143205419745280,248326306,positive,other,2016-12-28T16:17:20.000Z,"Ah #brexit, the gift that keeps on giving.....
https://t.co/89IKey7g0K
#STOPBREXITNOW","['stopbrexitnow', 'brexit']"
875750857438093312,838458732493295616,neutral,other,2017-06-16T16:24:09.000Z,The private sector will make a lot of money out of #Brexit but it won’t trickle down. #stopbrexitnow #ToriesOut #justgo https://t.co/cf9kWbRTix,"['brexit', 'justgo', 'toriesout', 'stopbrexitnow']"
877273493787856896,18507106,positive,other,2017-06-20T21:14:34.000Z,We can but hope. She surely deserves it. Unfortunately  does not stop #Brexit however it's a start. #StopBrexitNow https://t.co/ObwCXCiYoj,"['brexit', 'stopbrexitnow']"
874244601237909504,1242631568,negative,remain,2017-06-12T12:38:50.000Z,"#StopBrexitNow - @thesnp amendment that could have stopped #Brexit in its tracks - but @uklabour voted against it.
https://t.co/l6yoNvDOGQ","['brexit', 'stopbrexitnow']"
877523282764890112,2318979313,positive,leave,2017-06-21T13:47:08.000Z,"@ChukaUmunna @fish_in_a_hat Chuka,
If you want a future, you need to ANY FORM of #Brexit !

#StopBrexitNow","['brexit', 'stopbrexitnow']"
875751397991567360,722194882417336320,neutral,remain,2017-06-16T16:26:18.000Z,#Brexit means #Austerity #StopBrexitNow @UFE_Bresistance @TestimonyBrexit @SheffvsBrexit @BremainInSpain @BrexitDiary @ChelsClive @No10Vigil https://t.co/wEjCklL8jM,"['brexit', 'stopbrexitnow', 'austerity']"
875751799361351680,722194882417336320,neutral,remain,2017-06-16T16:27:54.000Z,#Brexit means #Austerity #StopBrexitNow @acgrayling @natalieben @Scientists4EU @UKIPNFKN @standuptoUKIP @Anti__UKIP @EUlvis @pEussyhat https://t.co/wEjCklL8jM,"['brexit', 'stopbrexitnow', 'austerity']"
