t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
944528725768581120,1018494036,neutral,remain,2017-12-23T11:22:51.000Z,"@albawhitewolf I've just seen in your profile when your birthday is ...... OUCH!
#StopBrexitSaturday
#Stopbrexit
#Brexit
#FBPE
#WeAreEurope
#FinalSay","['finalsay', 'fbpe', 'stopbrexit', 'stopbrexitsaturday', 'brexit', 'weareeurope']"
944539293334327296,1018494036,positive,remain,2017-12-23T12:04:50.000Z,"@BrexitBin I'd hope we're engaged enough now to send @Nigel_Farage the same way we sent him the 7 times he tried to get elected to Westminster.
#StopBrexitSaturday
#Stopbrexit
#Brexit
#FBPE
#FinalSay
#WeAreEurope","['finalsay', 'fbpe', 'stopbrexit', 'stopbrexitsaturday', 'brexit', 'weareeurope']"
944562840194732032,1018494036,positive,remain,2017-12-23T13:38:24.000Z,"@johnredwood Do you object to being asked perfectly reasonable questions? I thought our MPs were expected to be accountable to the people?
#StopBrexitSaturday
#StopBrexit
#FBPE
#Brexit
#WeAreEurope
#FinalSay https://t.co/L1xJOrTSzL","['finalsay', 'fbpe', 'stopbrexitsaturday', 'brexit', 'weareeurope', 'stopbrexit']"
947087675915489280,1018494036,positive,remain,2017-12-30T12:51:12.000Z,"@Sheardyweirdy Ideal would be if a major influencer gave out a new, fresh, daily hastag for the community to use
#StopBrexitSaturday
#StopBrexit
#FBPE
#Brexit
#WeAreEurope
#FinalSay","['finalsay', 'fbpe', 'stopbrexitsaturday', 'brexit', 'weareeurope', 'stopbrexit']"
944598953156403200,1018494036,negative,remain,2017-12-23T16:01:54.000Z,"@thedutchmeister @timfathers @Sleeper_Service @jeremycorbyn Corbyn is so ..... Tory ..... in his Brexit stance.
2017 12 million Labour votes
2016 16 million Remain votes
2015 9 million Labour votes
Tories have Leave vote sewn up. Remain vote is homeless!
#StopBrexitSaturday
#StopBrexit
#Brexit
#FBPE
#WeAreEurope
#FinalSay https://t.co/PN0nyJREZE","['finalsay', 'fbpe', 'stopbrexitsaturday', 'brexit', 'weareeurope', 'stopbrexit']"
944618133792452608,1018494036,positive,remain,2017-12-23T17:18:07.000Z,"@CCHQPress @DailyMailUK So where do we fall in this list of GDP growth now following the revision?
#StopBrexitSaturday
#StopBrexit
#Brexit
#FBPE
#WeAreEurope
#FinalSay https://t.co/LW8WFHLqbM","['finalsay', 'fbpe', 'stopbrexitsaturday', 'brexit', 'weareeurope', 'stopbrexit']"
1010525923991543808,832689672107077632,negative,remain,2018-06-23T14:12:09.000Z,Dying Buffoon King attempted to reassert dominance over Buffoon Prince. You won't believe what happened next! #bertieahern #StopBrexitSaturday #borisjohnson #Brexit https://t.co/ZTqrVHAtGS,"['bertieahern', 'brexit', 'borisjohnson', 'stopbrexitsaturday']"
1010525923991543808,832689672107077632,negative,remain,2018-06-23T14:12:09.000Z,Dying Buffoon King attempted to reassert dominance over Buffoon Prince. You won't believe what happened next! #bertieahern #StopBrexitSaturday #borisjohnson #Brexit https://t.co/ZTqrVHAtGS,"['bertieahern', 'brexit', 'borisjohnson', 'stopbrexitsaturday']"
1010499058656563200,8915982,positive,other,2018-06-23T12:25:24.000Z,"Amazing crowd! 🙌
#PeoplesVoteMarch
🌞🚶🏽‍♀🇬🇧🕊🇪🇺🚶🏽‍♀❤
#PeoplesVote_UK #PeoplesVote #Brexit #Remainathon
#BetterTogether 
Campaigners to demand new vote in London march 
#ExitfromBrexit #StopBrexitSaturday @BBCNews⁩
https://t.co/NKWEN8Vgez
 https://t.co/5Jl6KIWcvc https://t.co/fcLI4F6tkx","['bettertogether', 'remainathon', 'peoplesvote_uk', 'stopbrexitsaturday', 'exitfrombrexit', 'brexit', 'peoplesvote', 'peoplesvotemarch']"
1010412002991312896,8915982,negative,other,2018-06-23T06:39:28.000Z,"#PeoplesVoteMarch
🌞🚶🏽‍♀🇬🇧🕊🇪🇺🚶🏽‍♀❤
#PeoplesVote_UK #PeoplesVote #Brexit #Remainathon
#BetterTogether 
Campaigners to demand new vote in London march 
#ExitfromBrexit #StopBrexitSaturday @BBCNews⁩ https://t.co/5Jl6KIWcvc","['bettertogether', 'remainathon', 'peoplesvote_uk', 'stopbrexitsaturday', 'exitfrombrexit', 'brexit', 'peoplesvote', 'peoplesvotemarch']"
1010412002991312896,8915982,negative,other,2018-06-23T06:39:28.000Z,"#PeoplesVoteMarch
🌞🚶🏽‍♀🇬🇧🕊🇪🇺🚶🏽‍♀❤
#PeoplesVote_UK #PeoplesVote #Brexit #Remainathon
#BetterTogether 
Campaigners to demand new vote in London march 
#ExitfromBrexit #StopBrexitSaturday @BBCNews⁩ https://t.co/5Jl6KIWcvc","['bettertogether', 'remainathon', 'peoplesvote_uk', 'stopbrexitsaturday', 'exitfrombrexit', 'brexit', 'peoplesvote', 'peoplesvotemarch']"
1010499058656563200,8915982,positive,other,2018-06-23T12:25:24.000Z,"Amazing crowd! 🙌
#PeoplesVoteMarch
🌞🚶🏽‍♀🇬🇧🕊🇪🇺🚶🏽‍♀❤
#PeoplesVote_UK #PeoplesVote #Brexit #Remainathon
#BetterTogether 
Campaigners to demand new vote in London march 
#ExitfromBrexit #StopBrexitSaturday @BBCNews⁩
https://t.co/NKWEN8Vgez
 https://t.co/5Jl6KIWcvc https://t.co/fcLI4F6tkx","['bettertogether', 'remainathon', 'peoplesvote_uk', 'stopbrexitsaturday', 'exitfrombrexit', 'brexit', 'peoplesvote', 'peoplesvotemarch']"
1010562409499627520,11288432,neutral,other,2018-06-23T16:37:08.000Z,With @Femi_Sorry at the #PeoplesVoteMarch #StopBrexitSaturday #Brexit #BollocksToBrexit #waton https://t.co/rrrf0Nthbq,"['bollockstobrexit', 'stopbrexitsaturday', 'brexit', 'waton', 'peoplesvotemarch']"
1010562409499627520,11288432,neutral,other,2018-06-23T16:37:08.000Z,With @Femi_Sorry at the #PeoplesVoteMarch #StopBrexitSaturday #Brexit #BollocksToBrexit #waton https://t.co/rrrf0Nthbq,"['bollockstobrexit', 'stopbrexitsaturday', 'brexit', 'waton', 'peoplesvotemarch']"
1010212505719857152,327409749,negative,remain,2018-06-22T17:26:44.000Z,We need more companies like #Airbus to come forward and raise the alarm about #Brexit . People losing jobs and untold stress to their families- for what? #StopBrexitSaturday,"['brexit', 'airbus', 'stopbrexitsaturday']"
1010212505719857152,327409749,negative,remain,2018-06-22T17:26:44.000Z,We need more companies like #Airbus to come forward and raise the alarm about #Brexit . People losing jobs and untold stress to their families- for what? #StopBrexitSaturday,"['brexit', 'airbus', 'stopbrexitsaturday']"
