t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
941322344127238144,746985479992709120,negative,other,2017-12-14T15:01:50.000Z,That is why Russia Putin wants UK weak by shooting ourself in the foot by Brexit #StopBrexitSaveBritain #BrexitRussia #Remain #Barnier #Macron #AngelaMarkel https://t.co/mGo8suwvOu,"['angelamarkel', 'macron', 'remain', 'barnier', 'brexitrussia', 'stopbrexitsavebritain']"
942373739773267968,1425210032,negative,other,2017-12-17T12:39:42.000Z,5 ways #BBC is falling down on #Brexit @InFactsOrg https://t.co/SZ4l4D3SJu and using our fees to do so #StopBrexitSaveBritain,"['bbc', 'brexit', 'stopbrexitsavebritain']"
940867382607785984,389972564,positive,remain,2017-12-13T08:53:59.000Z,@DavidDavisMP #Brexit bulldog nails it again @theresa_may @Conservatives @CCHQPress @Telegraph #laughing🇬🇧stock #StopBrexitSaveBritain #StopBrexitNow https://t.co/8WYDbjq0me,"['brexit', 'stopbrexitnow', 'stopbrexitsavebritain', 'laughing🇬🇧stock']"
942021964180480000,295906784,neutral,other,2017-12-16T13:21:52.000Z,@mrjamesob Isn't 'separated and skint' the future of post #Brexit UK? #StopBrexitSaveBritain,"['brexit', 'stopbrexitsavebritain']"
940637075233263616,2908001207,positive,remain,2017-12-12T17:38:49.000Z,"This has got to stop. By trying to appease the Ultras, who will never be satisfied with anything less than hard #Brexit, May and Davis are destroying what little goodwill we have left. #StopBrexitSaveBritain https://t.co/nS26ehBFsD","['brexit', 'stopbrexitsavebritain']"
941814735955046400,698558387408207872,negative,remain,2017-12-15T23:38:25.000Z,If I have anything to do with it #Brexiteers will not get #Brexit full stop! #StopBrexitSaveBritain https://t.co/PvbQuF7rqO,"['brexiteers', 'brexit', 'stopbrexitsavebritain']"
942788071560491008,403316973,positive,other,2017-12-18T16:06:07.000Z,How dare May say moving onto 2nd round of #brexit talks would be welcomed by #brexiteers &amp; #remainers. I'm a #remainer. Not in my name! #StopBrexitSaveBritain #passionateremainer,"['brexiteers', 'passionateremainer', 'remainers', 'stopbrexitsavebritain', 'brexit', 'remainer']"
942718382742343680,334666639,negative,remain,2017-12-18T11:29:11.000Z,#amendment381 No date for#Brexit in fact #StopBrexit #exitbrexit #brexitshambles #EnoughIsEnough #noplan #StopBrexitSaveBritain #StopBrexitNow #brexitimpactreports #nodeal in time would = #hardBrexit Damage to UK already clearly evident.,"['brexitimpactreports', 'stopbrexitsavebritain', 'enoughisenough', 'brexitshambles', 'exitbrexit', 'nodeal', 'stopbrexitnow', 'noplan', 'stopbrexit', 'hardbrexit', 'amendment381']"
941904092380753920,89054371,neutral,remain,2017-12-16T05:33:30.000Z,Brexiteer rhetoric reminds of the classic political line: “Our movement is on the edge of a precipice; we must go forward!” #Brexit #BrexitShambles #StopBrexitSaveBritain,"['brexitshambles', 'brexit', 'stopbrexitsavebritain']"
941640726282145792,372805464,neutral,other,2017-12-15T12:06:58.000Z,"@georgedave9 And You People have no argument as to WHY brexit would be good, because you can't. So as not to look fooishl 😂you only have indignation left. What part of #BrexitShambles don't you understand #StopBrexitSaveBritain","['brexitshambles', 'stopbrexitsavebritain']"
940580606269935616,939449850424328192,positive,other,2017-12-12T13:54:26.000Z,"We must have #mutual #respect and #trust . #Confidence in #Government diminishing daily #StopBrexitSaveBritain ⚡️ “EU says David Davis is damaging trust in the UK for Brexit talks”

https://t.co/P4kG1sRvLF","['confidence', 'trust', 'mutual', 'respect', 'government', 'stopbrexitsavebritain']"
942768002495340544,1141956350,negative,remain,2017-12-18T14:46:22.000Z,"@truemagic68 @evz76 @ChrisGiles_ @FT No, it's the Brexiteers who are determined the UK will fail, especially the City of London which is already hemorrhaging jobs. And money. The @FT wants the UK to thrive within the #EU.

#StuffBrexit #StopBrexit #StopBrexitSaveBritain #Brexit","['eu', 'brexit', 'stuffbrexit', 'stopbrexit', 'stopbrexitsavebritain']"
940686630154891264,231431466,neutral,other,2017-12-12T20:55:44.000Z,Does Farage see Brexit as his Reichstag Fire? https://t.co/ZYrfIYsu6w  #StopBrexitSaveBritain #StopBrexitNow #FarageOnLBC #ToriesOut https://t.co/jqiV94Y0w5,"['farageonlbc', 'stopbrexitnow', 'stopbrexitsavebritain', 'toriesout']"
942817068268834816,1243638660,positive,remain,2017-12-18T18:01:20.000Z,"Brexit will be nowhere near a good enough deal to keep 16.8m remainers happy and nowhere near what the 17.4m Brexiteers voted for. This won't end well.🙄

#FBPE #BrexitChaos #BrexitDeal #BrexitShambles #StopBrexitSaveBritain","['fbpe', 'brexitdeal', 'brexitchaos', 'brexitshambles', 'stopbrexitsavebritain']"
941529865274167296,703446271667871744,neutral,remain,2017-12-15T04:46:27.000Z,Only way to #StopBrexitSaveBritain is to #buildbridges &amp; reconnect with those who were left behind. #brexit #stopbrexit #FBPE https://t.co/FHAayRCGrE,"['fbpe', 'buildbridges', 'stopbrexitsavebritain', 'brexit', 'stopbrexit']"
941794496915935232,3127812492,negative,remain,2017-12-15T22:18:00.000Z,"Enough is Enough!! Stop. Rethink #brexit. Let the people have a say on the facts we NOW have. There is no logical REASON to rush into irreversible change. 

#FBPE 
#StopBrexitNow
#StopBrexitSaveBritain 
#JC4PM https://t.co/YzFaEH7g5E","['fbpe', 'jc4pm', 'brexit', 'stopbrexitnow', 'stopbrexitsavebritain']"
941764940792238080,192614779,positive,remain,2017-12-15T20:20:33.000Z,"🚨🚨🚨Please, sign this petition. This is of the upmost importance!🚨🚨🚨 #FBPE #StopBrexit #StopBrexitSaveBritain #Brexit #BrexitVote #remainernow #Remain #Parliament https://t.co/qS7DTKk1gF","['fbpe', 'remainernow', 'parliament', 'brexit', 'remain', 'brexitvote', 'stopbrexit', 'stopbrexitsavebritain']"
942654923979870208,2778314046,neutral,remain,2017-12-18T07:17:02.000Z,"Brexit means:

Racial discrimination
Families split up
Workers rights trashed
NHS privatised
Food standards diminished
Price increases
More austerity
Jobs lost

So why on earth do it?
#FBPE #StopBrexitSaveBritain","['fbpe', 'stopbrexitsavebritain']"
