,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,616083,969898028567056384,731225150243344384,negative,remain,2018-03-03T11:31:24.000Z,"@Brexit_Newz Everyone lost as a result of an ill-judged and heavily subverted ""referendum"" about which many now regret voting to leave now that the lies, myths and consequences are exposed.
#StopBrexitSaveBritain 
#StopBrexit 
#StopBrexitSaveDemocracy","['stopbrexitsavebritain', 'stopbrexitsavedemocracy', 'stopbrexit']"
1,1,1,955270,986120144232558592,35472161,neutral,leave,2018-04-17T05:52:18.000Z,"#Brexit will forever be synonymous with the subversion of democracy in the UK.

#StopBrexitSaveDemocracy

https://t.co/K2i1DTx58P","['stopbrexitsavedemocracy', 'brexit']"
2,2,2,614441,969847710860959744,419927046,neutral,remain,2018-03-03T08:11:27.000Z,"@BarrySheerman @BBCr4today Is it any coincidence that Rees-Mogg met with Steven Bannon a few weeks ago and now Brandon Lewis is activating a #ToryTroll army? 

We have waved goodbye to any pretence of democracy. 

#ToryTrollFarm 
#Brexit 
#StopBrexit 
#StopBrexitSaveBritain 
#StopBrexitSaveDemocracy https://t.co/FwQWTr1zbh","['stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'torytroll', 'torytrollfarm', 'brexit', 'stopbrexit']"
3,3,3,1577384,1014407254395760640,35472161,neutral,remain,2018-07-04T07:15:10.000Z,"If you want to know why there was that indecent rush to evoke #A50 with no plan, here is the reason.

They knew this would come out. They wanted to ram #Brexit through before they got found out.

#StopBrexitSaveDemocracy

 https://t.co/QeZiNON7iN","['a50', 'stopbrexitsavedemocracy', 'brexit']"
4,4,4,1577383,1014407254395760640,35472161,neutral,remain,2018-07-04T07:15:10.000Z,"If you want to know why there was that indecent rush to evoke #A50 with no plan, here is the reason.

They knew this would come out. They wanted to ram #Brexit through before they got found out.

#StopBrexitSaveDemocracy

 https://t.co/QeZiNON7iN","['a50', 'stopbrexitsavedemocracy', 'brexit']"
5,5,5,2315002,1021298918519386112,931306415649673216,negative,remain,2018-07-23T07:40:11.000Z,"No-deal #Brexit risks 'civil unrest', warns #Amazon's UK boss #FBPE #StopBrexitSaveBritain #StopBrexitSaveDemocracy #VoteLeaveBrokeTheLaw #CoteLeaveCriminals #VoteLeaveCheated #Remain #PeoplesVote  https://t.co/cmLH2WrCrF","[""amazon's"", 'voteleavecheated', 'voteleavebrokethelaw', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexitsavebritain', 'remain', 'fbpe', 'coteleavecriminals', 'brexit']"
6,6,6,2315001,1021298918519386112,931306415649673216,negative,remain,2018-07-23T07:40:11.000Z,"No-deal #Brexit risks 'civil unrest', warns #Amazon's UK boss #FBPE #StopBrexitSaveBritain #StopBrexitSaveDemocracy #VoteLeaveBrokeTheLaw #CoteLeaveCriminals #VoteLeaveCheated #Remain #PeoplesVote  https://t.co/cmLH2WrCrF","[""amazon's"", 'voteleavecheated', 'voteleavebrokethelaw', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexitsavebritain', 'remain', 'fbpe', 'coteleavecriminals', 'brexit']"
7,7,7,2522683,1023227703384854528,254926046,negative,other,2018-07-28T15:24:29.000Z,"A reminder:
Brexit is no longer just about leaving the EU.
It’s become a banner, a rallying cry, a vehicle to drive out the democracy we all grew up with &amp; replace it with fascism disguised as patriotism.
It &amp; they, must be stopped.

#StopBrexitSaveDemocracy 
#BanBannon","['banbannon', 'stopbrexitsavedemocracy']"
8,8,8,2522682,1023227703384854528,254926046,negative,other,2018-07-28T15:24:29.000Z,"A reminder:
Brexit is no longer just about leaving the EU.
It’s become a banner, a rallying cry, a vehicle to drive out the democracy we all grew up with &amp; replace it with fascism disguised as patriotism.
It &amp; they, must be stopped.

#StopBrexitSaveDemocracy 
#BanBannon","['banbannon', 'stopbrexitsavedemocracy']"
9,9,9,2011042,1018450188778819584,769133605469691904,neutral,other,2018-07-15T11:00:21.000Z,Read to understand how the #BBC became the #Brexit broadcasting corporation. And RT #StopBrexitSaveDemocracy https://t.co/YPCMIQpzVa,"['bbc', 'stopbrexitsavedemocracy', 'brexit']"
10,10,10,2011043,1018450188778819584,769133605469691904,neutral,other,2018-07-15T11:00:21.000Z,Read to understand how the #BBC became the #Brexit broadcasting corporation. And RT #StopBrexitSaveDemocracy https://t.co/YPCMIQpzVa,"['bbc', 'stopbrexitsavedemocracy', 'brexit']"
11,11,11,2537050,1023521382972448768,1101299929,positive,other,2018-07-29T10:51:28.000Z,"@angrydachshund @brucemcd23 @lunaperla @BBCNewsnight A quiet drink between ""Sir Humphrey"" the Director General and/or other #BBC suits. Sir Humphrey drops in the magic words ""licence fee"" and their fate is sealed; brilliant BBC journalists are effectively gagged and forced to report #Brexit as a done deal. #StopBrexitSaveDemocracy","['bbc', 'stopbrexitsavedemocracy', 'brexit']"
12,12,12,2537051,1023521382972448768,1101299929,positive,other,2018-07-29T10:51:28.000Z,"@angrydachshund @brucemcd23 @lunaperla @BBCNewsnight A quiet drink between ""Sir Humphrey"" the Director General and/or other #BBC suits. Sir Humphrey drops in the magic words ""licence fee"" and their fate is sealed; brilliant BBC journalists are effectively gagged and forced to report #Brexit as a done deal. #StopBrexitSaveDemocracy","['bbc', 'stopbrexitsavedemocracy', 'brexit']"
13,13,13,4629946,1047900640901517312,231431466,negative,remain,2018-10-04T17:25:56.000Z,"https://t.co/qom5es1O7L …  Our democracy has been Stolen by the Tax dodging Tory controlled Lying MsM that are trying to lead us into a Police State minus our Public  Services
Which after Brexit will be unaffordable #StopBrexitSaveDemocracy https://t.co/k0RwlPWujj #bbcqt #c4News","['bbcqt', 'c4news', 'stopbrexitsavedemocracy']"
14,14,14,4629947,1047900640901517312,231431466,negative,remain,2018-10-04T17:25:56.000Z,"https://t.co/qom5es1O7L …  Our democracy has been Stolen by the Tax dodging Tory controlled Lying MsM that are trying to lead us into a Police State minus our Public  Services
Which after Brexit will be unaffordable #StopBrexitSaveDemocracy https://t.co/k0RwlPWujj #bbcqt #c4News","['bbcqt', 'c4news', 'stopbrexitsavedemocracy']"
15,15,15,4384681,1045438385106636800,52207152,negative,other,2018-09-27T22:21:48.000Z,So #Brexit supporters was this what you voted for? Oh &amp; the Tories have created a Minister for food shortages was that what you voted for? #BBCQT stop pushing #Brexit and start looking out for the #PeoplesVote #StopBrexitSaveDemocracy #OptionToRemain none of this is project fear! https://t.co/yNdGERUF7N,"['bbcqt', 'optiontoremain', 'stopbrexitsavedemocracy', 'peoplesvote', 'brexit']"
16,16,16,4384682,1045438385106636800,52207152,negative,other,2018-09-27T22:21:48.000Z,So #Brexit supporters was this what you voted for? Oh &amp; the Tories have created a Minister for food shortages was that what you voted for? #BBCQT stop pushing #Brexit and start looking out for the #PeoplesVote #StopBrexitSaveDemocracy #OptionToRemain none of this is project fear! https://t.co/yNdGERUF7N,"['bbcqt', 'optiontoremain', 'stopbrexitsavedemocracy', 'peoplesvote', 'brexit']"
17,17,17,4630122,1047901947511144448,231431466,negative,remain,2018-10-04T17:31:08.000Z,@bluenose8teen75 @wandawilliams2 @FreeofIdeology @gordoncraig11 @NadineDorries Another Brexit Scam awaiting this Country #StopBrexitSaveDemocracy https://t.co/k0RwlPWujj #bbcqt @bbcquestiontime #questiontime,"['bbcqt', 'questiontime', 'stopbrexitsavedemocracy']"
18,18,18,4630123,1047901947511144448,231431466,negative,remain,2018-10-04T17:31:08.000Z,@bluenose8teen75 @wandawilliams2 @FreeofIdeology @gordoncraig11 @NadineDorries Another Brexit Scam awaiting this Country #StopBrexitSaveDemocracy https://t.co/k0RwlPWujj #bbcqt @bbcquestiontime #questiontime,"['bbcqt', 'questiontime', 'stopbrexitsavedemocracy']"
19,19,19,4878285,1051346383943475200,306823427,neutral,remain,2018-10-14T05:38:05.000Z,The cast-iron case for a second vote: Why second referendums hold the establishment to account https://t.co/DxAUuLBhCl #moggmentum #BBCQT #bbcnewssix #bbclondonnews #londontonight #PeoplesVote #brexit #PeoplesVoteMarch #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy,"['bbcqt', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexitsavebritain', 'bbcnewssix', 'londontonight', 'peoplesvotemarch', 'moggmentum', 'bbclondonnews', 'brexit', 'stopbrexit']"
20,20,20,4878286,1051346383943475200,306823427,neutral,remain,2018-10-14T05:38:05.000Z,The cast-iron case for a second vote: Why second referendums hold the establishment to account https://t.co/DxAUuLBhCl #moggmentum #BBCQT #bbcnewssix #bbclondonnews #londontonight #PeoplesVote #brexit #PeoplesVoteMarch #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy,"['bbcqt', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexitsavebritain', 'bbcnewssix', 'londontonight', 'peoplesvotemarch', 'moggmentum', 'bbclondonnews', 'brexit', 'stopbrexit']"
21,21,21,2944635,1028653143868022784,2507218357,negative,leave,2018-08-12T14:43:15.000Z,#Brexit #BBCSwichOff 22 seconds. That's the length of time it took Noam Chomsky to explain to the BBC why it is institutionally biased #StopBrexitSaveDemocracy https://t.co/lkJJuUUQP8,"['bbcswichoff', 'stopbrexitsavedemocracy', 'brexit']"
22,22,22,2944636,1028653143868022784,2507218357,negative,leave,2018-08-12T14:43:15.000Z,#Brexit #BBCSwichOff 22 seconds. That's the length of time it took Noam Chomsky to explain to the BBC why it is institutionally biased #StopBrexitSaveDemocracy https://t.co/lkJJuUUQP8,"['bbcswichoff', 'stopbrexitsavedemocracy', 'brexit']"
23,23,23,2884484,1027667827577315328,1007957979860295680,neutral,remain,2018-08-09T21:27:57.000Z,"#BBCswitchoff : trending at first position, 131,000 is way above the rest.. #brexit #peoplesVote #stopBrexit #StopBrexitSaveDemocracy","['bbcswitchoff', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexit', 'brexit']"
24,24,24,2884485,1027667827577315328,1007957979860295680,neutral,remain,2018-08-09T21:27:57.000Z,"#BBCswitchoff : trending at first position, 131,000 is way above the rest.. #brexit #peoplesVote #stopBrexit #StopBrexitSaveDemocracy","['bbcswitchoff', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexit', 'brexit']"
25,25,25,2252068,1020658352626561024,20329848,neutral,remain,2018-07-21T13:14:48.000Z,"@BBCAnyQuestions #bbcaq I can't hear my phone: here are the reasons to #StopBrexit now. #Brexit #beLEAVErs won't / can't address these points &amp; they aren't exhaustive.

#EndThisMadness #StopBrexitSaveDemocracy #stopbrexitsaturday #StopBrexitSaveDemocracy #FBPE #PeoplesVote https://t.co/ClJNUVPMBj","['beleavers', 'endthismadness', 'stopbrexitsavedemocracy', 'peoplesvote', 'fbpe', 'bbcaq', 'stopbrexitsaturday', 'brexit', 'stopbrexit']"
26,26,26,2252069,1020658352626561024,20329848,neutral,remain,2018-07-21T13:14:48.000Z,"@BBCAnyQuestions #bbcaq I can't hear my phone: here are the reasons to #StopBrexit now. #Brexit #beLEAVErs won't / can't address these points &amp; they aren't exhaustive.

#EndThisMadness #StopBrexitSaveDemocracy #stopbrexitsaturday #StopBrexitSaveDemocracy #FBPE #PeoplesVote https://t.co/ClJNUVPMBj","['beleavers', 'endthismadness', 'stopbrexitsavedemocracy', 'peoplesvote', 'fbpe', 'bbcaq', 'stopbrexitsaturday', 'brexit', 'stopbrexit']"
27,27,27,2251874,1020656838424047616,20329848,positive,remain,2018-07-21T13:08:47.000Z,"#bbcaq of course all #beLEAVErs are #fantasists or want to do anything to ideologically remove the #EU influence and ensure #Brexit is a shoddy, underhand, process that only pays millionaires.

#stopbrexitsaturday #StopBrexit #StopBrexitSaveDemocracy #StopBrexitSaveBritain","['beleavers', 'fantasists', 'stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'eu', 'bbcaq', 'stopbrexitsaturday', 'brexit', 'stopbrexit']"
28,28,28,2251875,1020656838424047616,20329848,positive,remain,2018-07-21T13:08:47.000Z,"#bbcaq of course all #beLEAVErs are #fantasists or want to do anything to ideologically remove the #EU influence and ensure #Brexit is a shoddy, underhand, process that only pays millionaires.

#stopbrexitsaturday #StopBrexit #StopBrexitSaveDemocracy #StopBrexitSaveBritain","['beleavers', 'fantasists', 'stopbrexitsavedemocracy', 'stopbrexitsavebritain', 'eu', 'bbcaq', 'stopbrexitsaturday', 'brexit', 'stopbrexit']"
29,29,29,4510108,1046710068123701248,52207152,positive,other,2018-10-01T10:35:01.000Z,"@guyverhofstadt I hope you can see this. #WeAreEurope, #BinBrexit
#PeoplesVote, #CPC18, #StopBrexitSaveDemocracy, #Remainer 
Brexit news: Thousands take to streets at Conservative Conference in defiance of leaving the EU https://t.co/gbYgwOZCVT","['binbrexit', 'cpc18', 'peoplesvote', 'stopbrexitsavedemocracy', 'remainer', 'weareeurope']"
30,30,30,4510107,1046710068123701248,52207152,positive,other,2018-10-01T10:35:01.000Z,"@guyverhofstadt I hope you can see this. #WeAreEurope, #BinBrexit
#PeoplesVote, #CPC18, #StopBrexitSaveDemocracy, #Remainer 
Brexit news: Thousands take to streets at Conservative Conference in defiance of leaving the EU https://t.co/gbYgwOZCVT","['binbrexit', 'cpc18', 'peoplesvote', 'stopbrexitsavedemocracy', 'remainer', 'weareeurope']"
31,31,31,4597072,1047561920268697600,52207152,neutral,remain,2018-10-03T18:59:59.000Z,#Brexiters look at these figures! That is what everyone of you who voted for #Brexit have achieved. #PeoplesVote #FinalSay #StopBrexitSaveDemocracy #StopBrexitSaveBritain for heaven's sake pull us back from the brink! #BinBrexit https://t.co/q0Yu846UvB,"['binbrexit', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexitsavebritain', 'finalsay', 'brexiters', 'brexit']"
32,32,32,4597071,1047561920268697600,52207152,neutral,remain,2018-10-03T18:59:59.000Z,#Brexiters look at these figures! That is what everyone of you who voted for #Brexit have achieved. #PeoplesVote #FinalSay #StopBrexitSaveDemocracy #StopBrexitSaveBritain for heaven's sake pull us back from the brink! #BinBrexit https://t.co/q0Yu846UvB,"['binbrexit', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexitsavebritain', 'finalsay', 'brexiters', 'brexit']"
33,33,33,4482271,1046428675728650240,1717521084,positive,remain,2018-09-30T15:56:52.000Z,"I'm trying to pick Brexit debates with Brexiteers on @LeaveEUOfficial and they only last 2 or 3 tweets...

Whats going on?

Its almost like theyve run out of steam.

#StopBrexit #StopBrexitSaveDemocracy #BollockstoBrexit #PeoplesVote","['bollockstobrexit', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexit']"
34,34,34,4482270,1046428675728650240,1717521084,positive,remain,2018-09-30T15:56:52.000Z,"I'm trying to pick Brexit debates with Brexiteers on @LeaveEUOfficial and they only last 2 or 3 tweets...

Whats going on?

Its almost like theyve run out of steam.

#StopBrexit #StopBrexitSaveDemocracy #BollockstoBrexit #PeoplesVote","['bollockstobrexit', 'stopbrexitsavedemocracy', 'peoplesvote', 'stopbrexit']"
35,35,35,4547830,1047088738898186240,822217004526477312,negative,remain,2018-10-02T11:39:43.000Z,"And when will you actually address the #BonfireOfOurRights that #Brexit heralds.
FoM cuts both ways &amp; May is proposing to remove my rights against my will. While you touched on it a little today, it's the thin end of the wedge.
#StopBrexitSaveDemocracy
#FinalSayForAll
#FBPE","['bonfireofourrights', 'stopbrexitsavedemocracy', 'finalsayforall', 'fbpe', 'brexit']"
