t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
973486963041980416,747901327536172928,negative,other,2018-03-13T09:12:33.000Z,"From The Economist Espresso: A spring in his step: Britain’s economy

Hammond admits the NHS is being starved to pay for #Brexit

#StopBrexitSaveNHS https://t.co/OoLmGWgY5w","['brexit', 'stopbrexitsavenhs']"
949368612720185344,627387918,negative,remain,2018-01-05T19:54:50.000Z,"If #Brexit was a court case, Boris Johnson would be jailed for libel and there would be a retrial.  Enough is enough. #StopBrexitSaveNHS #StopBrexitSaveBritain","['brexit', 'stopbrexitsavenhs', 'stopbrexitsavebritain']"
959058797389144064,781269157144854528,negative,remain,2018-02-01T13:40:10.000Z,"@thesilvasword @PhototohP @GuitarMoog You have your opinion but #facts to not support you #UK is in #crisis because of #Brexit 🧐
May I suggest some reading matter ? @guardian @FT @TheNewEuropean @TheEconomist 
#Remainyouknowitmakessense #StopBrexitSaveBritain #StopBrexitSaveNHS #StopBrexitSaveOurNHS
#FinalSayForAll https://t.co/FfN1lU8pe3","['crisis', 'finalsayforall', 'stopbrexitsaveournhs', 'brexit', 'remainyouknowitmakessense', 'stopbrexitsavenhs', 'stopbrexitsavebritain', 'uk', 'facts']"
955554510516228096,925780682550468608,neutral,remain,2018-01-22T21:35:23.000Z,"When will @Conservatives @UKLabour accept what the @LibDems know that #Democracy allows for change, the #UK does not want #Brexit #StopBrexitSaveBritain #StopBrexit #StopBrexitSaveNHS  #FBPE https://t.co/ikMUy48zlI","['democracy', 'fbpe', 'brexit', 'stopbrexit', 'stopbrexitsavenhs', 'stopbrexitsavebritain', 'uk']"
953551090670239744,746401931317346304,negative,remain,2018-01-17T08:54:30.000Z,"#Brexit is like a football team who have just scored a goal and they all know the striker was miles offside. They're now desperately clambering to stop the video replay from being watched...
#StopBrexit2018
#StopBrexit 
#StopBrexitSaveBritain 
#StopBrexitSaveNHS 
#ExitFromBrexit","['exitfrombrexit', 'stopbrexit2018', 'brexit', 'stopbrexit', 'stopbrexitsavenhs', 'stopbrexitsavebritain']"
949283026931978240,466549936,positive,remain,2018-01-05T14:14:45.000Z,"@drjanaway Having #Brexit means #NHS getting a lot less money, fewer staff &amp; inventing our own drug controls. #Retain ing #EU membership means more staff, better drug controls &amp; research &amp; access to healthcare across 28 states.
#StopBrexitSaveNHS #StopBrexit #StopBrexit2018 #FBPE #remain","['fbpe', 'eu', 'stopbrexit2018', 'retain', 'brexit', 'remain', 'stopbrexit', 'nhs', 'stopbrexitsavenhs']"
983662346471116800,1625586576,positive,remain,2018-04-10T11:05:53.000Z,"We cant afford to lose patience . . .

The price for not stopping brexit is too high. 
#FBPE 
#NHSCrisis 
#StopBrexitSaveBritain 
#StopBrexitSaveNHS 
#LabourParty how do you solve this while paying for brexit. https://t.co/3NCM86dxKh","['fbpe', 'nhscrisis', 'stopbrexitsavenhs', 'stopbrexitsavebritain', 'labourparty']"
949199388932497408,206413533,negative,remain,2018-01-05T08:42:24.000Z,"None of my incredulity, anger or dismay at Brexit has one iota to do with my being hampered by customs/passport checks when I go on holiday. It is all about what Brexit will do to the economy, and our living standards in Britain. #StopBrexitSaveBritain #StopBrexitSaveNHS #FBPE https://t.co/4gIB68pOzU","['fbpe', 'stopbrexitsavenhs', 'stopbrexitsavebritain']"
960092381092765696,517541619,negative,remain,2018-02-04T10:07:15.000Z,@magicfm RIGHT-WING Brexit News is all your hourly reports spout! A disgrace to news reporting....Hitler's Nazi Propaganda Machine Reincarnated #StopBrexitSaveBritain #StopBrexitSaveNHS #ToryShambles #ToriesOut #FBPE @Anna_Soubry @sarahwollaston @SarahLudford @ChukaUmunna,"['fbpe', 'toryshambles', 'stopbrexitsavenhs', 'stopbrexitsavebritain', 'toriesout']"
953692854202880000,319619581,neutral,remain,2018-01-17T18:17:49.000Z,"Both. 😖

#StopBrexit #FBPE #FinalSay #WATON #StopBrexitSaveBritain #StopBrexitSaveNHS #Brexit https://t.co/RNcyVNKRBz","['finalsay', 'fbpe', 'brexit', 'waton', 'stopbrexit', 'stopbrexitsavenhs', 'stopbrexitsavebritain']"
