t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1168164519300018176,1140681844800872320,positive,other,2019-09-01T14:11:39.000Z,"Best escorts in Liverpool.

https://t.co/pnLIh0FZkU

#stopthecoup
 #arstot
 #brexit
 #burliv
 #defendourdemocracy
 #mufc
 #marr
 #lfc
 #glazersout
 #stopthebrexitcoup
 #aewallout
 #ynwa
 #belgiangp
 #defenddemocracy
 #coyg
 #proroguation
 #nxtuktakeover https://t.co/HWowlMg6tH","['aewallout', 'stopthecoup', 'coyg', 'lfc', 'mufc', 'defenddemocracy', 'arstot', 'proroguation', 'marr', 'ynwa', 'brexit', 'stopthebrexitcoup', 'burliv', 'belgiangp', 'defendourdemocracy', 'nxtuktakeover', 'glazersout']"
1168132330554298368,1133915446669979520,negative,remain,2019-09-01T12:03:45.000Z,"Britain’s carmakers need parts, not patriotism. Brexit looks grim for them | Automotive industry | The Guardian #NoBrexit #Auto #StopTheBrexitCoup #StopBrexit  https://t.co/u6IqYyI49g","['auto', 'nobrexit', 'stopbrexit', 'stopthebrexitcoup']"
1168126984905531392,962686374,negative,other,2019-09-01T11:42:30.000Z,"Why is Ann Widdecomb on @BBCRadio4? Have Mogg and Duncan Smith escaped from that handy cupboard?

The Brexit Party Ltd has no MPs. Yet #BBC gives it more exposure than the Lib Dems or the Greens. 

#BBCBias 
#StopTheBrexitCoup #RevokeA50 https://t.co/dpbDWk5tw5","['bbc', 'revokea50', 'bbcbias', 'stopthebrexitcoup']"
1168128051735146496,1099543825,negative,other,2019-09-01T11:46:44.000Z,"It's not just economics for Northern Ireland. ""It's war and peace for us!"" #brexit #Belfast #protest #StopTheBrexitCoup https://t.co/6n3eK5ifrY","['belfast', 'protest', 'stopthebrexitcoup', 'brexit']"
1167887584762089472,817409567172739072,negative,remain,2019-08-31T19:51:13.000Z,How about all those losers out on the streets today put their efforts into REAL DEMOCRACY and demand an ENGLISH Parliament. We are the ONLY Country in Europe without our own. @RobinTilbrook  @GrahamHmoore  #Remain #StopTheBrexitCoup #BlockTheCoup #Brexit,"['blockthecoup', 'brexit', 'remain', 'stopthebrexitcoup']"
1168484799281078272,845793138321112960,positive,other,2019-09-02T11:24:20.000Z,"Great Brexit Insurance Migration Shifts $75 Billion From London - Bloomberg
#StopTheCoup #StopTheBrexitCoup #BlockTheCoup #ResistUK  https://t.co/3fNmot1Qwr","['blockthecoup', 'stopthecoup', 'resistuk', 'stopthebrexitcoup']"
1168045067845525504,2381934812,negative,remain,2019-09-01T06:17:00.000Z,"#StopTheBrexitCoup
#StopTheCoup
#StopBoris
#StopBrexit
#Stop!
From #Bodmin to #Berlin, crowds vent their fury at #BorisJohnson’s ‘coup’
#Brexit #BrexitShambles #BrexitChaos #ThePeople #ThePeopleVJohnson
https://t.co/qaAbdzVHE1","['bodmin', 'berlin', 'thepeoplevjohnson', 'stopthebrexitcoup', 'stop', 'borisjohnson’s', 'thepeople', 'brexit', 'stopbrexit', 'brexitchaos', 'stopboris', 'brexitshambles', 'stopthecoup']"
1168520988998426624,2717979159,neutral,remain,2019-09-02T13:48:08.000Z,"This week we’ll all be watching in horror as what Brexit has always been about, boils over: the Tory squabble that got out of control. 
#StopTheCoup #StopTheBrexitCoup #StopBoris #StopBrexit #BollocksToBoris #BollocksToBrexit","['bollockstoboris', 'bollockstobrexit', 'stopthebrexitcoup', 'stopbrexit', 'stopboris', 'stopthecoup']"
1168084429463609344,1139137867488382720,positive,other,2019-09-01T08:53:24.000Z,"Leave voter standing up for his vision of Brexit- well done that man! All power to him, he hasn't been brainwashed by the ""Brexit at any cost"" camp and for that he has my complete respect #StopTheBrexitCoup #BorisJohnsonDictator #PeoplesVote https://t.co/Ltlc7xHklx","['borisjohnsondictator', 'peoplesvote', 'stopthebrexitcoup']"
1168647763120275456,1580561420,negative,other,2019-09-02T22:11:53.000Z,"We need to be told which medicines are at risk in no-deal Brexit.
""The government’s answers on the availability of crucial supplies are inadequate""
#StopTheBrexitCoup #Prorogation #BorisJohnsonDictator 
https://t.co/YeVNFMkuyS","['borisjohnsondictator', 'prorogation', 'stopthebrexitcoup']"
