t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
741784108225986560,3681621377,neutral,other,2016-06-12T00:08:07.000Z,"@TonysAngle @fromTGA #1 Reason To Vote #Brexit: Goldman Sachs, JPMorgan, &amp; The IMF Seek #Remain #StrongerIn https://t.co/Qx2BM1nH4R","['1', 'remain', 'strongerin', 'brexit']"
733730626277380096,2252017892,neutral,leave,2016-05-20T18:46:28.000Z,"#Brexit- changing our language.
New definitions- #1
Migrant. https://t.co/g2oWoTDaSy

#StrongerIn 

Sources- Oxford dictionary vs Brexit man","['1', 'strongerin', 'brexit']"
726605654107013120,724847498460844032,negative,leave,2016-05-01T02:54:22.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit seen as least bad for the working class - https://t.co/71SL6q2Cvs https://t.co/OmXgHtp1je,"['23june', 'brexit', 'strongerin', 'voteleave']"
725113264653361152,724847498460844032,negative,leave,2016-04-27T00:04:08.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit economics no solution for steel - https://t.co/BwwKlolvKE,"['23june', 'brexit', 'strongerin', 'voteleave']"
726835914547302400,724847498460844032,neutral,leave,2016-05-01T18:09:20.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit: We have a hostage situation - https://t.co/a5cfDAyO4v,"['23june', 'brexit', 'strongerin', 'voteleave']"
729244300844871680,724847498460844032,neutral,remain,2016-05-08T09:39:24.000Z,#Brexit #23June #StrongerIn #VoteLeave Boris Johnson - Facebook Post - https://t.co/QbaMsoC1VJ,"['23june', 'brexit', 'strongerin', 'voteleave']"
726913896318140416,724847498460844032,neutral,leave,2016-05-01T23:19:12.000Z,#Brexit #23June #StrongerIn #VoteLeave What would Brexit mean for my money? - https://t.co/5UtpV5NRkG,"['23june', 'brexit', 'strongerin', 'voteleave']"
726896321244835840,724847498460844032,neutral,other,2016-05-01T22:09:22.000Z,#Brexit #23June #StrongerIn #VoteLeave What has the EU done for the UK? - https://t.co/BqaNCs9Hyu,"['23june', 'brexit', 'strongerin', 'voteleave']"
725158567855161344,724847498460844032,neutral,leave,2016-04-27T03:04:10.000Z,#Brexit #23June #StrongerIn #VoteLeave Why Brexit crowd wants to silence Obama - https://t.co/W3IcVOvJFU,"['23june', 'brexit', 'strongerin', 'voteleave']"
725003271916687360,724847498460844032,neutral,other,2016-04-26T16:47:04.000Z,#Brexit #23June #StrongerIn #VoteLeave Exclusive: Latest Brexit Poll Update: UK Voters Say Adios to the EU - https://t.co/CWiqUIOftX,"['23june', 'brexit', 'strongerin', 'voteleave']"
726450141469790208,724847498460844032,neutral,other,2016-04-30T16:36:25.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit Poll Update: It Ain&amp;#39;t Over Till It&amp;#39;s Over - https://t.co/KY01CGaVHP,"['23june', 'brexit', 'strongerin', 'voteleave']"
726744085462179840,724847498460844032,negative,other,2016-05-01T12:04:26.000Z,#Brexit #23June #StrongerIn #VoteLeave Eurosceptics weigh in on Brussels attacks - https://t.co/czlvPcvSGa,"['23june', 'brexit', 'strongerin', 'voteleave']"
725329782246756352,724847498460844032,negative,leave,2016-04-27T14:24:30.000Z,#Brexit #23June #StrongerIn #VoteLeave Obama gives powerful warning against Brexit - https://t.co/dk09nIzQrG,"['23june', 'brexit', 'strongerin', 'voteleave']"
726683517250355200,724847498460844032,positive,leave,2016-05-01T08:03:46.000Z,#Brexit #23June #StrongerIn #VoteLeave Gibraltar rock-solid in commitment to EU - https://t.co/X13Wk8agdP,"['23june', 'brexit', 'strongerin', 'voteleave']"
726975659650736128,724847498460844032,neutral,leave,2016-05-02T03:24:38.000Z,#Brexit #23June #StrongerIn #VoteLeave What’s with the timing of a palace leak? - https://t.co/BqR75xmOKd,"['23june', 'brexit', 'strongerin', 'voteleave']"
725190037399322624,724847498460844032,negative,other,2016-04-27T05:09:12.000Z,#Brexit #23June #StrongerIn #VoteLeave Nostalgics in search of a lost empire - https://t.co/Ht5AyPjSPP,"['23june', 'brexit', 'strongerin', 'voteleave']"
726926488633757696,724847498460844032,negative,leave,2016-05-02T00:09:15.000Z,#Brexit #23June #StrongerIn #VoteLeave Is Brexit a threat to foreign investment? - https://t.co/5bSaNW8TaI,"['23june', 'brexit', 'strongerin', 'voteleave']"
726468153560207360,724847498460844032,positive,other,2016-04-30T17:47:59.000Z,"#Brexit #23June #StrongerIn #VoteLeave Public to Obama: we love you, but stay out of ... - https://t.co/EQ4iF75XPA https://t.co/jcwIknoj7S","['23june', 'brexit', 'strongerin', 'voteleave']"
726696996078276608,724847498460844032,neutral,leave,2016-05-01T08:57:19.000Z,"#Brexit #23June #StrongerIn #VoteLeave UK trade will thrive outside EU, says Gove - https://t.co/obqMGhRahM","['23june', 'brexit', 'strongerin', 'voteleave']"
725220244646727680,724847498460844032,neutral,leave,2016-04-27T07:09:14.000Z,#Brexit #23June #StrongerIn #VoteLeave What would Brexit mean for my money? - https://t.co/5UtpV5NRkG,"['23june', 'brexit', 'strongerin', 'voteleave']"
726944149484744704,724847498460844032,neutral,leave,2016-05-02T01:19:25.000Z,#Brexit #23June #StrongerIn #VoteLeave What the City stands to lose from Brexit - https://t.co/R0zzoRkm81,"['23june', 'brexit', 'strongerin', 'voteleave']"
726481129814020096,724847498460844032,neutral,leave,2016-04-30T18:39:33.000Z,"#Brexit #23June #StrongerIn #VoteLeave 28 April's BBC Question Time, factchecked - https://t.co/cwPrRD6R7s","['23june', 'brexit', 'strongerin', 'voteleave']"
732725712113700864,724847498460844032,neutral,remain,2016-05-18T00:13:17.000Z,#Brexit #23June #StrongerIn #VoteLeave Boris Johnson - Facebook Post - https://t.co/QbaMsoTCNh,"['23june', 'brexit', 'strongerin', 'voteleave']"
727006860893675520,724847498460844032,negative,other,2016-05-02T05:28:37.000Z,#Brexit #23June #StrongerIn #VoteLeave Treasury says UK worse off under Brexit - https://t.co/fn8GTS5tEK,"['23june', 'brexit', 'strongerin', 'voteleave']"
726591798508937216,724847498460844032,negative,other,2016-05-01T01:59:18.000Z,#Brexit #23June #StrongerIn #VoteLeave Developer warns of Brexit ‘demand shock’ - https://t.co/OZgAnxeMVn,"['23june', 'brexit', 'strongerin', 'voteleave']"
726667109120487424,724847498460844032,neutral,other,2016-05-01T06:58:34.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit debated: Impact on UK economy - https://t.co/szUZxc1A36,"['23june', 'brexit', 'strongerin', 'voteleave']"
724972350706450432,724847498460844032,negative,leave,2016-04-26T14:44:12.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit Poll Update: Why UK Voters Expect to Leave the EU - https://t.co/xbXIQc2lJb,"['23june', 'brexit', 'strongerin', 'voteleave']"
737090998011080704,724847498460844032,neutral,remain,2016-05-30T01:19:23.000Z,#Brexit #23June #StrongerIn #VoteLeave Boris Johnson - Facebook Post - https://t.co/QbaMsoC1VJ,"['23june', 'brexit', 'strongerin', 'voteleave']"
725065499873284096,724847498460844032,negative,remain,2016-04-26T20:54:20.000Z,#Brexit #23June #StrongerIn #VoteLeave A breakaway would hurt old partners too - https://t.co/pyNCYmBard,"['23june', 'brexit', 'strongerin', 'voteleave']"
726637097256402944,724847498460844032,neutral,leave,2016-05-01T04:59:18.000Z,#Brexit #23June #StrongerIn #VoteLeave Sterling climbs to 10-week peak - https://t.co/MvnLmHBzG6,"['23june', 'brexit', 'strongerin', 'voteleave']"
725127413164871680,724847498460844032,neutral,leave,2016-04-27T01:00:22.000Z,#Brexit #23June #StrongerIn #VoteLeave Pro-EU leaflets energise Brexit campaign - https://t.co/j2NMqJNqsj,"['23june', 'brexit', 'strongerin', 'voteleave']"
725144762706214912,724847498460844032,neutral,leave,2016-04-27T02:09:18.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit: We have a hostage situation - https://t.co/a5cfDAyO4v,"['23june', 'brexit', 'strongerin', 'voteleave']"
726651065848975360,724847498460844032,negative,other,2016-05-01T05:54:49.000Z,#Brexit #23June #StrongerIn #VoteLeave Brexit campaigners warn on immigration - https://t.co/FawS5ATehj,"['23june', 'brexit', 'strongerin', 'voteleave']"
725205904522678272,724847498460844032,neutral,other,2016-04-27T06:12:15.000Z,#Brexit #23June #StrongerIn #VoteLeave What has the EU done for the UK? - https://t.co/BqaNCs9Hyu,"['23june', 'brexit', 'strongerin', 'voteleave']"
