,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
662069,731073034979815424,14258208,neutral,remain,2016-05-13T10:46:08.000Z,"IMF says #Brexit 'bad to very, very bad.' Why would anyone in their right mind vote for #stupidBrexit  https://t.co/WvmqNfcykX","['brexit', 'stupidbrexit']"
654519,730865000378716160,14258208,negative,other,2016-05-12T20:59:29.000Z,"Brexit vote may spark recession, Mark Carney warns #stupidBrexit  https://t.co/IUIwAflXCK",['stupidbrexit']
112263,747013854605893632,54152452,positive,leave,2016-06-26T10:29:16.000Z,"Right now I don't see what's ""great"" about Britain. #brexit #stupidBrexit #stupidbrittons","['stupidbrexit', 'stupidbrittons', 'brexit']"
393377,789757360453586944,1282983517,positive,other,2016-10-22T09:16:42.000Z,"So beautiful, EU members talking in French to Theresa May #stupidBrexit #Brexit 
https://t.co/DFzOngKyqt","['brexit', 'stupidbrexit']"
390687,789702491025833984,728500345,neutral,other,2016-10-22T05:38:40.000Z,"#DirtyBrexit
#EmotionalBrexit
#StupidBrexit
Talks about talks 
May has...nightmare her Brexit talks are going to be https://t.co/tBtG9DdXUT","['emotionalbrexit', 'stupidbrexit', 'dirtybrexit']"
384559,789458738214268928,486640279,negative,leave,2016-10-21T13:30:05.000Z,#HardBrexit is #StupidBrexit but hey #Brexit is Brexit and whichever way you look at it it's pretty damn stupid https://t.co/5l4QvXziSS,"['hardbrexit', 'stupidbrexit', 'brexit']"
396282,789880350252171264,173119510,negative,remain,2016-10-22T17:25:25.000Z,You nsty 'f---'. Still scoring ignorant brexit points when people face financial disaster? #stupidbrexit https://t.co/eOgi1zrgNF,['stupidbrexit']
497184,832156178838863872,409137164,neutral,other,2017-02-16T09:14:28.000Z,"Is there an EU country that will offer me citizenship post brexit?
#teflteacher #ittrainer #softwaretrainer #lecturer #stupidbrexit #brexit","['teflteacher', 'brexit', 'lecturer', 'ittrainer', 'softwaretrainer', 'stupidbrexit']"
205011,883995534524112896,1893140701,neutral,other,2017-07-09T10:25:33.000Z,"Owen Paterson epitomises wrong-headed, emporer's new clothes #StupidBrexit  #brexit #bbcsp","['bbcsp', 'stupidbrexit', 'brexit']"
53939,878618060193746944,305722568,negative,other,2017-06-24T14:17:24.000Z,"Dear Mr Gove,Yes the fishermen may get to catch more after #Brexit, but who the fuck are they going to sell them to? #stupidbrexit","['brexit', 'stupidbrexit']"
1229209,920566632728203264,18045695,neutral,other,2017-10-18T08:26:03.000Z,We deserve to see the Brexit impact studies #Brexit #StupidBrexit #Freedomofinformation https://t.co/v7HakcbDC3,"['brexit', 'stupidbrexit', 'freedomofinformation']"
704250,902825825279594496,780840449963532160,negative,leave,2017-08-30T09:30:25.000Z,goodloaf: The anti-democratic nonsense of BREXIT is just a waste of resources now and reduces future opportunity for all. #stupidBREXIT #S…,"['s', 'stupidbrexit']"
704236,902825664339959808,705680725,negative,remain,2017-08-30T09:29:46.000Z,The anti-democratic nonsense of BREXIT is just a waste of resources now and reduces future opportunity for all. #stupidBREXIT #StopBrexit,"['stopbrexit', 'stupidbrexit']"
511669,965924338531815424,29957245,negative,remain,2018-02-20T12:21:22.000Z,"“Post-Brexit UK won't be like Mad Max, says Davis”

Well of course it won’t. We won’t have the money for the special effects budget. 

It’ll be more like the crappy late period Hammer horror films that could no longer afford Christopher Lee! #StupidBrexit https://t.co/QoenOYRH00",['stupidbrexit']
979521,987103860698308608,812619192,negative,remain,2018-04-19T23:01:14.000Z,"Gosh, the pigeons are coming home to roost for May and her #Brexit cabal.
First the Lords rejects, now the EU rejects and next the Commons will reject her #StupidBrexit.

EU rejects Theresa May's Brexit Irish border solution.
https://t.co/1bAE5eKrCl via @Telegraph","['stupidbrexit', 'brexit']"
2048825,1018842419704614912,2961673856,positive,other,2018-07-16T12:58:56.000Z,"When we talk about ""deal"" with US will it provide universal health care, the ablity to study, the ablity to work, and move freely? I guess not, more like make some white guys richer? #Brexit #stupidbrexit","['brexit', 'stupidbrexit']"
2048824,1018842419704614912,2961673856,positive,other,2018-07-16T12:58:56.000Z,"When we talk about ""deal"" with US will it provide universal health care, the ablity to study, the ablity to work, and move freely? I guess not, more like make some white guys richer? #Brexit #stupidbrexit","['brexit', 'stupidbrexit']"
1447759,1012630062313693184,2504946271,negative,remain,2018-06-29T09:33:15.000Z,"@theresa_may STILL confused over what #brexit means, the EU isn't forcing the UK to do anything, WE are choosing to leave and that means ALL pacts and agreements are off, no matter how vital they are to us!
#StupidBrexit #BrexitReality #StopBrexit https://t.co/RsG1aMRDrE","['stopbrexit', 'brexitreality', 'stupidbrexit', 'brexit']"
1447758,1012630062313693184,2504946271,negative,remain,2018-06-29T09:33:15.000Z,"@theresa_may STILL confused over what #brexit means, the EU isn't forcing the UK to do anything, WE are choosing to leave and that means ALL pacts and agreements are off, no matter how vital they are to us!
#StupidBrexit #BrexitReality #StopBrexit https://t.co/RsG1aMRDrE","['stopbrexit', 'brexitreality', 'stupidbrexit', 'brexit']"
3252863,1032744819498647552,932387242659799040,negative,other,2018-08-23T21:42:07.000Z,Another Brexiteer showed the idiotic nature of Brexit thinking on @LBC. He explained that once we leave we won't need to custom check lorries come into the country. So much for taking control of our borders. #StupidBrexit We need a #PeoplesVote to save the country from idiots.,"['stupidbrexit', 'peoplesvote']"
3252862,1032744819498647552,932387242659799040,negative,other,2018-08-23T21:42:07.000Z,Another Brexiteer showed the idiotic nature of Brexit thinking on @LBC. He explained that once we leave we won't need to custom check lorries come into the country. So much for taking control of our borders. #StupidBrexit We need a #PeoplesVote to save the country from idiots.,"['stupidbrexit', 'peoplesvote']"
1849971,1067895966584500224,206501348,positive,remain,2018-11-28T21:40:13.000Z,"OMG! This is the man who wants to be PM? @BorisJohnson, one of the leading campaigners for #Brexit, during his time as Foreign Secretary. Good grief, how embarrassing!! 😳🤪😬

#BorisJohnson #StupidBrexit #PeoplesVote #FBPE https://t.co/HAct5N8jMo","['brexit', 'stupidbrexit', 'fbpe', 'borisjohnson', 'peoplesvote']"
1849970,1067895966584500224,206501348,positive,remain,2018-11-28T21:40:13.000Z,"OMG! This is the man who wants to be PM? @BorisJohnson, one of the leading campaigners for #Brexit, during his time as Foreign Secretary. Good grief, how embarrassing!! 😳🤪😬

#BorisJohnson #StupidBrexit #PeoplesVote #FBPE https://t.co/HAct5N8jMo","['brexit', 'stupidbrexit', 'fbpe', 'borisjohnson', 'peoplesvote']"
2742246,1076070492791103488,2367356407,neutral,other,2018-12-21T11:02:52.000Z,Dealing with anyone in the #UK these days is like flogging a dead horse! Such a shame it used to be such a great place #Brexit #StupidBrexit,"['brexit', 'stupidbrexit', 'uk']"
