t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
949180123642810368,306823427,negative,other,2018-01-05T07:25:51.000Z,"“I Was A Remainer, But The EU’s Bullying Has Made Me A Committed Brexiteer” https://t.co/P9FdbfUL78 #fbpe #lbc #stupidbrexiteers #brexit #ukip #gmb #bbcbreakfast #wrightstuff","['fbpe', 'stupidbrexiteers', 'gmb', 'bbcbreakfast', 'brexit', 'lbc', 'wrightstuff', 'ukip']"
947736903033372672,306823427,positive,other,2018-01-01T07:51:00.000Z,REVEALED: Theresa May is planning 'BREXIT DAY' to celebrate EU independence https://t.co/kegR8yIRtp #fbpe #lbc #stupidbrexiteers #brexit #ukip #bbcbreakfast #itvnews,"['fbpe', 'stupidbrexiteers', 'itvnews', 'bbcbreakfast', 'brexit', 'lbc', 'ukip']"
958254610967228416,306823427,negative,other,2018-01-30T08:24:37.000Z,"Trump Supporters Attacked Navajo Lawmaker, Accused Him Of Being Here 'Illegally': 'Get Out Of The Country!' https://t.co/TkWGp52HzL #lbc #fbpe #stupidbrexiteers #brexit #bbcnews #itvnews","['fbpe', 'stupidbrexiteers', 'itvnews', 'brexit', 'lbc', 'bbcnews']"
948671905422299136,306823427,negative,remain,2018-01-03T21:46:22.000Z,The Conservatives’ underfunding of the NHS made a crisis inevitable https://t.co/A7Q3tNip2W #fbpe #lbc #stupidbrexiteers #brexit #ukip #bbcnews #itvnews,"['fbpe', 'stupidbrexiteers', 'itvnews', 'brexit', 'lbc', 'bbcnews', 'ukip']"
958035961316651008,306823427,negative,remain,2018-01-29T17:55:47.000Z,BBC News - Thurrock's 17 UKIP councillors all resign from party https://t.co/Bhbhyl1b2h #lbc #fbpe #libdems #labour #Conservatives #plaidcymru #greens #snp #bbcnews #itvnews #gmb #bbcbreakfast #wrightstuff #ThisMorning #ukip #a50challenge #stupidbrexiteers #brexit #abtv #waton,"['greens', 'itvnews', 'gmb', 'waton', 'bbcnews', 'a50challenge', 'conservatives', 'bbcbreakfast', 'brexit', 'libdems', 'ukip', 'labour', 'thismorning', 'fbpe', 'stupidbrexiteers', 'abtv', 'snp', 'lbc', 'plaidcymru', 'wrightstuff']"
958003966255575040,306823427,neutral,remain,2018-01-29T15:48:39.000Z,Caller Predicts What Will Happen If Brexit Is Not Delivered - LBC https://t.co/9KBvHSAtrQ #lbc #fbpe #libdems #labour #Conservatives #plaidcymru #greens #snp #bbcnews #itvnews #gmb #bbcbreakfast #wrightstuff #ThisMorning #ukip #a50challenge #stupidbrexiteers #abtv #thlds #waton,"['greens', 'itvnews', 'gmb', 'waton', 'bbcnews', 'a50challenge', 'conservatives', 'thlds', 'bbcbreakfast', 'libdems', 'ukip', 'labour', 'thismorning', 'fbpe', 'stupidbrexiteers', 'abtv', 'snp', 'lbc', 'plaidcymru', 'wrightstuff']"
958546972243214336,306823427,neutral,remain,2018-01-31T03:46:21.000Z,"We'll rewrite Brexit studies until we get the right result, says MP https://t.co/D8kqWtaxOj #lbc #fbpe #libdems #labour #Conservatives #plaidcymru #greens #snp #bbcnews #itvnews #gmb #bbcbreakfast #wrightstuff #ThisMorning #ukip #a50challenge #stupidbrexiteers #abtv #thlds #waton","['greens', 'itvnews', 'gmb', 'waton', 'bbcnews', 'a50challenge', 'conservatives', 'thlds', 'bbcbreakfast', 'libdems', 'ukip', 'labour', 'thismorning', 'fbpe', 'stupidbrexiteers', 'abtv', 'snp', 'lbc', 'plaidcymru', 'wrightstuff']"
959350974769905664,306823427,negative,remain,2018-02-02T09:01:10.000Z,New party aiming to stop Brexit plans UK tour https://t.co/MBLDhIzguW #lbc #fbpe #libdems #labour #Conservatives #plaidcymru #greens #snp #bbcnews #itvnews #gmb #bbcbreakfast #wrightstuff #ThisMorning #ukip #a50challenge #stupidbrexiteers #abtv #thlds #waton #SendOutTheClowns,"['greens', 'itvnews', 'sendouttheclowns', 'gmb', 'waton', 'bbcnews', 'a50challenge', 'conservatives', 'thlds', 'bbcbreakfast', 'libdems', 'ukip', 'labour', 'thismorning', 'fbpe', 'stupidbrexiteers', 'abtv', 'snp', 'lbc', 'plaidcymru', 'wrightstuff']"
970125991828848640,306823427,neutral,remain,2018-03-04T02:37:15.000Z,UK PM’s latest Brexit speech completely debunked https://t.co/eI769zeoQy #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #sendouttheclowns #brexit #brexitshambles #itvnews #bbcnews #BBCBreakfast #gmb #marr #Peston #bbcdp #bbcsp,"['itvnews', 'bbcsp', 'gmb', 'waton', 'bbcnews', 'bbcbreakfast', 'peston', 'brexitshambles', 'conservatives', 'marr', 'brexit', 'libdems', 'sendouttheclowns', 'ukip', 'labour', 'fbpe', 'abtv', 'stupidbrexiteers', 'snp', 'bbcdp', 'lbc', 'plaidcymru']"
976451596950429696,306823427,positive,remain,2018-03-21T13:32:56.000Z,https://t.co/6rHQ9jB9iH Powerful speech!!! #lbc #fbpe #libdems #conservatives #labour #plaidcymru #snp #ukip #abtv #waton #stupidbrexiteers #sendouttheclowns #brexit #brexitshambles #itvnews #bbcnews #BBCBreakfast #gmb #wrightstuff #ThisMorning #bbcdp #marr #peston #pmqs #bbctw,"['itvnews', 'bbctw', 'peston', 'gmb', 'waton', 'pmqs', 'bbcnews', 'bbcbreakfast', 'brexitshambles', 'conservatives', 'marr', 'brexit', 'libdems', 'sendouttheclowns', 'ukip', 'labour', 'thismorning', 'fbpe', 'abtv', 'stupidbrexiteers', 'snp', 'bbcdp', 'lbc', 'plaidcymru', 'wrightstuff']"
