,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,1400008,815186965364674560,3230403832,neutral,other,2016-12-31T13:24:52.000Z,The rest of this message is written in Brexit invisible ink #ToryBrexitShambles https://t.co/Wcazin8qQx,['torybrexitshambles']
1,1,1,1266133,808707652587028480,430245429,neutral,other,2016-12-13T16:18:24.000Z,Peter Lilley casts doubt on prospects for post-Brexit transitional deal #ToryBrexitShambles  https://t.co/Wt09NK24VV,['torybrexitshambles']
2,2,2,1104242,848862309535625216,231431466,neutral,other,2017-04-03T11:38:40.000Z,Anyone Else noticed how Brexiteers never mentioned a £50B divorce bill.? #brexit #ToryBrexitShambles #farageonlbc #brexitbill #A50WhatNext https://t.co/lqoib8NLTB,"['a50whatnext', 'farageonlbc', 'torybrexitshambles', 'brexitbill', 'brexit']"
3,3,3,1694926,869490201185456128,829060856,neutral,other,2017-05-30T09:46:32.000Z,We have 'over 100 pages' of detail on #Brexit says David Davis #r4today #ToryBrexitShambles #BattleForNumber10 #GE2017,"['ge2017', 'torybrexitshambles', 'battlefornumber10', 'r4today', 'brexit']"
4,4,4,1280330,855312770232860672,404337097,neutral,other,2017-04-21T06:50:30.000Z,@RHamiltonMSP Brexit will bring Scottish economy to a standstill https://t.co/en2Zji6gkG #torybrexitshambles #noplannoidea,"['noplannoidea', 'torybrexitshambles']"
5,5,5,1956885,875638131621478400,2408645694,neutral,other,2017-06-16T08:56:13.000Z,@jonsnowC4  We don't have a Government yet. The Queens Speech has not been passed. How can they start BREXIT talks ? #torybrexitshambles https://t.co/Oze4P0FVxc,['torybrexitshambles']
6,6,6,1174508,851677533930229760,460131605,positive,other,2017-04-11T06:05:22.000Z,"Theresa May's advisers 'have no clue how to strike best Brexit trade deals' 
#ToryBrexitShambles  https://t.co/WYa9d1mLCH",['torybrexitshambles']
7,7,7,1659351,868117317061890048,112184737,neutral,other,2017-05-26T14:51:11.000Z,@AdamParsons1 Has @Conservatives @brexit_tory been informed #torybrexitshambles,['torybrexitshambles']
8,8,8,1412223,859159943055908864,112184737,neutral,other,2017-05-01T21:37:47.000Z,"@guardian u have 2 #torybrexitshambles
""Labour/Lib/Dem/SNP r now lining up 2disrupt OUR  negotiations on brexit,” Tory Patrick McLoughlin 😲 https://t.co/rLJJRDdOFI",['torybrexitshambles']
9,9,9,1107865,848975540468011008,570262333,negative,other,2017-04-03T19:08:36.000Z,@moh_kohn Surely someone on the Tory Brexit team can leak a massive controversial document to the press soon to end the madness?! #ToryBrexitShambles,['torybrexitshambles']
