t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
695547566893744128,3297922053,negative,other,2016-02-05T10:00:37.000Z,#BREAKING: #Pressure on @David_Cameron as #poll suggests #voters #edging towards #Brexit. #UKinEU #ReferendumNow #EUreform #asylumseekers,"['asylumseekers', 'brexit', 'voters', 'pressure', 'ukineu', 'poll', 'referendumnow', 'breaking', 'edging', 'eureform']"
697874593307095040,3297922053,positive,other,2016-02-11T20:07:23.000Z,"#BREAKING: #EU refines #UK #offer, up to #Cameron now to #clinch #deal. #EmergencyBrake #Brexit #UKExit #UKinEU #EUcrisis #asylumseekers","['asylumseekers', 'eu', 'offer', 'clinch', 'ukineu', 'brexit', 'cameron', 'breaking', 'ukexit', 'eucrisis', 'uk', 'deal', 'emergencybrake']"
702964318556434432,305829824,positive,other,2016-02-25T21:12:08.000Z,"What was it like last time? #BABMember, @guardian recalls: https://t.co/g5jUW9uiVo
#Brexit #referendum #UKinEU #BAB","['bab', 'babmember', 'referendum', 'ukineu', 'brexit']"
716510202045063168,4715830097,positive,other,2016-04-03T06:18:38.000Z,https://t.co/Kjuh10RZoj TOP TEN RICHEST PEOPLE IN THE UK !#money #UKinEU #Brexit #entrepreneur #London #top10 #billionaire #banthebbc,"['banthebbc', 'london', 'entrepreneur', 'top10', 'billionaire', 'ukineu', 'brexit']"
745310595348561920,266276436,positive,other,2016-06-21T17:41:07.000Z,Remain campaign: all you need is love #BBCDebate #Brexit #UKinEU https://t.co/s9FUN8M5HI,"['bbcdebate', 'ukineu', 'brexit']"
745341967924625408,266276436,negative,leave,2016-06-21T19:45:47.000Z,Massive applause when @SadiqKhan says @vote_leave campaign is project hate on immigration #BBCDebate #Brexit #UKinEU #UKreferendum,"['bbcdebate', 'ukineu', 'brexit', 'ukreferendum']"
745592331068375040,27303589,negative,remain,2016-06-22T12:20:38.000Z,"if we leave, who pays to change our passports, drivng license &amp; # plates?. #bbcbreakfast #bbcqt #Remain #Brexit @David_Cameron #ukineu","['bbcqt', 'ukineu', 'brexit', 'remain', 'bbcbreakfast']"
706801851816140800,23361712,neutral,other,2016-03-07T11:21:07.000Z,Heavy duty: what are the shortcomings of the #BBC’s reporting of the #EU? https://t.co/muAdoIZggt #UKinEU #Brexit.,"['bbc’s', 'brexit', 'eu?', 'ukineu']"
692708437210349568,959947411,positive,leave,2016-01-28T13:58:55.000Z,"EU offering UK 'emergency brake' on #migrant #benefits, any MS could benefit. https://t.co/LJf5H4TWlY #Brexit #UKinEU #EUreferendum","['benefits', 'eureferendum', 'ukineu', 'brexit', 'migrant']"
698562103947485184,267371415,positive,other,2016-02-13T17:39:18.000Z,"Join us on March 17 in #Berlin to discuss results of #brexit attitudes survey across #EU with @AQMeNNetwork #UKinEU 
https://t.co/6AfujMdsWg","['berlin', 'ukineu', 'eu', 'brexit']"
