t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
743464344478973952,347298808,positive,other,2016-06-16T15:24:47.000Z,Brilliant article by #AAGill on #Brexit https://t.co/a2GP50FzYj #VoteIn,"['aagill', 'brexit', 'votein']"
746036531790512128,281595869,negative,remain,2016-06-23T17:45:44.000Z,Come on British friends! We don't want to be strangers to each other! #togetherinEU #votein #brexit #ABelgianFriend,"['abelgianfriend', 'togetherineu', 'votein', 'brexit']"
745369903440461824,35486970,neutral,remain,2016-06-21T21:36:47.000Z,This speaks for me as well #academics #expats #EUmigrants #brexit #voteremain #VoteIn https://t.co/0hD7NXyjNe,"['academics', 'voteremain', 'votein', 'expats', 'eumigrants', 'brexit']"
725819180369498112,191911750,neutral,remain,2016-04-28T22:49:12.000Z,"#EU need to work toward #OneWorld
BUT not grown up enough
How to get through #adolescence?
#voteIN to sort it out?
or #Brexit
#BBCqt","['adolescence?', 'eu', 'votein', 'oneworld', 'brexit', 'bbcqt']"
735963954866847744,191911750,neutral,remain,2016-05-26T22:40:55.000Z,"#UK #EU need to work toward #OneWorld
BUT not grown up enough
How to get through #adolescence?
#voteIN to sort it out
#Brexit regress
#BBCqt","['adolescence?', 'eu', 'votein', 'oneworld', 'brexit', 'bbcqt', 'uk']"
744907353322065920,235172442,positive,remain,2016-06-20T14:58:47.000Z,"KREMLIN'S LIES - EU'S RESPONSE TO DISINFORMATION - #ALDE
https://t.co/JqXRBOwarA
Yes, this has something to do with #Brexit. #votein #Remain","['alde', 'votein', 'brexit', 'remain']"
740133847258542080,732298631441747840,negative,remain,2016-06-07T10:50:34.000Z,This is how Islam destroys a host Culture #Brexit #Remain #VoteIn #AVFC #BCFC #Islam #NUFC #SFC #LFC #EFC #MCFC #FFC https://t.co/gAzcHCUn0r,"['avfc', 'votein', 'ffc', 'lfc', 'islam', 'nufc', 'efc', 'brexit', 'remain', 'mcfc', 'bcfc', 'sfc']"
739536234230480896,732298631441747840,neutral,other,2016-06-05T19:15:52.000Z,https://t.co/iEsoyCYriw UK Sharia #MUFC #MCFC #LFC #AVFC #BCFC #NUFC #AFC #CFC #WBA #VoteIn #Brexit #LeaveEU #Brexit,"['avfc', 'votein', 'leaveeu', 'lfc', 'mufc', 'nufc', 'brexit', 'mcfc', 'cfc', 'afc', 'bcfc', 'wba']"
736526871219851264,732298631441747840,neutral,other,2016-05-28T11:57:44.000Z,End the #EU Tyranny #Brexit #LeaveEU #BeLeave #Remain #VoteIn #bankholidayweekend #WelcomeJose #MUFC #CFC #avfc #lfc https://t.co/z3czdn9IK6,"['bankholidayweekend', 'votein', 'welcomejose', 'eu', 'leaveeu', 'avfc', 'mufc', 'lfc', 'brexit', 'remain', 'beleave', 'cfc']"
736526704114585600,732298631441747840,neutral,other,2016-05-28T11:57:04.000Z,End the #EU Tyranny #Brexit #LeaveEU #BeLeave #Remain #VoteIn #bankholidayweekend #WelcomeJose #MUFC #CFC #AFC https://t.co/z3czdn9IK6,"['bankholidayweekend', 'votein', 'welcomejose', 'eu', 'leaveeu', 'mufc', 'brexit', 'remain', 'beleave', 'cfc', 'afc']"
736525594364682240,732298631441747840,neutral,other,2016-05-28T11:52:40.000Z,End the #EU Tyranny #Brexit #LeaveEU #BeLeave #Remain #VoteIn #bankholidayweekend #WelcomeJose #MUFC #CFC #AFC #MCFC https://t.co/dWNoTwUFEx,"['bankholidayweekend', 'votein', 'welcomejose', 'eu', 'leaveeu', 'mufc', 'brexit', 'remain', 'mcfc', 'beleave', 'cfc', 'afc']"
745342362654748672,853109796,negative,remain,2016-06-21T19:47:21.000Z,How can we live in a global 🌍economy by living in an isolated bubble??!!🕸!  #BBCDebate #voteIN #Brexit,"['bbcdebate', 'brexit', 'votein']"
735961336753049600,464549771,neutral,remain,2016-05-26T22:30:30.000Z,BABY IT'S COLD OUTSIDE #VoteRemain #CreativesIn #EUref #brexit #voteIn #bbcqt ❄️❄️❄️❄️ https://t.co/mOvgAxgOYC,"['bbcqt', 'euref', 'creativesin', 'voteremain', 'brexit', 'votein']"
735952321792880640,464549771,neutral,remain,2016-05-26T21:54:41.000Z,X X X X X X — ANOTHER EUROPE IS POSSIBLE — X X X X X X #EUref #brexit #voteIn #bbcqt https://t.co/bE5kskod76,"['bbcqt', 'euref', 'votein', 'brexit']"
744609670212497408,110835002,neutral,other,2016-06-19T19:15:54.000Z,"In, out, shake it all about? #BBCQT #Brexit #VoteLeave #Remain #VoteIn #EuRef #EUPoll","['bbcqt', 'votein', 'brexit', 'remain', 'eupoll', 'euref', 'voteleave']"
744615844433530880,731792706796670848,positive,leave,2016-06-19T19:40:26.000Z,"#BBCQT Please vote in this poll. Over 2,500 votes so far!! #brexit #bremain #Strongerin #VoteIn #VoteLeave #euref https://t.co/DVpPgQDEr2","['bbcqt', 'votein', 'euref', 'bremain', 'brexit', 'voteleave', 'strongerin']"
741588865513885696,287873430,negative,remain,2016-06-11T11:12:18.000Z,My opinion on you know what https://t.co/GusHVi98Pw #VoteRemain #Brexit #EUreferendum #VoteIn #StrongerIn #Stay #Leave #bbcqt #Europe,"['bbcqt', 'votein', 'eureferendum', 'brexit', 'leave', 'voteremain', 'europe', 'strongerin', 'stay']"
745698826372153344,124522882,positive,remain,2016-06-22T19:23:49.000Z,David beckham is in #brexit #becksit #becksin #bestin #votein #lol,"['becksit', 'bestin', 'becksin', 'votein', 'lol', 'brexit']"
740961045561417728,843880873,positive,remain,2016-06-09T17:37:34.000Z,"@GuidoFawkes  Boris Johnson supporting EU membership on February 7, 2016 #Brexit  #votein  #strongerin  #betteroffin https://t.co/kIzSumajQW","['betteroffin', 'brexit', 'votein', 'strongerin']"
745892972978442240,3239114273,positive,remain,2016-06-23T08:15:17.000Z,PLEASE STAY WITH US #bettertogether #Brexit #VoteRemain #votein,"['bettertogether', 'brexit', 'votein', 'voteremain']"
734417317946351616,26607951,negative,remain,2016-05-22T16:15:08.000Z,Any trouble at this game and the #brexit bandwagon will jump all over it #BloodyTurks #VoteIn,"['bloodyturks', 'votein', 'brexit']"
702077665168257024,18455744,positive,other,2016-02-23T10:28:54.000Z,"People in #India are asking more about #Brexit. #BoGo has energised interest here too! Yes it's a possibility, but I hope not. #VoteIN","['bogo', 'votein', 'brexit', 'india']"
702053731093897216,3688493122,positive,remain,2016-02-23T08:53:47.000Z,Who will speak for England? 🇬🇧 #BorisJohnson #votein #Brexit #referendum #funny #whowillspeakforengland #Boris https://t.co/FAOVQL5OJ0,"['boris', 'votein', 'referendum', 'funny', 'brexit', 'borisjohnson', 'whowillspeakforengland']"
745522461949603840,105926699,neutral,other,2016-06-22T07:43:00.000Z,"HEY #BorisJohnson!

 Britain will spend 190-million Pounds a WEEK
to get back on Common Market if #BrExit.

#VoteIn @iamjohnoliver","['borisjohnson', 'votein', 'brexit']"
703985093749186560,45369322,neutral,remain,2016-02-28T16:48:20.000Z,"What would Brexit mean for everyday life in the UK? #votein #brexin 

https://t.co/FD9Fi0ZbO5","['brexin', 'votein']"
706405433423044608,3688493122,neutral,other,2016-03-06T09:05:54.000Z,JoBo is on Andrew Marr this morning. Looking forward to hearing his defence of #Brexit #borisjohnson #voteIn #muppet https://t.co/5wC9DjvPqn,"['brexit', 'borisjohnson', 'muppet', 'votein']"
733383433674756096,545922470,negative,remain,2016-05-19T19:46:50.000Z,"With so many flights to different EU cities, #Bristol airport will be a sad place in case of a #Brexit #VoteIn","['brexit', 'bristol', 'votein']"
743853468872486912,3126212260,positive,other,2016-06-17T17:11:01.000Z,"Please sign and retweet @JirocaMusic #CancelEURef #Brexit #votein 
https://t.co/i6JuruYPBg","['brexit', 'canceleuref', 'votein']"
743851985590444032,3126212260,positive,other,2016-06-17T17:05:08.000Z,"Please sign and #retweet @ratmiley #CancelEURef #votein #Brexit 
https://t.co/i6JuruYPBg","['brexit', 'canceleuref', 'votein', 'retweet']"
743853185324974080,3126212260,positive,other,2016-06-17T17:09:54.000Z,"Please sign and #retweet @Another_Europe #CancelEURef #votein #Brexit 
https://t.co/i6JuruYPBg","['brexit', 'canceleuref', 'votein', 'retweet']"
739576216441720832,316535085,neutral,remain,2016-06-05T21:54:45.000Z,#votein young people ask about travelling in #eu after #Brexit . It will be the same just as it was before the #eu existed @vote_leave,"['brexit', 'eu', 'votein']"
743309211526823936,504918158,neutral,remain,2016-06-16T05:08:20.000Z,5% der Briten sind heute schon im #EU-Ausland geborgen. Briten sind Europäer! #VoteRemain #VoteIn #Brexit https://t.co/CJKtNBCRUh,"['brexit', 'eu-ausland', 'voteremain', 'votein']"
738718132488015872,731465935308128128,neutral,remain,2016-06-03T13:05:02.000Z,"There are around 507 million citizens living in the EU, about 7% of the world's population. #Brexit #BetterOffIn #VoteIn #EURef","['brexit', 'euref', 'betteroffin', 'votein']"
739511362108416000,1066376958,neutral,remain,2016-06-05T17:37:02.000Z,"2/3 EU just required a unique tax id number and wants to harmonise Corp tax. Schaubles wanted to tax gas. #Brexit #strongerin,#euref #votein","['brexit', 'euref', 'strongerin', 'votein']"
745984929771696128,1637039946,neutral,other,2016-06-23T14:20:41.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr What would you vote? https://t.co/BS6zj8Liz1,"['brexit', 'euref', 'votein']"
746026589108977664,2574807200,neutral,other,2016-06-23T17:06:14.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? https://t.co/pje5oPs3eD,"['brexit', 'euref', 'votein']"
737951081565683712,482248338,negative,remain,2016-06-01T10:17:02.000Z,Why I'm voting Remain. I don't want the racists &amp; bigots to win: #Brexit or International Socialism? https://t.co/oi2BiZTJab #EUref #VoteIn,"['brexit', 'euref', 'votein']"
706766429366964224,533578801,positive,other,2016-03-07T09:00:22.000Z,#Brexit logic. A market of 67 million can negotiate a better trade deal with China than a market of 500 million. #VoteIn #EURef,"['brexit', 'euref', 'votein']"
736517176945967104,721402084877279232,positive,remain,2016-05-28T11:19:13.000Z,#votein - @yanisvaroufakis speaking! What an inspiration this guy is! #EUref #Brexit,"['brexit', 'euref', 'votein']"
738665927475138560,482248338,negative,remain,2016-06-03T09:37:35.000Z,Meet Britain's EU workers: 'It would be difficult to replace us' https://t.co/X8cWqZIGHF #EUref #VoteIn Say No to #Brexit,"['brexit', 'euref', 'votein']"
702844608804491264,533578801,neutral,remain,2016-02-25T13:16:27.000Z,That's the case for #Brexit made then I suppose. #VoteIn #EURef https://t.co/6iVQuGoBv4,"['brexit', 'euref', 'votein']"
736518196275077120,721402084877279232,negative,remain,2016-05-28T11:23:16.000Z,#votein @yanisvaroufakis - Economic forecasts not worth paper they're written on. Leave vote only benefit ruling class. #EUref #Brexit,"['brexit', 'euref', 'votein']"
735453198241173504,1886333310,negative,remain,2016-05-25T12:51:21.000Z,Europe has high youth unemployment - the #VoteIn campaign needs to be more than patronising rubbish #EUref #Brexit https://t.co/o0HiNqbFWR,"['brexit', 'euref', 'votein']"
738267663118524416,19863380,negative,remain,2016-06-02T07:15:01.000Z,I'm not willing to step into the unknown to risk stability for promises without substance. #EUref  #Brexit #voteIN https://t.co/GIPW65R0Ml,"['brexit', 'euref', 'votein']"
742012448937529344,482248338,positive,remain,2016-06-12T15:15:28.000Z,We should vote to stay in the EU and make a positive change says Jeremy Corbyn https://t.co/nHS6qHJ8kU #VoteIn #EUref Say No to #Brexit,"['brexit', 'euref', 'votein']"
742758179742863360,306756011,positive,other,2016-06-14T16:38:44.000Z,#VoteIn with no illusions. Then build a better Europe. https://t.co/FxeZe9hwNp #Brexit #EUref,"['brexit', 'euref', 'votein']"
742605154793455616,482248338,positive,remain,2016-06-14T06:30:40.000Z,"If #Brexit wins, migrants will suffer. Don't vote for it. #VoteIn #EUref","['brexit', 'euref', 'votein']"
725574948723527680,3918992189,neutral,remain,2016-04-28T06:38:42.000Z,"OECD: UK economy in 2020 could be as much as 3% smaller outside the EU #EUref #Brexit #VoteIn @britinfluence 
https://t.co/T9rMnadhnS","['brexit', 'euref', 'votein']"
746036307894353920,536244945,neutral,other,2016-06-23T17:44:51.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote?#ivoted https://t.co/uG0t5ZFTty,"['brexit', 'euref', 'votein']"
745019400340803584,295636665,negative,remain,2016-06-20T22:24:01.000Z,A worrying statistic because it is the over 65's that vote more than the younger generations #Brexit #EUref #votein  https://t.co/YCFiFwsE9J,"['brexit', 'euref', 'votein']"
706909736063668224,533578801,neutral,other,2016-03-07T18:29:49.000Z,Turkeyphobia from the #Brexit camp... Never... #VoteIn #EURef  https://t.co/LpF5c5mwO1,"['brexit', 'euref', 'votein']"
744940769836949504,20800774,positive,remain,2016-06-20T17:11:34.000Z,"That'll be new opportunities for British CAPITAL, at the cost of selling British LABOUR down the river, no doubt. #Brexit #EURef #VoteIn","['brexit', 'euref', 'votein']"
736512440335249408,721402084877279232,negative,remain,2016-05-28T11:00:24.000Z,#votein @OwenJones84 - We're now used to campaigns of fear. Leave campaign promoting prejudice. #EUref #Brexit,"['brexit', 'euref', 'votein']"
746024105414172672,50976602,positive,other,2016-06-23T16:56:21.000Z,"Dear neighbors from the other side of the Channel, please #voteIn. 

We love you.

#Brexit #EUref","['brexit', 'euref', 'votein']"
733932097031770112,731465935308128128,negative,remain,2016-05-21T08:07:02.000Z,"Half of Wandsworth prison are foreigners, majority from EU and many speak no English - BBC. #Brexit #BRemain #VoteIn #EURef","['brexit', 'euref', 'votein', 'bremain']"
746049893408579584,112629632,neutral,other,2016-06-23T18:38:50.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/su3NX1JTxI","['brexit', 'euref', 'votein', 'ivoted']"
745988315514568704,365637941,neutral,other,2016-06-23T14:34:08.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/9pNaVC7eou,"['brexit', 'euref', 'votein', 'ivoted']"
746064102288560128,238582545,neutral,other,2016-06-23T19:35:17.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/mKd2xy3h8s,"['brexit', 'euref', 'votein', 'ivoted']"
745993361761378304,218035705,neutral,other,2016-06-23T14:54:11.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/uuARt6gtoi,"['brexit', 'euref', 'votein', 'ivoted']"
746066800346005504,501170365,neutral,other,2016-06-23T19:46:01.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/GKt03T6vBF","['brexit', 'euref', 'votein', 'ivoted']"
746190316122701824,2951197011,neutral,other,2016-06-24T03:56:49.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/xnNIAELoHl,"['brexit', 'euref', 'votein', 'ivoted']"
746083180915101696,23425855,neutral,other,2016-06-23T20:51:06.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/HeWg0HqAdi","['brexit', 'euref', 'votein', 'ivoted']"
745963817151139840,343738012,neutral,other,2016-06-23T12:56:48.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/E0VB3MYseQ","['brexit', 'euref', 'votein', 'ivoted']"
746039508097961984,1626509629,neutral,other,2016-06-23T17:57:34.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/k0jqDSOVeR,"['brexit', 'euref', 'votein', 'ivoted']"
746002465020125184,2820291393,neutral,other,2016-06-23T15:30:22.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/lIWQxXnCb8,"['brexit', 'euref', 'votein', 'ivoted']"
745977241671241728,1006570788,neutral,other,2016-06-23T13:50:08.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/OrKX11PS6a,"['brexit', 'euref', 'votein', 'ivoted']"
746086866856845312,1864267500,neutral,other,2016-06-23T21:05:45.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/o2hBFr0lZD,"['brexit', 'euref', 'votein', 'ivoted']"
746050905364127744,2277421803,neutral,other,2016-06-23T18:42:51.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/J10MIwHNXB,"['brexit', 'euref', 'votein', 'ivoted']"
746103452124721152,1712046661,neutral,other,2016-06-23T22:11:39.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/16UP3JOUMD,"['brexit', 'euref', 'votein', 'ivoted']"
746000387161853952,406500780,neutral,other,2016-06-23T15:22:06.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/RhSzZmw2UG,"['brexit', 'euref', 'votein', 'ivoted']"
746042892888719360,1464708108,neutral,other,2016-06-23T18:11:01.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/6gKs46xYkW,"['brexit', 'euref', 'votein', 'ivoted']"
746032329919991808,724664636893736960,neutral,other,2016-06-23T17:29:02.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/MUNaA5bVBm","['brexit', 'euref', 'votein', 'ivoted']"
745988381730025472,283952626,neutral,other,2016-06-23T14:34:24.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/HUL14mUFXn,"['brexit', 'euref', 'votein', 'ivoted']"
746084351419482112,2168427097,neutral,other,2016-06-23T20:55:45.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/5X59XnlN6y,"['brexit', 'euref', 'votein', 'ivoted']"
745993271118303232,637165379,neutral,other,2016-06-23T14:53:50.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/iFERZhO2yJ,"['brexit', 'euref', 'votein', 'ivoted']"
745994980540452864,488536812,neutral,other,2016-06-23T15:00:37.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/cSEjKaiGrV,"['brexit', 'euref', 'votein', 'ivoted']"
746038299190525952,288829326,neutral,other,2016-06-23T17:52:45.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/8r7Jhy25sb,"['brexit', 'euref', 'votein', 'ivoted']"
746042674440855552,3972766872,neutral,other,2016-06-23T18:10:09.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/PUzLbf948u,"['brexit', 'euref', 'votein', 'ivoted']"
746341387080187904,2929370374,neutral,other,2016-06-24T13:57:07.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/DUvIf2JaFk","['brexit', 'euref', 'votein', 'ivoted']"
745994307321106432,239881773,neutral,other,2016-06-23T14:57:57.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/mUaJQ3gkuL,"['brexit', 'euref', 'votein', 'ivoted']"
746270779319455744,96611261,neutral,other,2016-06-24T09:16:33.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/iwAJKMam6I","['brexit', 'euref', 'votein', 'ivoted']"
746038445626232832,1234225848,neutral,other,2016-06-23T17:53:20.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/tPxyrUtS6X,"['brexit', 'euref', 'votein', 'ivoted']"
746060218811940864,2766232441,neutral,other,2016-06-23T19:19:51.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/wBJ5bKjTSx,"['brexit', 'euref', 'votein', 'ivoted']"
746092838178398208,816384272,neutral,other,2016-06-23T21:29:29.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/kV2D1e0F5V,"['brexit', 'euref', 'votein', 'ivoted']"
746270349264887808,3439348120,neutral,other,2016-06-24T09:14:50.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/hNEJLEy3Qd","['brexit', 'euref', 'votein', 'ivoted']"
746109896614084608,744250425164054528,neutral,other,2016-06-23T22:37:16.000Z,"I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/xnPeNQLXTP","['brexit', 'euref', 'votein', 'ivoted']"
745991169801322496,3008041863,neutral,other,2016-06-23T14:45:29.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/AYZ1b78Ukt,"['brexit', 'euref', 'votein', 'ivoted']"
746109909956165632,312142720,neutral,other,2016-06-23T22:37:19.000Z,I #VoteIn for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/8SK85YAVhH,"['brexit', 'euref', 'votein', 'ivoted']"
