t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
744851214354026496,24692487,negative,remain,2016-06-20T11:15:42.000Z,"Immigration is the #1 toxic subject of #EURef. Both Remain and Leave are at fault. #VoteRemain #Brexit #bbcdp
https://t.co/jRWfgYyATU","['1', 'brexit', 'bbcdp', 'voteremain', 'euref']"
742487649307463680,218113044,negative,other,2016-06-13T22:43:45.000Z,"The Sun's front page tomorrow reads ""BeLEAVE in Britain"" supporting Brexit. Reason #101927292 to hate that scum of a newspaper. #VoteRemain","['101927292', 'voteremain']"
745188664855060480,239819612,positive,leave,2016-06-21T09:36:37.000Z,A bit late to this: #AAGill's article about Brexit says it all. I agree with every word. https://t.co/jvjbvYjKZ3 #VoteRemain,"[""aagill's"", 'voteremain']"
745401027583606784,842278592,neutral,remain,2016-06-21T23:40:28.000Z,"This is how #Brexit can affect #academia https://t.co/DTg1RRnn3p
#VoteRemain","['academia', 'brexit', 'voteremain']"
745369903440461824,35486970,neutral,remain,2016-06-21T21:36:47.000Z,This speaks for me as well #academics #expats #EUmigrants #brexit #voteremain #VoteIn https://t.co/0hD7NXyjNe,"['academics', 'voteremain', 'votein', 'expats', 'eumigrants', 'brexit']"
745554461523845120,361170911,positive,remain,2016-06-22T09:50:10.000Z,A few of the most memorable #ads from the #voteremain #brexit campaigns https://t.co/HWRvDJkQGx #advertising,"['advertising', 'voteremain', 'brexit', 'ads']"
745235022269947904,148354487,neutral,other,2016-06-21T12:40:49.000Z,#advice to follow #brexit #VoteRemain https://t.co/3PaPxq2kGr,"['advice', 'voteremain', 'brexit']"
742635159376285696,363185278,positive,remain,2016-06-14T08:29:54.000Z,You know somethings up when @TheSun supports #Brexit #alarmbells 🚨 #VoteRemain https://t.co/5CiXunHQ1Q,"['alarmbells', 'brexit', 'voteremain']"
741670640223199232,502100934,positive,remain,2016-06-11T16:37:14.000Z,"Italians don't do under 40KPH. I agree completely. #voteremain#brexit

#also#wtfitsa#lambo… https://t.co/H8oBaMFLH2 https://t.co/dNcAMw9JEv","['also', 'lambo…', 'voteremain', 'wtfitsa', 'brexit']"
745890605910327296,558535442,neutral,other,2016-06-23T08:05:53.000Z,"Showtime! 
Life is beautiful.
Always.
""Think outside the flag""
Any flag. Oiled that.
#Brexit #VoteRemain #nowin #art https://t.co/qd2hBMluyL","['art', 'brexit', 'voteremain', 'nowin']"
