t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
958848628965199872,784508396,negative,leave,2018-01-31T23:45:02.000Z,"@BBCNewsnight @PeterBoneUK This guy talking about project fear, he is a Brexit nut case, he will be the last man standing and Bojo that depends on a plan to get him the #10 keys. The Remainers could get working on him to change sides for their votes he might take the bait for that deal.  #WATON","['10', 'waton']"
970588247201140736,288694594,positive,remain,2018-03-05T09:14:05.000Z,"#BreakingNews, burgeoning interest in #nosesurgery 4 #UK. Unprecedented demand anticipated 4 nasal restoration surgery in #2019. #17million operations expected. #Brexit. Impossible 4 #NHS to do this. Fortunately, capacity &amp; competence exists in #EU. #brexitshambles #FBPE #WATON","['17million', 'fbpe', 'brexit', 'breakingnews', '2019', 'eu', 'brexitshambles', 'waton', 'nosesurgery', 'nhs', 'uk']"
953158020284010496,865269438542696320,neutral,other,2018-01-16T06:52:35.000Z,@verokins But bring on the vote.  #2ndref #BrexitShambles #Brexit #WeAreTheOppositionNow #WATON,"['2ndref', 'wearetheoppositionnow', 'brexit', 'waton', 'brexitshambles']"
961511616025169920,1932207270,positive,remain,2018-02-08T08:06:47.000Z,"Yum! Yet more good #Brexit news, and just another to #Remain  #WATON #2ndReferendum #ABTV https://t.co/Q9vuIvCshs","['2ndreferendum', 'brexit', 'remain', 'waton', 'abtv']"
962996119583313920,331084681,negative,other,2018-02-12T10:25:41.000Z,"Team #Brexit

➡️ Started mess with #EURef
➡️ Trigger #A50 way too early
➡️ Have no realistic plan
➡️ Screw up negotiations
➡️ Alienate our neighbours
➡️ Call any oppo traitors/saboteurs/enemies

And we are the bullies...
Impeccable #Brexiter logic

#WATON
#StopBrexit","['a50', 'brexit', 'euref', 'waton', 'stopbrexit', 'brexiter']"
978904601331200000,106114862,positive,leave,2018-03-28T08:00:18.000Z,"Sounding more Red Top by the day @BBCNews @bbconline

#StopBrexitSaveBritain 
#waton
#A50Challenge 
#FinalSayForAll

Why is Brexit taking sooo long? - https://t.co/7kLMvz9YIp","['a50challenge', 'finalsayforall', 'stopbrexitsavebritain', 'waton']"
987974122683674624,228686553,negative,other,2018-04-22T08:39:21.000Z,@jeremycorbyn @hackneyabbott @emilythornberry @johnmcdonnel this is brexit. @uklabour leadership tried to force PLP to vote for A50 w/o ANY protections for fellow #EUCitizens. #Windrush &amp; brexit are on the same page &amp; UK citizens in other EU states abandoned by you. #WATON #ABTV https://t.co/fX8zTWQ4V0,"['abtv', 'eucitizens', 'windrush', 'waton']"
953984672886870016,792782917638455296,positive,other,2018-01-18T13:37:24.000Z,"A guide to #FBPE. @mikegalsworthy says for Leavers using it as “Full Brexit, Prompt Exit “we encourage people to welcome them, and thank them for flagging up #FBPE politely.”

Also: #WATON = we are the Opposition now.
#ABTV= anti Brexit tactical vote

https://t.co/zvSYOEoiZU","['abtv', 'fbpe', 'fbpe', 'waton']"
975270859056263168,3233925233,neutral,other,2018-03-18T07:21:07.000Z,"Local elections 3 May evryone. Register. Vote. Don't vote Brexit.

#abtv #waton #fbpe  #marr #peston https://t.co/76iz4I8CwZ","['abtv', 'fbpe', 'marr', 'waton', 'peston']"
990194336309694464,62563458,negative,remain,2018-04-28T11:41:41.000Z,"How can any democrat - or any party or political persuasion disagree with this, unless, of course, their sole aim was a destructive #Brexit at any cost, the death of democracy and the establishment of an island dictatorship? @10DowningStreet @uklabour #waton #ofoc #fbpe #abtv https://t.co/oPPjwwUK8f","['abtv', 'fbpe', 'ofoc', 'brexit', 'waton']"
