t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
733204299770134528,731465935308128128,neutral,other,2016-05-19T07:55:01.000Z,"Over 3 Million EU citizens are currently living in the UK, all can remain after a Brexit. #BetterOffOut #YesToEU #BetterOffIn #EUReferendum","['betteroffout', 'yestoeu', 'betteroffin', 'eureferendum']"
741301153019924480,731465935308128128,neutral,other,2016-06-10T16:09:02.000Z,"The EU and the Single Market are not the same thing. The EU has 28 members, the Single Market has 31. #Brexit #YesToEU #EURef","['brexit', 'euref', 'yestoeu']"
735840169081856000,731465935308128128,neutral,leave,2016-05-26T14:29:02.000Z,Last year 80% of new job vacancies were filled by people born abroad. #Brexit #YesToEU #BetterOffIn #EURef,"['brexit', 'euref', 'yestoeu', 'betteroffin']"
740177750204485632,731465935308128128,negative,remain,2016-06-07T13:45:02.000Z,Corrupt EU staff are immune from prosecution. #Brexit #BetterOffIn #YesToEU #EURef,"['brexit', 'euref', 'yestoeu', 'betteroffin']"
739361370349686784,731465935308128128,neutral,other,2016-06-05T07:41:02.000Z,"The UK has led the way in curbing CO2 emissions, not the European Union. #Brexit #BRemain #YesToEU #EURef","['brexit', 'euref', 'yestoeu', 'bremain']"
734480711537860608,731465935308128128,negative,other,2016-05-22T20:27:02.000Z,"Health, Schools and Housing are all under severe and increasing pressure from mass EU immigration. #Brexit #YesToEU #StrongerIn #EURef","['brexit', 'strongerin', 'yestoeu', 'euref']"
744585796657766400,731465935308128128,positive,leave,2016-06-19T17:41:02.000Z,Mass EU immigration causes low wages and will rise after UK exit. #Brexit #YesToEU #StrongerIn #EUReferendum,"['brexit', 'strongerin', 'yestoeu', 'eureferendum']"
697055588962934784,52365318,positive,remain,2016-02-09T13:52:57.000Z,To avoid #Brexit the #YesToEU campaign needs to quickly come up with positive reasons to stay https://t.co/B0MRzZLPTA,"['brexit', 'yestoeu']"
683771941161963520,274405751,positive,leave,2016-01-03T22:08:29.000Z,"Thriller ""United States of Europe""-  only £1.99! https://t.co/HZeq796o8Y #books #ukineu #Eu #yestoeu #euro #kindle #euref #amazon #brexit","['euref', 'amazon', 'euro', 'ukineu', 'eu', 'kindle', 'books', 'brexit', 'yestoeu']"
684134409260273664,274405751,positive,leave,2016-01-04T22:08:48.000Z,"Thriller ""United States of Europe""-  only £1.99! https://t.co/HZeq78OMKo #books #ukineu #Eu #yestoeu #euro #kindle #euref #amazon #brexit","['euref', 'amazon', 'euro', 'ukineu', 'eu', 'kindle', 'books', 'brexit', 'yestoeu']"
