,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
134888,701405170836574208,31127192,positive,other,2016-02-21T13:56:38.000Z,Why the #EUReferendum matters to you &amp; your family https://t.co/oY2r1DWzGn #brexit #YestoEurope,"['eureferendum', 'yestoeurope', 'brexit']"
789997,735784933483028480,727593506005499904,neutral,other,2016-05-26T10:49:33.000Z,Poster by Eva Rothschild. #Europe #eureferendum #yestoeurope #brexit by hattiecrisell https://t.co/eeNkNYjVMN https://t.co/NkL7KrhnaL,"['europe', 'yestoeurope', 'eureferendum', 'brexit']"
1402507,745330111172481024,895523046,negative,other,2016-06-21T18:58:40.000Z,"#yestoeurope Cost to NHS from obesity  2015 £12bn, migrants &lt; £1bn yet don't see #brexit blocking borders from influx of foreign chocolate.","['yestoeurope', 'brexit']"
563767,724760200083832832,724753970422534144,neutral,other,2016-04-26T00:41:11.000Z,Biggest Decision Of Our Generation - Lets Take Control! #Brexit #SaytoStay #WhatWouldBeyonceDo #YOUNGFOREVER #VoteYES #yestoeurope,"['yestoeurope', 'saytostay', 'voteyes', 'youngforever', 'whatwouldbeyoncedo', 'brexit']"
2224973,772399900558581760,274478080,positive,other,2016-09-04T11:44:21.000Z,03.09.16 March For Europe #Peace #StrongerIn #EUref #RemainINEU #Brexit #EUreferendum #YesToEurope #DevidedWeFall https://t.co/KaVhrzcGEV,"['devidedwefall', 'strongerin', 'yestoeurope', 'euref', 'eureferendum', 'brexit', 'remainineu', 'peace']"
907986,845943379603197952,480671308,positive,leave,2017-03-26T10:19:53.000Z,Saw this at a #CivicSociety exhibition yesterday...! #YesToEurope 1971 #brexit We really shouldn't leave..! 🇪🇺 https://t.co/qD131rK4Eh,"['civicsociety', 'yestoeurope', 'brexit']"
4311260,1044752676553191424,713376732598939648,positive,leave,2018-09-26T00:57:03.000Z,"... It also reminded me of what I wrote on FB about tackling #Terrorism back in March 2016 in regards to the #Brussels attack: https://t.co/TLxYVNPvr2 #YesToUnity #YesToEurope #Europe #brexit @mrjamesob @LBC 
PS: Great job you're doing there, James!","['yestounity', 'europe', 'brussels', 'brexit', 'yestoeurope', 'terrorism']"
4311261,1044752676553191424,713376732598939648,positive,leave,2018-09-26T00:57:03.000Z,"... It also reminded me of what I wrote on FB about tackling #Terrorism back in March 2016 in regards to the #Brussels attack: https://t.co/TLxYVNPvr2 #YesToUnity #YesToEurope #Europe #brexit @mrjamesob @LBC 
PS: Great job you're doing there, James!","['yestounity', 'europe', 'brussels', 'brexit', 'yestoeurope', 'terrorism']"
2338485,1071904443891900416,296211879,positive,leave,2018-12-09T23:08:29.000Z,Thug tries to set fire to an #EUflag but finds it won't oblige. Thanks to EU safety laws. #ThanksEU #YestoEurope #IamEuropean #Brexit https://t.co/Qt21Krycch,"['euflag', 'yestoeurope', 'iameuropean', 'thankseu', 'brexit']"
579094,1056153184803135488,794616080924835840,neutral,remain,2018-10-27T11:58:36.000Z,"🕕 Présents ce matin pour le colloque de l'ALDE avec Madame la députée @npouzyreff78 🇨🇵 pour défendre une Europe progressiste !  #YesToEurope 💪🇪🇺

Le programme :
➡️ Défense 
➡️ Sécurité
➡️ Brexit https://t.co/a3VmyaSj8v",['yestoeurope']
579093,1056153184803135488,794616080924835840,neutral,remain,2018-10-27T11:58:36.000Z,"🕕 Présents ce matin pour le colloque de l'ALDE avec Madame la députée @npouzyreff78 🇨🇵 pour défendre une Europe progressiste !  #YesToEurope 💪🇪🇺

Le programme :
➡️ Défense 
➡️ Sécurité
➡️ Brexit https://t.co/a3VmyaSj8v",['yestoeurope']
2977737,1081234630550999040,20844608,positive,remain,2019-01-04T17:03:18.000Z,"See you soon 🇬🇧...next time probably after the #brexit, but I hope you #remain how you‘ve been.
#nobrexit #yestoeurope 🇪🇺❤️🇬🇧 @ Heathrow Terminal 5 https://t.co/YaWywHnpue","['yestoeurope', 'brexit', 'nobrexit', 'remain']"
1787703,1131144770733137920,1301100498,positive,leave,2019-05-22T10:28:23.000Z,@diana4hereford @ThatTimWalker @brexit_sham @LibDems @GreenJeanMEP Thank you. You can trust @TheGreenParty we are honest: first to stand against #austerity and look at the work @MollyMEP has done for #taxjustice #badboysofBrexit #digitaltax You do not have to settle for second best #VoteGreen2019 #YesToEurope #NoToClimateChange #GreenWave,"['austerity', 'votegreen2019', 'badboysofbrexit', 'greenwave', 'yestoeurope', 'notoclimatechange', 'taxjustice', 'digitaltax']"
1566184,1127865523675385856,746833826014437376,positive,other,2019-05-13T09:17:50.000Z,"Today @TheGreenParty MP &amp; inspirational campaigner against #Brexit @CarolineLucas will be in Cambridge for an #EUelections2019 rally! 

Whichever party you plan to vote for, grab an EU flag and get to Market Square at 1 pm

https://t.co/QtG9yJHzU4

#YestoEurope #NotoClimateChange","['brexit', 'notoclimatechange', 'yestoeurope', 'euelections2019']"
1220217,1121398284097130496,1091010470755139584,positive,leave,2019-04-25T12:59:20.000Z,"The Greens are the leading pro-Remain party in the East as well, and will get stronger every time the Brexit alliance visits Clacton.

#VoteGreen
#ForNowForTheFuture
#YesToEurope
#NoToClimateChange https://t.co/07Noo2U0lv","['notoclimatechange', 'votegreen', 'fornowforthefuture', 'yestoeurope']"
1261265,1155624594386161664,794906337146707840,negative,other,2019-07-28T23:42:28.000Z,"Please tell me again how #Boris is going to bring about a 'new, golden age', when it was precisely the Tories' cruel austerity policy, and NOT the EU, that brought about the highest level of child poverty in decades and #Brexit draining resources 🤷‍♀️🤦‍♀️

#austerity
#YesToEurope https://t.co/qK78pQRKE0","['austerity', 'brexit', 'yestoeurope', 'boris']"
1481306,1158952944798224384,5858962,positive,other,2019-08-07T04:08:09.000Z,@Conservatives @BorisJohnson Here’s the reality post Brexit seen from a Canadian perspective; Read this article &amp; then you may well think what are we doing? We have a great trade deal with Canada right now - one we helped negotiate too! Je suis European  #BollocksToBrexiit #RemainAlliance #YestoEurope https://t.co/Clznmca6JH,"['bollockstobrexiit', 'yestoeurope', 'remainalliance']"
1130297,1153746191647219712,5858962,neutral,remain,2019-07-23T19:18:22.000Z,@guyverhofstadt Oh the irony of the UK wanting a EU Naval Force! It betrays the hollow lie at the heart of Brexit - that the UK can isolate itself &amp; succeed. All EU nations are stronger together. Je suis European #BrexitKillstheNHS #BollocksToBrexit #MarchForChange #YestoEurope https://t.co/oXwotWE5AI,"['bollockstobrexit', 'brexitkillsthenhs', 'marchforchange', 'yestoeurope']"
1059370,1152643945874251776,5858962,neutral,remain,2019-07-20T18:18:26.000Z,@toryboypierce @BorisJohnson In fact it will be Boris Johnson &amp; any MP’s that back no deal Brexit that the country will not forgive. MP’s must think very carefully in the coming weeks &amp; put country before party. Je suis European #BrexitKillstheNHS #BollocksToBrexit #MarchForChange #YestoEurope https://t.co/e6TYwi9NsI,"['bollockstobrexit', 'brexitkillsthenhs', 'marchforchange', 'yestoeurope']"
1129407,1153737697791479808,5858962,positive,other,2019-07-23T18:44:37.000Z,@liamyoung Voted Labour for over 40 years... but I’m not voting for Labour again until they have clearly pro EU/Remain position re Brexit and start campaigning clearly for Remain. Je suis European #BrexitKillstheNHS #BollocksToBrexit #MarchForChange #YestoEurope https://t.co/qyMrtwmMYx,"['bollockstobrexit', 'brexitkillsthenhs', 'marchforchange', 'yestoeurope']"
1230785,1155133244783902720,5858962,negative,other,2019-07-27T15:10:01.000Z,@JoJohnsonUK So as someone who should know better why are you standing by enabling Brexit to decimate our thriving Uni based science &amp; research sector? There is simply no logic to your position. Act now to stop this madness. Je suis European #BrexitKillstheNHS #BollocksToBrexit #YestoEurope https://t.co/Enh2CpHh8G,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope']"
1314299,1156310738836840448,5858962,neutral,remain,2019-07-30T21:08:58.000Z,@jeremycorbyn But Labour would face all the same problems in reality. You personally have sat on your hands and clearly want Brexit. Unless Labour joins other Remain parties with enthusiasm you offer nothing. Je suis European #BrexitKillstheNHS #BollocksToBrexit #RemainAlliance #YestoEurope https://t.co/hgaOW9k5ZE,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope', 'remainalliance']"
1554119,1159961949402259456,5858962,neutral,leave,2019-08-09T22:57:34.000Z,@bbc5live @Ian_Politic @Emmabarnett @zatzi Underwhelmed by another Rees-Mogg. All the Brexit Party MEP’s are simply skivers who are taking our money &amp; doing bugger all. We need to make our voices heard at the centre of Europe. Je suis European #BrexitKillstheNHS #BollocksToBrexit #RemainAlliance #YestoEurope https://t.co/pV6FZq5LJ9,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope', 'remainalliance']"
1436048,1158108371482025984,5858962,positive,remain,2019-08-04T20:12:07.000Z,@JamesCleverly My priorities are like millions of others - stopping Brexit. Je suis European #BrexitKillstheNHS #BollocksToBrexit #RemainAlliance #YestoEurope https://t.co/jlPeyvCPZl,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope', 'remainalliance']"
1548957,1159888133984534528,5858962,neutral,other,2019-08-09T18:04:15.000Z,@JamesCleverly But scientists from the EU are the highest source of scientific expertise to the UK. But thats just a ‘detail’ to a Brexit fanatic. You Tories will not be forgiven for Brexit. Je suis European #BrexitKillstheNHS #BollocksToBrexit #RemainAlliance #YestoEurope https://t.co/PfnerEBone,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope', 'remainalliance']"
1260499,1155606186684833792,5858962,positive,remain,2019-07-28T22:29:19.000Z,@UKLabourRadlett We need to stop Brexit first. Every assessment says that any Brexit will mean nothing on your list will be fundable. We’re stronger together - Je suis European #BrexitKillstheNHS #BollocksToBrexit #RemainAlliance #YestoEurope https://t.co/GBjR7BsHa0,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope', 'remainalliance']"
1745500,1163010078796066816,5858962,neutral,other,2019-08-18T08:49:45.000Z,@SteveBarclay Your legislation can simply be repealed and it will be consigned to the bin of history. But you &amp; other Brexit fanatics will be held to account by the country for your actions. Je suis European #BrexitKillstheNHS #BollocksToBrexit #RemainAlliance #YestoEurope https://t.co/mkyk9mm6GS,"['bollockstobrexit', 'brexitkillsthenhs', 'yestoeurope', 'remainalliance']"
