t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
826833152240922624,150357611,neutral,other,2017-02-01T16:42:39.000Z,"We can't afford #Brexit. Let's stay in EU. Years of #Toryausterity &amp; now they're blowing OUR money on leaving EU! @Open_Britain 
#BinBrexit https://t.co/S7glzBrZpR",['binbrexit']
828530459411881984,150357611,negative,other,2017-02-06T09:07:09.000Z,"#RepresentUs #48% #BinBrexit
British firms suffer Brexit impact as German factory orders soar – business live

https://t.co/hzNZsXv7vo",['binbrexit']
832220244076851200,747901327536172928,positive,leave,2017-02-16T13:29:02.000Z,"Strong EU needed now more than ever
Our #Brexit actions could weaken it
Time to #BinBrexit
#BetterTogether https://t.co/A5k7QpglF4",['binbrexit']
834177463475376128,150357611,neutral,remain,2017-02-21T23:06:20.000Z,"So #Brexit vote was based on lies, who'd have thought.
#binBrexit #StopBrexit https://t.co/O9obTWsYEj",['binbrexit']
845611973987487744,146389820,negative,other,2017-03-25T12:22:59.000Z,No Entry #Brexit #BinBrexit #LoveEU https://t.co/Kg7Ru46RUO,['binbrexit']
854385954949345280,18426037,neutral,other,2017-04-18T17:27:40.000Z,@ClareEAdamson24 @simonpottery73 @jeremycorbyn 2/2  The b****** UK Gov diemfranchised 2m Brit ex-pats (source J corbyn) .If we had the #BinBrexit vote there would not have been a #brexit.,['binbrexit']
874657524523335680,181245414,neutral,other,2017-06-13T15:59:38.000Z,"If #Corbyn wants Brexit, Remainers won't want Corbyn. Period. #Labour need to face reality and act in the national interest. #BinBrexit",['binbrexit']
874668854705782784,181245414,neutral,other,2017-06-13T16:44:40.000Z,Oh #BinBrexit! Bin Brexit forever! @acgrayling @JolyonMaugham @DerSPIEGEL #channel4news,['binbrexit']
875291345878999040,1261834494,neutral,other,2017-06-15T09:58:13.000Z,#BinBrexit .....&amp; don't be a litterbug. All of David Davis' 100 pages of Brexit stuff shld go in the bin ! https://t.co/HiBhK4Xs5i,['binbrexit']
875434202438799360,150357611,negative,other,2017-06-15T19:25:53.000Z,"@Open_Britain Come on @Open_Britain stop saying soft Brexit and start saying NO Brexit.
#BrexitExit #BinBrexit",['binbrexit']
875609497502228480,181245414,negative,other,2017-06-16T07:02:26.000Z,#Corbyn must stop following Tory agenda on Brexit #BinBrexit @DanJarvisMP @johnmcdonnellMP @acgrayling @campbellclaret https://t.co/dWFyLnOpAz,['binbrexit']
875718781972164608,181245414,neutral,other,2017-06-16T14:16:42.000Z,"While the EU economy is taking off, ours is being shafted by the effects of Brexit - and it hasn't happened yet! #BinBrexit https://t.co/M8l30W9XRk",['binbrexit']
875719275012608000,181245414,negative,other,2017-06-16T14:18:39.000Z,"Cuts, cuts, and more cuts and yet we have billions to waste on Brexit which is a suicide pill! #BinBrexit https://t.co/cULavwfswV",['binbrexit']
875784460943466496,181245414,negative,leave,2017-06-16T18:37:41.000Z,For heaven's sake bin Brexit NOW! Billions on a project that has no purpose. STOP IT! #BinBrexit,['binbrexit']
875959510279614464,181245414,negative,other,2017-06-17T06:13:16.000Z,To continue with #Brexit is just not acceptable. It has no benefit and May has no mandate #BinBrexit,['binbrexit']
875992627497373696,181245414,negative,other,2017-06-17T08:24:52.000Z,"After seven years of austerity, spending billions on Brexit is an obscenity! #BinBrexit @acgrayling @JolyonMaugham @jonsnowC4 @mrjamesob https://t.co/c0qjmg86VY",['binbrexit']
876048541294219264,766212378,positive,other,2017-06-17T12:07:03.000Z,So we're going into Brexit led by a PM no-one has confidence in with no coherent strategy. Let's get our own house in order and #binbrexit,['binbrexit']
876725286196445184,181245414,neutral,remain,2017-06-19T08:56:11.000Z,All aboard for Brexit poverty! Dumbo Davis is shafting you today. #BinBrexit @acgrayling @campbellclaret @JolyonMaugham @jonsnowC4 https://t.co/9fKiKDs3Yc,['binbrexit']
876729049493667840,181245414,positive,other,2017-06-19T09:11:08.000Z,"Now here's brilliant scenario...May stands up and says Brexit is lunacy and then resigns. Woo hoo, wouldn't that be fun! #BinBrexit",['binbrexit']
876783997078122496,1413476486,neutral,other,2017-06-19T12:49:29.000Z,The wheels are starting to come off Tory/UKIP #brexit bandwagon. #stopbexit #binbrexit https://t.co/zvfgsCXGit,['binbrexit']
877160062220984320,219308335,negative,remain,2017-06-20T13:43:50.000Z,Who called for the #Brexit vote? Cameron. Where is he now? Gone.  So why are we left with this bloody awful mess?! How about we #BinBrexit,['binbrexit']
877464790595235840,330902892,neutral,leave,2017-06-21T09:54:43.000Z,What a total waste - and expense. We are NOT BEING TOLD the true cost of this Brexit FARCE! #BinBrexit https://t.co/nXfDFUtVS4,['binbrexit']
877556094540931072,181245414,positive,other,2017-06-21T15:57:31.000Z,Just renewing my European Health Insurance Card - another thing that'll disappear with Brexit. Insurance coys will like that! #BinBrexit,['binbrexit']
877556606317330432,181245414,negative,remain,2017-06-21T15:59:33.000Z,"How many Brexiteers have not sussed that they're poorer already because of Brexit? Ok, we'll have to wait for the slow ones! #BinBrexit",['binbrexit']
