t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1132986687213264896,752259263632990208,positive,other,2019-05-27T12:27:30.000Z,Amazing night! Thank you everyone for your support! We are one step closer to stopping Brexit. #BollocksToBrexit https://t.co/FNLJRZjAdC,['bollockstobrexit']
1132991328529342464,801861322690412544,negative,remain,2019-05-27T12:45:57.000Z,@brexitparty_uk Well done @Nigel_Farage for taking second place to #Remain parties - Brexit is now slowly dying as your lies are exposed #BollocksToBrexit #StopBrexit,['bollockstobrexit']
1132992279373930496,286332390,positive,remain,2019-05-27T12:49:44.000Z,"@theresa_may @Conservatives The electorate says:  Remain beat Brexit

Thanks for your input, now: #RemoveArticle50

#PeoplesVote
#BollocksToBrexit https://t.co/ABVJwIU23R",['bollockstobrexit']
1132993051692032000,1822726884,neutral,remain,2019-05-27T12:52:48.000Z,"You’d be forgiven for thinking, Corbyn, Milne, Murray &amp; McClusky will do almost anything to avoid opposing #Brexit 
No wonder so many Labour members &amp; supporters are switching to @LibDems &amp; the clear messages of #StopBrexit &amp; #BollocksToBrexit https://t.co/aAEPAluKLO",['bollockstobrexit']
1132996435975299072,488646620,negative,remain,2019-05-27T13:06:15.000Z,"@remain_central @BBCNews The fucking beeb, every pissing bulletin they are saying that brexit party won, they DIDNT, remain parties had more votes, let's get rid of this bastion of crap, #bollockstothebbc #BollockstoBrexit #StopBrexit",['bollockstobrexit']
1133008876708798464,19766866,negative,remain,2019-05-27T13:55:41.000Z,Brexiteers trying to explain away the combined majority for #antiBrexit parties with ‘they stood on other issues’ is not an argument it just shows that the Brexit party are one trick ponies and as we’ll be out of the EU soon they will soon be obsolete. #brexit #BollocksToBrexit,['bollockstobrexit']
1133009138223583232,984272867645734656,negative,other,2019-05-27T13:56:43.000Z,@vincecable @LibDems Well done! Stop brexit #bollockstobrexit,['bollockstobrexit']
1133026202334224384,170687597,negative,leave,2019-05-27T15:04:31.000Z,"Hey, @uklabour. 

It wasn't that your message wasn't clear. Corbyn got across that he wants lexit just fine.

The problem was the message content, not the delivery.

Let *me* be clear: No form of brexit is acceptable to us.

#RevokeA50
#BollocksToBrexit
#CorbynOut https://t.co/KP1d7hcOZR",['bollockstobrexit']
1133049301557497856,74575330,negative,other,2019-05-27T16:36:19.000Z,@andrealeadsom Or the damage the @Conservatives have caused by having this whole unnecessary Brexit debate and being oblivious to the real issues which caused the referendum backlash #bollockstobrexit,['bollockstobrexit']
1133056868815986688,23294336,positive,leave,2019-05-27T17:06:23.000Z,Congratulations to @LibDems . I voted for you early 2000s when you sought to legalise same sex marriage. Only time I've ever not voted @UKLabour . You had my vote again for the second only time and will continue to do so. #BollockstoBrexit #Brexit,['bollockstobrexit']
1133078942221516800,890665158489538560,negative,leave,2019-05-27T18:34:06.000Z,"So if the EU election was a “second referendum” as Nigel Farage would have us believe, well his party failed. The Brexit vote has gone from 52% down to 32% 🤷🏻‍♀️ #bollockstobrexit",['bollockstobrexit']
1133087127401652224,286332390,positive,other,2019-05-27T19:06:37.000Z,"Selling this book must be difficult considering that it states:

“Brexit will happen on 29th March 2019”

When are you going to start being honest with the electorate?

#BollocksToBrexit https://t.co/8mLp2UCcwD",['bollockstobrexit']
1133118283752857600,19912884,negative,remain,2019-05-27T21:10:25.000Z,"What would a Brexit Party Brexit look like?
..... seems there is no such thing as just leaving
#bollockstobrexit https://t.co/xHdy6SBshu",['bollockstobrexit']
1133120879137775616,386630251,positive,other,2019-05-27T21:20:44.000Z,"Impossible to trust a word of what most Tory and many Labour ‘leaders’ say from one day to the next on #Brexit.
Just chose a clear policy - #BollocksToBrexit is quite a good one - and stick to it. https://t.co/8GYlSg98H9",['bollockstobrexit']
1133121920243834880,5858962,neutral,remain,2019-05-27T21:24:52.000Z,@theresa_may @Conservatives The EU Elections show that Remain not Brexit is what Parliament should be focused on. Any party that ignores that new reality should be prepared to be punished by voters. Je suis European #PeoplesVote #BollocksToBrexit #EUelections2019 https://t.co/AMjLxQIJhp,['bollockstobrexit']
1133253850536796160,786428636639395840,positive,remain,2019-05-28T06:09:07.000Z,@Doozy_45 Ha bloody ha! Just the brexit party to go! @libdems #bollockstobrexit #RevokeA50 #stopbrexit,['bollockstobrexit']
1133274052502654976,310162682,neutral,remain,2019-05-28T07:29:23.000Z,"Petition: Undertake an independent enquiry into the role of Russia in Brexit. https://t.co/BjW4Kax31Q
#brexit #StopBrexit #BollocksToBrexit #FBPE",['bollockstobrexit']
1133274264591847424,435839036,negative,remain,2019-05-28T07:30:14.000Z,@BrexitBin I’m voting for a party that has an unequivocal message about U.K. position in EU &amp; a clear message on Brexit. Fuck off Corbyn &amp; Labour #BollocksToBrexit #LibDem,['bollockstobrexit']
1133291247844712448,372968292,positive,other,2019-05-28T08:37:43.000Z,"Many voters say they weren’t clear where the Lib Dems stand on Brexit.

Three marches, countless leaflets and #BollocksToBrexit campaign slogan.

Were we just being too subtle? https://t.co/vdxnjiqTqg",['bollockstobrexit']
1133310537369116672,82741811,negative,remain,2019-05-28T09:54:22.000Z,@Nigel_Farage says he has a team of expert negotiators standing by to negotiate No Deal Brexit. Like most of his bullshit I don't think he has thought that through. Sounds good to his moron followers though #BollocksToBrexit #RevokeArticle50 #PeoplesVote,['bollockstobrexit']
1133350064494186496,1242631568,neutral,remain,2019-05-28T12:31:26.000Z,"‘Final say’ means choose a Brexit 
I say 
#BollocksToBrexit
#BollocksToTheCausesOfBrexit
#StopCorbynSaveLabour
#CorbynOut
#StopBrexitSaveBritain 
@POCX100 https://t.co/8WrOJdJ6Yv",['bollockstobrexit']
1133365925451915264,5858962,negative,remain,2019-05-28T13:34:28.000Z,@sajidjavid @Conservatives @TeamSaj What utter nonsense. In the EU2019 Election Anti-Brexit parties received over 40% of the votes. Listen to the people on Europe. Je suis European #Remain #BollocksToBrexit #EUelections2019 https://t.co/usY4YrZs32,['bollockstobrexit']
1133368167647076352,755356922753249280,negative,remain,2019-05-28T13:43:22.000Z,"@mikegalsworthy ... because it’s become Brexit Company, oh sorry Party #BollocksToBrexit",['bollockstobrexit']
1133387451643285504,792782917638455296,positive,other,2019-05-28T15:00:00.000Z,"GIBRALTAR: Votes Lib Dem in EU election, but Brexit Party tops regional poll ..
https://t.co/NdQp8Kww2j

Widdecombe is one of their MEP's ....

#RevokeRemainRebuild 
#bollockstobrexit https://t.co/doeDJbv2qU",['bollockstobrexit']
1133407835780526080,21666641,positive,other,2019-05-28T16:21:00.000Z,"The message couldn’t be clearer! With the majority voting for remain parties, #Brexit is no longer the will of the people.

The only plausible route now is a #PeoplesVote to determine the true will of the people.

Only then can we begin re-uniting our country. 

#BollockstoBrexit",['bollockstobrexit']
1133439975079456768,55230834,negative,remain,2019-05-28T18:28:43.000Z,"Pro Remain Parties: 40.4%
Pro Brexit Parties: 34.9%
UK EU Election Result
The Voice Of The People

#StopBrexit #remain #ukpolitics   #RevokeArticle50 #BollocksToBrexit #Brexit #leave #peoplesvote #RevokeA50 https://t.co/xEm34cfY4A",['bollockstobrexit']
1133449566127370240,15374525,negative,remain,2019-05-28T19:06:49.000Z,"Brexit is so bad (and wrong), that not even this wing fin can make you feel patriotic about being British 

#bollockstobrexit https://t.co/Xhj2HSXIWo",['bollockstobrexit']
1133464546209914880,846169904,neutral,leave,2019-05-28T20:06:21.000Z,Also known as a company begging for you to donate them money over which use you have no control and no guarantee of any service. #laughing all the way to the bank. #Brexit #BollocksToBrexit is this really legal??? https://t.co/o1nIJAsJVF,['bollockstobrexit']
1133504614702166016,367693978,neutral,remain,2019-05-28T22:45:34.000Z,"The British people should get the final say on the Brexit deal, with the option to remain in the EU. Agree? #BollockstoBrexit #PeoplesVote #LibDems #LibDemSurge #FinalSay #BrexitChaos Add your name: https://t.co/BRIroFWt5U",['bollockstobrexit']
1133505766336421888,55230834,neutral,remain,2019-05-28T22:50:08.000Z,"@LeaveEUOfficial @Nigel_Farage As American health insurance companies circle over the starved of resources body of the NHS which Farage will be only too happy (for a bung to him &amp; Arron Banks) to let them shred.
#StopBrexit #remain #BollocksToBrexit #brexit #leave #PeoplesVote #RevokeArticle50 #RevokeA50",['bollockstobrexit']
1133612398026395648,2707504355,negative,leave,2019-05-29T05:53:51.000Z,"@lisanandy From my viewpoint in West Yorkshire, I agree with him. 
You're lying to your constituents to keep your seat. Tell them the truth about what Brexit will do to them. They won't thank you if they find out the hard way.
#bollockstobrexit",['bollockstobrexit']
1133623149122203648,488646620,negative,leave,2019-05-29T06:36:35.000Z,@gingermarauder @captainsuth All the brown people that deceitful brown leaders have told to vote brexit. #BollockstoBrexit,['bollockstobrexit']
1133624294590865408,25664112,positive,remain,2019-05-29T06:41:08.000Z,"@itsgointitsup @MattGarrahan @SebastianEPayne To which promised #brexit holy grail are you referring?

The extra NHS £350M per mth, the easiest trade deals ever, the sunlit uplands of brexit, taking back control, more jobs, more investment, more security?

News flash: it was all bollocks from the outset.

#BollocksToBrexit",['bollockstobrexit']
1133625227592773632,1038345808603750400,negative,remain,2019-05-29T06:44:50.000Z,"Do look what happens when the Brexit 'Party' is asked for real factual answers ... word soup, in any language!
Our national embarrassment made manifest. 
Remember when we avoided the shame of 'Boaty McBoatface'?
Who will save us now?
#RevokeA50
#BollocksToBrexit https://t.co/2pSDIjNEPe",['bollockstobrexit']
1133637346354708480,303910165,negative,remain,2019-05-29T07:32:59.000Z,@1973andallthat My main difficulty is that’s it’s an issue of such gravity for people’s jobs. There is no cost-free Brexit. And it all came out of a Tory referendum. #bollockstoBrexit is a nuanced expression of how I feel!,['bollockstobrexit']
1133640581194878976,390382010,neutral,remain,2019-05-29T07:45:51.000Z,"@lisanandy Sorry luv you’re wrong. He’s not judging the voters, he’s judging you for not doing your job &amp; explaining the bebefits(..) of brexit to your voters &amp; how they’ve been misled but also for not standing up for the UK interests and backing #Remain - and he’s right. #bollockstobrexit",['bollockstobrexit']
1133643412475973632,126616767,neutral,other,2019-05-29T07:57:06.000Z,"@brexit_sham Keep telling them, Mr. Juncker. #TinEaritis is widespread among #Tories in #Westminster! #JeanClaudeJuncker #BollocksToBrexit",['bollockstobrexit']
1133644726962462720,16853335,positive,remain,2019-05-29T08:02:19.000Z,Please vote on this Brexit party poll. #remain #bollockstobrexit #RevokeA50 #PeoplesVote https://t.co/PV0pM3PQUL,['bollockstobrexit']
1133675100639772672,21666641,negative,remain,2019-05-29T10:03:01.000Z,"Following the #EUelection results, it is clear: people reject this botched Tory #Brexit.
 
Given this, a #PeoplesVote is the fairest &amp; most democratic thing to do.
 
People deserve a #FinalSay over their future. 
 
#BollockstoBrexit",['bollockstobrexit']
1133684408907644928,803229293941760000,positive,other,2019-05-29T10:40:00.000Z,@Jacob_Rees_Mogg This is what a Brexit atom looks like under an electron microscope. #BollocksToBrexit https://t.co/SOphLIFItH,['bollockstobrexit']
1133734741834838016,792782917638455296,neutral,other,2019-05-29T14:00:00.000Z,"JOHN BERCOW: 
""I’m staying put as Commons Speaker until Brexit is decided""
https://t.co/ZUIb4QG4My

#RevokeRemainRebuild
#bollockstobrexit https://t.co/mXB746IQcv",['bollockstobrexit']
1133739053768167424,141247866,neutral,remain,2019-05-29T14:17:08.000Z,"Join the Lib Dems and fight Brexit! 😀

#WednesdayWisdom #Brexit #BrexitShambles #LibDem #LibDems #BollocksToBrexit #FBPE 
https://t.co/M8enByO4gV",['bollockstobrexit']
1133806584361095168,62563458,negative,remain,2019-05-29T18:45:29.000Z,"@rowanscott @RoryStewartUK @fascinatorfun Rory, the problem is - we don't want Brexit. Being essential for the  @Conservatives is not reason enough.

We now know that any type of Brexit will wreck out country &amp; impoverish our lives &amp; we demand a #PeoplesVote to prove that Britons now say #BollocksToBrexit!

#RevokeA50",['bollockstobrexit']
1133809375355822080,62563458,negative,remain,2019-05-29T18:56:34.000Z,"You are a self-serving monster, @EstherMcVey1, desperate to force a harmful Brexit on us just because it suits the needs of your party.

You would destroy our lives &amp; our country rather than harm the Tories.

Some may call that treason.

Bollocks to you &amp; #BollocksToBrexit. #fbpe",['bollockstobrexit']
1133827618237755392,794923757152432128,neutral,remain,2019-05-29T20:09:04.000Z,@sajidjavid Your Brexit vanity project is shaking the UK to its constituent #BollocksToBrexit Brexit will lose Scotland &amp; NI with Wales soon after,['bollockstobrexit']
1133946630749732864,107426979,negative,remain,2019-05-30T04:01:59.000Z,@sajidjavid Shame @Conservatives don’t listen to their own rhetoric- if you’d spent less time and money on #Brexit and more on improving public services perhaps the UK wouldn’t be in the mess it’s in now #StopBrexitSaveBritain #RevokeArticle50 #bollockstobrexit,['bollockstobrexit']
1133956079895945216,941704467912839168,neutral,remain,2019-05-30T04:39:31.000Z,"UK car production plunges amid 'untold damage' of Brexit chaos
#BollockstoBrexit

https://t.co/5f0cwCXrJO",['bollockstobrexit']
1133985739442675712,801861322690412544,negative,remain,2019-05-30T06:37:23.000Z,Presumably it's @Jacob_Rees_Mogg immediate family who are responsible for buying the 734 copies of this utter trash? #LIAR #BollockstoBrexit #stopbrexit https://t.co/LBvrJsCGpz,['bollockstobrexit']
1133986446191280128,801861322690412544,negative,remain,2019-05-30T06:40:11.000Z,@Telegraph @BorisJohnson Reunite with scum like #BorisJohnson and extreme right wing telegraph readers? Over my dead body #BollockstoBrexit #LIAR #stopbrexit,['bollockstobrexit']
