t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
877900027913359360,11634432,positive,remain,2017-06-22T14:44:11.000Z,There appears to be “theories The Queen’s blue hat was a subtle show of support for the EU.“ subtle. Indeed 😂🇪🇺🇬🇧 #bremain #brexit,['bremain']
878002401218666496,17112935,negative,other,2017-06-22T21:30:59.000Z,"#bremain ""27 countries stickig to the rules?""Brexit Shorts:Time to Leave by David Hare,starring Kristin Scott Thomas https://t.co/scqeGmt4I9",['bremain']
878143901831495680,1412631595,negative,other,2017-06-23T06:53:15.000Z,".@PoliticoRyan Quote du jour: “I hate #Brexit from every angle,” Dutch PM #MarkRutte.

NOTHING 2 ADD FROM MY SIDE #eu #uk #bremain @euro_hat",['bremain']
878150429653258240,3511990155,negative,remain,2017-06-23T07:19:12.000Z,"""I was not expecting to leave the single market."" - Leave voter Denise Huk #Brexit #BrexitShambles #Bregret #Bremain
https://t.co/8NJYbBKwlz",['bremain']
878203173562753024,2515513485,neutral,other,2017-06-23T10:48:47.000Z,"Already one year ago... 

#brexit #bremain #eu #europe #euro #uk #england #scotland… https://t.co/OGCgQrztSY",['bremain']
878376230021713920,902179656,neutral,remain,2017-06-23T22:16:27.000Z,"Waking up from #Brexit nightmare? 'If Britain truly changed its mind, Europeans would open their arms'. #Bremain! https://t.co/4wTA2079hv",['bremain']
878607750170849280,16199886,positive,other,2017-06-24T13:36:26.000Z,"If there's no longer a majority in favour of leaving the EU/Single Market, why on earth should we proceed with #Brexit? #Bremain",['bremain']
878961301942390784,432474709,positive,other,2017-06-25T13:01:19.000Z,"If this is what you think, peacefully Demonstrate in the streets to make it clear. #Bremain #Brexit https://t.co/cmEwR0sLCL",['bremain']
879090821215268864,2160675565,neutral,remain,2017-06-25T21:35:59.000Z,"Witty &amp; wise ?

@andrewrawnsley on
A Dog's #Brexit, #Bremain
&amp; other neologisms

@KailashChandOBE
@AbdulRazaq_DPH
@martinmckee
@bengoldacre https://t.co/HtYOCqtube",['bremain']
879734856229453824,878265154760257408,neutral,remain,2017-06-27T16:15:09.000Z,#myfirstTweet Tracking #Brexit and #Bremain,['bremain']
879850594789462016,2984596167,negative,remain,2017-06-27T23:55:03.000Z,"Cheated by EU

https://t.co/rmm4TlWCQm
#brexit #bremain",['bremain']
879921348188962816,1412631595,neutral,other,2017-06-28T04:36:12.000Z,European Council on Foreign Relations moving from London to Berlin. #Brexit #eu #ThinkTank #bremain #uk #brexodus #brexiteffects #Germany https://t.co/kJWS0WKIWR,['bremain']
880062266460311552,2848847458,negative,other,2017-06-28T13:56:09.000Z,"Forget about #Brexit. Let's talk about #Bremain. 
@TH_Labour_Party @LondonLabour",['bremain']
880169759848976384,330717019,positive,remain,2017-06-28T21:03:18.000Z,"Don't think that's her intention, which was to strengthen &amp; stabilise her #Remain camp so #Brexit becomes #Bremain https://t.co/7gP1QvPKsl",['bremain']
880208869045284864,82503762,negative,remain,2017-06-28T23:38:42.000Z,This is why @theresa_may 's offer is an insult. It's time to end Brexit. #Bremain #Breturn https://t.co/m5JGaoICdO,['bremain']
