t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
818038172252835840,437597325,neutral,remain,2017-01-08T10:14:33.000Z,@Telegraph I notice that we have to pay to see the rest of Charles Moore's opinions. Like we'll have to pay for Brexit... #brexiters,['brexiters']
818200531298582528,20545573,negative,remain,2017-01-08T20:59:42.000Z,"As a trade negotiator, I’m shocked at #Brexit-ers’ ignorance | Jason Langrish https://t.co/EI5tiUuxlR",['brexiters']
818425452914212864,802936480436027520,neutral,remain,2017-01-09T11:53:28.000Z,See FarRightWatch on Twitter - https://t.co/xFDgswzN0x All The Times #Brexit'ers Promised We Wouldn’t Leave #Sing… https://t.co/5C4F6HuX0W,['brexiters']
818428986644643840,405590291,neutral,remain,2017-01-09T12:07:30.000Z,disappointing that #TheresaMay seems as deluded as the other #Brexit-ers. UK needs &amp; deserves better https://t.co/Me5Za4bIZo,['brexiters']
818468067718164480,415548493,neutral,other,2017-01-09T14:42:48.000Z,Remember when #Brexit-ers claimed that leaving would provide 300 million £ for the #NHS weekly? Is that why the Red Cross has to intervene?,['brexiters']
818464870949650432,14712548,positive,remain,2017-01-09T14:30:06.000Z,"May's aim too extreme for #Brexit'ers

All the times Leavers said we wouldn't leave the single market https://t.co/ZURe0Zntb2",['brexiters']
819182852663312384,14712548,positive,other,2017-01-11T14:03:06.000Z,"Good to see that our judges know what an independent judiciary is, even if #Brexit'ers, government and our oligarch owned UK #press don't. https://t.co/Wu9XtmGsZf",['brexiters']
819437707415977984,748506876892090240,positive,other,2017-01-12T06:55:48.000Z,Wait a second. Immigrant? And then convicted? Didn't #brexiters want to deport them? Happy #brexit #Ukip https://t.co/UD6qqSmFBJ,['brexiters']
820037290374340608,784406878960902144,positive,remain,2017-01-13T22:38:20.000Z,@SimonGosden @callicramed they're clutching at straws to try &amp; find any #Brexit news they can spin as positive - #Brexiters will fall for it,['brexiters']
820542054287704064,372805464,negative,other,2017-01-15T08:04:05.000Z,"Why do #Brexiters hate debate, true pre &amp; post #EURef? It wasn't a Landslide fgs? NB: 63% of UK didn't vote #Brexit @AndrewCastle63 @LBC",['brexiters']
820558734502006784,51465605,neutral,remain,2017-01-15T09:10:22.000Z,"#Brexiters, is this what you voted for??? a tax haven?? https://t.co/VFOWyd92Tn #Brexit",['brexiters']
820609397189734400,149642964,neutral,remain,2017-01-15T12:31:41.000Z,Do any #Brexiters out there still think #philiphammond's Brexit ideas aren't gonna cause Economic hardship?,['brexiters']
820659145019887616,20545573,neutral,remain,2017-01-15T15:49:21.000Z,The #Brexit-ers turn on the plebs https://t.co/Iluu4OA3wt,['brexiters']
820709947822505984,790183033454419840,negative,other,2017-01-15T19:11:14.000Z,"Following the democratic vote, #Brexiters call for an end to free movement of weather. Stop #brexit nonsense
https://t.co/fYK2JRKpkX",['brexiters']
820761887797297152,18525497,positive,other,2017-01-15T22:37:37.000Z,Trump's first UK post-election interview: Brexit a 'great thing' - https://t.co/8tYo3zeHJf #brexiters must feel so proud of his endorsement,['brexiters']
820881597704601600,3405929189,positive,remain,2017-01-16T06:33:18.000Z,"RT margarance: Well get this, #Brexiters. If Donald Trump thinks Brexit is a good idea, I'm pretty sure we can all agree that it isn't. #Tr…",['brexiters']
821113306639466496,35853407,negative,other,2017-01-16T21:54:02.000Z,I don't know how left wing journalists can have the cheek to quote polls and say #brexiters don't want a 'hard brexit'. Wrong! @theresa_may,['brexiters']
821287356489695232,306756011,positive,remain,2017-01-17T09:25:39.000Z,All those #Brexit-ers who want to return to the past must be looking forward a good old sterling crisis today. https://t.co/V1hwxvhhTX,['brexiters']
821293285494968320,796033080893050880,neutral,remain,2017-01-17T09:49:12.000Z,"So #brexit isn't having an effect is it? Total Bullsh*t (as usual) from the #brexiters!
#StopBrexit #Remain https://t.co/y2Ls8rLAA0",['brexiters']
821335154367074304,257074902,negative,other,2017-01-17T12:35:35.000Z,When you see articles on #Brexit with #Remainers and #Brexiters battling it out in the FB comments... https://t.co/Q7nD6sNYHY,['brexiters']
