t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1106325108480716800,142794131,negative,remain,2019-03-14T22:43:55.000Z,I’m more convinced than ever that the problem with Brexit is a lack of education about U.K. involvement in Europe from day dot. I don’t think anyone is blameless in this. #BrexitShambles #brexitfail #BrexitMayhem,['brexitfail']
1106761550256197632,885438945022025728,negative,other,2019-03-16T03:38:10.000Z,"“Who is that woman Margaret Tay doing the Brexit thing?”

#GOAT 

#englishfail #clichebutchery #AC #awkward #doyen 
#WTF⁠ #Brexitfail #brexit https://t.co/oxm3kqi7S8",['brexitfail']
1107649240757686272,300684661,neutral,remain,2019-03-18T14:25:32.000Z,should she stay or should she go https://t.co/tfPd5CC25A via @YouTube #Brexit #TheresaMay #Brexitfail,['brexitfail']
1109539489276268544,50576145,positive,remain,2019-03-23T19:36:43.000Z,Love this #Brexit situation. Everyone voted for it &amp; now they know what it really means and blame @theresa_may for trying to do what ‘YOU’ the people want! What do you expect when you go solo? Yet @Nigel_Farage has no blame?#BrexitCrisis #BrexitChaos #BrexitFail #BrexitDeal,['brexitfail']
1110806869432504320,1105181434719948800,negative,remain,2019-03-27T07:32:50.000Z,@StandUp4Brexit @BorisJohnson The people want a delay / revocation of Brexit. Brexit is a failed policy #brexitfail #brexit #RevokeArt50Now #peoplesvote https://t.co/oO7RAeHKeZ,['brexitfail']
1111024013835304960,107866576,positive,other,2019-03-27T21:55:41.000Z,"No majority for any of Brexit options. This is a political farce! The politicians cant decide. For the love of god, give the vote back to the people https://t.co/fGGBG253gx #brexitfail",['brexitfail']
1111157695405543424,94569588,positive,remain,2019-03-28T06:46:53.000Z,"@bbclaurak @HouseofCommons Just shows this is all about egotistical MPs trying to get one over on another party rather than what's best for the country...  #brexitfail #BrexitShambles BBC News - Brexit: Theresa May vows to stand down if deal is passed
https://t.co/56MgDyLg5X",['brexitfail']
1111643377567744000,300684661,neutral,other,2019-03-29T14:56:49.000Z,goodbye britain pt.10000000000000000000000013 https://t.co/3HNkTfgUru via @YouTube #Brexit #BrexitChaos #brexitfail,['brexitfail']
1111692291641655296,75590144,positive,other,2019-03-29T18:11:11.000Z,With all this Brexit nonsense I don't see the point in ever voting again or even in democracy. I voted remain but the country voted to leave so just get on with it. Politicians playing games and don't have the country's best interests as their primary goal #BrexitDay #BrexitFail,['brexitfail']
1111913024829435904,516884045,negative,remain,2019-03-30T08:48:18.000Z,"David Cameron said it would be the people's decision to leave the EU not politicians not parliament not lobby groups so the people voted leave but here we are Brexit Date +1 and guess what again the politicians, parliament and lobby groups failed to deliver yet again #brexitfail",['brexitfail']
