t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1158578199640588288,30375180,neutral,remain,2019-08-06T03:19:02.000Z,"#ThingsIFindOddlyHot

A British Professor who campaigns against #Brexit.

Dr Victoria Bateman @vnbateman
#EmperorsNewClothes. https://t.co/xb4vrO3o12 #BrexitLeavesBritainNaked https://t.co/fDLqYMkJe5",['brexitleavesbritainnaked']
1160848290419810304,162786663,positive,remain,2019-08-12T09:39:34.000Z,Sounds very much like the definition of #Brexit #BrexitBritain #BrexitReality #BrexitLeavesBritainNaked #BrexitShambles #NoDeal #nodealbrexit #britainsbrexitcrisis https://t.co/1GeFOfEdVE,['brexitleavesbritainnaked']
1160944935576702976,1129883994739359744,negative,other,2019-08-12T16:03:36.000Z,"#RealTalk on #BrexitReality
#BrexitLeavesBritainNaked
#Brexit is a stupid move, but it is orchestrated to push THEIR agenda onto the next stage... 
https://t.co/CgqgiEjT2j",['brexitleavesbritainnaked']
1161165876042903552,33936958,negative,leave,2019-08-13T06:41:32.000Z,"‘To learn from mistakes you must confront them, and #exceptionalism means you never do.’
#Brexit #BrexitReality #BrexitBritain #brexitleavesbritainnaked  https://t.co/8tJYN7Uamn",['brexitleavesbritainnaked']
1161238799315275776,3230403832,neutral,remain,2019-08-13T11:31:19.000Z,"This ws news in 2015 i wonder why the Express thinks its news today.. what current story about Boris or Brexit are they trying to cover up  eh! #brexitleavesbritainnaked
https://t.co/Jd5pfSm2JZ",['brexitleavesbritainnaked']
1162008773692669952,443650009,positive,remain,2019-08-15T14:30:55.000Z,"@BorisJohnson ""Trust"" and Brexit two words that should never be used together #brexitlies #brexitleavesbritainnaked #BrexitShambles #Brexitchaos #Brexit 
https://t.co/MlwMJAqQ82",['brexitleavesbritainnaked']
1162027785763917824,3238987529,positive,leave,2019-08-15T15:46:28.000Z,Quick! Tell everyone who thinks #Brexit will be easy and pain free and the best thing for #Britain that it is #NotTrue!  #LeaveMeansLeave people PLEASE listen to sensible reporters. Learn the facts. #brexitleavesbritainnaked and it will trash Britain. https://t.co/spzLCHdvf4,['brexitleavesbritainnaked']
1162041541256515584,33936958,positive,other,2019-08-15T16:41:07.000Z,"... with Leo Varadkar sitting at the front of the top deck, looking anxiously out the window.
#Brexit #brexitleavesbritainnaked
#BrexitBritain

https://t.co/7PWDhWGFH5",['brexitleavesbritainnaked']
1162298616360374272,837395978697191424,neutral,other,2019-08-16T09:42:39.000Z,@BorisJohnson Is this your sales pitch for selling off the #NHS you will be opposed! #Brexit #brexitleavesbritainnaked,['brexitleavesbritainnaked']
1162332210982207488,353809839,neutral,other,2019-08-16T11:56:08.000Z,"I think we all knew this was likely.... but it's now apparently confirmed.
#Brexit #BrexitReality #brexitleavesbritainnaked #BrexitBetrayal
 https://t.co/1y19clw9Pq",['brexitleavesbritainnaked']
1163093313521508352,709996087537442816,negative,remain,2019-08-18T14:20:29.000Z,"""For many Britons, the collapsing pound may be the most visceral evidence of the economic damage wrought by Brexit.""
https://t.co/WrzcJsY3av
So much for the idea that the @Conservatives
are good for the economy
#BrexitLeavesBritainNaked #BrexitShambles",['brexitleavesbritainnaked']
1164137047642255360,925031867606331392,positive,other,2019-08-21T11:27:55.000Z,"@faisalislam Good report, Faisal. I hadn't thought of this. I'll include @BorisJohnson in case he hasn't either. #Brexit #brexitleavesbritainnaked",['brexitleavesbritainnaked']
1164434858673954816,1603552422,neutral,remain,2019-08-22T07:11:19.000Z,Perhaps with #Brexit he thinks he’ll have a better chance buying Scotland from Boris Johnson than from Angela Merkel??#BrexitChaos #brexitleavesbritainnaked #bolloxtobrexit https://t.co/fDtSrIEzvc,['brexitleavesbritainnaked']
1165176719529132032,20056900,negative,other,2019-08-24T08:19:12.000Z,Shocking! Prepare for lots of our expats being sent home from France sand Spain ... What a mess this government is making. I hope they are evicted quickly enough for someone else to fix. #Brexit #BrexitChaos #brexit #BorisBotArmy #brexitleavesbritainnaked #theworldisgoingtoshit https://t.co/OadMXw9IQ8,['brexitleavesbritainnaked']
